symbol,exchange,datetime,open,high,low,close,volume,open_interest
abtusdt,HUOBI,2020-08-31 00:00:00,0.1363,0.25,0.1363,0.213,7162617.354953892,0.0
abtusdt,HUOBI,2020-09-01 00:00:00,0.213,0.259,0.1809,0.1912,6934777.101912715,0.0
abtusdt,HUOBI,2020-09-02 00:00:00,0.1912,0.1961,0.164,0.1645,1480366.0234942583,0.0
abtusdt,HUOBI,2020-09-03 00:00:00,0.1662,0.1726,0.1357,0.1404,832635.260663852,0.0
abtusdt,HUOBI,2020-09-04 00:00:00,0.141,0.1411,0.102,0.1148,590300.4389688474,0.0
abtusdt,HUOBI,2020-09-05 00:00:00,0.1148,0.135,0.1027,0.1153,497152.24777105456,0.0
abtusdt,HUOBI,2020-09-06 00:00:00,0.1153,0.156,0.1145,0.1384,2019771.3049013084,0.0
abtusdt,HUOBI,2020-09-07 00:00:00,0.1384,0.1596,0.1202,0.1267,1184943.7185867592,0.0
abtusdt,HUOBI,2020-09-08 00:00:00,0.1267,0.1297,0.1188,0.1227,309934.6536334226,0.0
abtusdt,HUOBI,2020-09-09 00:00:00,0.1227,0.1299,0.1184,0.1262,233143.63470221774,0.0
abtusdt,HUOBI,2020-09-10 00:00:00,0.1265,0.1305,0.1222,0.1261,234138.29406868,0.0
abtusdt,HUOBI,2020-09-11 00:00:00,0.1261,0.144,0.124,0.1284,465330.21661645104,0.0
abtusdt,HUOBI,2020-09-12 00:00:00,0.1284,0.1332,0.1231,0.1265,191089.671493024,0.0
abtusdt,HUOBI,2020-09-13 00:00:00,0.1265,0.134,0.124,0.127,245405.66378524,0.0
abtusdt,HUOBI,2020-09-14 00:00:00,0.1272,0.1289,0.1207,0.1269,151659.11183624,0.0
abtusdt,HUOBI,2020-09-15 00:00:00,0.1268,0.189,0.1268,0.1446,4307046.71968381,0.0
abtusdt,HUOBI,2020-09-16 00:00:00,0.1451,0.155,0.1216,0.1354,735679.5545325194,0.0
abtusdt,HUOBI,2020-09-17 00:00:00,0.1348,0.136,0.1246,0.1276,282490.56261848134,0.0
abtusdt,HUOBI,2020-09-18 00:00:00,0.1292,0.132,0.1244,0.1304,180801.39217581,0.0
abtusdt,HUOBI,2020-09-19 00:00:00,0.1314,0.1318,0.1215,0.1249,200263.98265741,0.0
abtusdt,HUOBI,2020-09-20 00:00:00,0.125,0.1251,0.103,0.109,432341.17653737,0.0
abtusdt,HUOBI,2020-09-21 00:00:00,0.1092,0.111,0.0958,0.0973,339266.93281515,0.0
abtusdt,HUOBI,2020-09-22 00:00:00,0.0973,0.0999,0.0901,0.0939,224001.8094741407,0.0
abtusdt,HUOBI,2020-09-23 00:00:00,0.0938,0.0962,0.088,0.0935,193168.57731,0.0
abtusdt,HUOBI,2020-09-24 00:00:00,0.0936,0.0937,0.088,0.0927,136618.84362792,0.0
abtusdt,HUOBI,2020-09-25 00:00:00,0.0926,0.098,0.0899,0.0973,188385.12441225618,0.0
abtusdt,HUOBI,2020-09-26 00:00:00,0.0973,0.0996,0.0931,0.0984,169014.22180275,0.0
abtusdt,HUOBI,2020-09-27 00:00:00,0.0987,0.1008,0.0924,0.0948,123871.93767977938,0.0
abtusdt,HUOBI,2020-09-28 00:00:00,0.094,0.0989,0.0935,0.0975,92276.28052772,0.0
abtusdt,HUOBI,2020-09-29 00:00:00,0.0975,0.102,0.0948,0.0984,203244.22576904707,0.0
abtusdt,HUOBI,2020-09-30 00:00:00,0.0983,0.1015,0.0962,0.0993,145979.53959329,0.0
abtusdt,HUOBI,2020-10-01 00:00:00,0.0992,0.0996,0.0948,0.0982,131897.91635482,0.0
abtusdt,HUOBI,2020-10-02 00:00:00,0.0982,0.0998,0.0892,0.0907,170550.58956496,0.0
abtusdt,HUOBI,2020-10-03 00:00:00,0.0907,0.0942,0.0897,0.0931,97738.303216,0.0
abtusdt,HUOBI,2020-10-04 00:00:00,0.0928,0.0935,0.0902,0.0908,77907.842607,0.0
abtusdt,HUOBI,2020-10-05 00:00:00,0.0907,0.0948,0.0902,0.0914,97404.343638,0.0
abtusdt,HUOBI,2020-10-06 00:00:00,0.0913,0.092,0.0883,0.0891,80539.414429,0.0
abtusdt,HUOBI,2020-10-07 00:00:00,0.0893,0.0906,0.0855,0.0864,100418.624097,0.0
abtusdt,HUOBI,2020-10-08 00:00:00,0.0863,0.0905,0.0861,0.0889,121610.915942,0.0
abtusdt,HUOBI,2020-10-09 00:00:00,0.0888,0.0919,0.0875,0.0906,89569.659232,0.0
abtusdt,HUOBI,2020-10-10 00:00:00,0.0908,0.094,0.0901,0.0924,94096.695511,0.0
abtusdt,HUOBI,2020-10-11 00:00:00,0.0917,0.0924,0.0801,0.0916,120640.702878,0.0
abtusdt,HUOBI,2020-10-12 00:00:00,0.0913,0.0923,0.0841,0.0887,119654.2378715,0.0
abtusdt,HUOBI,2020-10-13 00:00:00,0.0889,0.0894,0.0859,0.0873,82195.819694,0.0
abtusdt,HUOBI,2020-10-14 00:00:00,0.0873,0.0895,0.085,0.0876,107503.36189739,0.0
abtusdt,HUOBI,2020-10-15 00:00:00,0.088,0.0925,0.0871,0.0902,109017.32039690978,0.0
abtusdt,HUOBI,2020-10-16 00:00:00,0.0899,0.0929,0.0825,0.0838,121465.844886,0.0
abtusdt,HUOBI,2020-10-17 00:00:00,0.0837,0.0853,0.0822,0.0829,80010.582779,0.0
abtusdt,HUOBI,2020-10-18 00:00:00,0.0829,0.0838,0.0802,0.0825,98159.27186164,0.0
abtusdt,HUOBI,2020-10-19 00:00:00,0.0825,0.086,0.0801,0.0808,92176.892695,0.0
abtusdt,HUOBI,2020-10-20 00:00:00,0.0808,0.0816,0.0722,0.0755,129317.98034491,0.0
abtusdt,HUOBI,2020-10-21 00:00:00,0.0754,0.0827,0.073,0.0791,147685.080927,0.0
abtusdt,HUOBI,2020-10-22 00:00:00,0.0785,0.086,0.078,0.0796,118029.86673918,0.0
abtusdt,HUOBI,2020-10-23 00:00:00,0.0796,0.0822,0.0768,0.0809,86158.521207,0.0
abtusdt,HUOBI,2020-10-24 00:00:00,0.0809,0.0814,0.0774,0.0787,79129.537069,0.0
abtusdt,HUOBI,2020-10-25 00:00:00,0.0787,0.0799,0.0766,0.0776,95143.980626,0.0
abtusdt,HUOBI,2020-10-26 00:00:00,0.0775,0.079,0.0739,0.0764,80165.587986,0.0
abtusdt,HUOBI,2020-10-27 00:00:00,0.0764,0.0786,0.0701,0.074,84798.60845,0.0
abtusdt,HUOBI,2020-10-28 00:00:00,0.0736,0.0808,0.0703,0.0739,122056.9256573,0.0
abtusdt,HUOBI,2020-10-29 00:00:00,0.0739,0.0743,0.0697,0.0706,80985.661967,0.0
abtusdt,HUOBI,2020-10-30 00:00:00,0.0706,0.072,0.0673,0.068,74844.70341985,0.0
abtusdt,HUOBI,2020-10-31 00:00:00,0.068,0.072,0.0672,0.072,54711.21268834,0.0
abtusdt,HUOBI,2020-11-01 00:00:00,0.0717,0.0721,0.069,0.0698,39009.722031,0.0
abtusdt,HUOBI,2020-11-02 00:00:00,0.0699,0.0729,0.0625,0.0652,109752.52913365,0.0
abtusdt,HUOBI,2020-11-03 00:00:00,0.0647,0.0661,0.061,0.063,89194.96846172,0.0
abtusdt,HUOBI,2020-11-04 00:00:00,0.0628,0.0654,0.0622,0.0627,72507.03852149761,0.0
abtusdt,HUOBI,2020-11-05 00:00:00,0.0627,0.0686,0.0627,0.0664,83645.28207958,0.0
abtusdt,HUOBI,2020-11-06 00:00:00,0.0665,0.0725,0.0651,0.0684,85788.82206047,0.0
abtusdt,HUOBI,2020-11-07 00:00:00,0.0684,0.0746,0.0684,0.0698,89294.22030847,0.0
abtusdt,HUOBI,2020-11-08 00:00:00,0.0699,0.074,0.0695,0.074,68690.50560376,0.0
abtusdt,HUOBI,2020-11-09 00:00:00,0.0739,0.0749,0.0677,0.0694,97257.061927,0.0
abtusdt,HUOBI,2020-11-10 00:00:00,0.0691,0.078,0.066,0.0743,117456.72338,0.0
abtusdt,HUOBI,2020-11-11 00:00:00,0.0744,0.0835,0.0724,0.0804,89809.54088158,0.0
abtusdt,HUOBI,2020-11-12 00:00:00,0.0805,0.0827,0.077,0.078,72618.74785492,0.0
abtusdt,HUOBI,2020-11-13 00:00:00,0.0779,0.0836,0.0767,0.0829,72168.37068599,0.0
abtusdt,HUOBI,2020-11-14 00:00:00,0.0829,0.0835,0.078,0.0798,59149.66290986,0.0
abtusdt,HUOBI,2020-11-15 00:00:00,0.0798,0.0818,0.0781,0.0809,63591.5364,0.0
abtusdt,HUOBI,2020-11-16 00:00:00,0.0808,0.0835,0.0781,0.0823,77392.3924409283,0.0
abtusdt,HUOBI,2020-11-17 00:00:00,0.0827,0.0829,0.0756,0.0765,101648.238404,0.0
abtusdt,HUOBI,2020-11-18 00:00:00,0.0767,0.0791,0.0705,0.0782,133999.258105,0.0
abtusdt,HUOBI,2020-11-19 00:00:00,0.078,0.0785,0.0751,0.0777,68945.379004,0.0
abtusdt,HUOBI,2020-11-20 00:00:00,0.0777,0.0787,0.0764,0.0782,64343.0634362,0.0
abtusdt,HUOBI,2020-11-21 00:00:00,0.0782,0.0858,0.0754,0.0855,142455.24539681093,0.0
abtusdt,HUOBI,2020-11-22 00:00:00,0.0855,0.0931,0.0784,0.0823,149553.3687188749,0.0
abtusdt,HUOBI,2020-11-23 00:00:00,0.0821,0.0859,0.0792,0.0821,141913.11437448,0.0
abtusdt,HUOBI,2020-11-24 00:00:00,0.082,0.0901,0.0808,0.0888,144482.3666579941,0.0
abtusdt,HUOBI,2020-11-25 00:00:00,0.0886,0.0978,0.0816,0.0905,142109.7700687061,0.0
abtusdt,HUOBI,2020-11-26 00:00:00,0.0906,0.0918,0.073,0.0754,141240.45048124736,0.0
abtusdt,HUOBI,2020-11-27 00:00:00,0.0755,0.08,0.0751,0.0769,73927.374432,0.0
abtusdt,HUOBI,2020-11-28 00:00:00,0.0769,0.0828,0.0767,0.0826,69428.524753,0.0
abtusdt,HUOBI,2020-11-29 00:00:00,0.0826,0.0868,0.0818,0.0853,63795.86055888,0.0
abtusdt,HUOBI,2020-11-30 00:00:00,0.0852,0.0886,0.0832,0.0837,60022.61122338,0.0
abtusdt,HUOBI,2020-12-01 00:00:00,0.0837,0.0849,0.0775,0.08,87427.173361,0.0
abtusdt,HUOBI,2020-12-02 00:00:00,0.08,0.083,0.0735,0.0794,69678.93747079,0.0
abtusdt,HUOBI,2020-12-03 00:00:00,0.0793,0.0829,0.0773,0.0817,66562.7251316,0.0
abtusdt,HUOBI,2020-12-04 00:00:00,0.0818,0.0953,0.0815,0.0833,194635.42629179172,0.0
abtusdt,HUOBI,2020-12-05 00:00:00,0.0836,0.089,0.0801,0.0851,126651.3725,0.0
abtusdt,HUOBI,2020-12-06 00:00:00,0.0854,0.0855,0.0785,0.0804,107581.71311420843,0.0
abtusdt,HUOBI,2020-12-07 00:00:00,0.0805,0.0854,0.0797,0.0848,79686.58851466,0.0
abtusdt,HUOBI,2020-12-08 00:00:00,0.0847,0.0855,0.0788,0.0809,61799.86674818,0.0
abtusdt,HUOBI,2020-12-09 00:00:00,0.0808,0.0817,0.0758,0.0777,81990.88661515,0.0
abtusdt,HUOBI,2020-12-10 00:00:00,0.0777,0.0786,0.076,0.0764,75206.056828,0.0
abtusdt,HUOBI,2020-12-11 00:00:00,0.0763,0.08,0.0756,0.0793,95245.978168,0.0
abtusdt,HUOBI,2020-12-12 00:00:00,0.0788,0.0815,0.0778,0.08,87310.35901589,0.0
abtusdt,HUOBI,2020-12-13 00:00:00,0.0799,0.0827,0.0798,0.0819,88015.26703711,0.0
abtusdt,HUOBI,2020-12-14 00:00:00,0.0815,0.0822,0.0783,0.0783,73094.258915,0.0
