symbol,exchange,datetime,open,high,low,close,volume,open_interest
aeusdt,HUOBI,2019-01-10 00:00:00,0.394,0.43,0.38,0.385,337187.1505128363,0.0
aeusdt,HUOBI,2019-01-11 00:00:00,0.385,0.385,0.3519,0.3606,403302.92730641435,0.0
aeusdt,HUOBI,2019-01-12 00:00:00,0.3606,0.3719,0.3527,0.3664,210398.61364097,0.0
aeusdt,HUOBI,2019-01-13 00:00:00,0.3674,0.394,0.36,0.3677,189862.04121028,0.0
aeusdt,HUOBI,2019-01-14 00:00:00,0.3663,0.3677,0.3431,0.3618,117517.42805238,0.0
aeusdt,HUOBI,2019-01-15 00:00:00,0.3608,0.3898,0.3565,0.3849,320827.65902660723,0.0
aeusdt,HUOBI,2019-01-16 00:00:00,0.3796,0.535,0.3791,0.5249,3074586.5926334513,0.0
aeusdt,HUOBI,2019-01-17 00:00:00,0.5103,0.5345,0.4321,0.4489,1631063.812229529,0.0
aeusdt,HUOBI,2019-01-18 00:00:00,0.449,0.4655,0.418,0.4232,723062.2094846023,0.0
aeusdt,HUOBI,2019-01-19 00:00:00,0.4232,0.475,0.4197,0.4428,606185.7877801968,0.0
aeusdt,HUOBI,2019-01-20 00:00:00,0.4402,0.452,0.4013,0.4145,539699.3197219404,0.0
aeusdt,HUOBI,2019-01-21 00:00:00,0.414,0.4329,0.407,0.416,269196.42453486,0.0
aeusdt,HUOBI,2019-01-22 00:00:00,0.4165,0.423,0.3977,0.4218,237938.9966470126,0.0
aeusdt,HUOBI,2019-01-23 00:00:00,0.4214,0.4248,0.4138,0.4157,169068.1511459,0.0
aeusdt,HUOBI,2019-01-24 00:00:00,0.4155,0.4187,0.4052,0.4133,140908.823584,0.0
aeusdt,HUOBI,2019-01-25 00:00:00,0.4133,0.424,0.4025,0.414,155650.21253593,0.0
aeusdt,HUOBI,2019-01-26 00:00:00,0.414,0.424,0.4094,0.4104,140897.06759235493,0.0
aeusdt,HUOBI,2019-01-27 00:00:00,0.4107,0.415,0.3801,0.3896,205847.89679812,0.0
aeusdt,HUOBI,2019-01-28 00:00:00,0.3897,0.3985,0.3562,0.3607,226606.92236863,0.0
