symbol,exchange,datetime,open,high,low,close,volume,open_interest
ankrusdt,HUOBI,2020-09-02 00:00:00,0.004036,0.01378,0.004036,0.012002,2846565.8205791945,0.0
ankrusdt,HUOBI,2020-09-03 00:00:00,0.012001,0.012164,0.009161,0.009653,1589266.6088267502,0.0
ankrusdt,HUOBI,2020-09-04 00:00:00,0.009603,0.010239,0.007403,0.008436,324087.26474347,0.0
ankrusdt,HUOBI,2020-09-05 00:00:00,0.008455,0.01,0.00737,0.008091,373303.8483333192,0.0
ankrusdt,HUOBI,2020-09-06 00:00:00,0.00802,0.008962,0.006701,0.008098,202339.27164298,0.0
ankrusdt,HUOBI,2020-09-07 00:00:00,0.008176,0.008596,0.007158,0.008029,103965.2792651645,0.0
ankrusdt,HUOBI,2020-09-08 00:00:00,0.00804,0.0085,0.007299,0.007687,230892.39036250452,0.0
ankrusdt,HUOBI,2020-09-09 00:00:00,0.007656,0.008195,0.006961,0.008119,196676.07268356,0.0
ankrusdt,HUOBI,2020-09-10 00:00:00,0.008135,0.008762,0.007709,0.008428,149779.83201446,0.0
ankrusdt,HUOBI,2020-09-11 00:00:00,0.008441,0.008726,0.007983,0.008315,114627.8385546243,0.0
ankrusdt,HUOBI,2020-09-12 00:00:00,0.008319,0.008592,0.008039,0.00841,115839.28330456,0.0
ankrusdt,HUOBI,2020-09-13 00:00:00,0.008407,0.008814,0.0076,0.007718,172347.44552983,0.0
ankrusdt,HUOBI,2020-09-14 00:00:00,0.007701,0.008151,0.007325,0.007833,250485.90816705,0.0
ankrusdt,HUOBI,2020-09-15 00:00:00,0.007828,0.007874,0.006854,0.006976,116448.96781896,0.0
ankrusdt,HUOBI,2020-09-16 00:00:00,0.006992,0.007272,0.006233,0.006466,68094.32520059,0.0
ankrusdt,HUOBI,2020-09-17 00:00:00,0.006441,0.008,0.0061,0.006692,196733.22888217,0.0
ankrusdt,HUOBI,2020-09-18 00:00:00,0.006771,0.006946,0.006442,0.006541,100429.4771968149,0.0
ankrusdt,HUOBI,2020-09-19 00:00:00,0.006532,0.006838,0.00618,0.006355,69390.39050933,0.0
ankrusdt,HUOBI,2020-09-20 00:00:00,0.006338,0.006606,0.006072,0.006242,72438.82020091,0.0
ankrusdt,HUOBI,2020-09-21 00:00:00,0.006217,0.006355,0.004999,0.005134,119578.15502899,0.0
ankrusdt,HUOBI,2020-09-22 00:00:00,0.005081,0.005418,0.004939,0.00519,82544.22611964,0.0
ankrusdt,HUOBI,2020-09-23 00:00:00,0.00519,0.005474,0.0045,0.005099,73247.09593448114,0.0
ankrusdt,HUOBI,2020-09-24 00:00:00,0.005067,0.005214,0.004467,0.005008,65377.0237528466,0.0
ankrusdt,HUOBI,2020-09-25 00:00:00,0.005099,0.007119,0.005007,0.006635,377454.8466471223,0.0
ankrusdt,HUOBI,2020-09-26 00:00:00,0.006483,0.0074,0.006143,0.006828,270094.4028906,0.0
ankrusdt,HUOBI,2020-09-27 00:00:00,0.006801,0.007518,0.006607,0.007012,159553.25309955908,0.0
ankrusdt,HUOBI,2020-09-28 00:00:00,0.007047,0.007233,0.006538,0.006748,124015.52526054,0.0
ankrusdt,HUOBI,2020-09-29 00:00:00,0.006663,0.007555,0.006576,0.007448,300290.9360618752,0.0
ankrusdt,HUOBI,2020-09-30 00:00:00,0.007455,0.008896,0.007375,0.007872,779263.8145895822,0.0
ankrusdt,HUOBI,2020-10-01 00:00:00,0.007866,0.0085,0.0075,0.008016,273968.75794434885,0.0
ankrusdt,HUOBI,2020-10-02 00:00:00,0.007876,0.008221,0.006809,0.007375,253720.68665398,0.0
ankrusdt,HUOBI,2020-10-03 00:00:00,0.007174,0.0081,0.006989,0.007363,205410.87516923,0.0
ankrusdt,HUOBI,2020-10-04 00:00:00,0.007369,0.007697,0.007022,0.007186,158758.61373001,0.0
ankrusdt,HUOBI,2020-10-05 00:00:00,0.007184,0.007393,0.006813,0.007021,130023.85734032502,0.0
ankrusdt,HUOBI,2020-10-06 00:00:00,0.007011,0.007142,0.005958,0.006385,226780.91070255273,0.0
ankrusdt,HUOBI,2020-10-07 00:00:00,0.006396,0.006416,0.005424,0.00611,190007.40006166103,0.0
ankrusdt,HUOBI,2020-10-08 00:00:00,0.006122,0.007212,0.005907,0.006496,201151.40178628,0.0
ankrusdt,HUOBI,2020-10-09 00:00:00,0.006431,0.007285,0.00635,0.007027,207784.26649348,0.0
ankrusdt,HUOBI,2020-10-10 00:00:00,0.007006,0.0076,0.006714,0.007108,200631.89523417,0.0
ankrusdt,HUOBI,2020-10-11 00:00:00,0.007082,0.007104,0.006541,0.006807,243434.35213761,0.0
ankrusdt,HUOBI,2020-10-12 00:00:00,0.006779,0.007316,0.006608,0.007267,299364.88618841,0.0
ankrusdt,HUOBI,2020-10-13 00:00:00,0.007238,0.008688,0.007001,0.008147,1015088.6200550284,0.0
ankrusdt,HUOBI,2020-10-14 00:00:00,0.008149,0.009825,0.007734,0.008105,981557.4035332116,0.0
ankrusdt,HUOBI,2020-10-15 00:00:00,0.008107,0.00854,0.007351,0.00775,645013.6094392532,0.0
ankrusdt,HUOBI,2020-10-16 00:00:00,0.007762,0.008126,0.007235,0.007485,499220.73715277,0.0
ankrusdt,HUOBI,2020-10-17 00:00:00,0.007488,0.008266,0.007313,0.00783,352206.5388513205,0.0
ankrusdt,HUOBI,2020-10-18 00:00:00,0.007805,0.008888,0.0078,0.008631,561857.5940567302,0.0
ankrusdt,HUOBI,2020-10-19 00:00:00,0.008629,0.008807,0.008067,0.008246,387199.10442535,0.0
ankrusdt,HUOBI,2020-10-20 00:00:00,0.00824,0.008639,0.007541,0.007581,462472.6463165492,0.0
ankrusdt,HUOBI,2020-10-21 00:00:00,0.007606,0.008449,0.007516,0.00824,452635.56116595,0.0
ankrusdt,HUOBI,2020-10-22 00:00:00,0.008241,0.010692,0.008172,0.010616,1695385.9904929015,0.0
ankrusdt,HUOBI,2020-10-23 00:00:00,0.010665,0.0113,0.009422,0.009726,1699281.677371235,0.0
ankrusdt,HUOBI,2020-10-24 00:00:00,0.009704,0.010602,0.009247,0.009751,1030435.0334053698,0.0
ankrusdt,HUOBI,2020-10-25 00:00:00,0.009778,0.009924,0.009168,0.009193,575697.9321963404,0.0
ankrusdt,HUOBI,2020-10-26 00:00:00,0.009182,0.00986,0.0087,0.008877,593263.2126416465,0.0
ankrusdt,HUOBI,2020-10-27 00:00:00,0.008868,0.009305,0.008485,0.008778,536499.1777596556,0.0
ankrusdt,HUOBI,2020-10-28 00:00:00,0.008764,0.009158,0.007701,0.008045,608664.5102277612,0.0
ankrusdt,HUOBI,2020-10-29 00:00:00,0.008039,0.008366,0.007365,0.00766,450462.5593474501,0.0
ankrusdt,HUOBI,2020-10-30 00:00:00,0.007661,0.007666,0.006411,0.006722,518688.66062456,0.0
ankrusdt,HUOBI,2020-10-31 00:00:00,0.006756,0.007453,0.006613,0.00728,432467.5168945705,0.0
ankrusdt,HUOBI,2020-11-01 00:00:00,0.007279,0.007304,0.006955,0.007011,172910.76238402,0.0
ankrusdt,HUOBI,2020-11-02 00:00:00,0.007027,0.007641,0.00684,0.007026,458532.3278639,0.0
ankrusdt,HUOBI,2020-11-03 00:00:00,0.007032,0.007148,0.006301,0.006501,292815.450983935,0.0
ankrusdt,HUOBI,2020-11-04 00:00:00,0.0065,0.006961,0.006365,0.006533,170781.0887428,0.0
ankrusdt,HUOBI,2020-11-05 00:00:00,0.006531,0.008773,0.006519,0.008176,1225935.564640597,0.0
