symbol,exchange,datetime,open,high,low,close,volume,open_interest
api3usdt,HUOBI,2020-12-22 00:00:00,2.1842,3.2999,2.1842,2.5798,5606758.274468298,0.0
api3usdt,HUOBI,2020-12-23 00:00:00,2.5512,2.696,1.98,2.3349,2297338.0327406395,0.0
api3usdt,HUOBI,2020-12-24 00:00:00,2.3286,2.48,1.9,2.3245,1025435.145461359,0.0
api3usdt,HUOBI,2020-12-25 00:00:00,2.3262,2.45,2.0,2.0652,743398.1024986653,0.0
api3usdt,HUOBI,2020-12-26 00:00:00,2.0628,2.3,2.0111,2.1997,637131.2058622,0.0
api3usdt,HUOBI,2020-12-27 00:00:00,2.1923,2.3449,2.0631,2.2219,859646.8115933078,0.0
api3usdt,HUOBI,2020-12-28 00:00:00,2.2238,2.2717,2.0578,2.0924,614217.797397,0.0
api3usdt,HUOBI,2020-12-29 00:00:00,2.0871,2.23,1.8,1.8327,701566.9941276549,0.0
api3usdt,HUOBI,2020-12-30 00:00:00,1.8432,1.9992,1.717,1.8446,641790.90407435,0.0
api3usdt,HUOBI,2020-12-31 00:00:00,1.8451,1.8989,1.55,1.708,836019.4610742901,0.0
api3usdt,HUOBI,2021-01-01 00:00:00,1.7158,1.8999,1.5529,1.8427,801616.991360727,0.0
api3usdt,HUOBI,2021-01-02 00:00:00,1.8437,1.9099,1.6957,1.7846,620384.43351383,0.0
api3usdt,HUOBI,2021-01-03 00:00:00,1.7772,1.9598,1.7001,1.8493,551946.6203783082,0.0
api3usdt,HUOBI,2021-01-04 00:00:00,1.8487,2.2876,1.7584,2.2022,1256445.8482583992,0.0
api3usdt,HUOBI,2021-01-05 00:00:00,2.2003,2.5798,2.0534,2.4468,1456001.4564705298,0.0
api3usdt,HUOBI,2021-01-06 00:00:00,2.4289,2.8576,2.3065,2.5224,1126628.799537908,0.0
api3usdt,HUOBI,2021-01-07 00:00:00,2.5237,2.6276,2.2501,2.46,1016681.9654153052,0.0
api3usdt,HUOBI,2021-01-08 00:00:00,2.4587,2.6799,2.2079,2.392,584481.2572164222,0.0
api3usdt,HUOBI,2021-01-09 00:00:00,2.392,2.4052,2.052,2.1067,682879.304330022,0.0
api3usdt,HUOBI,2021-01-10 00:00:00,2.1085,2.55,2.06,2.2758,710043.8186560889,0.0
api3usdt,HUOBI,2021-01-11 00:00:00,2.2751,2.372,1.7718,1.8175,1380719.2457547653,0.0
api3usdt,HUOBI,2021-01-12 00:00:00,1.8249,2.1658,1.7244,1.9816,559457.5057425045,0.0
api3usdt,HUOBI,2021-01-13 00:00:00,1.9895,2.1366,1.8444,2.0684,672972.9553523002,0.0
api3usdt,HUOBI,2021-01-14 00:00:00,2.0677,2.4,2.0425,2.2468,763913.8241955014,0.0
api3usdt,HUOBI,2021-01-15 00:00:00,2.2453,2.4497,2.08,2.1498,931958.7176749953,0.0
api3usdt,HUOBI,2021-01-16 00:00:00,2.1498,2.765,2.0001,2.6607,1222700.7338321463,0.0
api3usdt,HUOBI,2021-01-17 00:00:00,2.6456,3.74,2.5321,3.5202,3760704.1843033344,0.0
api3usdt,HUOBI,2021-01-18 00:00:00,3.541,4.888,3.4701,4.1811,3972112.872581434,0.0
