symbol,exchange,datetime,open,high,low,close,volume,open_interest
apnusdt,HUOBI,2021-04-21 00:00:00,0.02,2.6,0.02,0.789977,151487708.95714438,0.0
apnusdt,HUOBI,2021-04-22 00:00:00,0.789967,0.789995,0.53,0.543005,21867721.178399965,0.0
apnusdt,HUOBI,2021-04-23 00:00:00,0.543002,0.547913,0.313,0.359147,12602110.433026167,0.0
apnusdt,HUOBI,2021-04-24 00:00:00,0.359146,0.63,0.357052,0.420989,43333693.2846868,0.0
apnusdt,HUOBI,2021-04-25 00:00:00,0.41301,0.48,0.325001,0.42221,17658618.556560304,0.0
apnusdt,HUOBI,2021-04-26 00:00:00,0.421399,0.421402,0.346,0.396929,19735467.0717343,0.0
apnusdt,HUOBI,2021-04-27 00:00:00,0.395627,0.396926,0.36,0.372205,13197565.312651033,0.0
apnusdt,HUOBI,2021-04-28 00:00:00,0.372138,0.396,0.32,0.347734,15115095.643739108,0.0
apnusdt,HUOBI,2021-04-29 00:00:00,0.345738,0.346263,0.320013,0.333002,5579829.186221289,0.0
apnusdt,HUOBI,2021-04-30 00:00:00,0.333167,0.369999,0.321,0.360001,8573816.515124748,0.0
apnusdt,HUOBI,2021-05-01 00:00:00,0.360789,0.360789,0.338,0.352121,5433676.962618343,0.0
apnusdt,HUOBI,2021-05-02 00:00:00,0.35215,0.3559,0.325,0.340009,3630938.1368112788,0.0
apnusdt,HUOBI,2021-05-03 00:00:00,0.340102,0.39859,0.3266,0.37,7047181.227169226,0.0
apnusdt,HUOBI,2021-05-04 00:00:00,0.369999,0.52,0.368985,0.51888,35490021.71640634,0.0
apnusdt,HUOBI,2021-05-05 00:00:00,0.519999,0.599,0.430228,0.518678,28832126.19204039,0.0
apnusdt,HUOBI,2021-05-06 00:00:00,0.515683,0.559,0.43299,0.436729,13644514.07102009,0.0
apnusdt,HUOBI,2021-05-07 00:00:00,0.435861,0.435874,0.354175,0.372285,10370425.771909688,0.0
apnusdt,HUOBI,2021-05-08 00:00:00,0.372281,0.413,0.356,0.365886,8865323.023893518,0.0
apnusdt,HUOBI,2021-05-09 00:00:00,0.363556,0.38,0.323,0.346017,5981720.78016737,0.0
apnusdt,HUOBI,2021-05-10 00:00:00,0.346039,0.372003,0.3201,0.336011,6238146.543157633,0.0
apnusdt,HUOBI,2021-05-11 00:00:00,0.336012,0.338,0.2701,0.294,5873705.419085073,0.0
apnusdt,HUOBI,2021-05-12 00:00:00,0.297783,0.31,0.2629,0.281883,5382057.103364011,0.0
apnusdt,HUOBI,2021-05-13 00:00:00,0.283838,0.283838,0.2,0.234311,4803433.644370921,0.0
apnusdt,HUOBI,2021-05-14 00:00:00,0.23431,0.308,0.22,0.263738,7182370.474176885,0.0
apnusdt,HUOBI,2021-05-15 00:00:00,0.263738,0.293,0.23289,0.253228,4986076.376462733,0.0
apnusdt,HUOBI,2021-05-16 00:00:00,0.253142,0.289799,0.243,0.260479,3414182.1179237585,0.0
