symbol,exchange,datetime,open,high,low,close,volume,open_interest
arusdt,HUOBI,2020-09-25 00:00:00,2.2138,5.0,2.2138,3.7132,3177305.1565414197,0.0
arusdt,HUOBI,2020-09-26 00:00:00,3.7499,3.83,3.2881,3.4724,1346600.8023717052,0.0
arusdt,HUOBI,2020-09-27 00:00:00,3.4376,3.6395,3.1,3.5726,823034.397077716,0.0
arusdt,HUOBI,2020-09-28 00:00:00,3.573,5.9,3.2134,4.7752,5067066.887021118,0.0
arusdt,HUOBI,2020-09-29 00:00:00,4.7751,5.28,4.3803,4.7453,3131712.155960656,0.0
arusdt,HUOBI,2020-09-30 00:00:00,4.7742,5.3,4.63,4.8782,2002630.4341581597,0.0
arusdt,HUOBI,2020-10-01 00:00:00,4.8677,5.1089,4.5872,4.6667,1186119.1318413678,0.0
arusdt,HUOBI,2020-10-02 00:00:00,4.6672,4.6875,3.6132,4.01,2256860.113476892,0.0
arusdt,HUOBI,2020-10-03 00:00:00,4.0034,4.6,3.9793,4.1499,1047407.543444981,0.0
arusdt,HUOBI,2020-10-04 00:00:00,4.1499,4.3,4.05,4.1966,399480.92001994187,0.0
arusdt,HUOBI,2020-10-05 00:00:00,4.1844,4.4482,4.0866,4.1986,810704.3403005284,0.0
arusdt,HUOBI,2020-10-06 00:00:00,4.2101,4.2145,3.805,3.8216,727895.9793390932,0.0
arusdt,HUOBI,2020-10-07 00:00:00,3.8276,4.0,3.4,3.725,1123134.5995469815,0.0
arusdt,HUOBI,2020-10-08 00:00:00,3.7257,4.0,3.5,3.8856,687016.8492925196,0.0
arusdt,HUOBI,2020-10-09 00:00:00,3.8857,4.2545,3.755,4.1993,765057.0699023022,0.0
arusdt,HUOBI,2020-10-10 00:00:00,4.1939,5.1855,4.09,4.9473,2217476.429839712,0.0
arusdt,HUOBI,2020-10-11 00:00:00,4.9675,5.6975,4.6799,4.8938,3781838.0959563972,0.0
arusdt,HUOBI,2020-10-12 00:00:00,4.8939,5.1,4.601,4.7429,1946653.9814302127,0.0
arusdt,HUOBI,2020-10-13 00:00:00,4.7488,5.0,4.642,4.7743,1229854.8847022732,0.0
arusdt,HUOBI,2020-10-14 00:00:00,4.8229,4.9301,4.12,4.3264,1977699.7994437579,0.0
arusdt,HUOBI,2020-10-15 00:00:00,4.3235,4.41,3.8,3.9091,1304671.6109745423,0.0
arusdt,HUOBI,2020-10-16 00:00:00,3.9349,4.23,3.0018,3.2911,2340949.26034654,0.0
