symbol,exchange,datetime,open,high,low,close,volume,open_interest
atomusdt,HUOBI,2019-04-23 00:00:00,2.58,8.0,2.58,4.533,15871297.41147256,0.0
atomusdt,HUOBI,2019-04-24 00:00:00,4.5712,4.9444,3.1443,3.2762,10648486.52430522,0.0
atomusdt,HUOBI,2019-04-25 00:00:00,3.2665,4.0816,3.0001,3.3633,8310339.426772809,0.0
atomusdt,HUOBI,2019-04-26 00:00:00,3.3668,3.78,3.15,3.6072,5534540.468439623,0.0
atomusdt,HUOBI,2019-04-27 00:00:00,3.6074,3.8636,3.3858,3.4519,4491143.62046765,0.0
atomusdt,HUOBI,2019-04-28 00:00:00,3.4489,4.9169,3.388,4.8352,14473120.606239894,0.0
atomusdt,HUOBI,2019-04-29 00:00:00,4.83,5.218,3.7188,3.9199,20192079.3628145,0.0
atomusdt,HUOBI,2019-04-30 00:00:00,3.9197,4.0805,3.6888,3.8751,4341718.279799982,0.0
atomusdt,HUOBI,2019-05-01 00:00:00,3.8751,4.6522,3.821,4.472,7744144.526576644,0.0
atomusdt,HUOBI,2019-05-02 00:00:00,4.4777,4.6658,4.1873,4.4657,5901373.17292795,0.0
atomusdt,HUOBI,2019-05-03 00:00:00,4.4655,5.191,4.4162,4.9562,11349913.441872632,0.0
atomusdt,HUOBI,2019-05-04 00:00:00,4.9561,5.664,4.72,4.9219,11397003.046892677,0.0
atomusdt,HUOBI,2019-05-05 00:00:00,4.9246,5.35,4.76,4.9427,7877878.498061862,0.0
atomusdt,HUOBI,2019-05-06 00:00:00,4.9439,4.96,4.512,4.7685,4780880.161526035,0.0
atomusdt,HUOBI,2019-05-07 00:00:00,4.77,5.074,4.62,4.6604,4536824.339339844,0.0
atomusdt,HUOBI,2019-05-08 00:00:00,4.6622,4.8264,4.28,4.3769,4311750.657520081,0.0
atomusdt,HUOBI,2019-05-09 00:00:00,4.3767,4.5218,3.97,4.0486,3844922.1137897153,0.0
atomusdt,HUOBI,2019-05-10 00:00:00,4.0482,4.2091,3.5002,3.7264,4479167.147976811,0.0
atomusdt,HUOBI,2019-05-11 00:00:00,3.7263,4.178,3.6894,4.1231,3574983.009263526,0.0
atomusdt,HUOBI,2019-05-12 00:00:00,4.1226,4.178,3.6923,3.7813,3853694.805237529,0.0
atomusdt,HUOBI,2019-05-13 00:00:00,3.7813,4.198,3.7253,3.9524,3707399.9904282666,0.0
atomusdt,HUOBI,2019-05-14 00:00:00,3.9624,4.1213,3.8351,3.8987,4750351.394752267,0.0
atomusdt,HUOBI,2019-05-15 00:00:00,3.8976,4.4275,3.8308,4.3,5974620.48647695,0.0
atomusdt,HUOBI,2019-05-16 00:00:00,4.2992,4.7899,4.0,4.303,7998161.817667112,0.0
atomusdt,HUOBI,2019-05-17 00:00:00,4.3085,4.8122,3.968,4.3539,11288892.634019732,0.0
atomusdt,HUOBI,2019-05-18 00:00:00,4.3502,4.95,4.296,4.9499,9563473.740179637,0.0
atomusdt,HUOBI,2019-05-19 00:00:00,4.9499,5.168,4.65,5.008,8675399.52278035,0.0
atomusdt,HUOBI,2019-05-20 00:00:00,5.0076,5.0882,4.45,4.7405,7018679.426121789,0.0
atomusdt,HUOBI,2019-05-21 00:00:00,4.7437,4.858,4.4888,4.6102,5128651.631325029,0.0
atomusdt,HUOBI,2019-05-22 00:00:00,4.6073,4.82,4.38,4.5147,5492683.77531477,0.0
atomusdt,HUOBI,2019-05-23 00:00:00,4.515,4.5805,4.1,4.2643,4389132.61130357,0.0
atomusdt,HUOBI,2019-05-24 00:00:00,4.2669,4.7652,4.1449,4.6085,6193485.569617488,0.0
atomusdt,HUOBI,2019-05-25 00:00:00,4.598,4.76,4.4236,4.427,3236375.6930849333,0.0
atomusdt,HUOBI,2019-05-26 00:00:00,4.4272,4.463,4.2344,4.3053,1714469.8516062265,0.0
atomusdt,HUOBI,2019-05-27 00:00:00,4.306,4.6804,4.2782,4.554,5049371.112886309,0.0
atomusdt,HUOBI,2019-05-28 00:00:00,4.549,4.6945,4.4833,4.6167,3924100.7049207347,0.0
atomusdt,HUOBI,2019-05-29 00:00:00,4.6164,4.9,4.4969,4.7254,4107147.687795239,0.0
atomusdt,HUOBI,2019-05-30 00:00:00,4.7271,6.6,4.6678,5.8915,24748852.938314047,0.0
atomusdt,HUOBI,2019-05-31 00:00:00,5.8939,6.0773,5.2168,5.6991,25607463.570343684,0.0
atomusdt,HUOBI,2019-06-01 00:00:00,5.6991,6.3332,5.6054,5.7464,15785743.183906931,0.0
atomusdt,HUOBI,2019-06-02 00:00:00,5.7468,5.99,5.5777,5.9293,7872488.974133474,0.0
atomusdt,HUOBI,2019-06-03 00:00:00,5.9366,6.9425,5.8175,6.8768,25249251.27817291,0.0
atomusdt,HUOBI,2019-06-04 00:00:00,6.8683,7.28,6.1541,6.3371,23433906.218250178,0.0
atomusdt,HUOBI,2019-06-05 00:00:00,6.3403,6.481,5.6126,5.6811,14046157.685928447,0.0
atomusdt,HUOBI,2019-06-06 00:00:00,5.6811,6.191,5.6259,5.8122,8467881.52283336,0.0
atomusdt,HUOBI,2019-06-07 00:00:00,5.8142,6.5568,5.73,6.4618,8979619.331479922,0.0
atomusdt,HUOBI,2019-06-08 00:00:00,6.4608,6.505,6.0,6.0915,5435183.30646125,0.0
atomusdt,HUOBI,2019-06-09 00:00:00,6.0915,6.1853,5.83,5.887,3952169.302895492,0.0
atomusdt,HUOBI,2019-06-10 00:00:00,5.8903,6.08,5.6948,5.9306,5626817.464596137,0.0
atomusdt,HUOBI,2019-06-11 00:00:00,5.9357,6.144,5.778,5.8156,3079754.7082360755,0.0
atomusdt,HUOBI,2019-06-12 00:00:00,5.815,6.26,5.7684,6.1561,4840095.415227588,0.0
atomusdt,HUOBI,2019-06-13 00:00:00,6.1561,6.5129,6.017,6.3115,5187111.230836668,0.0
atomusdt,HUOBI,2019-06-14 00:00:00,6.3046,6.4458,5.9631,5.9656,5178670.010176189,0.0
atomusdt,HUOBI,2019-06-15 00:00:00,5.9709,6.2753,5.8807,6.1198,3218920.0445144856,0.0
atomusdt,HUOBI,2019-06-16 00:00:00,6.1198,6.3845,6.105,6.328,4558717.577479445,0.0
atomusdt,HUOBI,2019-06-17 00:00:00,6.3262,6.9272,6.3025,6.6476,9290106.89533129,0.0
atomusdt,HUOBI,2019-06-18 00:00:00,6.6449,7.0912,6.5328,6.6056,7323842.992099449,0.0
atomusdt,HUOBI,2019-06-19 00:00:00,6.6056,6.808,6.4762,6.57,3610962.092822937,0.0
atomusdt,HUOBI,2019-06-20 00:00:00,6.57,6.655,6.2934,6.4077,4012697.7895254567,0.0
atomusdt,HUOBI,2019-06-21 00:00:00,6.4058,6.5882,6.3013,6.4097,4577998.372115002,0.0
atomusdt,HUOBI,2019-06-22 00:00:00,6.4232,6.9087,6.407,6.7156,5914675.78811475,0.0
atomusdt,HUOBI,2019-06-23 00:00:00,6.7239,7.1982,6.62,7.1041,6761347.463488603,0.0
atomusdt,HUOBI,2019-06-24 00:00:00,7.098,7.12,6.62,6.6499,4311582.569216673,0.0
atomusdt,HUOBI,2019-06-25 00:00:00,6.6495,6.7493,6.4975,6.5506,3986367.7051090035,0.0
atomusdt,HUOBI,2019-06-26 00:00:00,6.5588,6.857,6.49,6.7959,5134524.760171533,0.0
atomusdt,HUOBI,2019-06-27 00:00:00,6.804,6.8448,5.6,5.9889,10504700.821522469,0.0
atomusdt,HUOBI,2019-06-28 00:00:00,5.9887,6.0128,5.36,5.7797,4175450.09640237,0.0
atomusdt,HUOBI,2019-06-29 00:00:00,5.7797,6.0904,5.6434,6.009,2489211.221815899,0.0
atomusdt,HUOBI,2019-06-30 00:00:00,6.0216,6.171,5.5509,5.6285,4010434.221976393,0.0
atomusdt,HUOBI,2019-07-01 00:00:00,5.6293,5.7473,5.166,5.2639,2310528.119835773,0.0
atomusdt,HUOBI,2019-07-02 00:00:00,5.2704,5.6682,5.1244,5.359,2730460.4203922777,0.0
atomusdt,HUOBI,2019-07-03 00:00:00,5.359,5.5123,5.2799,5.3686,1784703.0859283293,0.0
atomusdt,HUOBI,2019-07-04 00:00:00,5.3696,5.7699,5.3505,5.6097,2508736.587750267,0.0
atomusdt,HUOBI,2019-07-05 00:00:00,5.6187,5.719,5.3322,5.3641,1524507.1782183326,0.0
atomusdt,HUOBI,2019-07-06 00:00:00,5.3666,5.4894,5.2361,5.4051,1234573.61829225,0.0
atomusdt,HUOBI,2019-07-07 00:00:00,5.4083,5.4245,5.2,5.2414,942714.1524871296,0.0
atomusdt,HUOBI,2019-07-08 00:00:00,5.2415,5.4306,5.2251,5.2688,1566911.4435288203,0.0
atomusdt,HUOBI,2019-07-09 00:00:00,5.2732,5.295,4.8731,4.98,3244011.890040044,0.0
atomusdt,HUOBI,2019-07-10 00:00:00,4.9772,5.0753,4.1902,4.317,3750860.5687314277,0.0
atomusdt,HUOBI,2019-07-11 00:00:00,4.3136,4.65,4.048,4.2705,5382461.899405901,0.0
atomusdt,HUOBI,2019-07-12 00:00:00,4.2704,4.6116,4.24,4.3922,2706195.935273364,0.0
atomusdt,HUOBI,2019-07-13 00:00:00,4.3945,4.5284,4.2,4.3655,1678126.1895869153,0.0
atomusdt,HUOBI,2019-07-14 00:00:00,4.3614,4.3719,3.8664,3.8845,1889684.7162181942,0.0
atomusdt,HUOBI,2019-07-15 00:00:00,3.8836,4.0,3.564,3.965,2597473.889266585,0.0
atomusdt,HUOBI,2019-07-16 00:00:00,3.9663,4.4663,3.9134,4.0176,3811030.7410022463,0.0
atomusdt,HUOBI,2019-07-17 00:00:00,4.0168,4.0284,3.5489,3.9106,3472804.498117965,0.0
atomusdt,HUOBI,2019-07-18 00:00:00,3.9065,4.0605,3.68,4.0113,2293474.6605772134,0.0
