symbol,exchange,datetime,open,high,low,close,volume,open_interest
atpusdt,HUOBI,2019-06-20 00:00:00,0.007,0.0294,0.007,0.023,12696861.523110952,0.0
atpusdt,HUOBI,2019-06-21 00:00:00,0.023,0.0252,0.01935,0.0202,3677775.2368532666,0.0
atpusdt,HUOBI,2019-06-22 00:00:00,0.02029,0.0222,0.01702,0.0182,2297145.8839738993,0.0
atpusdt,HUOBI,2019-06-23 00:00:00,0.0182,0.0209,0.01702,0.01877,1094885.7518513058,0.0
atpusdt,HUOBI,2019-06-24 00:00:00,0.01889,0.02,0.0174,0.0183,790157.8805263896,0.0
atpusdt,HUOBI,2019-06-25 00:00:00,0.0183,0.01891,0.0175,0.01817,739804.9941059,0.0
atpusdt,HUOBI,2019-06-26 00:00:00,0.01814,0.01845,0.01582,0.0165,1222517.3892338085,0.0
atpusdt,HUOBI,2019-06-27 00:00:00,0.01637,0.01713,0.01012,0.01319,740396.2598999138,0.0
atpusdt,HUOBI,2019-06-28 00:00:00,0.01319,0.02168,0.01319,0.01581,3432924.6261930196,0.0
atpusdt,HUOBI,2019-06-29 00:00:00,0.01582,0.0185,0.01402,0.01468,1420518.1746521727,0.0
atpusdt,HUOBI,2019-06-30 00:00:00,0.01466,0.0148,0.01299,0.01376,487932.2108496651,0.0
atpusdt,HUOBI,2019-07-01 00:00:00,0.01374,0.01713,0.01374,0.01559,1715765.2407957243,0.0
atpusdt,HUOBI,2019-07-02 00:00:00,0.01557,0.01557,0.014,0.01465,504876.77993423,0.0
atpusdt,HUOBI,2019-07-03 00:00:00,0.01465,0.01542,0.01401,0.01442,397243.982201152,0.0
atpusdt,HUOBI,2019-07-04 00:00:00,0.01446,0.0152,0.01405,0.01459,401984.74586566136,0.0
atpusdt,HUOBI,2019-07-05 00:00:00,0.0146,0.0146,0.01339,0.01381,316198.40308086,0.0
atpusdt,HUOBI,2019-07-06 00:00:00,0.01379,0.01417,0.01289,0.01377,384465.8261905,0.0
atpusdt,HUOBI,2019-07-07 00:00:00,0.01374,0.0151,0.0131,0.0151,433161.71112383,0.0
atpusdt,HUOBI,2019-07-08 00:00:00,0.01509,0.017,0.01361,0.01521,1393191.2637542305,0.0
atpusdt,HUOBI,2019-07-09 00:00:00,0.01526,0.0239,0.01526,0.02031,12662813.950080957,0.0
atpusdt,HUOBI,2019-07-10 00:00:00,0.02032,0.03088,0.0138,0.01593,17508597.47843814,0.0
atpusdt,HUOBI,2019-07-11 00:00:00,0.01591,0.0197,0.01428,0.0176,3365832.228192511,0.0
atpusdt,HUOBI,2019-07-12 00:00:00,0.0176,0.0176,0.01443,0.01618,1482761.3545725122,0.0
atpusdt,HUOBI,2019-07-13 00:00:00,0.01624,0.0167,0.01455,0.01532,580952.1798825383,0.0
atpusdt,HUOBI,2019-07-14 00:00:00,0.01533,0.01552,0.013,0.01332,623991.7911940836,0.0
atpusdt,HUOBI,2019-07-15 00:00:00,0.01334,0.0139,0.01141,0.01277,608447.9073421486,0.0
atpusdt,HUOBI,2019-07-16 00:00:00,0.01277,0.01534,0.01205,0.01307,1227207.7969246542,0.0
atpusdt,HUOBI,2019-07-17 00:00:00,0.01312,0.01314,0.01051,0.01151,510751.34088306,0.0
atpusdt,HUOBI,2019-07-18 00:00:00,0.01157,0.0125,0.01118,0.01211,414703.59510735,0.0
atpusdt,HUOBI,2019-07-19 00:00:00,0.01207,0.0128,0.01154,0.01199,358441.2847173194,0.0
atpusdt,HUOBI,2019-07-20 00:00:00,0.01206,0.0124,0.0117,0.01237,230984.91430351,0.0
atpusdt,HUOBI,2019-07-21 00:00:00,0.01229,0.01247,0.01151,0.01174,229489.5225571,0.0
atpusdt,HUOBI,2019-07-22 00:00:00,0.01179,0.01194,0.01131,0.01162,205495.41596285,0.0
atpusdt,HUOBI,2019-07-23 00:00:00,0.01158,0.0117,0.01097,0.01115,201226.0018152,0.0
atpusdt,HUOBI,2019-07-24 00:00:00,0.01118,0.01188,0.01094,0.01165,191041.55546796808,0.0
atpusdt,HUOBI,2019-07-25 00:00:00,0.01168,0.0132,0.01132,0.01277,510053.9261391,0.0
atpusdt,HUOBI,2019-07-26 00:00:00,0.01275,0.01348,0.01229,0.01288,486747.86222853867,0.0
atpusdt,HUOBI,2019-07-27 00:00:00,0.0129,0.01331,0.01219,0.01237,329378.86122383,0.0
atpusdt,HUOBI,2019-07-28 00:00:00,0.01236,0.01255,0.01212,0.01228,211114.9300675,0.0
atpusdt,HUOBI,2019-07-29 00:00:00,0.01227,0.01249,0.01147,0.0118,265188.47525839,0.0
atpusdt,HUOBI,2019-07-30 00:00:00,0.0118,0.01246,0.0117,0.01232,243827.20855287,0.0
atpusdt,HUOBI,2019-07-31 00:00:00,0.01225,0.01239,0.01187,0.01202,225900.09926859,0.0
atpusdt,HUOBI,2019-08-01 00:00:00,0.01206,0.01217,0.01173,0.01188,187511.53826567,0.0
atpusdt,HUOBI,2019-08-02 00:00:00,0.01189,0.013,0.01175,0.01255,238351.23721990734,0.0
atpusdt,HUOBI,2019-08-03 00:00:00,0.01257,0.01279,0.01206,0.01221,209887.68864600812,0.0
atpusdt,HUOBI,2019-08-04 00:00:00,0.01226,0.0127,0.01219,0.01251,187194.58291385,0.0
atpusdt,HUOBI,2019-08-05 00:00:00,0.01252,0.01315,0.0121,0.01247,226682.69335055,0.0
atpusdt,HUOBI,2019-08-06 00:00:00,0.01247,0.01262,0.01205,0.01214,183173.2159571,0.0
atpusdt,HUOBI,2019-08-07 00:00:00,0.01214,0.01223,0.0116,0.01173,151733.4579952,0.0
atpusdt,HUOBI,2019-08-08 00:00:00,0.01174,0.01231,0.01145,0.01201,352346.70271846,0.0
atpusdt,HUOBI,2019-08-09 00:00:00,0.01202,0.01252,0.01193,0.012,231558.0904962,0.0
atpusdt,HUOBI,2019-08-10 00:00:00,0.01201,0.01202,0.01158,0.01177,136242.7501243,0.0
atpusdt,HUOBI,2019-08-11 00:00:00,0.01177,0.01245,0.01171,0.01214,143650.75689205693,0.0
atpusdt,HUOBI,2019-08-12 00:00:00,0.01214,0.01478,0.01211,0.01414,936571.5562873825,0.0
atpusdt,HUOBI,2019-08-13 00:00:00,0.01422,0.01511,0.01372,0.01472,1334381.9951194155,0.0
atpusdt,HUOBI,2019-08-14 00:00:00,0.01472,0.01497,0.01323,0.01412,699576.5040787962,0.0
atpusdt,HUOBI,2019-08-15 00:00:00,0.01412,0.01504,0.01335,0.0147,574258.5029689365,0.0
atpusdt,HUOBI,2019-08-16 00:00:00,0.01469,0.0151,0.014,0.0145,452305.925611543,0.0
atpusdt,HUOBI,2019-08-17 00:00:00,0.01448,0.01492,0.0142,0.01434,216248.14277778717,0.0
atpusdt,HUOBI,2019-08-18 00:00:00,0.01435,0.01988,0.01383,0.0196,2413036.1193550127,0.0
atpusdt,HUOBI,2019-08-19 00:00:00,0.0196,0.01968,0.0173,0.01803,1194213.58701897,0.0
atpusdt,HUOBI,2019-08-20 00:00:00,0.01803,0.0201,0.01751,0.01776,1467730.3868449552,0.0
atpusdt,HUOBI,2019-08-21 00:00:00,0.01781,0.0224,0.01766,0.02136,1989539.5530543379,0.0
atpusdt,HUOBI,2019-08-22 00:00:00,0.02138,0.02849,0.02001,0.02819,3633088.7271159813,0.0
atpusdt,HUOBI,2019-08-23 00:00:00,0.02816,0.03454,0.026,0.03102,3791814.7521455293,0.0
atpusdt,HUOBI,2019-08-24 00:00:00,0.03086,0.03451,0.028,0.03074,1775130.4088349175,0.0
atpusdt,HUOBI,2019-08-25 00:00:00,0.03094,0.03353,0.02895,0.02992,1583601.2075481599,0.0
atpusdt,HUOBI,2019-08-26 00:00:00,0.02983,0.03121,0.02886,0.03002,879770.6782519046,0.0
atpusdt,HUOBI,2019-08-27 00:00:00,0.03005,0.0301,0.0215,0.02521,2672728.0245456947,0.0
atpusdt,HUOBI,2019-08-28 00:00:00,0.0252,0.03009,0.02463,0.02815,1601048.0820536094,0.0
atpusdt,HUOBI,2019-08-29 00:00:00,0.0279,0.03204,0.02594,0.02884,1433886.0310732985,0.0
atpusdt,HUOBI,2019-08-30 00:00:00,0.02897,0.03221,0.0278,0.02916,1410250.3727379967,0.0
atpusdt,HUOBI,2019-08-31 00:00:00,0.02922,0.03417,0.02821,0.0331,2785212.232685859,0.0
atpusdt,HUOBI,2019-09-01 00:00:00,0.0331,0.03597,0.0312,0.03137,2040286.1850216808,0.0
atpusdt,HUOBI,2019-09-02 00:00:00,0.03137,0.036,0.0312,0.03169,1726052.1969165595,0.0
atpusdt,HUOBI,2019-09-03 00:00:00,0.03175,0.03438,0.0293,0.0309,2201644.3911232636,0.0
atpusdt,HUOBI,2019-09-04 00:00:00,0.0309,0.03185,0.02912,0.0304,785062.4216220434,0.0
atpusdt,HUOBI,2019-09-05 00:00:00,0.03041,0.03455,0.0245,0.03121,2933075.539849063,0.0
atpusdt,HUOBI,2019-09-06 00:00:00,0.03117,0.03268,0.02752,0.02783,2409830.529632311,0.0
atpusdt,HUOBI,2019-09-07 00:00:00,0.02787,0.0301,0.0255,0.02626,1142016.3499554356,0.0
atpusdt,HUOBI,2019-09-08 00:00:00,0.02625,0.02799,0.02455,0.02513,808379.0552388147,0.0
atpusdt,HUOBI,2019-09-09 00:00:00,0.02519,0.02519,0.0166,0.01766,2676433.971058578,0.0
atpusdt,HUOBI,2019-09-10 00:00:00,0.01766,0.01835,0.01258,0.01331,2182116.6381005445,0.0
atpusdt,HUOBI,2019-09-11 00:00:00,0.01332,0.01369,0.01101,0.01162,1457117.0804995014,0.0
atpusdt,HUOBI,2019-09-12 00:00:00,0.01163,0.01315,0.01132,0.01157,923016.5934536204,0.0
atpusdt,HUOBI,2019-09-13 00:00:00,0.01156,0.01217,0.01151,0.01164,320071.1691403805,0.0
atpusdt,HUOBI,2019-09-14 00:00:00,0.01169,0.0135,0.01122,0.01304,1213775.232880596,0.0
atpusdt,HUOBI,2019-09-15 00:00:00,0.01301,0.0131,0.01224,0.01242,434008.83981681,0.0
atpusdt,HUOBI,2019-09-16 00:00:00,0.01242,0.01318,0.01173,0.01202,666835.4790757537,0.0
atpusdt,HUOBI,2019-09-17 00:00:00,0.01202,0.01296,0.01189,0.01216,708707.9365120678,0.0
atpusdt,HUOBI,2019-09-18 00:00:00,0.01214,0.01258,0.01193,0.01214,363557.9014274,0.0
atpusdt,HUOBI,2019-09-19 00:00:00,0.01216,0.0122,0.01153,0.01177,181130.5516375,0.0
atpusdt,HUOBI,2019-09-20 00:00:00,0.01176,0.0119,0.01115,0.01172,204929.19665617024,0.0
atpusdt,HUOBI,2019-09-21 00:00:00,0.01173,0.01176,0.01134,0.01141,61684.5692562,0.0
atpusdt,HUOBI,2019-09-22 00:00:00,0.01141,0.01207,0.01126,0.01178,110713.86820324337,0.0
atpusdt,HUOBI,2019-09-23 00:00:00,0.01178,0.01187,0.01128,0.01154,143788.9119819,0.0
atpusdt,HUOBI,2019-09-24 00:00:00,0.0115,0.0115,0.01001,0.01039,202657.3069952,0.0
atpusdt,HUOBI,2019-09-25 00:00:00,0.01038,0.01042,0.00611,0.00757,260485.90292414385,0.0
atpusdt,HUOBI,2019-09-26 00:00:00,0.00757,0.0088,0.00709,0.00725,165390.74583781968,0.0
atpusdt,HUOBI,2019-09-27 00:00:00,0.00725,0.00815,0.007,0.00751,89729.99073858,0.0
atpusdt,HUOBI,2019-09-28 00:00:00,0.00751,0.00853,0.00744,0.00769,148460.94557258,0.0
atpusdt,HUOBI,2019-09-29 00:00:00,0.00771,0.00815,0.00694,0.00736,120262.17010798,0.0
atpusdt,HUOBI,2019-09-30 00:00:00,0.00741,0.00786,0.00718,0.00774,87885.55385485379,0.0
atpusdt,HUOBI,2019-10-01 00:00:00,0.00774,0.0082,0.00762,0.00778,103097.67499174,0.0
atpusdt,HUOBI,2019-10-02 00:00:00,0.00777,0.00799,0.00748,0.00753,58725.45986674,0.0
atpusdt,HUOBI,2019-10-03 00:00:00,0.00753,0.00781,0.00751,0.0077,47137.632748,0.0
atpusdt,HUOBI,2019-10-04 00:00:00,0.00771,0.00795,0.00741,0.00768,50630.94554779,0.0
atpusdt,HUOBI,2019-10-05 00:00:00,0.00767,0.00789,0.00743,0.0076,39414.4636674,0.0
atpusdt,HUOBI,2019-10-06 00:00:00,0.00763,0.00769,0.00712,0.00738,36819.3730131,0.0
atpusdt,HUOBI,2019-10-07 00:00:00,0.00738,0.0083,0.00738,0.00778,419671.23486594704,0.0
atpusdt,HUOBI,2019-10-08 00:00:00,0.00777,0.00785,0.00754,0.00765,84484.0413113,0.0
atpusdt,HUOBI,2019-10-09 00:00:00,0.00767,0.00779,0.00748,0.00777,55775.8820957,0.0
atpusdt,HUOBI,2019-10-10 00:00:00,0.00779,0.00781,0.0075,0.0076,57302.5268301,0.0
atpusdt,HUOBI,2019-10-11 00:00:00,0.00758,0.00769,0.00728,0.00748,50356.9394329,0.0
atpusdt,HUOBI,2019-10-12 00:00:00,0.00745,0.00757,0.00707,0.00734,46072.3633278,0.0
