symbol,exchange,datetime,open,high,low,close,volume,open_interest
avaxusdt,HUOBI,2020-09-22 00:00:00,0.85,7.1193,0.85,4.6761,21030254.10066109,0.0
avaxusdt,HUOBI,2020-09-23 00:00:00,4.6641,5.531,3.92,4.1116,11114352.968386177,0.0
avaxusdt,HUOBI,2020-09-24 00:00:00,4.1207,4.4589,3.4105,4.1383,5281953.700921046,0.0
avaxusdt,HUOBI,2020-09-25 00:00:00,4.1393,4.8888,4.0111,4.7,3545089.072879664,0.0
avaxusdt,HUOBI,2020-09-26 00:00:00,4.7151,5.0327,4.3584,4.4492,1847484.331932226,0.0
avaxusdt,HUOBI,2020-09-27 00:00:00,4.4461,4.75,4.1065,4.42,1206811.19303282,0.0
avaxusdt,HUOBI,2020-09-28 00:00:00,4.4203,4.7197,4.2,4.4203,1542915.2580520667,0.0
avaxusdt,HUOBI,2020-09-29 00:00:00,4.425,4.4305,4.0507,4.0678,1089767.3891539,0.0
avaxusdt,HUOBI,2020-09-30 00:00:00,4.0605,4.32,3.96,4.2653,928438.87399128,0.0
avaxusdt,HUOBI,2020-10-01 00:00:00,4.2837,4.524,4.0765,4.2123,1074481.2691677378,0.0
avaxusdt,HUOBI,2020-10-02 00:00:00,4.2,4.2197,3.6361,3.8722,1128649.9974438,0.0
avaxusdt,HUOBI,2020-10-03 00:00:00,3.8765,4.0985,3.71,4.0195,890183.29089771,0.0
avaxusdt,HUOBI,2020-10-04 00:00:00,4.0247,4.1829,3.8418,3.9133,662032.1383718544,0.0
avaxusdt,HUOBI,2020-10-05 00:00:00,3.9203,4.0698,3.8638,3.9846,422185.38254639,0.0
avaxusdt,HUOBI,2020-10-06 00:00:00,3.9969,4.0398,3.5151,3.7623,612978.7068025968,0.0
avaxusdt,HUOBI,2020-10-07 00:00:00,3.758,3.758,3.2334,3.3162,523909.55324346,0.0
avaxusdt,HUOBI,2020-10-08 00:00:00,3.3088,3.8545,3.2511,3.8406,535915.2972387725,0.0
avaxusdt,HUOBI,2020-10-09 00:00:00,3.845,4.2454,3.7747,4.2114,454472.6589191948,0.0
avaxusdt,HUOBI,2020-10-10 00:00:00,4.2224,4.3106,4.0046,4.2141,621634.66976248,0.0
avaxusdt,HUOBI,2020-10-11 00:00:00,4.2073,4.2446,3.9308,4.036,403990.12891646,0.0
avaxusdt,HUOBI,2020-10-12 00:00:00,4.034,4.4872,4.0023,4.4244,634657.14576644,0.0
avaxusdt,HUOBI,2020-10-13 00:00:00,4.4251,4.7062,4.3339,4.4742,660810.687516941,0.0
avaxusdt,HUOBI,2020-10-14 00:00:00,4.4733,4.532,4.1123,4.1492,455798.14708087,0.0
avaxusdt,HUOBI,2020-10-15 00:00:00,4.1466,4.1818,4.0026,4.1697,321334.6078392,0.0
avaxusdt,HUOBI,2020-10-16 00:00:00,4.1685,4.2345,3.8613,4.0903,468857.85410054,0.0
avaxusdt,HUOBI,2020-10-17 00:00:00,4.0903,4.1885,3.9693,4.1231,366506.34845163,0.0
avaxusdt,HUOBI,2020-10-18 00:00:00,4.1223,4.2555,4.0209,4.1582,262089.93981586,0.0
avaxusdt,HUOBI,2020-10-19 00:00:00,4.1562,4.1807,3.9945,4.1106,247564.30119998354,0.0
avaxusdt,HUOBI,2020-10-20 00:00:00,4.1164,4.1223,3.8699,3.8996,217563.34291403,0.0
avaxusdt,HUOBI,2020-10-21 00:00:00,3.8994,4.0097,3.6949,3.9747,339861.80777199,0.0
avaxusdt,HUOBI,2020-10-22 00:00:00,3.9757,4.4991,3.9389,4.3826,588837.2001929426,0.0
avaxusdt,HUOBI,2020-10-23 00:00:00,4.3893,4.4923,4.2174,4.2392,454919.52557672,0.0
avaxusdt,HUOBI,2020-10-24 00:00:00,4.2378,4.3636,4.1301,4.3018,302993.94586827,0.0
avaxusdt,HUOBI,2020-10-25 00:00:00,4.3091,4.3271,4.1,4.1792,292153.34397365,0.0
avaxusdt,HUOBI,2020-10-26 00:00:00,4.1724,4.4827,4.1036,4.1974,585344.9664542417,0.0
avaxusdt,HUOBI,2020-10-27 00:00:00,4.1872,4.2898,4.032,4.2381,496234.41549554,0.0
avaxusdt,HUOBI,2020-10-28 00:00:00,4.2472,4.3521,3.9675,4.0352,449526.94499245,0.0
avaxusdt,HUOBI,2020-10-29 00:00:00,4.0336,4.1046,3.7664,3.8976,355810.56754014,0.0
avaxusdt,HUOBI,2020-10-30 00:00:00,3.8945,3.9021,3.5782,3.6882,692355.4992863487,0.0
avaxusdt,HUOBI,2020-10-31 00:00:00,3.6878,3.8196,3.5867,3.7186,500564.53302107,0.0
avaxusdt,HUOBI,2020-11-01 00:00:00,3.7211,3.7616,3.5497,3.6434,343253.68265746,0.0
avaxusdt,HUOBI,2020-11-02 00:00:00,3.6412,3.8773,3.6166,3.6351,353780.99694263,0.0
avaxusdt,HUOBI,2020-11-03 00:00:00,3.6336,3.6628,3.337,3.3814,415960.74731106,0.0
avaxusdt,HUOBI,2020-11-04 00:00:00,3.3778,3.3782,3.0,3.0256,369796.55281221,0.0
avaxusdt,HUOBI,2020-11-05 00:00:00,3.0242,3.3871,3.0031,3.266,300385.44944617,0.0
avaxusdt,HUOBI,2020-11-06 00:00:00,3.2643,3.6659,3.2468,3.4936,534886.98875748,0.0
avaxusdt,HUOBI,2020-11-07 00:00:00,3.5008,3.9105,3.4772,3.6734,809601.41376318,0.0
avaxusdt,HUOBI,2020-11-08 00:00:00,3.6809,3.6946,3.3572,3.61,595860.78059391,0.0
