symbol,exchange,datetime,open,high,low,close,volume,open_interest
badgerusdt,HUOBI,2021-01-20 00:00:00,11.1984,18.9,11.1984,16.0,12435558.529297948,0.0
badgerusdt,HUOBI,2021-01-21 00:00:00,16.0013,16.888,12.47,13.2184,7953912.142636359,0.0
badgerusdt,HUOBI,2021-01-22 00:00:00,13.2833,13.3202,10.2001,12.0,5527740.15661541,0.0
badgerusdt,HUOBI,2021-01-23 00:00:00,12.1123,13.5,10.8616,11.5499,4252672.902235599,0.0
badgerusdt,HUOBI,2021-01-24 00:00:00,11.5498,12.7,11.0,12.4,3845749.9265990853,0.0
badgerusdt,HUOBI,2021-01-25 00:00:00,12.4,21.89,11.35,20.2006,13904188.171386441,0.0
badgerusdt,HUOBI,2021-01-26 00:00:00,20.201,23.6678,15.5003,17.8958,10495634.043807274,0.0
badgerusdt,HUOBI,2021-01-27 00:00:00,17.8951,26.7999,17.6212,21.8812,13680606.0035388,0.0
badgerusdt,HUOBI,2021-01-28 00:00:00,21.8877,26.7782,20.5832,25.6151,8833493.914007494,0.0
badgerusdt,HUOBI,2021-01-29 00:00:00,25.6166,30.0207,24.4407,27.8865,9474974.40721406,0.0
badgerusdt,HUOBI,2021-01-30 00:00:00,27.8866,31.0,25.2,27.0081,5276971.111855847,0.0
badgerusdt,HUOBI,2021-01-31 00:00:00,27.0107,35.66,24.5,33.6403,9508099.392043432,0.0
badgerusdt,HUOBI,2021-02-01 00:00:00,33.999,44.44,32.7233,41.3798,11639244.917582585,0.0
badgerusdt,HUOBI,2021-02-02 00:00:00,41.3928,45.0,36.133,44.7,10243140.076282118,0.0
badgerusdt,HUOBI,2021-02-03 00:00:00,44.7026,46.8,40.23,43.5662,5444728.751710073,0.0
badgerusdt,HUOBI,2021-02-04 00:00:00,43.563,58.3929,40.5,53.7447,15524981.226800136,0.0
badgerusdt,HUOBI,2021-02-05 00:00:00,53.787,82.0,53.0444,71.4285,41887305.171017505,0.0
badgerusdt,HUOBI,2021-02-06 00:00:00,71.4285,80.0,56.6666,65.5998,31547394.381978195,0.0
badgerusdt,HUOBI,2021-02-07 00:00:00,65.6,74.0,59.7,60.1,22888769.850080956,0.0
badgerusdt,HUOBI,2021-02-08 00:00:00,60.1193,73.6002,54.5001,70.7139,23889794.60197293,0.0
badgerusdt,HUOBI,2021-02-09 00:00:00,70.602,90.0,70.602,81.8957,29078293.952099998,0.0
badgerusdt,HUOBI,2021-02-10 00:00:00,82.1822,87.5,74.7,76.8306,24970120.683818758,0.0
badgerusdt,HUOBI,2021-02-11 00:00:00,76.8306,86.58,74.5,82.209,13949696.441436164,0.0
badgerusdt,HUOBI,2021-02-12 00:00:00,82.2091,84.6416,73.8,74.7989,14825169.471009213,0.0
badgerusdt,HUOBI,2021-02-13 00:00:00,74.7983,75.4998,61.123,69.6878,20949106.686486762,0.0
