symbol,exchange,datetime,open,high,low,close,volume,open_interest
bagsusdt,HUOBI,2021-01-13 00:00:00,20.0,199.0,20.0,136.5989,7832594.4860668825,0.0
bagsusdt,HUOBI,2021-01-14 00:00:00,135.0046,136.5987,72.1,89.5,5716659.252341616,0.0
bagsusdt,HUOBI,2021-01-15 00:00:00,90.2978,437.0,82.1009,338.0002,43783505.616485566,0.0
bagsusdt,HUOBI,2021-01-16 00:00:00,338.0,855.9999,330.0,706.0001,74293204.37168823,0.0
bagsusdt,HUOBI,2021-01-17 00:00:00,719.9995,723.6723,358.0,396.9174,39737577.71191024,0.0
bagsusdt,HUOBI,2021-01-18 00:00:00,393.001,680.0,393.0002,516.8,47921510.2431267,0.0
bagsusdt,HUOBI,2021-01-19 00:00:00,520.0001,598.3674,433.0,505.0,23907217.725837637,0.0
bagsusdt,HUOBI,2021-01-20 00:00:00,505.0,507.9997,400.98,448.9892,12527522.274708353,0.0
bagsusdt,HUOBI,2021-01-21 00:00:00,441.8746,469.0,362.2222,387.0011,9112042.18611649,0.0
bagsusdt,HUOBI,2021-01-22 00:00:00,386.6004,668.0001,271.0,596.0,48120455.58369135,0.0
bagsusdt,HUOBI,2021-01-23 00:00:00,596.0,1022.2222,581.0,614.6533,156163744.93313897,0.0
bagsusdt,HUOBI,2021-01-24 00:00:00,614.6533,707.0,473.0697,514.4289,72430553.59504956,0.0
bagsusdt,HUOBI,2021-01-25 00:00:00,514.4289,545.0,404.0,453.9879,33308959.247555267,0.0
bagsusdt,HUOBI,2021-01-26 00:00:00,451.22,451.2265,358.0,397.8217,35080888.04239352,0.0
bagsusdt,HUOBI,2021-01-27 00:00:00,398.411,420.8901,333.0,355.7337,27506591.11641102,0.0
bagsusdt,HUOBI,2021-01-28 00:00:00,355.7339,449.0,300.55,363.0,37218712.28671211,0.0
bagsusdt,HUOBI,2021-01-29 00:00:00,364.9993,405.0,325.1243,338.9999,29307429.821614698,0.0
bagsusdt,HUOBI,2021-01-30 00:00:00,339.0,383.9991,325.123,332.2798,25987735.9052701,0.0
bagsusdt,HUOBI,2021-01-31 00:00:00,332.2894,332.464,301.0045,310.8939,24517189.05147523,0.0
bagsusdt,HUOBI,2021-02-01 00:00:00,310.8689,333.0022,285.0,290.7752,19161967.390956976,0.0
