symbol,exchange,datetime,open,high,low,close,volume,open_interest
balusdt,HUOBI,2020-08-09 00:00:00,13.6206,24.6,13.6206,23.5001,16754093.701834915,0.0
balusdt,HUOBI,2020-08-10 00:00:00,23.5003,29.1088,22.7,23.3353,23621926.922669448,0.0
balusdt,HUOBI,2020-08-11 00:00:00,23.3478,25.9999,18.7202,19.1991,8131826.8488655,0.0
balusdt,HUOBI,2020-08-12 00:00:00,19.1982,24.5677,18.602,23.4649,7252559.748877748,0.0
balusdt,HUOBI,2020-08-13 00:00:00,23.5935,23.5988,19.8802,21.0791,4573410.08787262,0.0
balusdt,HUOBI,2020-08-14 00:00:00,21.0764,21.7999,20.2002,20.6662,2057133.1337638882,0.0
balusdt,HUOBI,2020-08-15 00:00:00,20.75,21.8997,19.3401,20.1716,2120399.6205861233,0.0
balusdt,HUOBI,2020-08-16 00:00:00,20.1272,20.7759,17.7003,18.8019,2116980.8204367445,0.0
balusdt,HUOBI,2020-08-17 00:00:00,18.9236,19.9999,18.685,19.2731,1736359.1202614885,0.0
balusdt,HUOBI,2020-08-18 00:00:00,19.3001,21.5,19.1001,19.4161,2438473.4040134638,0.0
balusdt,HUOBI,2020-08-19 00:00:00,19.4143,21.4668,18.3509,18.4743,1437743.3978323413,0.0
balusdt,HUOBI,2020-08-20 00:00:00,18.3932,19.2375,17.2091,19.2375,969252.9993833416,0.0
balusdt,HUOBI,2020-08-21 00:00:00,19.1532,23.0065,18.9922,20.9936,4515210.51636922,0.0
balusdt,HUOBI,2020-08-22 00:00:00,20.9784,24.2,19.174,23.062,3466977.2806923417,0.0
balusdt,HUOBI,2020-08-23 00:00:00,23.0796,26.3,22.4557,24.37,2875269.16690147,0.0
balusdt,HUOBI,2020-08-24 00:00:00,24.3464,27.2,23.1579,24.7966,1997409.2525272134,0.0
balusdt,HUOBI,2020-08-25 00:00:00,24.8226,25.4554,23.17,23.4997,1212880.2127200388,0.0
balusdt,HUOBI,2020-08-26 00:00:00,23.5172,25.8508,22.0578,25.8507,1109401.9468159336,0.0
balusdt,HUOBI,2020-08-27 00:00:00,25.856,27.13,24.4629,25.3395,2289040.374697985,0.0
balusdt,HUOBI,2020-08-28 00:00:00,25.2951,28.5609,24.2138,28.068,1901601.9904931108,0.0
balusdt,HUOBI,2020-08-29 00:00:00,28.0323,29.98,27.2893,27.8755,2413617.4579899213,0.0
balusdt,HUOBI,2020-08-30 00:00:00,27.9374,37.5054,27.7778,34.897,8586240.774721865,0.0
balusdt,HUOBI,2020-08-31 00:00:00,34.8966,37.1722,32.3887,34.6699,3498853.9767981116,0.0
balusdt,HUOBI,2020-09-01 00:00:00,34.6113,37.5947,30.6,33.3178,4843954.865607402,0.0
balusdt,HUOBI,2020-09-02 00:00:00,33.3073,36.58,30.8,32.3392,3876847.984395238,0.0
balusdt,HUOBI,2020-09-03 00:00:00,32.3273,32.9733,24.727,25.8118,2604644.27609522,0.0
balusdt,HUOBI,2020-09-04 00:00:00,25.747,26.9808,20.7913,22.0986,1941967.8046434321,0.0
balusdt,HUOBI,2020-09-05 00:00:00,22.1095,23.3988,18.7,19.8643,1115487.30188815,0.0
balusdt,HUOBI,2020-09-06 00:00:00,19.8403,20.9923,16.8229,19.5214,1112802.6285528995,0.0
balusdt,HUOBI,2020-09-07 00:00:00,19.5354,21.6646,19.2465,21.0354,1073672.44496421,0.0
