symbol,exchange,datetime,open,high,low,close,volume,open_interest
bandusdt,HUOBI,2020-08-10 00:00:00,11.2583,19.5,11.2583,16.9304,31240599.391793393,0.0
bandusdt,HUOBI,2020-08-11 00:00:00,16.9306,16.9998,12.2102,13.6176,24583381.541898124,0.0
bandusdt,HUOBI,2020-08-12 00:00:00,13.5716,15.5852,11.4,14.6443,25190917.783006217,0.0
bandusdt,HUOBI,2020-08-13 00:00:00,14.6443,15.3755,12.9562,13.4072,13524609.068126328,0.0
bandusdt,HUOBI,2020-08-14 00:00:00,13.4355,15.5,13.2331,13.8319,12400802.714923976,0.0
bandusdt,HUOBI,2020-08-15 00:00:00,13.8099,15.4444,13.31,14.3784,8841885.268617319,0.0
bandusdt,HUOBI,2020-08-16 00:00:00,14.4245,15.452,14.2632,14.686,6406940.568795305,0.0
bandusdt,HUOBI,2020-08-17 00:00:00,14.6853,15.427,13.65,13.9549,5832419.337902912,0.0
bandusdt,HUOBI,2020-08-18 00:00:00,13.9401,14.4587,12.1509,12.9287,7368713.153673215,0.0
bandusdt,HUOBI,2020-08-19 00:00:00,12.9024,13.4415,11.5399,12.6965,7989229.8675253745,0.0
bandusdt,HUOBI,2020-08-20 00:00:00,12.6716,13.0593,11.642,12.8997,5601449.729026778,0.0
bandusdt,HUOBI,2020-08-21 00:00:00,12.8978,12.9744,10.7862,10.9742,8490062.03110299,0.0
bandusdt,HUOBI,2020-08-22 00:00:00,10.9442,12.4998,9.6567,12.4207,9035338.92188888,0.0
bandusdt,HUOBI,2020-08-23 00:00:00,12.4217,13.358,11.478,11.7832,8436001.195648972,0.0
bandusdt,HUOBI,2020-08-24 00:00:00,11.7942,12.299,11.251,11.7588,3512322.690338095,0.0
bandusdt,HUOBI,2020-08-25 00:00:00,11.7588,11.9452,10.5966,10.8291,2857728.0301841744,0.0
bandusdt,HUOBI,2020-08-26 00:00:00,10.8281,13.33,10.2426,13.0779,9949003.599679474,0.0
bandusdt,HUOBI,2020-08-27 00:00:00,13.0765,14.064,12.5156,13.1223,9096528.826126382,0.0
bandusdt,HUOBI,2020-08-28 00:00:00,13.001,13.2549,11.53,12.72,4780586.555237695,0.0
bandusdt,HUOBI,2020-08-29 00:00:00,12.72,13.7399,12.5125,13.5997,4220452.097437929,0.0
bandusdt,HUOBI,2020-08-30 00:00:00,13.5482,13.8904,12.63,13.5848,4808173.504228311,0.0
bandusdt,HUOBI,2020-08-31 00:00:00,13.5907,14.2,12.96,13.4768,4111399.9596062675,0.0
bandusdt,HUOBI,2020-09-01 00:00:00,13.4754,14.8695,12.719,14.5499,6682284.492481951,0.0
bandusdt,HUOBI,2020-09-02 00:00:00,14.5499,16.9833,13.6812,14.4163,13945224.757269805,0.0
bandusdt,HUOBI,2020-09-03 00:00:00,14.4163,15.1477,11.0668,11.5996,10661582.22862657,0.0
bandusdt,HUOBI,2020-09-04 00:00:00,11.5996,12.3583,9.5,10.5338,9063205.443040108,0.0
bandusdt,HUOBI,2020-09-05 00:00:00,10.5325,11.4526,8.7794,9.4222,5517123.012586262,0.0
bandusdt,HUOBI,2020-09-06 00:00:00,9.4332,9.9,6.5161,9.0416,11856666.221868394,0.0
bandusdt,HUOBI,2020-09-07 00:00:00,9.0264,10.3021,7.8899,8.9023,7925503.978783997,0.0
bandusdt,HUOBI,2020-09-08 00:00:00,8.925,9.4758,8.2649,8.6645,3918883.1870071907,0.0
bandusdt,HUOBI,2020-09-09 00:00:00,8.6713,9.1386,7.91,9.0031,3091582.6313048764,0.0
bandusdt,HUOBI,2020-09-10 00:00:00,8.9912,9.4348,8.6087,9.2875,4087913.512444336,0.0
bandusdt,HUOBI,2020-09-11 00:00:00,9.288,9.3313,8.3391,8.7772,3707389.75268854,0.0
