symbol,exchange,datetime,open,high,low,close,volume,open_interest
batusdt,HUOBI,2019-08-08 00:00:00,0.1883,0.243,0.1883,0.2105,833733.0728173758,0.0
batusdt,HUOBI,2019-08-09 00:00:00,0.2113,0.2195,0.2,0.201,273885.33780784,0.0
batusdt,HUOBI,2019-08-10 00:00:00,0.2009,0.2176,0.1941,0.2004,53945.42774849,0.0
batusdt,HUOBI,2019-08-11 00:00:00,0.2002,0.2099,0.1972,0.2066,22118.328987,0.0
batusdt,HUOBI,2019-08-12 00:00:00,0.203,0.2105,0.2024,0.2055,15848.61488427,0.0
batusdt,HUOBI,2019-08-13 00:00:00,0.2072,0.2083,0.1902,0.2007,11552.553688,0.0
batusdt,HUOBI,2019-08-14 00:00:00,0.2013,0.2085,0.1873,0.19,31947.60550026,0.0
batusdt,HUOBI,2019-08-15 00:00:00,0.1897,0.1944,0.1649,0.177,29283.46792592,0.0
batusdt,HUOBI,2019-08-16 00:00:00,0.1771,0.1916,0.1734,0.1841,30153.33059077,0.0
batusdt,HUOBI,2019-08-17 00:00:00,0.184,0.1854,0.174,0.179,21845.825409,0.0
batusdt,HUOBI,2019-08-18 00:00:00,0.179,0.1829,0.175,0.1807,6471.853325,0.0
batusdt,HUOBI,2019-08-19 00:00:00,0.1806,0.19,0.1804,0.1842,61490.20457393,0.0
batusdt,HUOBI,2019-08-20 00:00:00,0.1843,0.1867,0.1779,0.1804,24079.490655,0.0
batusdt,HUOBI,2019-08-21 00:00:00,0.1806,0.1814,0.1679,0.1713,28070.31421,0.0
batusdt,HUOBI,2019-08-22 00:00:00,0.1713,0.21,0.1701,0.1952,159148.27198969,0.0
batusdt,HUOBI,2019-08-23 00:00:00,0.1953,0.2053,0.19,0.1948,54197.11455042,0.0
batusdt,HUOBI,2019-08-24 00:00:00,0.1949,0.2063,0.1931,0.1985,16520.58339678,0.0
batusdt,HUOBI,2019-08-25 00:00:00,0.1985,0.2078,0.19,0.194,24380.53329542,0.0
batusdt,HUOBI,2019-08-26 00:00:00,0.1942,0.205,0.1862,0.1905,11676.964293,0.0
batusdt,HUOBI,2019-08-27 00:00:00,0.1906,0.193,0.1737,0.1837,14817.802022,0.0
batusdt,HUOBI,2019-08-28 00:00:00,0.1838,0.1989,0.1816,0.1919,36887.91112126,0.0
batusdt,HUOBI,2019-08-29 00:00:00,0.1918,0.1927,0.166,0.1697,16017.413311,0.0
batusdt,HUOBI,2019-08-30 00:00:00,0.1697,0.1797,0.1686,0.1781,12134.97963,0.0
batusdt,HUOBI,2019-08-31 00:00:00,0.1782,0.1821,0.1751,0.176,3223.862396,0.0
batusdt,HUOBI,2019-09-01 00:00:00,0.1759,0.1888,0.1755,0.1778,7085.30200523,0.0
batusdt,HUOBI,2019-09-02 00:00:00,0.1778,0.1846,0.1751,0.1789,6273.448132,0.0
batusdt,HUOBI,2019-09-03 00:00:00,0.1788,0.1888,0.1756,0.1797,7703.418566,0.0
batusdt,HUOBI,2019-09-04 00:00:00,0.1796,0.1848,0.1766,0.178,19708.197316,0.0
batusdt,HUOBI,2019-09-05 00:00:00,0.1779,0.178,0.1705,0.1706,15371.783562,0.0
batusdt,HUOBI,2019-09-06 00:00:00,0.1706,0.1746,0.1691,0.1714,12116.19957,0.0
batusdt,HUOBI,2019-09-07 00:00:00,0.1713,0.172,0.1639,0.1695,3949.15765011,0.0
batusdt,HUOBI,2019-09-08 00:00:00,0.1696,0.192,0.1684,0.1749,10451.873083,0.0
