symbol,exchange,datetime,open,high,low,close,volume,open_interest
bhdusdt,HUOBI,2019-10-09 00:00:00,6.65,18.0,6.65,15.4994,3002256.7303992016,0.0
bhdusdt,HUOBI,2019-10-10 00:00:00,15.4066,16.6,11.66,12.5995,2273561.4823859935,0.0
bhdusdt,HUOBI,2019-10-11 00:00:00,12.6429,12.77,10.7014,11.6,1123586.6922748298,0.0
bhdusdt,HUOBI,2019-10-12 00:00:00,11.6001,12.59,11.35,11.9467,392724.04277313076,0.0
bhdusdt,HUOBI,2019-10-13 00:00:00,11.9564,12.203,11.65,11.7422,244047.4754587528,0.0
bhdusdt,HUOBI,2019-10-14 00:00:00,11.7551,12.05,11.2,11.2082,181972.67224641,0.0
bhdusdt,HUOBI,2019-10-15 00:00:00,11.2163,11.365,10.235,10.68,265187.08685803,0.0
bhdusdt,HUOBI,2019-10-16 00:00:00,10.6566,10.9554,9.5115,9.9292,352089.67206911894,0.0
bhdusdt,HUOBI,2019-10-17 00:00:00,9.9859,10.0687,8.0,8.9845,513257.9366187444,0.0
bhdusdt,HUOBI,2019-10-18 00:00:00,8.9969,8.9969,8.25,8.4731,190924.26870525,0.0
bhdusdt,HUOBI,2019-10-19 00:00:00,8.4875,9.98,8.4138,9.25,491273.60478314076,0.0
bhdusdt,HUOBI,2019-10-20 00:00:00,9.1826,9.8004,8.8572,9.0664,343558.83987562,0.0
bhdusdt,HUOBI,2019-10-21 00:00:00,9.0665,9.1799,8.5,8.7155,262611.84864481,0.0
bhdusdt,HUOBI,2019-10-22 00:00:00,8.6783,8.7292,7.5,7.8289,464396.4149126572,0.0
bhdusdt,HUOBI,2019-10-23 00:00:00,7.8304,7.8676,6.1159,6.494,900751.2096302514,0.0
bhdusdt,HUOBI,2019-10-24 00:00:00,6.5183,6.5453,5.0334,5.392,797797.9740503404,0.0
bhdusdt,HUOBI,2019-10-25 00:00:00,5.4199,6.2,5.2853,5.84,505673.40073552186,0.0
bhdusdt,HUOBI,2019-10-26 00:00:00,5.8305,6.49,5.1508,5.4625,690109.1154816169,0.0
bhdusdt,HUOBI,2019-10-27 00:00:00,5.4654,6.7,5.17,6.2265,1009304.4387010849,0.0
bhdusdt,HUOBI,2019-10-28 00:00:00,6.22,6.69,5.81,6.061,423638.2263293247,0.0
bhdusdt,HUOBI,2019-10-29 00:00:00,6.0262,6.5338,5.9514,6.3001,345438.9062437307,0.0
bhdusdt,HUOBI,2019-10-30 00:00:00,6.2992,6.65,5.6675,5.7247,379605.04234961,0.0
bhdusdt,HUOBI,2019-10-31 00:00:00,5.7256,6.01,5.52,5.8186,213545.7513294717,0.0
bhdusdt,HUOBI,2019-11-01 00:00:00,5.8025,6.02,5.6674,5.7787,209690.25774153118,0.0
bhdusdt,HUOBI,2019-11-02 00:00:00,5.7643,5.9975,5.7585,5.8023,195809.34741692,0.0
bhdusdt,HUOBI,2019-11-03 00:00:00,5.81,5.8905,5.16,5.2669,345919.29413874005,0.0
bhdusdt,HUOBI,2019-11-04 00:00:00,5.267,5.5001,4.7105,4.9707,577460.1057655727,0.0
bhdusdt,HUOBI,2019-11-05 00:00:00,4.9633,4.9746,4.6,4.7665,282077.41756391636,0.0
bhdusdt,HUOBI,2019-11-06 00:00:00,4.7659,6.2,4.7437,6.0282,1495280.9942958578,0.0
bhdusdt,HUOBI,2019-11-07 00:00:00,5.9979,7.8,5.7407,6.98,3925785.6911925925,0.0
bhdusdt,HUOBI,2019-11-08 00:00:00,6.98,7.75,6.2,6.2844,1808661.413231289,0.0
bhdusdt,HUOBI,2019-11-09 00:00:00,6.2979,6.75,6.1801,6.3161,682176.4942507399,0.0
bhdusdt,HUOBI,2019-11-10 00:00:00,6.3161,6.4888,6.08,6.3822,433673.9326474137,0.0
bhdusdt,HUOBI,2019-11-11 00:00:00,6.3846,6.4693,5.8001,5.9484,540539.2583504937,0.0
bhdusdt,HUOBI,2019-11-12 00:00:00,5.9481,5.9795,5.5,5.552,357027.8222904059,0.0
bhdusdt,HUOBI,2019-11-13 00:00:00,5.5629,6.0999,5.22,6.0917,824314.1404514528,0.0
bhdusdt,HUOBI,2019-11-14 00:00:00,6.0917,6.37,5.6,5.7915,495104.94841664616,0.0
bhdusdt,HUOBI,2019-11-15 00:00:00,5.7915,5.8797,5.5001,5.61,233711.6549353432,0.0
bhdusdt,HUOBI,2019-11-16 00:00:00,5.6096,5.793,5.41,5.6094,173932.87626594,0.0
bhdusdt,HUOBI,2019-11-17 00:00:00,5.63,5.6999,5.4503,5.5312,88171.2640478,0.0
bhdusdt,HUOBI,2019-11-18 00:00:00,5.5364,5.76,5.1221,5.2404,378686.58214009,0.0
bhdusdt,HUOBI,2019-11-19 00:00:00,5.2485,5.3034,4.9,5.0988,284168.85204249,0.0
bhdusdt,HUOBI,2019-11-20 00:00:00,5.0001,5.1294,4.9226,5.0023,143606.87480243,0.0
bhdusdt,HUOBI,2019-11-21 00:00:00,5.003,5.11,4.6,5.0307,239279.06734795,0.0
bhdusdt,HUOBI,2019-11-22 00:00:00,5.0255,5.051,4.0,4.38,258936.76421871,0.0
bhdusdt,HUOBI,2019-11-23 00:00:00,4.3739,4.3782,3.3645,4.1553,394102.93884688,0.0
bhdusdt,HUOBI,2019-11-24 00:00:00,4.1549,4.44,3.7081,3.8567,198032.74211788,0.0
bhdusdt,HUOBI,2019-11-25 00:00:00,3.8147,3.871,3.0,3.681,392771.45981631,0.0
bhdusdt,HUOBI,2019-11-26 00:00:00,3.6709,3.7785,3.3949,3.45,145771.73403234,0.0
bhdusdt,HUOBI,2019-11-27 00:00:00,3.4516,3.5399,3.11,3.477,267207.71416235,0.0
