symbol,exchange,datetime,open,high,low,close,volume,open_interest
bixusdt,HUOBI,2018-07-25 00:00:00,0.709601,1.06,0.709601,0.805367,1606964.1410269763,0.0
bixusdt,HUOBI,2018-07-26 00:00:00,0.805367,0.93,0.798476,0.9295,1768371.2688072775,0.0
bixusdt,HUOBI,2018-07-27 00:00:00,0.9295,1.086,0.871117,0.92,3881151.0365571794,0.0
bixusdt,HUOBI,2018-07-28 00:00:00,0.92,0.965,0.903456,0.928802,1360311.022101477,0.0
bixusdt,HUOBI,2018-07-29 00:00:00,0.928802,1.043,0.92432,1.00513,1415379.3747513313,0.0
bixusdt,HUOBI,2018-07-30 00:00:00,1.003385,1.019742,0.96,0.966751,1013973.1495437666,0.0
bixusdt,HUOBI,2018-07-31 00:00:00,0.966726,0.980368,0.796321,0.818052,927722.9767297502,0.0
bixusdt,HUOBI,2018-08-01 00:00:00,0.81588,0.8339,0.745231,0.809885,601396.6670942543,0.0
bixusdt,HUOBI,2018-08-02 00:00:00,0.808599,0.839999,0.764081,0.815808,835484.8826238322,0.0
bixusdt,HUOBI,2018-08-03 00:00:00,0.81546,0.839999,0.760478,0.780888,556806.9368027597,0.0
bixusdt,HUOBI,2018-08-04 00:00:00,0.776195,0.801308,0.694264,0.716,321914.1470946129,0.0
bixusdt,HUOBI,2018-08-05 00:00:00,0.716061,0.756991,0.699911,0.723334,227537.7902473133,0.0
bixusdt,HUOBI,2018-08-06 00:00:00,0.729067,0.74,0.701,0.711929,1305671.134196806,0.0
bixusdt,HUOBI,2018-08-07 00:00:00,0.711687,0.732484,0.672411,0.713404,1577722.4943729325,0.0
bixusdt,HUOBI,2018-08-08 00:00:00,0.716733,0.719898,0.58001,0.598698,1922962.830524159,0.0
bixusdt,HUOBI,2018-08-09 00:00:00,0.602251,0.630242,0.565358,0.618334,2065783.7624888853,0.0
bixusdt,HUOBI,2018-08-10 00:00:00,0.618272,0.645,0.61209,0.631794,2053754.3432512335,0.0
bixusdt,HUOBI,2018-08-11 00:00:00,0.63173,0.638,0.537516,0.567056,1167821.2892682224,0.0
bixusdt,HUOBI,2018-08-12 00:00:00,0.56992,0.587066,0.540055,0.558302,306134.6769477817,0.0
bixusdt,HUOBI,2018-08-13 00:00:00,0.557751,0.567585,0.523879,0.525257,235163.3531409365,0.0
bixusdt,HUOBI,2018-08-14 00:00:00,0.524038,0.525583,0.417774,0.434835,276350.1882971835,0.0
bixusdt,HUOBI,2018-08-15 00:00:00,0.4365,0.492379,0.42,0.481935,703588.451359133,0.0
bixusdt,HUOBI,2018-08-16 00:00:00,0.482222,0.522,0.449713,0.5,307504.8277484756,0.0
bixusdt,HUOBI,2018-08-17 00:00:00,0.504875,0.576012,0.5,0.539042,1036603.8729631169,0.0
bixusdt,HUOBI,2018-08-18 00:00:00,0.536112,0.700001,0.490819,0.503856,2530904.1057605185,0.0
bixusdt,HUOBI,2018-08-19 00:00:00,0.503921,0.607282,0.484537,0.542934,2022424.2972564795,0.0
bixusdt,HUOBI,2018-08-20 00:00:00,0.542934,0.550371,0.513554,0.525705,1922412.3097690728,0.0
bixusdt,HUOBI,2018-08-21 00:00:00,0.526042,0.535442,0.5,0.507287,886603.8467268606,0.0
bixusdt,HUOBI,2018-08-22 00:00:00,0.507216,0.547207,0.505663,0.518547,546015.8883842439,0.0
bixusdt,HUOBI,2018-08-23 00:00:00,0.521023,0.54999,0.49003,0.528784,452043.6369434511,0.0
bixusdt,HUOBI,2018-08-24 00:00:00,0.526536,0.598,0.512326,0.516843,560892.6797507886,0.0
bixusdt,HUOBI,2018-08-25 00:00:00,0.515439,0.54,0.514301,0.529548,365349.8922044673,0.0
bixusdt,HUOBI,2018-08-26 00:00:00,0.528436,0.529115,0.491719,0.492507,314454.1059558369,0.0
bixusdt,HUOBI,2018-08-27 00:00:00,0.492617,0.50697,0.48,0.490809,260780.42599467555,0.0
bixusdt,HUOBI,2018-08-28 00:00:00,0.490956,0.516267,0.486933,0.503392,233448.02772505634,0.0
bixusdt,HUOBI,2018-08-29 00:00:00,0.503096,0.525,0.496166,0.501028,132712.96941813736,0.0
bixusdt,HUOBI,2018-08-30 00:00:00,0.501527,0.521566,0.490944,0.496238,97918.8110064134,0.0
bixusdt,HUOBI,2018-08-31 00:00:00,0.49766,0.506331,0.473578,0.4855,130957.26488450122,0.0
bixusdt,HUOBI,2018-09-01 00:00:00,0.485051,0.503801,0.48057,0.501001,113552.6762363895,0.0
bixusdt,HUOBI,2018-09-02 00:00:00,0.501,0.512277,0.490527,0.49918,525411.403728668,0.0
bixusdt,HUOBI,2018-09-03 00:00:00,0.497344,0.505899,0.49008,0.497631,541026.610461417,0.0
bixusdt,HUOBI,2018-09-04 00:00:00,0.497631,0.506125,0.495081,0.497871,589569.2157524215,0.0
bixusdt,HUOBI,2018-09-05 00:00:00,0.498994,0.55,0.445259,0.451468,1072858.2258979306,0.0
bixusdt,HUOBI,2018-09-06 00:00:00,0.45147,0.453567,0.390943,0.417566,506906.3819052344,0.0
bixusdt,HUOBI,2018-09-07 00:00:00,0.417565,0.436064,0.409881,0.426162,167518.22718530512,0.0
bixusdt,HUOBI,2018-09-08 00:00:00,0.426162,0.439275,0.413656,0.426571,492830.1973049585,0.0
bixusdt,HUOBI,2018-09-09 00:00:00,0.426648,0.499999,0.38107,0.461498,593842.8131551056,0.0
bixusdt,HUOBI,2018-09-10 00:00:00,0.46125,0.486327,0.41,0.441712,602272.2468343123,0.0
bixusdt,HUOBI,2018-09-11 00:00:00,0.442334,0.442334,0.404142,0.406473,478587.4383531349,0.0
bixusdt,HUOBI,2018-09-12 00:00:00,0.406473,0.436826,0.396362,0.434744,512237.3755623654,0.0
bixusdt,HUOBI,2018-09-13 00:00:00,0.434744,0.462083,0.411781,0.448066,676561.3109972886,0.0
bixusdt,HUOBI,2018-09-14 00:00:00,0.448066,0.473549,0.41648,0.427896,643430.3975330328,0.0
bixusdt,HUOBI,2018-09-15 00:00:00,0.429241,0.445,0.422451,0.436073,302396.1512791961,0.0
bixusdt,HUOBI,2018-09-16 00:00:00,0.435431,0.439,0.418781,0.427323,287103.60858552286,0.0
bixusdt,HUOBI,2018-09-17 00:00:00,0.427645,0.439981,0.406,0.415716,520956.0483017388,0.0
bixusdt,HUOBI,2018-09-18 00:00:00,0.415714,0.438,0.402,0.419108,508163.8246422546,0.0
bixusdt,HUOBI,2018-09-19 00:00:00,0.419108,0.426664,0.390882,0.404194,460226.2010196432,0.0
bixusdt,HUOBI,2018-09-20 00:00:00,0.404194,0.42,0.400147,0.403664,100611.03525060705,0.0
bixusdt,HUOBI,2018-09-21 00:00:00,0.40294,0.443829,0.401943,0.430989,131353.38789336244,0.0
bixusdt,HUOBI,2018-09-22 00:00:00,0.431325,0.446402,0.424027,0.433725,94243.2691156882,0.0
bixusdt,HUOBI,2018-09-23 00:00:00,0.433148,0.46,0.429429,0.439859,506811.32795644476,0.0
bixusdt,HUOBI,2018-09-24 00:00:00,0.439192,0.471923,0.425043,0.429114,553070.5502893103,0.0
bixusdt,HUOBI,2018-09-25 00:00:00,0.428373,0.433374,0.398097,0.402347,169841.54390170195,0.0
bixusdt,HUOBI,2018-09-26 00:00:00,0.401799,0.432344,0.3922,0.422304,100801.9498646753,0.0
bixusdt,HUOBI,2018-09-27 00:00:00,0.421725,0.432344,0.401833,0.404884,67497.9411293875,0.0
bixusdt,HUOBI,2018-09-28 00:00:00,0.40609,0.448163,0.404893,0.421347,470685.63482216065,0.0
bixusdt,HUOBI,2018-09-29 00:00:00,0.421017,0.437,0.401,0.421424,430420.65210512036,0.0
bixusdt,HUOBI,2018-09-30 00:00:00,0.421687,0.436,0.41,0.417049,420296.44879075955,0.0
bixusdt,HUOBI,2018-10-01 00:00:00,0.41705,0.418091,0.405,0.408314,304014.93840207544,0.0
bixusdt,HUOBI,2018-10-02 00:00:00,0.408314,0.419539,0.4,0.412466,277747.6561311471,0.0
bixusdt,HUOBI,2018-10-03 00:00:00,0.412943,0.4371,0.4,0.411985,406448.79331704555,0.0
bixusdt,HUOBI,2018-10-04 00:00:00,0.411984,0.42,0.403111,0.415097,339202.7934841558,0.0
bixusdt,HUOBI,2018-10-05 00:00:00,0.415097,0.419252,0.406551,0.412098,315659.1588520479,0.0
bixusdt,HUOBI,2018-10-06 00:00:00,0.412098,0.423088,0.410976,0.418058,368163.7505258467,0.0
bixusdt,HUOBI,2018-10-07 00:00:00,0.418058,0.42,0.408718,0.412881,368292.343087459,0.0
bixusdt,HUOBI,2018-10-08 00:00:00,0.413224,0.421673,0.411756,0.41821,375882.4116257044,0.0
bixusdt,HUOBI,2018-10-09 00:00:00,0.418511,0.4235,0.409785,0.412461,309579.7538565909,0.0
bixusdt,HUOBI,2018-10-10 00:00:00,0.412461,0.414696,0.407054,0.410904,207847.37496510433,0.0
bixusdt,HUOBI,2018-10-11 00:00:00,0.411344,0.419329,0.373448,0.380974,413556.9682854577,0.0
bixusdt,HUOBI,2018-10-12 00:00:00,0.38018,0.381746,0.360002,0.369678,351356.93636878405,0.0
bixusdt,HUOBI,2018-10-13 00:00:00,0.369678,0.37,0.362911,0.366274,324046.4940760058,0.0
bixusdt,HUOBI,2018-10-14 00:00:00,0.365941,0.368922,0.354112,0.358774,401633.6266787676,0.0
bixusdt,HUOBI,2018-10-15 00:00:00,0.358774,0.4182,0.351341,0.37941,440362.77152390516,0.0
bixusdt,HUOBI,2018-10-16 00:00:00,0.378815,0.381314,0.365756,0.370248,163111.92210670374,0.0
bixusdt,HUOBI,2018-10-17 00:00:00,0.370248,0.373857,0.364855,0.369402,119415.0745968881,0.0
bixusdt,HUOBI,2018-10-18 00:00:00,0.369448,0.3709,0.354494,0.36179,53756.3609960632,0.0
bixusdt,HUOBI,2018-10-19 00:00:00,0.361156,0.370963,0.354016,0.354882,74773.79019448136,0.0
bixusdt,HUOBI,2018-10-20 00:00:00,0.354889,0.37,0.349568,0.355343,111045.84189309765,0.0
bixusdt,HUOBI,2018-10-21 00:00:00,0.355646,0.363006,0.352536,0.359511,60052.9239052889,0.0
bixusdt,HUOBI,2018-10-22 00:00:00,0.357635,0.361555,0.3522,0.355458,30020.3888906876,0.0
bixusdt,HUOBI,2018-10-23 00:00:00,0.353735,0.358307,0.351434,0.352104,8558.7467250306,0.0
bixusdt,HUOBI,2018-10-24 00:00:00,0.353947,0.363641,0.352002,0.361348,80431.1987012721,0.0
bixusdt,HUOBI,2018-10-25 00:00:00,0.361232,0.364776,0.355764,0.35992,178550.0160513439,0.0
bixusdt,HUOBI,2018-10-26 00:00:00,0.360244,0.362594,0.35001,0.351602,218805.34283177074,0.0
bixusdt,HUOBI,2018-10-27 00:00:00,0.351425,0.354056,0.346493,0.348005,178997.4180630583,0.0
bixusdt,HUOBI,2018-10-28 00:00:00,0.348005,0.350705,0.343,0.344733,198869.779705865,0.0
bixusdt,HUOBI,2018-10-29 00:00:00,0.344909,0.353745,0.339123,0.344116,230797.9832819848,0.0
bixusdt,HUOBI,2018-10-30 00:00:00,0.344037,0.365,0.3401,0.341043,194411.7585095298,0.0
bixusdt,HUOBI,2018-10-31 00:00:00,0.341114,0.341187,0.331248,0.339058,224373.7266470948,0.0
bixusdt,HUOBI,2018-11-01 00:00:00,0.33873,0.343115,0.335326,0.342212,183209.1832738152,0.0
bixusdt,HUOBI,2018-11-02 00:00:00,0.342065,0.350051,0.340044,0.340687,192566.4429531774,0.0
bixusdt,HUOBI,2018-11-03 00:00:00,0.340777,0.347958,0.338001,0.33949,177505.9055451866,0.0
bixusdt,HUOBI,2018-11-04 00:00:00,0.33949,0.347559,0.337228,0.346913,83709.4391310887,0.0
bixusdt,HUOBI,2018-11-05 00:00:00,0.346432,0.355,0.34442,0.348799,102138.3006595987,0.0
bixusdt,HUOBI,2018-11-06 00:00:00,0.348894,0.353135,0.34442,0.351182,127363.095500605,0.0
bixusdt,HUOBI,2018-11-07 00:00:00,0.350466,0.37,0.346579,0.352997,170515.7187295183,0.0
bixusdt,HUOBI,2018-11-08 00:00:00,0.3524,0.357684,0.349908,0.352409,160846.1067225354,0.0
bixusdt,HUOBI,2018-11-09 00:00:00,0.351782,0.3574,0.345,0.352946,155041.8164414988,0.0
bixusdt,HUOBI,2018-11-10 00:00:00,0.353686,0.356576,0.346109,0.349685,178433.5033938717,0.0
bixusdt,HUOBI,2018-11-11 00:00:00,0.349395,0.354364,0.346,0.348061,161699.5418954749,0.0
bixusdt,HUOBI,2018-11-12 00:00:00,0.348027,0.351045,0.344297,0.348735,147030.5013113678,0.0
bixusdt,HUOBI,2018-11-13 00:00:00,0.348177,0.351571,0.3411,0.343601,167497.0848329794,0.0
bixusdt,HUOBI,2018-11-14 00:00:00,0.342759,0.352152,0.325001,0.326715,162852.0323788948,0.0
bixusdt,HUOBI,2018-11-15 00:00:00,0.327363,0.33319,0.28,0.294411,109463.11711162393,0.0
bixusdt,HUOBI,2018-11-16 00:00:00,0.294612,0.301165,0.286824,0.290704,128650.2613848811,0.0
bixusdt,HUOBI,2018-11-17 00:00:00,0.289767,0.293013,0.27,0.285337,114630.1628381253,0.0
bixusdt,HUOBI,2018-11-18 00:00:00,0.28553,0.289995,0.25,0.276292,110277.8723796464,0.0
bixusdt,HUOBI,2018-11-19 00:00:00,0.276897,0.288,0.252737,0.261589,97489.5895834468,0.0
bixusdt,HUOBI,2018-11-20 00:00:00,0.261079,0.264636,0.215001,0.250406,27900.9803206944,0.0
bixusdt,HUOBI,2018-11-21 00:00:00,0.250778,0.2693,0.216005,0.227417,456564.7722794544,0.0
bixusdt,HUOBI,2018-11-22 00:00:00,0.227228,0.254209,0.223625,0.247338,598550.5631655453,0.0
bixusdt,HUOBI,2018-11-23 00:00:00,0.247324,0.247466,0.226003,0.231058,582914.9951864025,0.0
bixusdt,HUOBI,2018-11-24 00:00:00,0.231277,0.236787,0.22344,0.226583,662976.3104012627,0.0
bixusdt,HUOBI,2018-11-25 00:00:00,0.226689,0.226689,0.184767,0.197932,230727.1855026947,0.0
bixusdt,HUOBI,2018-11-26 00:00:00,0.19767,0.216865,0.18,0.194063,452167.9898881172,0.0
bixusdt,HUOBI,2018-11-27 00:00:00,0.194613,0.216804,0.189543,0.196862,420122.9502184954,0.0
bixusdt,HUOBI,2018-11-28 00:00:00,0.196872,0.2335,0.194848,0.22545,1454215.8693805973,0.0
bixusdt,HUOBI,2018-11-29 00:00:00,0.225425,0.237261,0.215138,0.224295,186242.0157174983,0.0
bixusdt,HUOBI,2018-11-30 00:00:00,0.225546,0.228746,0.210006,0.21363,200114.4124141902,0.0
bixusdt,HUOBI,2018-12-01 00:00:00,0.213561,0.225296,0.206616,0.224596,150760.85091044748,0.0
bixusdt,HUOBI,2018-12-02 00:00:00,0.224122,0.233805,0.221313,0.226094,156256.08611178794,0.0
bixusdt,HUOBI,2018-12-03 00:00:00,0.225655,0.228913,0.203534,0.205772,98238.61770267849,0.0
bixusdt,HUOBI,2018-12-04 00:00:00,0.205076,0.214042,0.200955,0.208845,67980.38448823302,0.0
bixusdt,HUOBI,2018-12-05 00:00:00,0.20932,0.21012,0.2,0.205373,58662.23834504351,0.0
bixusdt,HUOBI,2018-12-06 00:00:00,0.20563,0.206503,0.187958,0.194202,41792.45952700632,0.0
bixusdt,HUOBI,2018-12-07 00:00:00,0.194675,0.196129,0.162186,0.169248,57533.93604864457,0.0
bixusdt,HUOBI,2018-12-08 00:00:00,0.169614,0.184157,0.158375,0.169222,58296.4587911314,0.0
bixusdt,HUOBI,2018-12-09 00:00:00,0.169831,0.185816,0.163219,0.1795,46467.6746052717,0.0
bixusdt,HUOBI,2018-12-10 00:00:00,0.179186,0.18403,0.169201,0.170929,63268.0996139258,0.0
bixusdt,HUOBI,2018-12-11 00:00:00,0.17069,0.176284,0.167724,0.169491,22772.1931623707,0.0
bixusdt,HUOBI,2018-12-12 00:00:00,0.169435,0.176185,0.168067,0.173349,11670.8723356674,0.0
bixusdt,HUOBI,2018-12-13 00:00:00,0.173551,0.197247,0.172193,0.179583,47122.3201342771,0.0
bixusdt,HUOBI,2018-12-14 00:00:00,0.179565,0.193745,0.16958,0.172176,20048.4481306783,0.0
bixusdt,HUOBI,2018-12-15 00:00:00,0.172091,0.172278,0.158272,0.159549,14252.3840641582,0.0
