symbol,exchange,datetime,open,high,low,close,volume,open_interest
blzusdt,HUOBI,2020-08-27 00:00:00,0.1084,0.1597,0.1084,0.147,3784174.533396284,0.0
blzusdt,HUOBI,2020-08-28 00:00:00,0.147,0.1899,0.1321,0.1691,3505404.2791271806,0.0
blzusdt,HUOBI,2020-08-29 00:00:00,0.17,0.206,0.1688,0.1967,4135900.192278263,0.0
blzusdt,HUOBI,2020-08-30 00:00:00,0.197,0.1983,0.166,0.1713,2856360.9838813334,0.0
blzusdt,HUOBI,2020-08-31 00:00:00,0.1707,0.181,0.16,0.1672,1470560.987734347,0.0
blzusdt,HUOBI,2020-09-01 00:00:00,0.167,0.17,0.1466,0.155,1575063.5811835648,0.0
blzusdt,HUOBI,2020-09-02 00:00:00,0.155,0.164,0.1372,0.1408,1043114.9970971898,0.0
blzusdt,HUOBI,2020-09-03 00:00:00,0.1407,0.1468,0.1112,0.1189,828992.2226724603,0.0
blzusdt,HUOBI,2020-09-04 00:00:00,0.1187,0.1433,0.0979,0.1412,2054170.157269488,0.0
blzusdt,HUOBI,2020-09-05 00:00:00,0.1406,0.1618,0.1112,0.1402,2658724.8868140425,0.0
blzusdt,HUOBI,2020-09-06 00:00:00,0.1406,0.1465,0.114,0.1301,1394894.6554908182,0.0
blzusdt,HUOBI,2020-09-07 00:00:00,0.1302,0.1376,0.1096,0.1257,954844.9003588029,0.0
blzusdt,HUOBI,2020-09-08 00:00:00,0.1253,0.1298,0.113,0.117,604478.3246578412,0.0
blzusdt,HUOBI,2020-09-09 00:00:00,0.117,0.1213,0.1096,0.1204,316273.8213797,0.0
blzusdt,HUOBI,2020-09-10 00:00:00,0.1203,0.1288,0.1156,0.126,531025.98425571,0.0
blzusdt,HUOBI,2020-09-11 00:00:00,0.1265,0.1436,0.1134,0.1355,1470303.5535451532,0.0
blzusdt,HUOBI,2020-09-12 00:00:00,0.1351,0.1432,0.1266,0.1295,655906.55695551,0.0
blzusdt,HUOBI,2020-09-13 00:00:00,0.1295,0.1353,0.1191,0.1205,637755.0998670653,0.0
blzusdt,HUOBI,2020-09-14 00:00:00,0.1206,0.1243,0.1155,0.1213,414491.39727564,0.0
blzusdt,HUOBI,2020-09-15 00:00:00,0.1214,0.128,0.1161,0.122,605914.9706515225,0.0
blzusdt,HUOBI,2020-09-16 00:00:00,0.1223,0.1348,0.11,0.1216,937766.82856861,0.0
blzusdt,HUOBI,2020-09-17 00:00:00,0.1216,0.126,0.1134,0.1155,347901.95054139,0.0
blzusdt,HUOBI,2020-09-18 00:00:00,0.1156,0.124,0.1138,0.1158,444685.1577330356,0.0
blzusdt,HUOBI,2020-09-19 00:00:00,0.1159,0.1223,0.1139,0.1141,333391.97016786,0.0
blzusdt,HUOBI,2020-09-20 00:00:00,0.1144,0.1198,0.1031,0.1047,584530.97049936,0.0
blzusdt,HUOBI,2020-09-21 00:00:00,0.1047,0.1058,0.083,0.0878,682672.90206449,0.0
blzusdt,HUOBI,2020-09-22 00:00:00,0.0876,0.0898,0.0818,0.0854,311701.17044564,0.0
blzusdt,HUOBI,2020-09-23 00:00:00,0.0854,0.0929,0.0811,0.0822,361059.34907353,0.0
blzusdt,HUOBI,2020-09-24 00:00:00,0.0822,0.085,0.0752,0.0807,310687.54886946,0.0
blzusdt,HUOBI,2020-09-25 00:00:00,0.0808,0.0889,0.0806,0.0887,377507.37468893,0.0
blzusdt,HUOBI,2020-09-26 00:00:00,0.0888,0.0993,0.0871,0.0926,452427.11491457664,0.0
blzusdt,HUOBI,2020-09-27 00:00:00,0.0925,0.0997,0.0866,0.0923,390181.35296393,0.0
blzusdt,HUOBI,2020-09-28 00:00:00,0.0924,0.113,0.0907,0.1075,1000120.785439531,0.0
blzusdt,HUOBI,2020-09-29 00:00:00,0.1074,0.1201,0.1022,0.1118,1212316.3643486963,0.0
blzusdt,HUOBI,2020-09-30 00:00:00,0.1119,0.122,0.1096,0.1155,669952.233943,0.0
blzusdt,HUOBI,2020-10-01 00:00:00,0.1155,0.1157,0.108,0.108,386019.5090273805,0.0
blzusdt,HUOBI,2020-10-02 00:00:00,0.108,0.1086,0.089,0.0952,728241.87539985,0.0
blzusdt,HUOBI,2020-10-03 00:00:00,0.0951,0.1067,0.0933,0.1041,468876.2164806235,0.0
blzusdt,HUOBI,2020-10-04 00:00:00,0.1042,0.1068,0.0988,0.0998,223774.19158607975,0.0
blzusdt,HUOBI,2020-10-05 00:00:00,0.0996,0.11,0.0987,0.1063,329774.0502809105,0.0
blzusdt,HUOBI,2020-10-06 00:00:00,0.1064,0.11,0.095,0.1035,461266.6128997833,0.0
blzusdt,HUOBI,2020-10-07 00:00:00,0.1031,0.1031,0.0871,0.0922,407058.5308231528,0.0
blzusdt,HUOBI,2020-10-08 00:00:00,0.0922,0.101,0.0902,0.0991,363116.5712507,0.0
blzusdt,HUOBI,2020-10-09 00:00:00,0.0995,0.1069,0.0977,0.1054,338232.53670678294,0.0
blzusdt,HUOBI,2020-10-10 00:00:00,0.1056,0.1266,0.102,0.1244,1134849.042192161,0.0
blzusdt,HUOBI,2020-10-11 00:00:00,0.1245,0.1316,0.1146,0.122,1432495.3188978408,0.0
blzusdt,HUOBI,2020-10-12 00:00:00,0.1221,0.1222,0.11,0.1183,942216.16955861,0.0
blzusdt,HUOBI,2020-10-13 00:00:00,0.1184,0.1225,0.1103,0.1146,687321.86711412,0.0
blzusdt,HUOBI,2020-10-14 00:00:00,0.1144,0.117,0.098,0.1004,724097.4550136835,0.0
blzusdt,HUOBI,2020-10-15 00:00:00,0.1005,0.1032,0.0956,0.0998,667605.2163842,0.0
blzusdt,HUOBI,2020-10-16 00:00:00,0.0997,0.1026,0.082,0.0882,662819.04411161,0.0
blzusdt,HUOBI,2020-10-17 00:00:00,0.088,0.0895,0.0822,0.0867,225920.39759179,0.0
blzusdt,HUOBI,2020-10-18 00:00:00,0.0864,0.0942,0.0858,0.0916,215379.04251199,0.0
