symbol,exchange,datetime,open,high,low,close,volume,open_interest
btmusdt,HUOBI,2018-04-18 00:00:00,0.8001,1.0699,0.8001,0.9186,5242965.353089799,0.0
btmusdt,HUOBI,2018-04-19 00:00:00,0.9161,0.9554,0.9155,0.9362,11672042.068769883,0.0
btmusdt,HUOBI,2018-04-20 00:00:00,0.9362,0.9869,0.9207,0.95,12840642.249224093,0.0
btmusdt,HUOBI,2018-04-21 00:00:00,0.9502,0.965,0.8534,0.9149,18671335.93443421,0.0
btmusdt,HUOBI,2018-04-22 00:00:00,0.9149,0.9324,0.864,0.9069,16026753.16458603,0.0
btmusdt,HUOBI,2018-04-23 00:00:00,0.9068,1.25,0.8888,1.0915,37444957.48151023,0.0
btmusdt,HUOBI,2018-04-24 00:00:00,1.0915,1.1958,0.9795,1.0773,44727883.13469927,0.0
btmusdt,HUOBI,2018-04-25 00:00:00,1.0787,1.1,0.8888,0.9334,35796630.78181351,0.0
btmusdt,HUOBI,2018-04-26 00:00:00,0.9345,1.002,0.9,0.9878,29838798.57979843,0.0
btmusdt,HUOBI,2018-04-27 00:00:00,0.9875,1.095,0.9585,0.9995,27917482.448259152,0.0
btmusdt,HUOBI,2018-04-28 00:00:00,0.9994,1.0139,0.95,0.9917,19656547.519746076,0.0
btmusdt,HUOBI,2018-04-29 00:00:00,0.991,1.0688,0.95,1.0102,30010628.59230213,0.0
btmusdt,HUOBI,2018-04-30 00:00:00,1.0102,1.1287,1.0057,1.0727,29672935.21794119,0.0
btmusdt,HUOBI,2018-05-01 00:00:00,1.0736,1.1074,0.9334,0.9721,16913605.404220995,0.0
btmusdt,HUOBI,2018-05-02 00:00:00,0.975,1.0103,0.958,0.9851,13671654.188260388,0.0
btmusdt,HUOBI,2018-05-03 00:00:00,0.985,0.987,0.9201,0.95,20605266.630735394,0.0
btmusdt,HUOBI,2018-05-04 00:00:00,0.95,0.9828,0.9021,0.91,17144063.609254196,0.0
btmusdt,HUOBI,2018-05-05 00:00:00,0.9102,0.957,0.9018,0.9175,12792516.742494732,0.0
btmusdt,HUOBI,2018-05-06 00:00:00,0.9161,0.941,0.777,0.786,20222348.39737477,0.0
btmusdt,HUOBI,2018-05-07 00:00:00,0.786,0.8383,0.7126,0.799,14733716.852781404,0.0
btmusdt,HUOBI,2018-05-08 00:00:00,0.7984,0.88,0.76,0.8063,13141990.671940304,0.0
btmusdt,HUOBI,2018-05-09 00:00:00,0.8062,0.8069,0.75,0.7889,6930524.309737449,0.0
btmusdt,HUOBI,2018-05-10 00:00:00,0.7883,0.8266,0.76,0.8019,7771979.601123819,0.0
btmusdt,HUOBI,2018-05-11 00:00:00,0.8016,0.8029,0.6431,0.6894,11604268.07359243,0.0
btmusdt,HUOBI,2018-05-12 00:00:00,0.6902,0.7115,0.46,0.6113,13680977.151509922,0.0
btmusdt,HUOBI,2018-05-13 00:00:00,0.6133,0.6635,0.5861,0.6554,7833331.096230383,0.0
btmusdt,HUOBI,2018-05-14 00:00:00,0.6555,0.7224,0.6368,0.6982,13994732.150213856,0.0
btmusdt,HUOBI,2018-05-15 00:00:00,0.6982,0.7292,0.6561,0.6634,8764902.604542034,0.0
btmusdt,HUOBI,2018-05-16 00:00:00,0.6659,0.6889,0.6093,0.6307,7180536.049250447,0.0
btmusdt,HUOBI,2018-05-17 00:00:00,0.631,0.6678,0.6269,0.6421,5489281.574276056,0.0
btmusdt,HUOBI,2018-05-18 00:00:00,0.6414,0.6428,0.596,0.6084,4809482.921562639,0.0
btmusdt,HUOBI,2018-05-19 00:00:00,0.6084,0.6333,0.605,0.615,3253220.591955647,0.0
btmusdt,HUOBI,2018-05-20 00:00:00,0.6149,0.7138,0.608,0.7121,8713086.331884447,0.0
btmusdt,HUOBI,2018-05-21 00:00:00,0.7123,0.795,0.6969,0.7394,18210615.740391098,0.0
btmusdt,HUOBI,2018-05-22 00:00:00,0.7398,0.7603,0.6613,0.6748,8086077.697610064,0.0
btmusdt,HUOBI,2018-05-23 00:00:00,0.6744,0.6838,0.58,0.591,7481054.772094673,0.0
btmusdt,HUOBI,2018-05-24 00:00:00,0.5926,0.635,0.568,0.6348,8793150.471360859,0.0
btmusdt,HUOBI,2018-05-25 00:00:00,0.6348,0.6348,0.5957,0.6227,4328214.447195242,0.0
btmusdt,HUOBI,2018-05-26 00:00:00,0.6231,0.6301,0.6,0.6245,2149467.6322111296,0.0
btmusdt,HUOBI,2018-05-27 00:00:00,0.6246,0.6866,0.6077,0.6602,6823617.69250644,0.0
btmusdt,HUOBI,2018-05-28 00:00:00,0.6596,0.6789,0.6005,0.6294,6493214.328596496,0.0
btmusdt,HUOBI,2018-05-29 00:00:00,0.6297,0.6455,0.6,0.6372,4737265.745253007,0.0
btmusdt,HUOBI,2018-05-30 00:00:00,0.6372,0.6549,0.6126,0.6199,5477762.0762638375,0.0
btmusdt,HUOBI,2018-05-31 00:00:00,0.6193,0.6399,0.6098,0.633,5010819.444866307,0.0
btmusdt,HUOBI,2018-06-01 00:00:00,0.6336,0.6572,0.6219,0.6276,5294691.511378235,0.0
btmusdt,HUOBI,2018-06-02 00:00:00,0.6276,0.67,0.627,0.6446,5829907.384063677,0.0
btmusdt,HUOBI,2018-06-03 00:00:00,0.6451,0.7277,0.639,0.7172,8575956.87798308,0.0
btmusdt,HUOBI,2018-06-04 00:00:00,0.7178,0.7256,0.6377,0.6481,7136936.713069227,0.0
btmusdt,HUOBI,2018-06-05 00:00:00,0.648,0.658,0.6195,0.6494,3764461.6898260037,0.0
btmusdt,HUOBI,2018-06-06 00:00:00,0.6494,0.668,0.635,0.6578,3386463.7714777924,0.0
btmusdt,HUOBI,2018-06-07 00:00:00,0.6577,0.66,0.6346,0.6415,2498957.6541104866,0.0
btmusdt,HUOBI,2018-06-08 00:00:00,0.6423,0.648,0.6178,0.6293,3373057.857462687,0.0
btmusdt,HUOBI,2018-06-09 00:00:00,0.6293,0.6387,0.622,0.6307,2135289.3204112356,0.0
btmusdt,HUOBI,2018-06-10 00:00:00,0.631,0.6329,0.5752,0.5789,2629597.0039241537,0.0
btmusdt,HUOBI,2018-06-11 00:00:00,0.5793,0.582,0.4901,0.4913,4763135.388426514,0.0
btmusdt,HUOBI,2018-06-12 00:00:00,0.4918,0.5335,0.4913,0.5069,2665339.8857190018,0.0
btmusdt,HUOBI,2018-06-13 00:00:00,0.5063,0.568,0.47,0.5017,6890997.450319868,0.0
btmusdt,HUOBI,2018-06-14 00:00:00,0.5005,0.5435,0.479,0.5025,4453222.582057191,0.0
btmusdt,HUOBI,2018-06-15 00:00:00,0.5029,0.5659,0.5029,0.5648,5778697.618575064,0.0
btmusdt,HUOBI,2018-06-16 00:00:00,0.5648,0.5987,0.5561,0.5691,4979428.654505124,0.0
btmusdt,HUOBI,2018-06-17 00:00:00,0.57,0.5825,0.5505,0.5747,2424280.208890529,0.0
btmusdt,HUOBI,2018-06-18 00:00:00,0.5748,0.5849,0.5291,0.5436,2454413.944445879,0.0
btmusdt,HUOBI,2018-06-19 00:00:00,0.5436,0.5732,0.5295,0.545,3481464.2052232907,0.0
btmusdt,HUOBI,2018-06-20 00:00:00,0.5449,0.548,0.51,0.5255,3486528.8885003356,0.0
btmusdt,HUOBI,2018-06-21 00:00:00,0.5255,0.5271,0.5077,0.5099,2049923.2965597948,0.0
btmusdt,HUOBI,2018-06-22 00:00:00,0.51,0.5114,0.4176,0.4335,3380646.945557421,0.0
btmusdt,HUOBI,2018-06-23 00:00:00,0.4333,0.4369,0.3904,0.3945,2897335.3370448505,0.0
