symbol,exchange,datetime,open,high,low,close,volume,open_interest
btsusdt,HUOBI,2018-04-15 00:00:00,0.1761,0.264,0.1761,0.2211,5492760.467771141,0.0
btsusdt,HUOBI,2018-04-16 00:00:00,0.2211,0.239,0.198,0.2095,6440959.861129726,0.0
btsusdt,HUOBI,2018-04-17 00:00:00,0.2096,0.2195,0.2035,0.2167,3555269.367792986,0.0
btsusdt,HUOBI,2018-04-18 00:00:00,0.2167,0.226,0.2074,0.2209,3080351.8263352164,0.0
btsusdt,HUOBI,2018-04-19 00:00:00,0.2215,0.235,0.2186,0.2342,3488588.290877555,0.0
btsusdt,HUOBI,2018-04-20 00:00:00,0.2343,0.2589,0.2342,0.2532,3766642.546152118,0.0
btsusdt,HUOBI,2018-04-21 00:00:00,0.2521,0.288,0.24,0.272,5850908.289608202,0.0
btsusdt,HUOBI,2018-04-22 00:00:00,0.2726,0.2772,0.2545,0.2698,4710250.670115191,0.0
btsusdt,HUOBI,2018-04-23 00:00:00,0.2698,0.2767,0.2543,0.2705,3538557.478369019,0.0
btsusdt,HUOBI,2018-04-24 00:00:00,0.2703,0.2999,0.265,0.2868,4719777.740181081,0.0
btsusdt,HUOBI,2018-04-25 00:00:00,0.2868,0.3075,0.243,0.2526,4660625.506038406,0.0
btsusdt,HUOBI,2018-04-26 00:00:00,0.2528,0.2672,0.2395,0.2598,2182212.9360505315,0.0
btsusdt,HUOBI,2018-04-27 00:00:00,0.26,0.283,0.258,0.2773,1086348.5665262598,0.0
btsusdt,HUOBI,2018-04-28 00:00:00,0.2774,0.2843,0.259,0.2781,1544819.0123829625,0.0
btsusdt,HUOBI,2018-04-29 00:00:00,0.2777,0.3502,0.272,0.3368,3690923.9907914656,0.0
btsusdt,HUOBI,2018-04-30 00:00:00,0.3368,0.4445,0.31,0.3971,11225436.118164128,0.0
btsusdt,HUOBI,2018-05-01 00:00:00,0.3933,0.3933,0.3211,0.3565,5829478.600035581,0.0
btsusdt,HUOBI,2018-05-02 00:00:00,0.3566,0.3855,0.3501,0.364,2632304.2142989086,0.0
btsusdt,HUOBI,2018-05-03 00:00:00,0.3642,0.387,0.358,0.3625,2961998.6006157366,0.0
btsusdt,HUOBI,2018-05-04 00:00:00,0.3625,0.3677,0.3435,0.3459,2110967.355055773,0.0
btsusdt,HUOBI,2018-05-05 00:00:00,0.3462,0.3686,0.3456,0.358,1964415.0828502264,0.0
btsusdt,HUOBI,2018-05-06 00:00:00,0.3585,0.3585,0.3071,0.3166,2625736.322336117,0.0
btsusdt,HUOBI,2018-05-07 00:00:00,0.3166,0.3367,0.2953,0.3064,1888328.5094464829,0.0
btsusdt,HUOBI,2018-05-08 00:00:00,0.307,0.3294,0.3012,0.3102,1496033.447891105,0.0
btsusdt,HUOBI,2018-05-09 00:00:00,0.3108,0.315,0.29,0.3063,1209541.8424380422,0.0
btsusdt,HUOBI,2018-05-10 00:00:00,0.3062,0.313,0.2998,0.3061,1025949.8136059971,0.0
btsusdt,HUOBI,2018-05-11 00:00:00,0.3059,0.3082,0.2308,0.2501,2407284.710238848,0.0
btsusdt,HUOBI,2018-05-12 00:00:00,0.2498,0.2622,0.21,0.2307,1625942.597507617,0.0
btsusdt,HUOBI,2018-05-13 00:00:00,0.2304,0.2554,0.2239,0.2523,1527505.3895130702,0.0
btsusdt,HUOBI,2018-05-14 00:00:00,0.2523,0.26,0.2333,0.2543,1766202.2968842231,0.0
btsusdt,HUOBI,2018-05-15 00:00:00,0.2559,0.271,0.2479,0.2528,1550638.4189934232,0.0
btsusdt,HUOBI,2018-05-16 00:00:00,0.2529,0.2613,0.2366,0.2436,1029317.6157726626,0.0
btsusdt,HUOBI,2018-05-17 00:00:00,0.2436,0.2635,0.2406,0.2588,1118694.0619811127,0.0
btsusdt,HUOBI,2018-05-18 00:00:00,0.2587,0.2695,0.2351,0.248,1406872.900413903,0.0
btsusdt,HUOBI,2018-05-19 00:00:00,0.248,0.2712,0.246,0.2631,1656000.6776334823,0.0
btsusdt,HUOBI,2018-05-20 00:00:00,0.2617,0.2689,0.2533,0.2668,1151316.8069172308,0.0
btsusdt,HUOBI,2018-05-21 00:00:00,0.2664,0.2727,0.25,0.2535,1431679.511869842,0.0
btsusdt,HUOBI,2018-05-22 00:00:00,0.2529,0.2588,0.2331,0.2418,772419.9096938998,0.0
btsusdt,HUOBI,2018-05-23 00:00:00,0.2418,0.2445,0.1989,0.2025,1124792.6318253363,0.0
btsusdt,HUOBI,2018-05-24 00:00:00,0.2023,0.2102,0.181,0.2072,1469698.5924339409,0.0
btsusdt,HUOBI,2018-05-25 00:00:00,0.2068,0.2088,0.1912,0.1984,780467.48394133,0.0
btsusdt,HUOBI,2018-05-26 00:00:00,0.1981,0.2044,0.19,0.2002,769370.92499807,0.0
btsusdt,HUOBI,2018-05-27 00:00:00,0.2002,0.2073,0.1945,0.205,1638669.197895967,0.0
btsusdt,HUOBI,2018-05-28 00:00:00,0.2047,0.208,0.1897,0.1924,1977005.9917464375,0.0
btsusdt,HUOBI,2018-05-29 00:00:00,0.1921,0.2038,0.1831,0.1988,1306064.8893061178,0.0
btsusdt,HUOBI,2018-05-30 00:00:00,0.1989,0.2073,0.1933,0.196,1666261.2643589196,0.0
btsusdt,HUOBI,2018-05-31 00:00:00,0.1959,0.2051,0.192,0.2015,1937260.8174663214,0.0
btsusdt,HUOBI,2018-06-01 00:00:00,0.2015,0.21,0.1962,0.207,2816126.519722347,0.0
btsusdt,HUOBI,2018-06-02 00:00:00,0.207,0.2258,0.2025,0.2208,3294256.5992040327,0.0
btsusdt,HUOBI,2018-06-03 00:00:00,0.2208,0.25,0.218,0.2406,3977208.674893804,0.0
btsusdt,HUOBI,2018-06-04 00:00:00,0.2406,0.241,0.2118,0.2164,2495915.6605572826,0.0
btsusdt,HUOBI,2018-06-05 00:00:00,0.2166,0.2221,0.2051,0.2192,1318021.7903683828,0.0
btsusdt,HUOBI,2018-06-06 00:00:00,0.2192,0.231,0.2178,0.2225,1622195.2488189235,0.0
btsusdt,HUOBI,2018-06-07 00:00:00,0.2217,0.2264,0.2124,0.2175,1057638.3610680327,0.0
btsusdt,HUOBI,2018-06-08 00:00:00,0.2178,0.222,0.2103,0.2152,1034788.09302414,0.0
btsusdt,HUOBI,2018-06-09 00:00:00,0.2152,0.218,0.2094,0.2118,936580.28597,0.0
btsusdt,HUOBI,2018-06-10 00:00:00,0.2119,0.2122,0.1831,0.1897,1076567.2509952525,0.0
btsusdt,HUOBI,2018-06-11 00:00:00,0.1898,0.1899,0.1529,0.1561,1358967.4968343652,0.0
btsusdt,HUOBI,2018-06-12 00:00:00,0.1562,0.1804,0.1547,0.1646,1334277.6987221492,0.0
btsusdt,HUOBI,2018-06-13 00:00:00,0.165,0.1669,0.1501,0.1513,1012489.2438307168,0.0
btsusdt,HUOBI,2018-06-14 00:00:00,0.1513,0.1649,0.1416,0.1547,1538191.8681151017,0.0
btsusdt,HUOBI,2018-06-15 00:00:00,0.1547,0.168,0.1545,0.1613,1288954.4512200893,0.0
btsusdt,HUOBI,2018-06-16 00:00:00,0.1612,0.1647,0.155,0.1577,981029.3634093679,0.0
btsusdt,HUOBI,2018-06-17 00:00:00,0.158,0.1638,0.1568,0.16,507178.3907644399,0.0
btsusdt,HUOBI,2018-06-18 00:00:00,0.1602,0.1615,0.155,0.1559,412682.3990366791,0.0
btsusdt,HUOBI,2018-06-19 00:00:00,0.1564,0.168,0.1557,0.1627,820105.3734627943,0.0
btsusdt,HUOBI,2018-06-20 00:00:00,0.1624,0.1626,0.1566,0.1608,501579.11684054753,0.0
btsusdt,HUOBI,2018-06-21 00:00:00,0.1609,0.1647,0.1586,0.1593,509987.11421779287,0.0
btsusdt,HUOBI,2018-06-22 00:00:00,0.1594,0.1608,0.1386,0.1405,979001.15867996,0.0
