symbol,exchange,datetime,open,high,low,close,volume,open_interest
canusdt,HUOBI,2021-04-21 00:00:00,18.7973,65.0,18.7973,45.0003,30737571.165920444,0.0
canusdt,HUOBI,2021-04-22 00:00:00,45.7994,51.0,33.6027,38.1464,8051537.443075423,0.0
canusdt,HUOBI,2021-04-23 00:00:00,38.1467,38.8,25.0,28.9,10661364.713005992,0.0
canusdt,HUOBI,2021-04-24 00:00:00,28.9006,37.1435,27.025,29.9113,25705718.956965256,0.0
canusdt,HUOBI,2021-04-25 00:00:00,29.9117,33.563,27.1057,29.9738,25402785.876501758,0.0
canusdt,HUOBI,2021-04-26 00:00:00,30.6516,30.8,27.63,30.2943,15745244.89981613,0.0
canusdt,HUOBI,2021-04-27 00:00:00,29.9656,43.0,29.7018,37.9957,11955106.205894846,0.0
canusdt,HUOBI,2021-04-28 00:00:00,37.9953,38.0001,30.8003,32.9502,5939553.151007744,0.0
canusdt,HUOBI,2021-04-29 00:00:00,32.9503,33.33,29.9799,31.3499,5528393.1195317395,0.0
canusdt,HUOBI,2021-04-30 00:00:00,31.3845,33.86,29.9999,31.2686,5145280.593747621,0.0
canusdt,HUOBI,2021-05-01 00:00:00,31.2687,31.476,30.0,30.4389,4813759.0938870385,0.0
canusdt,HUOBI,2021-05-02 00:00:00,30.57,30.8627,28.0,29.2292,4361335.307849067,0.0
canusdt,HUOBI,2021-05-03 00:00:00,29.2289,30.58,28.0,28.956,4550192.280697689,0.0
canusdt,HUOBI,2021-05-04 00:00:00,29.0,29.2751,25.1,26.0975,3874154.591033422,0.0
canusdt,HUOBI,2021-05-05 00:00:00,25.9151,28.4848,23.58,27.0212,4601678.180060538,0.0
canusdt,HUOBI,2021-05-06 00:00:00,27.0154,30.3333,24.33,25.5,4080037.661322464,0.0
canusdt,HUOBI,2021-05-07 00:00:00,25.5432,26.014,22.8,25.1225,4068672.740213135,0.0
canusdt,HUOBI,2021-05-08 00:00:00,25.1247,25.401,22.92,23.2117,3370182.9559450755,0.0
canusdt,HUOBI,2021-05-09 00:00:00,23.2116,23.714,21.3331,22.0345,3975472.3704034737,0.0
canusdt,HUOBI,2021-05-10 00:00:00,22.0344,29.8,21.8466,24.5689,9107006.118436523,0.0
canusdt,HUOBI,2021-05-11 00:00:00,24.569,28.8999,21.4001,26.2662,6600974.782173599,0.0
canusdt,HUOBI,2021-05-12 00:00:00,25.9296,26.6743,24.6772,25.9969,3400898.3728619437,0.0
canusdt,HUOBI,2021-05-13 00:00:00,25.9656,25.9979,19.1819,22.0421,2963483.3435225617,0.0
canusdt,HUOBI,2021-05-14 00:00:00,22.0553,22.4392,19.6594,21.2792,2171975.804505893,0.0
canusdt,HUOBI,2021-05-15 00:00:00,21.2794,21.2833,19.2,20.0241,3021418.9478911217,0.0
canusdt,HUOBI,2021-05-16 00:00:00,20.0242,21.7795,17.7973,18.2883,3588847.208839555,0.0
canusdt,HUOBI,2021-05-17 00:00:00,18.2884,18.2935,15.9228,16.2458,3445936.111723905,0.0
canusdt,HUOBI,2021-05-18 00:00:00,16.2442,17.1806,15.4696,15.6478,2871831.964980664,0.0
canusdt,HUOBI,2021-05-19 00:00:00,15.6052,16.9998,9.5168,11.0871,2808183.234710801,0.0
canusdt,HUOBI,2021-05-20 00:00:00,11.1375,12.375,8.8485,11.7908,2392954.36558956,0.0
canusdt,HUOBI,2021-05-21 00:00:00,11.7531,17.1184,9.6804,9.7088,4074732.120116744,0.0
canusdt,HUOBI,2021-05-22 00:00:00,9.7087,10.2216,8.3275,8.985,1437685.97740177,0.0
canusdt,HUOBI,2021-05-23 00:00:00,9.0068,9.3988,7.0541,7.4351,695967.67894808,0.0
canusdt,HUOBI,2021-05-24 00:00:00,7.4351,8.7404,6.5001,8.2796,2489551.9526758953,0.0
canusdt,HUOBI,2021-05-25 00:00:00,8.2793,10.0,8.0001,8.4055,2937644.541767233,0.0
canusdt,HUOBI,2021-05-26 00:00:00,8.4121,11.0,8.3874,9.5012,2968112.6228948087,0.0
canusdt,HUOBI,2021-05-27 00:00:00,9.4777,9.6809,8.6317,9.5814,2367700.60115538,0.0
canusdt,HUOBI,2021-05-28 00:00:00,9.5811,9.5814,8.02,8.6139,2306062.8168370384,0.0
canusdt,HUOBI,2021-05-29 00:00:00,8.6184,8.621,7.1506,7.4552,1586666.058073043,0.0
canusdt,HUOBI,2021-05-30 00:00:00,7.4511,8.6133,7.327,8.017,2295081.104357721,0.0
canusdt,HUOBI,2021-05-31 00:00:00,8.0188,11.0,8.0188,8.7794,3882151.983966684,0.0
canusdt,HUOBI,2021-06-01 00:00:00,8.779,8.7888,7.7958,8.3741,2079840.756900596,0.0
canusdt,HUOBI,2021-06-02 00:00:00,8.3925,8.5659,7.8,8.5079,2026301.17755342,0.0
canusdt,HUOBI,2021-06-03 00:00:00,8.5076,8.615,8.1985,8.2762,2218316.34814579,0.0
canusdt,HUOBI,2021-06-04 00:00:00,8.2764,8.73,7.8116,8.3842,1930876.9087608275,0.0
canusdt,HUOBI,2021-06-05 00:00:00,8.375,8.4651,7.8203,8.3644,1823811.8975226418,0.0
canusdt,HUOBI,2021-06-06 00:00:00,8.3493,8.3493,7.4558,7.9473,1701837.5571473786,0.0
canusdt,HUOBI,2021-06-07 00:00:00,7.9378,7.9707,7.3858,7.5989,1524382.06012003,0.0
canusdt,HUOBI,2021-06-08 00:00:00,7.6154,7.6154,6.0432,6.2729,1678754.664727904,0.0
canusdt,HUOBI,2021-06-09 00:00:00,6.2772,6.7688,6.0318,6.6244,1399612.27024907,0.0
canusdt,HUOBI,2021-06-10 00:00:00,6.626,6.7,6.2258,6.3017,1214888.49016338,0.0
canusdt,HUOBI,2021-06-11 00:00:00,6.3014,6.3392,5.6001,5.9241,664569.4490768099,0.0
canusdt,HUOBI,2021-06-12 00:00:00,5.9396,6.044,5.2036,5.3169,140443.72548555,0.0
canusdt,HUOBI,2021-06-13 00:00:00,5.2811,5.99,4.5574,4.9799,266252.74945504,0.0
canusdt,HUOBI,2021-06-14 00:00:00,4.9799,5.4629,4.9001,5.3121,177089.7844657452,0.0
canusdt,HUOBI,2021-06-15 00:00:00,5.4022,18.0,5.345,10.8,34917167.49843177,0.0
canusdt,HUOBI,2021-06-16 00:00:00,10.8094,14.5,9.2471,11.9001,12928736.154502578,0.0
canusdt,HUOBI,2021-06-17 00:00:00,11.9,11.9001,9.7087,11.1052,5035130.906644432,0.0
canusdt,HUOBI,2021-06-18 00:00:00,11.1084,14.8,10.5004,12.524,11564668.247843387,0.0
canusdt,HUOBI,2021-06-19 00:00:00,12.524,13.4999,10.6,11.5901,4880707.184709827,0.0
canusdt,HUOBI,2021-06-20 00:00:00,11.59,11.5902,7.7344,8.8163,3870555.135349323,0.0
canusdt,HUOBI,2021-06-21 00:00:00,8.8163,8.8163,5.6,6.6552,2772019.286027949,0.0
canusdt,HUOBI,2021-06-22 00:00:00,6.6551,6.6845,5.0,6.4795,2174175.469078935,0.0
canusdt,HUOBI,2021-06-23 00:00:00,6.4571,7.5,5.7445,7.1451,1736294.3180293262,0.0
canusdt,HUOBI,2021-06-24 00:00:00,7.1351,7.4483,6.5612,7.221,1017728.8583918747,0.0
canusdt,HUOBI,2021-06-25 00:00:00,7.2213,7.5801,6.1242,7.5401,3577435.2769765817,0.0
canusdt,HUOBI,2021-06-26 00:00:00,7.5401,7.5401,6.11,6.6762,595394.48480522,0.0
canusdt,HUOBI,2021-06-27 00:00:00,6.6312,6.6379,5.9,6.3959,302127.60296794,0.0
canusdt,HUOBI,2021-06-28 00:00:00,6.39,6.9643,6.0807,6.5673,584519.8556531647,0.0
canusdt,HUOBI,2021-06-29 00:00:00,6.5997,9.0,6.219,8.1711,2148677.5688618193,0.0
canusdt,HUOBI,2021-06-30 00:00:00,8.1711,10.6319,7.155,7.3567,2397825.0741146198,0.0
canusdt,HUOBI,2021-07-01 00:00:00,7.3567,8.8,6.9311,7.5166,1217829.4572415638,0.0
canusdt,HUOBI,2021-07-02 00:00:00,7.4937,7.4999,6.6014,7.0019,396130.59250802314,0.0
canusdt,HUOBI,2021-07-03 00:00:00,6.9584,7.058,6.4507,6.7839,448461.80040028,0.0
canusdt,HUOBI,2021-07-04 00:00:00,6.7126,7.1698,6.6003,6.85,401305.90173319,0.0
canusdt,HUOBI,2021-07-05 00:00:00,6.8884,7.0102,6.3031,6.3709,442843.98934009,0.0
canusdt,HUOBI,2021-07-06 00:00:00,6.3413,7.18,6.3379,6.6497,887479.2888326817,0.0
canusdt,HUOBI,2021-07-07 00:00:00,6.6454,6.7019,6.35,6.5464,349143.04540841,0.0
canusdt,HUOBI,2021-07-08 00:00:00,6.5293,6.8,6.1398,6.6004,548699.5892871284,0.0
canusdt,HUOBI,2021-07-09 00:00:00,6.5727,6.6499,6.08,6.39,236180.05219598114,0.0
canusdt,HUOBI,2021-07-10 00:00:00,6.3978,6.4071,6.0601,6.0861,125703.44025208,0.0
