symbol,exchange,datetime,open,high,low,close,volume,open_interest
chrusdt,HUOBI,2020-07-31 00:00:00,0.021025,0.074,0.021025,0.060196,4107889.7951980885,0.0
chrusdt,HUOBI,2020-08-01 00:00:00,0.060197,0.061,0.055122,0.056363,965689.6842285028,0.0
chrusdt,HUOBI,2020-08-02 00:00:00,0.05637,0.056395,0.045013,0.053503,795925.4586018245,0.0
chrusdt,HUOBI,2020-08-03 00:00:00,0.05361,0.056381,0.052441,0.053163,292835.36428471166,0.0
chrusdt,HUOBI,2020-08-04 00:00:00,0.053212,0.058,0.051871,0.055005,740314.441833535,0.0
chrusdt,HUOBI,2020-08-05 00:00:00,0.054985,0.055821,0.052881,0.054356,305337.98087252,0.0
chrusdt,HUOBI,2020-08-06 00:00:00,0.0541,0.058,0.053453,0.055372,437082.99647609,0.0
chrusdt,HUOBI,2020-08-07 00:00:00,0.055643,0.0675,0.055178,0.061547,851899.6826595985,0.0
chrusdt,HUOBI,2020-08-08 00:00:00,0.061286,0.065,0.056159,0.062386,495325.09578032396,0.0
chrusdt,HUOBI,2020-08-09 00:00:00,0.062353,0.06886,0.060502,0.066194,655580.05586149,0.0
chrusdt,HUOBI,2020-08-10 00:00:00,0.066164,0.077777,0.063536,0.072434,1560015.1311825453,0.0
chrusdt,HUOBI,2020-08-11 00:00:00,0.072352,0.091465,0.068597,0.071972,4103834.87547431,0.0
chrusdt,HUOBI,2020-08-12 00:00:00,0.07151,0.078857,0.064396,0.074785,1377007.9317197758,0.0
chrusdt,HUOBI,2020-08-13 00:00:00,0.075708,0.079999,0.066692,0.078123,1070265.845308068,0.0
chrusdt,HUOBI,2020-08-14 00:00:00,0.078064,0.078352,0.070092,0.074545,662509.5728908359,0.0
chrusdt,HUOBI,2020-08-15 00:00:00,0.07471,0.080487,0.071639,0.079112,566754.5230074483,0.0
chrusdt,HUOBI,2020-08-16 00:00:00,0.079232,0.082422,0.073176,0.07529,553411.026328912,0.0
chrusdt,HUOBI,2020-08-17 00:00:00,0.075187,0.076193,0.068261,0.06994,673154.051944813,0.0
chrusdt,HUOBI,2020-08-18 00:00:00,0.069913,0.073989,0.066,0.068424,531171.2530240694,0.0
chrusdt,HUOBI,2020-08-19 00:00:00,0.06825,0.071349,0.06253,0.064894,256902.89244394,0.0
chrusdt,HUOBI,2020-08-20 00:00:00,0.064809,0.0667,0.06,0.065696,160819.94607124,0.0
chrusdt,HUOBI,2020-08-21 00:00:00,0.065696,0.070859,0.064488,0.067722,278358.57065157406,0.0
chrusdt,HUOBI,2020-08-22 00:00:00,0.067728,0.067912,0.05531,0.059655,350267.65779379,0.0
chrusdt,HUOBI,2020-08-23 00:00:00,0.059703,0.064999,0.059,0.063857,322278.7655345013,0.0
chrusdt,HUOBI,2020-08-24 00:00:00,0.063849,0.068602,0.062463,0.066649,124959.75464899,0.0
chrusdt,HUOBI,2020-08-25 00:00:00,0.066689,0.069894,0.060623,0.06171,235450.3754799881,0.0
chrusdt,HUOBI,2020-08-26 00:00:00,0.061767,0.063396,0.057762,0.061951,148907.74216256,0.0
