symbol,exchange,datetime,open,high,low,close,volume,open_interest
cmtusdt,HUOBI,2018-06-12 00:00:00,0.2001,0.266,0.2001,0.2293,1008288.7262132221,0.0
cmtusdt,HUOBI,2018-06-13 00:00:00,0.2293,0.2408,0.2,0.2002,1589445.5773240635,0.0
cmtusdt,HUOBI,2018-06-14 00:00:00,0.2002,0.2197,0.1911,0.2041,1171037.4693259357,0.0
cmtusdt,HUOBI,2018-06-15 00:00:00,0.2052,0.2276,0.2038,0.2145,1140521.3168299482,0.0
cmtusdt,HUOBI,2018-06-16 00:00:00,0.214,0.2175,0.205,0.2055,1131128.8272357814,0.0
cmtusdt,HUOBI,2018-06-17 00:00:00,0.2055,0.216,0.2045,0.2094,1863390.763094943,0.0
cmtusdt,HUOBI,2018-06-18 00:00:00,0.2096,0.2099,0.1941,0.203,3588075.2238496,0.0
cmtusdt,HUOBI,2018-06-19 00:00:00,0.203,0.2246,0.2017,0.2135,6020381.877706409,0.0
cmtusdt,HUOBI,2018-06-20 00:00:00,0.2135,0.2141,0.2011,0.2062,343642.44972475694,0.0
cmtusdt,HUOBI,2018-06-21 00:00:00,0.2062,0.212,0.1986,0.2,437984.96856339654,0.0
cmtusdt,HUOBI,2018-06-22 00:00:00,0.1995,0.2028,0.1558,0.1598,815060.1214635904,0.0
cmtusdt,HUOBI,2018-06-23 00:00:00,0.16,0.169,0.1406,0.1439,767890.9204154764,0.0
cmtusdt,HUOBI,2018-06-24 00:00:00,0.1438,0.1504,0.121,0.122,537189.27124245,0.0
cmtusdt,HUOBI,2018-06-25 00:00:00,0.122,0.15,0.1212,0.1478,1012564.48153961,0.0
cmtusdt,HUOBI,2018-06-26 00:00:00,0.148,0.1516,0.137,0.14,813230.8410618547,0.0
cmtusdt,HUOBI,2018-06-27 00:00:00,0.1401,0.1417,0.1286,0.137,474160.8337226,0.0
cmtusdt,HUOBI,2018-06-28 00:00:00,0.1376,0.1435,0.135,0.1413,357301.3577757947,0.0
cmtusdt,HUOBI,2018-06-29 00:00:00,0.1411,0.1442,0.129,0.1334,313437.67432044,0.0
cmtusdt,HUOBI,2018-06-30 00:00:00,0.1338,0.155,0.1313,0.1502,781661.4129255889,0.0
