symbol,exchange,datetime,open,high,low,close,volume,open_interest
cnnsusdt,HUOBI,2019-07-19 00:00:00,0.004083,0.01698,0.004083,0.00999,14393704.719932431,0.0
cnnsusdt,HUOBI,2019-07-20 00:00:00,0.00998,0.010547,0.009514,0.01011,2092294.4122144752,0.0
cnnsusdt,HUOBI,2019-07-21 00:00:00,0.010111,0.010237,0.0085,0.008693,1575944.4872516687,0.0
cnnsusdt,HUOBI,2019-07-22 00:00:00,0.008661,0.00889,0.0081,0.008499,985431.6938636986,0.0
cnnsusdt,HUOBI,2019-07-23 00:00:00,0.008538,0.008588,0.008013,0.00826,901554.6678072773,0.0
cnnsusdt,HUOBI,2019-07-24 00:00:00,0.008174,0.008365,0.007611,0.0083,514509.01979416,0.0
cnnsusdt,HUOBI,2019-07-25 00:00:00,0.008128,0.008578,0.008006,0.008219,781995.9019516414,0.0
cnnsusdt,HUOBI,2019-07-26 00:00:00,0.008216,0.009396,0.008034,0.008673,1325750.0134282636,0.0
cnnsusdt,HUOBI,2019-07-27 00:00:00,0.008655,0.009299,0.00805,0.008259,759277.673499408,0.0
cnnsusdt,HUOBI,2019-07-28 00:00:00,0.00824,0.00899,0.00805,0.008588,449242.29826315714,0.0
cnnsusdt,HUOBI,2019-07-29 00:00:00,0.008788,0.008844,0.008137,0.008191,456029.98943840095,0.0
cnnsusdt,HUOBI,2019-07-30 00:00:00,0.008192,0.008436,0.008008,0.008275,388627.88490984833,0.0
cnnsusdt,HUOBI,2019-07-31 00:00:00,0.008281,0.008303,0.008018,0.008159,398860.88507589774,0.0
cnnsusdt,HUOBI,2019-08-01 00:00:00,0.008168,0.008458,0.00785,0.008093,363205.81071768,0.0
cnnsusdt,HUOBI,2019-08-02 00:00:00,0.00809,0.008389,0.007927,0.008007,97198.51840217,0.0
cnnsusdt,HUOBI,2019-08-03 00:00:00,0.008002,0.00801,0.007555,0.007786,130787.9248281067,0.0
cnnsusdt,HUOBI,2019-08-04 00:00:00,0.007787,0.007961,0.007599,0.007855,129548.78866455,0.0
cnnsusdt,HUOBI,2019-08-05 00:00:00,0.007854,0.007854,0.00722,0.007559,296784.22004484,0.0
cnnsusdt,HUOBI,2019-08-06 00:00:00,0.007558,0.007664,0.007201,0.00727,145570.84915371,0.0
cnnsusdt,HUOBI,2019-08-07 00:00:00,0.00727,0.007688,0.00712,0.007214,183062.12811686,0.0
cnnsusdt,HUOBI,2019-08-08 00:00:00,0.007214,0.007455,0.00702,0.007202,383651.1335319037,0.0
cnnsusdt,HUOBI,2019-08-09 00:00:00,0.007198,0.007211,0.006596,0.00714,1303665.54698333,0.0
cnnsusdt,HUOBI,2019-08-10 00:00:00,0.007192,0.0074,0.007013,0.007235,1226963.53522973,0.0
cnnsusdt,HUOBI,2019-08-11 00:00:00,0.00723,0.007396,0.00702,0.007176,1520589.40755337,0.0
cnnsusdt,HUOBI,2019-08-12 00:00:00,0.007186,0.007367,0.007099,0.007183,932755.39613722,0.0
cnnsusdt,HUOBI,2019-08-13 00:00:00,0.007174,0.007202,0.00692,0.007053,646480.16606165,0.0
cnnsusdt,HUOBI,2019-08-14 00:00:00,0.007051,0.007546,0.006919,0.007398,309276.0240934126,0.0
cnnsusdt,HUOBI,2019-08-15 00:00:00,0.007396,0.007403,0.00675,0.007109,380911.91612421,0.0
cnnsusdt,HUOBI,2019-08-16 00:00:00,0.007108,0.007135,0.006831,0.006955,331777.97088133,0.0
cnnsusdt,HUOBI,2019-08-17 00:00:00,0.007025,0.007059,0.006833,0.006861,197389.57463611,0.0
cnnsusdt,HUOBI,2019-08-18 00:00:00,0.006861,0.007401,0.00683,0.007198,368598.21034948,0.0
cnnsusdt,HUOBI,2019-08-19 00:00:00,0.007197,0.007351,0.006888,0.00702,381750.75850488,0.0
cnnsusdt,HUOBI,2019-08-20 00:00:00,0.00702,0.007116,0.00688,0.006995,335431.26998054,0.0
cnnsusdt,HUOBI,2019-08-21 00:00:00,0.006984,0.007199,0.006761,0.006935,369877.5716382204,0.0
cnnsusdt,HUOBI,2019-08-22 00:00:00,0.006935,0.007201,0.006877,0.006893,308692.39622042,0.0
cnnsusdt,HUOBI,2019-08-23 00:00:00,0.006899,0.007098,0.006886,0.007044,312682.34462158,0.0
cnnsusdt,HUOBI,2019-08-24 00:00:00,0.007045,0.007067,0.006811,0.006944,78461.35140568,0.0
cnnsusdt,HUOBI,2019-08-25 00:00:00,0.006954,0.007142,0.006869,0.007075,96815.14430543,0.0
cnnsusdt,HUOBI,2019-08-26 00:00:00,0.007042,0.007201,0.006983,0.007201,94171.11492066,0.0
cnnsusdt,HUOBI,2019-08-27 00:00:00,0.0072,0.008618,0.007098,0.008561,596651.4403952704,0.0
cnnsusdt,HUOBI,2019-08-28 00:00:00,0.008593,0.008851,0.00782,0.007924,689953.3637526436,0.0
cnnsusdt,HUOBI,2019-08-29 00:00:00,0.007929,0.008231,0.0072,0.007982,347192.0066883627,0.0
cnnsusdt,HUOBI,2019-08-30 00:00:00,0.007994,0.008095,0.00741,0.0078,176289.66922817,0.0
cnnsusdt,HUOBI,2019-08-31 00:00:00,0.007824,0.007998,0.007502,0.007573,105053.25941627558,0.0
cnnsusdt,HUOBI,2019-09-01 00:00:00,0.007597,0.007798,0.0074,0.007612,147727.01890707,0.0
cnnsusdt,HUOBI,2019-09-02 00:00:00,0.007612,0.007647,0.0074,0.007537,125429.87373772,0.0
cnnsusdt,HUOBI,2019-09-03 00:00:00,0.00753,0.00788,0.007454,0.007613,114431.20567347,0.0
cnnsusdt,HUOBI,2019-09-04 00:00:00,0.007607,0.007742,0.007429,0.007467,66786.32183593,0.0
cnnsusdt,HUOBI,2019-09-05 00:00:00,0.007465,0.007571,0.007321,0.007439,112988.62521175,0.0
cnnsusdt,HUOBI,2019-09-06 00:00:00,0.007445,0.00759,0.00737,0.007528,108324.59253239,0.0
