symbol,exchange,datetime,open,high,low,close,volume,open_interest
compusdt,HUOBI,2020-08-19 00:00:00,153.61,197.88,153.61,182.45,4742850.809276803,0.0
compusdt,HUOBI,2020-08-20 00:00:00,183.04,190.01,176.24,184.03,1523040.3120318362,0.0
compusdt,HUOBI,2020-08-21 00:00:00,184.02,190.06,171.17,176.44,2430676.1524656382,0.0
compusdt,HUOBI,2020-08-22 00:00:00,176.39,176.39,160.76,168.62,890544.2420289612,0.0
compusdt,HUOBI,2020-08-23 00:00:00,168.93,175.57,164.33,168.97,1210553.5286129606,0.0
compusdt,HUOBI,2020-08-24 00:00:00,168.82,187.05,166.42,184.29,1239092.5607802477,0.0
compusdt,HUOBI,2020-08-25 00:00:00,185.34,188.66,165.0,169.49,1764569.5145157347,0.0
compusdt,HUOBI,2020-08-26 00:00:00,169.48,182.0,161.2,181.4,1182969.967771385,0.0
compusdt,HUOBI,2020-08-27 00:00:00,181.39,185.71,168.0,171.54,1031236.7972228735,0.0
compusdt,HUOBI,2020-08-28 00:00:00,171.54,195.01,165.0,193.99,1264040.1432562487,0.0
compusdt,HUOBI,2020-08-29 00:00:00,194.14,204.0,184.94,193.28,1241941.3417458336,0.0
compusdt,HUOBI,2020-08-30 00:00:00,193.8,255.0,190.01,207.17,4865545.474481159,0.0
compusdt,HUOBI,2020-08-31 00:00:00,207.11,230.8,206.56,227.79,3805079.124827447,0.0
compusdt,HUOBI,2020-09-01 00:00:00,228.27,272.59,228.09,248.22,7737781.87420746,0.0
compusdt,HUOBI,2020-09-02 00:00:00,248.8,265.99,206.69,212.66,4558633.470130831,0.0
compusdt,HUOBI,2020-09-03 00:00:00,212.01,250.0,190.33,198.67,5526752.592979656,0.0
compusdt,HUOBI,2020-09-04 00:00:00,198.57,220.0,178.22,184.21,5412414.7778914925,0.0
compusdt,HUOBI,2020-09-05 00:00:00,184.03,198.56,161.79,171.24,3851576.4548886158,0.0
compusdt,HUOBI,2020-09-06 00:00:00,171.47,172.71,145.3,162.08,2457297.3750856044,0.0
compusdt,HUOBI,2020-09-07 00:00:00,162.12,179.18,153.85,170.32,2224572.683678616,0.0
compusdt,HUOBI,2020-09-08 00:00:00,170.2,184.78,167.18,172.32,1792691.9154817155,0.0
compusdt,HUOBI,2020-09-09 00:00:00,172.3,180.0,167.4,178.58,1695228.757357841,0.0
compusdt,HUOBI,2020-09-10 00:00:00,178.58,186.49,175.55,179.79,1907627.87271625,0.0
compusdt,HUOBI,2020-09-11 00:00:00,179.59,179.59,161.0,174.65,2668736.968422148,0.0
compusdt,HUOBI,2020-09-12 00:00:00,174.65,177.2,169.47,173.24,1344231.99687983,0.0
compusdt,HUOBI,2020-09-13 00:00:00,173.29,184.98,164.3,164.88,2109239.1717889784,0.0
compusdt,HUOBI,2020-09-14 00:00:00,164.7,170.64,159.22,169.95,1867343.3277900463,0.0
compusdt,HUOBI,2020-09-15 00:00:00,170.25,170.27,155.79,159.08,1118335.414792348,0.0
compusdt,HUOBI,2020-09-16 00:00:00,159.14,160.98,147.28,152.67,1515430.482255752,0.0
compusdt,HUOBI,2020-09-17 00:00:00,152.62,159.42,147.24,151.64,1223670.6761176607,0.0
compusdt,HUOBI,2020-09-18 00:00:00,151.61,167.79,147.24,157.25,3294364.76921916,0.0
compusdt,HUOBI,2020-09-19 00:00:00,157.08,157.87,151.12,152.13,655527.21992673,0.0
compusdt,HUOBI,2020-09-20 00:00:00,152.1,156.37,144.86,145.38,684506.88575445,0.0
compusdt,HUOBI,2020-09-21 00:00:00,145.09,145.93,124.51,127.88,1698046.32193865,0.0
compusdt,HUOBI,2020-09-22 00:00:00,127.64,142.89,125.9,139.68,1666532.39135366,0.0
compusdt,HUOBI,2020-09-23 00:00:00,139.57,146.88,136.75,137.79,1517866.68431511,0.0
compusdt,HUOBI,2020-09-24 00:00:00,137.71,139.85,124.49,138.63,1305089.56387113,0.0
compusdt,HUOBI,2020-09-25 00:00:00,138.61,141.61,133.07,136.69,1153265.4156625844,0.0
compusdt,HUOBI,2020-09-26 00:00:00,136.79,147.51,136.52,145.18,1613137.7784103819,0.0
compusdt,HUOBI,2020-09-27 00:00:00,145.13,147.69,135.55,139.71,717579.04577537,0.0
compusdt,HUOBI,2020-09-28 00:00:00,139.73,141.46,131.0,136.78,1112133.3999889905,0.0
compusdt,HUOBI,2020-09-29 00:00:00,136.94,139.98,128.63,129.88,1263301.89825195,0.0
compusdt,HUOBI,2020-09-30 00:00:00,129.9,136.31,127.68,133.42,1036864.8428893066,0.0
compusdt,HUOBI,2020-10-01 00:00:00,133.42,139.92,130.95,134.42,721884.1936418986,0.0
compusdt,HUOBI,2020-10-02 00:00:00,133.91,133.91,116.53,120.23,1938099.3507459236,0.0
compusdt,HUOBI,2020-10-03 00:00:00,120.3,125.6,117.47,122.69,918161.32306244,0.0
compusdt,HUOBI,2020-10-04 00:00:00,122.71,124.99,117.38,117.64,822389.42756843,0.0
compusdt,HUOBI,2020-10-05 00:00:00,117.4,124.97,117.02,124.09,1699848.7673356838,0.0
compusdt,HUOBI,2020-10-06 00:00:00,124.25,124.64,102.18,108.99,2430553.3786766445,0.0
compusdt,HUOBI,2020-10-07 00:00:00,109.01,110.69,101.17,104.0,4230435.786468173,0.0
compusdt,HUOBI,2020-10-08 00:00:00,103.98,113.58,102.3,110.97,4676147.45439386,0.0
compusdt,HUOBI,2020-10-09 00:00:00,111.15,117.8,103.5,114.93,3538036.5201024194,0.0
compusdt,HUOBI,2020-10-10 00:00:00,114.93,119.99,110.7,116.48,3005544.1448873547,0.0
compusdt,HUOBI,2020-10-11 00:00:00,116.51,118.0,111.29,113.66,1376097.70378975,0.0
compusdt,HUOBI,2020-10-12 00:00:00,113.81,117.08,112.0,116.23,1374030.83599216,0.0
compusdt,HUOBI,2020-10-13 00:00:00,116.17,120.75,112.34,113.85,1332055.2214084622,0.0
compusdt,HUOBI,2020-10-14 00:00:00,113.82,115.43,108.05,108.62,1030901.16969467,0.0
compusdt,HUOBI,2020-10-15 00:00:00,108.64,109.75,104.69,107.58,984949.1456769631,0.0
compusdt,HUOBI,2020-10-16 00:00:00,107.6,108.37,99.42,103.25,1326469.023164,0.0
compusdt,HUOBI,2020-10-17 00:00:00,103.22,105.91,102.44,102.97,591914.6628233277,0.0
compusdt,HUOBI,2020-10-18 00:00:00,102.81,107.82,101.58,104.85,602694.4547708,0.0
compusdt,HUOBI,2020-10-19 00:00:00,104.79,105.64,101.45,104.69,524363.59981575,0.0
compusdt,HUOBI,2020-10-20 00:00:00,104.8,105.74,93.27,94.86,660066.82883633,0.0
compusdt,HUOBI,2020-10-21 00:00:00,94.8,98.49,92.71,98.09,1094634.19119397,0.0
compusdt,HUOBI,2020-10-22 00:00:00,98.15,100.68,94.5,98.57,1345667.63186945,0.0
compusdt,HUOBI,2020-10-23 00:00:00,98.69,106.53,98.53,103.26,1309568.5893660092,0.0
compusdt,HUOBI,2020-10-24 00:00:00,103.26,107.3,101.0,105.35,863159.90587901,0.0
compusdt,HUOBI,2020-10-25 00:00:00,105.29,107.74,101.76,103.4,806605.22236229,0.0
compusdt,HUOBI,2020-10-26 00:00:00,103.38,104.82,98.74,101.15,749536.71207837,0.0
compusdt,HUOBI,2020-10-27 00:00:00,100.88,113.75,97.86,109.64,1991345.913570005,0.0
compusdt,HUOBI,2020-10-28 00:00:00,109.82,120.29,108.25,114.88,3723235.305163693,0.0
compusdt,HUOBI,2020-10-29 00:00:00,114.9,114.93,94.69,100.02,2508450.61435573,0.0
compusdt,HUOBI,2020-10-30 00:00:00,99.97,99.97,88.39,94.0,1730918.07010034,0.0
compusdt,HUOBI,2020-10-31 00:00:00,93.97,95.32,89.05,93.55,1152766.93159403,0.0
compusdt,HUOBI,2020-11-01 00:00:00,93.55,94.1,89.42,92.74,470618.96198142,0.0
compusdt,HUOBI,2020-11-02 00:00:00,92.79,99.01,90.13,92.0,783905.51662684,0.0
compusdt,HUOBI,2020-11-03 00:00:00,92.0,92.0,80.6,85.89,1113855.90025337,0.0
compusdt,HUOBI,2020-11-04 00:00:00,85.97,87.84,82.26,82.36,290109.48105819,0.0
compusdt,HUOBI,2020-11-05 00:00:00,82.38,91.9,81.38,89.56,700612.72380769,0.0
compusdt,HUOBI,2020-11-06 00:00:00,89.68,99.68,88.54,95.74,1114298.84985775,0.0
compusdt,HUOBI,2020-11-07 00:00:00,95.75,111.7,94.44,99.57,2046845.8067005414,0.0
compusdt,HUOBI,2020-11-08 00:00:00,99.36,102.28,89.49,99.8,1113404.32488397,0.0
compusdt,HUOBI,2020-11-09 00:00:00,99.89,100.38,93.29,93.9,757221.11979613,0.0
compusdt,HUOBI,2020-11-10 00:00:00,93.83,102.9,93.18,100.34,671036.7370235,0.0
compusdt,HUOBI,2020-11-11 00:00:00,100.28,114.2,100.14,106.38,1402039.02525621,0.0
compusdt,HUOBI,2020-11-12 00:00:00,106.45,110.23,101.22,102.32,875770.70055679,0.0
compusdt,HUOBI,2020-11-13 00:00:00,102.33,109.86,99.47,107.5,1086760.74917289,0.0
compusdt,HUOBI,2020-11-14 00:00:00,107.52,119.0,105.02,114.05,2264181.131329909,0.0
