symbol,exchange,datetime,open,high,low,close,volume,open_interest
crousdt,HUOBI,2019-07-12 00:00:00,0.035,0.28,0.035,0.0998,39058615.65571772,0.0
crousdt,HUOBI,2019-07-13 00:00:00,0.0999,0.1,0.0831,0.0865,4871899.15419926,0.0
crousdt,HUOBI,2019-07-14 00:00:00,0.0865,0.0865,0.0687,0.0718,2773910.5006375117,0.0
crousdt,HUOBI,2019-07-15 00:00:00,0.072,0.083,0.0645,0.076,3348858.2674662806,0.0
crousdt,HUOBI,2019-07-16 00:00:00,0.0761,0.0765,0.0625,0.0641,1622556.16504402,0.0
crousdt,HUOBI,2019-07-17 00:00:00,0.0639,0.067,0.0457,0.052,1128768.0114334845,0.0
crousdt,HUOBI,2019-07-18 00:00:00,0.0523,0.0553,0.048,0.0539,691867.0304847291,0.0
crousdt,HUOBI,2019-07-19 00:00:00,0.054,0.0647,0.052,0.056,1276198.5451815054,0.0
crousdt,HUOBI,2019-07-20 00:00:00,0.056,0.059,0.0537,0.056,412013.28124862886,0.0
crousdt,HUOBI,2019-07-21 00:00:00,0.056,0.0572,0.0525,0.0545,272433.6948573121,0.0
crousdt,HUOBI,2019-07-22 00:00:00,0.0544,0.0643,0.053,0.0614,815582.5934112242,0.0
crousdt,HUOBI,2019-07-23 00:00:00,0.0615,0.0798,0.0615,0.0777,2923899.568184945,0.0
crousdt,HUOBI,2019-07-24 00:00:00,0.0778,0.0789,0.0642,0.067,2660884.9046989838,0.0
crousdt,HUOBI,2019-07-25 00:00:00,0.067,0.0699,0.0589,0.0621,907212.340683266,0.0
crousdt,HUOBI,2019-07-26 00:00:00,0.0624,0.0627,0.0555,0.0582,641137.8985633549,0.0
crousdt,HUOBI,2019-07-27 00:00:00,0.0582,0.0627,0.0545,0.0556,699666.4063267943,0.0
crousdt,HUOBI,2019-07-28 00:00:00,0.0558,0.0588,0.0538,0.0569,453267.11084657337,0.0
crousdt,HUOBI,2019-07-29 00:00:00,0.057,0.0572,0.0533,0.0543,312067.84532259,0.0
crousdt,HUOBI,2019-07-30 00:00:00,0.0545,0.0728,0.0535,0.062,1490296.8110445463,0.0
crousdt,HUOBI,2019-07-31 00:00:00,0.0623,0.0625,0.0554,0.058,377197.9968663021,0.0
crousdt,HUOBI,2019-08-01 00:00:00,0.0578,0.0592,0.0555,0.0558,157083.3631441391,0.0
crousdt,HUOBI,2019-08-02 00:00:00,0.0558,0.0568,0.0537,0.0557,227033.06933213884,0.0
crousdt,HUOBI,2019-08-03 00:00:00,0.0558,0.0565,0.054,0.0543,86521.03013614,0.0
crousdt,HUOBI,2019-08-04 00:00:00,0.0546,0.0558,0.0536,0.0555,118803.3830130148,0.0
crousdt,HUOBI,2019-08-05 00:00:00,0.0554,0.0557,0.0533,0.0543,159365.85723293,0.0
crousdt,HUOBI,2019-08-06 00:00:00,0.0542,0.0542,0.0513,0.0521,307158.04181657,0.0
crousdt,HUOBI,2019-08-07 00:00:00,0.052,0.0529,0.0493,0.0502,1587729.4596067579,0.0
crousdt,HUOBI,2019-08-08 00:00:00,0.0504,0.0508,0.044,0.0468,2075488.3177387905,0.0
crousdt,HUOBI,2019-08-09 00:00:00,0.0465,0.0575,0.0464,0.0545,4549808.792914889,0.0
crousdt,HUOBI,2019-08-10 00:00:00,0.0545,0.0573,0.0504,0.0522,4438520.446983657,0.0
crousdt,HUOBI,2019-08-11 00:00:00,0.0522,0.0536,0.0498,0.0502,2863617.334799724,0.0
crousdt,HUOBI,2019-08-12 00:00:00,0.05,0.0503,0.0468,0.0488,1957824.5175287535,0.0
crousdt,HUOBI,2019-08-13 00:00:00,0.0488,0.049,0.0467,0.048,1915491.4960784605,0.0
crousdt,HUOBI,2019-08-14 00:00:00,0.0478,0.0488,0.0459,0.0476,620142.18946998,0.0
crousdt,HUOBI,2019-08-15 00:00:00,0.0476,0.0488,0.0424,0.043,1653894.73263309,0.0
crousdt,HUOBI,2019-08-16 00:00:00,0.043,0.0462,0.0416,0.0441,308867.6835814945,0.0
crousdt,HUOBI,2019-08-17 00:00:00,0.0443,0.0444,0.0424,0.0435,133448.18925979,0.0
crousdt,HUOBI,2019-08-18 00:00:00,0.0435,0.0472,0.0432,0.0455,297486.55515531375,0.0
crousdt,HUOBI,2019-08-19 00:00:00,0.0456,0.0467,0.0449,0.0459,168590.85626013,0.0
crousdt,HUOBI,2019-08-20 00:00:00,0.0458,0.0472,0.0433,0.0439,246437.876416,0.0
crousdt,HUOBI,2019-08-21 00:00:00,0.0439,0.0445,0.0418,0.042,255012.4706583763,0.0
crousdt,HUOBI,2019-08-22 00:00:00,0.0421,0.0436,0.0418,0.0429,369897.4880361852,0.0
crousdt,HUOBI,2019-08-23 00:00:00,0.043,0.0433,0.0422,0.043,185994.069671,0.0
crousdt,HUOBI,2019-08-24 00:00:00,0.043,0.0432,0.0426,0.0428,45832.122898,0.0
crousdt,HUOBI,2019-08-25 00:00:00,0.0428,0.043,0.0422,0.0422,117030.336467,0.0
crousdt,HUOBI,2019-08-26 00:00:00,0.0422,0.0428,0.0414,0.042,299306.927967,0.0
crousdt,HUOBI,2019-08-27 00:00:00,0.0421,0.0422,0.0406,0.0407,184394.377659,0.0
crousdt,HUOBI,2019-08-28 00:00:00,0.0408,0.0411,0.0402,0.0405,164467.885416,0.0
crousdt,HUOBI,2019-08-29 00:00:00,0.0405,0.0407,0.0394,0.0395,206310.90995284,0.0
crousdt,HUOBI,2019-08-30 00:00:00,0.0394,0.0403,0.0378,0.0387,217025.032535,0.0
crousdt,HUOBI,2019-08-31 00:00:00,0.0387,0.0394,0.0384,0.0389,451342.053659,0.0
crousdt,HUOBI,2019-09-01 00:00:00,0.0389,0.0393,0.0384,0.0388,861160.87422898,0.0
crousdt,HUOBI,2019-09-02 00:00:00,0.0388,0.0396,0.0378,0.0393,537829.0541883085,0.0
crousdt,HUOBI,2019-09-03 00:00:00,0.0394,0.0415,0.0376,0.0377,368610.292455358,0.0
crousdt,HUOBI,2019-09-04 00:00:00,0.0377,0.0379,0.0347,0.0372,682847.5505933005,0.0
crousdt,HUOBI,2019-09-05 00:00:00,0.0371,0.0424,0.0369,0.0412,792993.6026576476,0.0
crousdt,HUOBI,2019-09-06 00:00:00,0.0413,0.0444,0.0404,0.0442,1521366.9643754947,0.0
crousdt,HUOBI,2019-09-07 00:00:00,0.0442,0.0444,0.0403,0.041,355745.216705358,0.0
crousdt,HUOBI,2019-09-08 00:00:00,0.041,0.0414,0.0401,0.0407,857711.037272,0.0
crousdt,HUOBI,2019-09-09 00:00:00,0.0407,0.041,0.0382,0.0391,495168.0170260649,0.0
crousdt,HUOBI,2019-09-10 00:00:00,0.0389,0.0394,0.0378,0.0383,610113.767945,0.0
crousdt,HUOBI,2019-09-11 00:00:00,0.0383,0.039,0.0373,0.0374,62121.115249,0.0
crousdt,HUOBI,2019-09-12 00:00:00,0.0374,0.0406,0.0371,0.04,581723.53071748,0.0
crousdt,HUOBI,2019-09-13 00:00:00,0.04,0.0408,0.0389,0.0392,249556.6537307625,0.0
crousdt,HUOBI,2019-09-14 00:00:00,0.0393,0.04,0.0386,0.0395,71479.823401,0.0
crousdt,HUOBI,2019-09-15 00:00:00,0.0395,0.0402,0.0385,0.0388,201959.33623905,0.0
crousdt,HUOBI,2019-09-16 00:00:00,0.0388,0.0398,0.0384,0.0386,183732.627336,0.0
crousdt,HUOBI,2019-09-17 00:00:00,0.0385,0.0392,0.0371,0.0376,199610.70782304087,0.0
crousdt,HUOBI,2019-09-18 00:00:00,0.0376,0.04,0.0371,0.0392,755190.8078453095,0.0
crousdt,HUOBI,2019-09-19 00:00:00,0.0392,0.0403,0.038,0.0398,562881.570336,0.0
crousdt,HUOBI,2019-09-20 00:00:00,0.0398,0.0409,0.0394,0.0399,353842.996874,0.0
crousdt,HUOBI,2019-09-21 00:00:00,0.04,0.04,0.0386,0.039,511351.286638,0.0
crousdt,HUOBI,2019-09-22 00:00:00,0.039,0.0393,0.038,0.039,47963.12482811,0.0
crousdt,HUOBI,2019-09-23 00:00:00,0.0389,0.0393,0.038,0.0382,447891.0611838979,0.0
crousdt,HUOBI,2019-09-24 00:00:00,0.0381,0.0382,0.0369,0.0371,137259.172235,0.0
crousdt,HUOBI,2019-09-25 00:00:00,0.0371,0.0376,0.0298,0.034,201718.10418164587,0.0
crousdt,HUOBI,2019-09-26 00:00:00,0.0338,0.0361,0.0336,0.0338,292960.54187,0.0
crousdt,HUOBI,2019-09-27 00:00:00,0.0341,0.0352,0.0333,0.0345,89313.89041602857,0.0
crousdt,HUOBI,2019-09-28 00:00:00,0.0347,0.0352,0.0342,0.0344,131405.01839397143,0.0
