symbol,exchange,datetime,open,high,low,close,volume,open_interest
cruusdt,HUOBI,2020-09-21 00:00:00,1.0,14.32,1.0,9.6598,16291507.697061641,0.0
cruusdt,HUOBI,2020-09-22 00:00:00,9.6599,10.5,5.1517,5.4202,7275139.260227331,0.0
cruusdt,HUOBI,2020-09-23 00:00:00,5.4202,5.7889,3.702,4.39,2479561.106039913,0.0
cruusdt,HUOBI,2020-09-24 00:00:00,4.4086,4.4125,3.1,3.3302,1209537.0630027072,0.0
cruusdt,HUOBI,2020-09-25 00:00:00,3.3302,4.499,3.08,3.8873,2039168.1226553216,0.0
cruusdt,HUOBI,2020-09-26 00:00:00,3.8891,4.4689,3.7201,4.051,961647.0459304157,0.0
cruusdt,HUOBI,2020-09-27 00:00:00,4.0501,4.663,3.9574,4.07,1105042.9902419448,0.0
cruusdt,HUOBI,2020-09-28 00:00:00,4.0813,5.3799,3.9581,5.2498,1791530.238202984,0.0
cruusdt,HUOBI,2020-09-29 00:00:00,5.2497,7.0491,5.0603,5.8803,4920764.686162863,0.0
cruusdt,HUOBI,2020-09-30 00:00:00,5.8802,6.98,5.09,6.3216,2722740.2956966436,0.0
cruusdt,HUOBI,2020-10-01 00:00:00,6.3179,6.95,5.7565,6.053,1822521.9047140072,0.0
cruusdt,HUOBI,2020-10-02 00:00:00,6.0886,6.2502,4.9488,5.5942,1566142.189877179,0.0
cruusdt,HUOBI,2020-10-03 00:00:00,5.5938,5.9396,5.2,5.7187,722093.8320183026,0.0
cruusdt,HUOBI,2020-10-04 00:00:00,5.723,5.723,5.2,5.4535,508062.79984701955,0.0
cruusdt,HUOBI,2020-10-05 00:00:00,5.4538,5.85,5.4101,5.6884,486468.1295287538,0.0
cruusdt,HUOBI,2020-10-06 00:00:00,5.6753,6.2,5.4305,5.5929,878643.2004672809,0.0
cruusdt,HUOBI,2020-10-07 00:00:00,5.5926,5.9,4.23,4.38,1040494.7781418954,0.0
cruusdt,HUOBI,2020-10-08 00:00:00,4.3822,4.72,3.92,4.4986,709965.9451718436,0.0
cruusdt,HUOBI,2020-10-09 00:00:00,4.5022,4.94,4.22,4.7173,582815.955287884,0.0
cruusdt,HUOBI,2020-10-10 00:00:00,4.7172,6.6,4.5845,6.4498,1700500.7256610796,0.0
cruusdt,HUOBI,2020-10-11 00:00:00,6.4483,8.333,6.4483,8.122,3835040.298167719,0.0
cruusdt,HUOBI,2020-10-12 00:00:00,8.13,8.7799,6.94,7.2108,2385120.498497795,0.0
cruusdt,HUOBI,2020-10-13 00:00:00,7.1714,7.4305,6.53,6.6614,1134371.7124174247,0.0
cruusdt,HUOBI,2020-10-14 00:00:00,6.6273,7.6,5.9601,6.2735,1606656.5943769352,0.0
cruusdt,HUOBI,2020-10-15 00:00:00,6.2501,6.7,5.1352,5.34,1262384.6051895374,0.0
cruusdt,HUOBI,2020-10-16 00:00:00,5.3279,6.1988,4.482,5.1009,1692497.8547382301,0.0
cruusdt,HUOBI,2020-10-17 00:00:00,5.0731,5.4799,4.5618,5.4001,655255.6893334192,0.0
cruusdt,HUOBI,2020-10-18 00:00:00,5.4199,5.5999,5.15,5.5385,469000.2744195821,0.0
cruusdt,HUOBI,2020-10-19 00:00:00,5.5385,5.5387,4.8098,5.0552,477644.817052099,0.0
cruusdt,HUOBI,2020-10-20 00:00:00,5.0772,5.2999,4.5987,4.7323,434049.92782733217,0.0
cruusdt,HUOBI,2020-10-21 00:00:00,4.7323,5.2901,4.5,5.0047,697527.2082741733,0.0
cruusdt,HUOBI,2020-10-22 00:00:00,5.0047,5.1,4.6,4.9237,493532.2856067835,0.0
cruusdt,HUOBI,2020-10-23 00:00:00,4.9216,5.0999,4.61,4.856,453727.42660197185,0.0
