symbol,exchange,datetime,open,high,low,close,volume,open_interest
crvusdt,HUOBI,2020-08-21 00:00:00,3.109,4.0,3.109,3.578,1526238.5558537066,0.0
crvusdt,HUOBI,2020-08-22 00:00:00,3.5778,3.578,2.7226,2.9413,1888014.0027479979,0.0
crvusdt,HUOBI,2020-08-23 00:00:00,2.9226,3.1,2.56,2.7152,1783833.9956853744,0.0
crvusdt,HUOBI,2020-08-24 00:00:00,2.7212,3.1,2.6001,2.8998,2423126.5711797136,0.0
crvusdt,HUOBI,2020-08-25 00:00:00,2.8871,3.2888,2.8102,2.9612,5104261.537278799,0.0
crvusdt,HUOBI,2020-08-26 00:00:00,2.9582,3.8502,2.6851,3.8502,8248210.324468576,0.0
crvusdt,HUOBI,2020-08-27 00:00:00,3.8502,4.35,3.5,3.6475,14189307.496338986,0.0
crvusdt,HUOBI,2020-08-28 00:00:00,3.6368,3.9999,3.2235,3.65,7984897.8368778555,0.0
crvusdt,HUOBI,2020-08-29 00:00:00,3.6546,3.6732,3.28,3.3718,5198697.318161513,0.0
crvusdt,HUOBI,2020-08-30 00:00:00,3.3718,3.795,3.0,3.3843,10461340.079836452,0.0
crvusdt,HUOBI,2020-08-31 00:00:00,3.3983,3.78,3.3,3.4433,6000739.854903581,0.0
crvusdt,HUOBI,2020-09-01 00:00:00,3.4627,5.3312,3.4333,5.1632,35829387.59119919,0.0
crvusdt,HUOBI,2020-09-02 00:00:00,5.1613,5.8,3.8,4.2793,26133006.084141806,0.0
crvusdt,HUOBI,2020-09-03 00:00:00,4.2839,4.5299,3.1566,3.4563,18517699.295111474,0.0
crvusdt,HUOBI,2020-09-04 00:00:00,3.4492,3.6259,2.7,2.9683,15472196.491052225,0.0
crvusdt,HUOBI,2020-09-05 00:00:00,2.9582,3.1999,2.06,2.3043,12679596.516581738,0.0
crvusdt,HUOBI,2020-09-06 00:00:00,2.2977,2.34,1.5329,2.0637,13589024.657884002,0.0
crvusdt,HUOBI,2020-09-07 00:00:00,2.0681,2.3147,1.7118,1.9711,9387022.10316652,0.0
crvusdt,HUOBI,2020-09-08 00:00:00,1.9664,2.1197,1.7859,1.8903,6135805.718233309,0.0
