symbol,exchange,datetime,open,high,low,close,volume,open_interest
csprusdt,HUOBI,2021-05-11 00:00:00,0.03,66.4419,0.03,4.38,343855388.00882345,0.0
csprusdt,HUOBI,2021-05-12 00:00:00,4.38,4.9257,0.635,1.1719,532484215.93883824,0.0
csprusdt,HUOBI,2021-05-13 00:00:00,1.1715,1.35,0.7398,0.8896,147088025.44397944,0.0
csprusdt,HUOBI,2021-05-14 00:00:00,0.89,0.8913,0.7485,0.8636,47912654.61542805,0.0
csprusdt,HUOBI,2021-05-15 00:00:00,0.8636,0.8666,0.68,0.6988,34737626.50165996,0.0
csprusdt,HUOBI,2021-05-16 00:00:00,0.6987,0.701,0.5275,0.6051,58127308.63279777,0.0
csprusdt,HUOBI,2021-05-17 00:00:00,0.6052,0.6484,0.5188,0.5205,35996630.6956094,0.0
csprusdt,HUOBI,2021-05-18 00:00:00,0.5207,0.535,0.4541,0.4631,33388883.484251995,0.0
csprusdt,HUOBI,2021-05-19 00:00:00,0.4637,0.4639,0.2231,0.3074,49181062.741681695,0.0
csprusdt,HUOBI,2021-05-20 00:00:00,0.3072,0.4418,0.2747,0.4056,80481883.31679694,0.0
csprusdt,HUOBI,2021-05-21 00:00:00,0.4054,0.5475,0.3852,0.4134,80913215.90754247,0.0
csprusdt,HUOBI,2021-05-22 00:00:00,0.4133,0.4496,0.35,0.3766,42077425.472537585,0.0
csprusdt,HUOBI,2021-05-23 00:00:00,0.3764,0.378,0.2909,0.2992,16482187.911240757,0.0
csprusdt,HUOBI,2021-05-24 00:00:00,0.2994,0.3648,0.2986,0.3526,25662371.043299768,0.0
csprusdt,HUOBI,2021-05-25 00:00:00,0.3526,0.3977,0.314,0.3458,24551634.809098806,0.0
csprusdt,HUOBI,2021-05-26 00:00:00,0.3461,0.3618,0.3312,0.3461,9966045.306069123,0.0
csprusdt,HUOBI,2021-05-27 00:00:00,0.3461,0.39,0.3372,0.3565,14446987.705931325,0.0
csprusdt,HUOBI,2021-05-28 00:00:00,0.3568,0.3569,0.3105,0.3259,7508943.360689687,0.0
csprusdt,HUOBI,2021-05-29 00:00:00,0.3261,0.3271,0.3041,0.3041,4069965.9628860494,0.0
csprusdt,HUOBI,2021-05-30 00:00:00,0.3039,0.316,0.2921,0.3081,4351943.25295522,0.0
csprusdt,HUOBI,2021-05-31 00:00:00,0.3082,0.3156,0.2938,0.3078,4942316.521869298,0.0
csprusdt,HUOBI,2021-06-01 00:00:00,0.3078,0.3117,0.2931,0.2958,6340737.052461524,0.0
csprusdt,HUOBI,2021-06-02 00:00:00,0.2958,0.3243,0.2788,0.3004,12465825.515374638,0.0
csprusdt,HUOBI,2021-06-03 00:00:00,0.3004,0.348,0.3004,0.319,16179768.21342516,0.0
csprusdt,HUOBI,2021-06-04 00:00:00,0.3191,0.3252,0.2878,0.2976,5884969.880078477,0.0
csprusdt,HUOBI,2021-06-05 00:00:00,0.2979,0.3158,0.2856,0.2975,4467360.48119501,0.0
csprusdt,HUOBI,2021-06-06 00:00:00,0.2978,0.3072,0.2874,0.2995,3342295.7461138624,0.0
csprusdt,HUOBI,2021-06-07 00:00:00,0.2995,0.3024,0.2894,0.2982,2415827.5727776457,0.0
csprusdt,HUOBI,2021-06-08 00:00:00,0.2982,0.2984,0.2502,0.2571,6158620.02987236,0.0
csprusdt,HUOBI,2021-06-09 00:00:00,0.2571,0.2737,0.2536,0.2722,6486538.742663327,0.0
csprusdt,HUOBI,2021-06-10 00:00:00,0.2722,0.275,0.252,0.2631,4055446.049468615,0.0
csprusdt,HUOBI,2021-06-11 00:00:00,0.2631,0.307,0.2479,0.2692,11044241.754763199,0.0
csprusdt,HUOBI,2021-06-12 00:00:00,0.2693,0.2693,0.2362,0.2459,5051883.551291663,0.0
csprusdt,HUOBI,2021-06-13 00:00:00,0.2458,0.2531,0.2354,0.2404,2620643.766966657,0.0
csprusdt,HUOBI,2021-06-14 00:00:00,0.2404,0.2574,0.2384,0.2552,3668028.176004274,0.0
csprusdt,HUOBI,2021-06-15 00:00:00,0.2555,0.262,0.2438,0.2477,2549336.206395441,0.0
csprusdt,HUOBI,2021-06-16 00:00:00,0.2479,0.2728,0.2476,0.2559,6598107.703734896,0.0
csprusdt,HUOBI,2021-06-17 00:00:00,0.2557,0.2964,0.2518,0.2862,14305935.651051585,0.0
csprusdt,HUOBI,2021-06-18 00:00:00,0.286,0.3016,0.2498,0.2518,10168316.636700463,0.0
csprusdt,HUOBI,2021-06-19 00:00:00,0.2514,0.293,0.2394,0.2848,10465524.220136652,0.0
csprusdt,HUOBI,2021-06-20 00:00:00,0.2848,0.365,0.2638,0.3042,65173351.73476491,0.0
csprusdt,HUOBI,2021-06-21 00:00:00,0.3042,0.341,0.2454,0.2691,25212033.54622313,0.0
csprusdt,HUOBI,2021-06-22 00:00:00,0.2691,0.2691,0.1823,0.2077,14967727.937351061,0.0
csprusdt,HUOBI,2021-06-23 00:00:00,0.2078,0.2294,0.1892,0.2125,11274963.261952827,0.0
csprusdt,HUOBI,2021-06-24 00:00:00,0.2128,0.2164,0.1986,0.2107,4917217.975477943,0.0
csprusdt,HUOBI,2021-06-25 00:00:00,0.2109,0.2134,0.1965,0.1993,4821355.40018607,0.0
csprusdt,HUOBI,2021-06-26 00:00:00,0.1993,0.21,0.17,0.1833,7612804.379129014,0.0
csprusdt,HUOBI,2021-06-27 00:00:00,0.1833,0.1963,0.1746,0.1859,6916955.060212139,0.0
csprusdt,HUOBI,2021-06-28 00:00:00,0.1859,0.1941,0.1711,0.1915,8548380.449325005,0.0
csprusdt,HUOBI,2021-06-29 00:00:00,0.1917,0.1996,0.1811,0.1936,6846246.307909456,0.0
csprusdt,HUOBI,2021-06-30 00:00:00,0.1938,0.1946,0.15,0.1572,13809211.619631534,0.0
csprusdt,HUOBI,2021-07-01 00:00:00,0.1572,0.1578,0.1333,0.1398,16420484.9028812,0.0
csprusdt,HUOBI,2021-07-02 00:00:00,0.1398,0.149,0.129,0.1314,17981813.26693954,0.0
csprusdt,HUOBI,2021-07-03 00:00:00,0.1314,0.1385,0.1169,0.1337,13960576.5915989,0.0
csprusdt,HUOBI,2021-07-04 00:00:00,0.1337,0.1342,0.1234,0.1287,6767846.054564322,0.0
csprusdt,HUOBI,2021-07-05 00:00:00,0.1287,0.1435,0.1217,0.13,12645866.252247006,0.0
csprusdt,HUOBI,2021-07-06 00:00:00,0.13,0.1353,0.12,0.1253,7456088.0956616625,0.0
csprusdt,HUOBI,2021-07-07 00:00:00,0.1253,0.1288,0.1096,0.1156,10591075.480727972,0.0
csprusdt,HUOBI,2021-07-08 00:00:00,0.1156,0.1158,0.0807,0.0953,18903940.856981248,0.0
csprusdt,HUOBI,2021-07-09 00:00:00,0.0954,0.1034,0.082,0.0873,7455692.533051956,0.0
