symbol,exchange,datetime,open,high,low,close,volume,open_interest
ctsiusdt,HUOBI,2021-05-05 00:00:00,0.6539,0.965,0.6539,0.8798,5893709.717440599,0.0
ctsiusdt,HUOBI,2021-05-06 00:00:00,0.8799,1.02,0.826,0.8992,4102995.2281032954,0.0
ctsiusdt,HUOBI,2021-05-07 00:00:00,0.8984,0.9906,0.7,0.9331,7540090.69839341,0.0
ctsiusdt,HUOBI,2021-05-08 00:00:00,0.9289,1.45,0.8586,1.2942,17332715.342726998,0.0
ctsiusdt,HUOBI,2021-05-09 00:00:00,1.29,1.85,1.1187,1.3658,21851830.577510163,0.0
ctsiusdt,HUOBI,2021-05-10 00:00:00,1.3658,1.5427,1.16,1.2497,6984873.337571617,0.0
ctsiusdt,HUOBI,2021-05-11 00:00:00,1.2497,1.3507,1.06,1.1238,2323340.537321692,0.0
ctsiusdt,HUOBI,2021-05-12 00:00:00,1.1216,1.2177,1.0646,1.0646,1048939.1560377341,0.0
ctsiusdt,HUOBI,2021-05-13 00:00:00,1.0684,1.0733,0.8259,0.9051,946557.38132805,0.0
ctsiusdt,HUOBI,2021-05-14 00:00:00,0.9065,1.3598,0.8196,1.2496,9734881.566071332,0.0
ctsiusdt,HUOBI,2021-05-15 00:00:00,1.2458,1.2516,1.0583,1.1027,3152094.773457646,0.0
ctsiusdt,HUOBI,2021-05-16 00:00:00,1.0948,1.0992,1.0,1.0107,627749.9600113542,0.0
ctsiusdt,HUOBI,2021-05-17 00:00:00,1.006,1.3075,0.9601,1.1416,5877225.728937731,0.0
ctsiusdt,HUOBI,2021-05-18 00:00:00,1.1417,1.28,1.07,1.076,3000534.3585064327,0.0
ctsiusdt,HUOBI,2021-05-19 00:00:00,1.0727,1.1588,0.5414,0.8664,2187015.7394463457,0.0
ctsiusdt,HUOBI,2021-05-20 00:00:00,0.8621,1.0932,0.6425,0.9328,3416660.0277337898,0.0
ctsiusdt,HUOBI,2021-05-21 00:00:00,0.9334,0.9983,0.7406,0.7494,5194457.58512089,0.0
