symbol,exchange,datetime,open,high,low,close,volume,open_interest
ctxcusdt,HUOBI,2018-04-24 00:00:00,1.2811,2.04,1.2811,1.8351,6356198.33988077,0.0
ctxcusdt,HUOBI,2018-04-25 00:00:00,1.8383,1.8448,1.4142,1.4944,7443987.391780873,0.0
ctxcusdt,HUOBI,2018-04-26 00:00:00,1.4913,1.6877,1.37,1.5306,5145968.764210037,0.0
ctxcusdt,HUOBI,2018-04-27 00:00:00,1.5304,1.621,1.515,1.582,2332829.8252132004,0.0
ctxcusdt,HUOBI,2018-04-28 00:00:00,1.5823,1.789,1.5056,1.7265,4089221.7144360375,0.0
ctxcusdt,HUOBI,2018-04-29 00:00:00,1.72,2.2891,1.68,2.192,8253214.97276879,0.0
ctxcusdt,HUOBI,2018-04-30 00:00:00,2.19,2.44,2.0351,2.1937,6741614.310189603,0.0
ctxcusdt,HUOBI,2018-05-01 00:00:00,2.1963,2.23,1.8499,1.9551,4607068.1014684895,0.0
ctxcusdt,HUOBI,2018-05-02 00:00:00,1.9552,2.16,1.955,2.0002,3704349.682586453,0.0
ctxcusdt,HUOBI,2018-05-03 00:00:00,2.0001,2.1568,1.9036,2.0915,4323528.377856989,0.0
ctxcusdt,HUOBI,2018-05-04 00:00:00,2.0953,2.25,1.966,2.038,3699901.8119526077,0.0
ctxcusdt,HUOBI,2018-05-05 00:00:00,2.038,2.1799,2.0368,2.1078,3424226.069537563,0.0
ctxcusdt,HUOBI,2018-05-06 00:00:00,2.1079,2.1199,1.7511,1.8326,8296731.7174951285,0.0
ctxcusdt,HUOBI,2018-05-07 00:00:00,1.8326,1.9107,1.6212,1.8512,5159160.663010057,0.0
ctxcusdt,HUOBI,2018-05-08 00:00:00,1.8556,1.9899,1.747,1.7736,3220013.2283377266,0.0
ctxcusdt,HUOBI,2018-05-09 00:00:00,1.7735,1.84,1.6747,1.8138,1960050.4984891897,0.0
ctxcusdt,HUOBI,2018-05-10 00:00:00,1.8168,1.8877,1.7301,1.8244,2203433.3487514574,0.0
ctxcusdt,HUOBI,2018-05-11 00:00:00,1.8251,1.88,1.4,1.5,2929434.7338236575,0.0
ctxcusdt,HUOBI,2018-05-12 00:00:00,1.5,1.69,1.09,1.2852,3137639.1511027855,0.0
ctxcusdt,HUOBI,2018-05-13 00:00:00,1.2851,1.52,1.2603,1.4587,2374842.7735560713,0.0
ctxcusdt,HUOBI,2018-05-14 00:00:00,1.4619,1.6703,1.3133,1.6505,3142400.4170164745,0.0
ctxcusdt,HUOBI,2018-05-15 00:00:00,1.6445,1.7197,1.5522,1.5952,2106531.966121298,0.0
ctxcusdt,HUOBI,2018-05-16 00:00:00,1.5982,1.6786,1.4512,1.6053,2108405.3003300345,0.0
ctxcusdt,HUOBI,2018-05-17 00:00:00,1.6051,1.7,1.5705,1.6541,1912064.0500865309,0.0
