symbol,exchange,datetime,open,high,low,close,volume,open_interest
cvcusdt,HUOBI,2018-01-11 00:00:00,0.7876,1.1,0.7876,0.9225,1346595.8636320196,0.0
cvcusdt,HUOBI,2018-01-12 00:00:00,0.9225,1.189,0.81,1.0736,3626742.496706614,0.0
cvcusdt,HUOBI,2018-01-13 00:00:00,1.0735,1.3,0.996,1.1395,4471798.343059125,0.0
cvcusdt,HUOBI,2018-01-14 00:00:00,1.1395,1.1887,0.9365,0.9818,3862897.327663796,0.0
cvcusdt,HUOBI,2018-01-15 00:00:00,1.0049,1.0606,0.9458,1.0174,3657198.603257771,0.0
cvcusdt,HUOBI,2018-01-16 00:00:00,1.0254,1.0357,0.6673,0.7774,2884663.439283477,0.0
cvcusdt,HUOBI,2018-01-17 00:00:00,0.7681,0.7775,0.5046,0.5185,1583928.2771031223,0.0
cvcusdt,HUOBI,2018-01-18 00:00:00,0.5011,0.8286,0.501,0.7902,1973131.6136760828,0.0
cvcusdt,HUOBI,2018-01-19 00:00:00,0.7902,0.95,0.691,0.7998,4234815.091665391,0.0
cvcusdt,HUOBI,2018-01-20 00:00:00,0.8048,0.8585,0.7501,0.8373,3780896.161357763,0.0
cvcusdt,HUOBI,2018-01-21 00:00:00,0.8395,0.89,0.7294,0.7483,3284103.214699637,0.0
cvcusdt,HUOBI,2018-01-22 00:00:00,0.7402,0.7599,0.6202,0.6284,2871872.1445272784,0.0
cvcusdt,HUOBI,2018-01-23 00:00:00,0.6297,0.6888,0.6056,0.6642,1652356.2206168827,0.0
cvcusdt,HUOBI,2018-01-24 00:00:00,0.6649,0.7298,0.6241,0.6872,2990298.582284905,0.0
cvcusdt,HUOBI,2018-01-25 00:00:00,0.6872,0.732,0.672,0.684,2943667.034079423,0.0
cvcusdt,HUOBI,2018-01-26 00:00:00,0.684,0.7189,0.6068,0.667,2344843.041870573,0.0
cvcusdt,HUOBI,2018-01-27 00:00:00,0.6674,0.7147,0.6351,0.7113,2261779.5581650143,0.0
cvcusdt,HUOBI,2018-01-28 00:00:00,0.7113,0.7463,0.6902,0.7379,2551027.590408774,0.0
cvcusdt,HUOBI,2018-01-29 00:00:00,0.7379,0.7414,0.6711,0.6893,2119971.4119447516,0.0
cvcusdt,HUOBI,2018-01-30 00:00:00,0.6893,0.6944,0.6,0.613,1754089.4590000473,0.0
cvcusdt,HUOBI,2018-01-31 00:00:00,0.6078,0.6193,0.5139,0.5441,1751849.22850888,0.0
cvcusdt,HUOBI,2018-02-01 00:00:00,0.5463,0.5906,0.4793,0.4861,2482639.381453855,0.0
cvcusdt,HUOBI,2018-02-02 00:00:00,0.486,0.4908,0.3584,0.455,1723234.6658523607,0.0
cvcusdt,HUOBI,2018-02-03 00:00:00,0.4661,0.4934,0.3869,0.4454,2061888.0845760766,0.0
cvcusdt,HUOBI,2018-02-04 00:00:00,0.4444,0.4975,0.39,0.393,2696624.5831332533,0.0
cvcusdt,HUOBI,2018-02-05 00:00:00,0.3913,0.4047,0.3013,0.31,1923174.524595,0.0
cvcusdt,HUOBI,2018-02-06 00:00:00,0.3102,0.3334,0.2406,0.2938,1434210.14583766,0.0
cvcusdt,HUOBI,2018-02-07 00:00:00,0.2946,0.3668,0.2886,0.353,2268201.0271149836,0.0
cvcusdt,HUOBI,2018-02-08 00:00:00,0.3524,0.5952,0.3467,0.5231,5147629.546415502,0.0
