symbol,exchange,datetime,open,high,low,close,volume,open_interest
cvpusdt,HUOBI,2020-09-10 00:00:00,4.6052,7.05,4.6052,5.1759,1762207.2878849837,0.0
cvpusdt,HUOBI,2020-09-11 00:00:00,5.1875,5.3939,4.3303,4.6751,663887.92650481,0.0
cvpusdt,HUOBI,2020-09-12 00:00:00,4.691,5.0,4.15,4.8161,651245.416652217,0.0
cvpusdt,HUOBI,2020-09-13 00:00:00,4.8285,5.88,4.5018,4.9329,960521.3832990093,0.0
cvpusdt,HUOBI,2020-09-14 00:00:00,4.8107,5.059,4.3577,4.8597,521821.97594105557,0.0
cvpusdt,HUOBI,2020-09-15 00:00:00,4.8597,4.8829,3.6501,3.7916,514111.58642963204,0.0
cvpusdt,HUOBI,2020-09-16 00:00:00,3.7759,4.3998,3.3464,3.6019,563056.2588889728,0.0
cvpusdt,HUOBI,2020-09-17 00:00:00,3.6046,4.3827,2.522,2.6867,794426.1124137004,0.0
cvpusdt,HUOBI,2020-09-18 00:00:00,2.6831,3.351,2.5947,2.7337,709817.3467326735,0.0
cvpusdt,HUOBI,2020-09-19 00:00:00,2.7361,3.5543,2.556,2.7344,826094.05142261,0.0
cvpusdt,HUOBI,2020-09-20 00:00:00,2.7601,2.8416,2.4341,2.4881,489203.9597377,0.0
cvpusdt,HUOBI,2020-09-21 00:00:00,2.4874,2.64,1.69,1.8307,287409.15887466,0.0
cvpusdt,HUOBI,2020-09-22 00:00:00,1.8217,1.9379,1.6006,1.7384,165960.52700239184,0.0
cvpusdt,HUOBI,2020-09-23 00:00:00,1.7341,2.1532,1.6834,1.8278,308125.8992744601,0.0
cvpusdt,HUOBI,2020-09-24 00:00:00,1.83,2.1499,1.6529,1.7581,346871.6102583923,0.0
cvpusdt,HUOBI,2020-09-25 00:00:00,1.7536,2.08,1.7411,1.99,196336.7872594429,0.0
cvpusdt,HUOBI,2020-09-26 00:00:00,1.9901,2.499,1.9767,2.1993,444708.5965283458,0.0
cvpusdt,HUOBI,2020-09-27 00:00:00,2.1947,2.5,1.8379,1.97,294010.56732406473,0.0
cvpusdt,HUOBI,2020-09-28 00:00:00,1.9785,2.3386,1.9001,2.3123,179523.89673242,0.0
cvpusdt,HUOBI,2020-09-29 00:00:00,2.315,2.4,1.9634,2.1993,239269.24773503555,0.0
cvpusdt,HUOBI,2020-09-30 00:00:00,2.1992,2.1992,1.96,2.0724,184798.59894499,0.0
cvpusdt,HUOBI,2020-10-01 00:00:00,2.0686,3.3,2.0,2.9993,1170553.794916831,0.0
cvpusdt,HUOBI,2020-10-02 00:00:00,3.0376,3.0377,2.2141,2.4044,922415.7873009533,0.0
cvpusdt,HUOBI,2020-10-03 00:00:00,2.396,2.5981,2.35,2.4375,289218.80596398,0.0
cvpusdt,HUOBI,2020-10-04 00:00:00,2.4337,2.4929,2.1265,2.175,218529.72206656,0.0
cvpusdt,HUOBI,2020-10-05 00:00:00,2.1778,2.5,2.165,2.2148,431311.69399186334,0.0
cvpusdt,HUOBI,2020-10-06 00:00:00,2.2206,2.3849,2.17,2.2298,230670.34991559,0.0
cvpusdt,HUOBI,2020-10-07 00:00:00,2.2268,2.2344,1.8001,1.8863,239935.214939,0.0
cvpusdt,HUOBI,2020-10-08 00:00:00,1.879,1.965,1.78,1.9151,181779.13441091278,0.0
cvpusdt,HUOBI,2020-10-09 00:00:00,1.9238,1.9578,1.8281,1.9111,282771.2379699195,0.0
cvpusdt,HUOBI,2020-10-10 00:00:00,1.9119,2.123,1.8805,1.9776,291350.66256975627,0.0
cvpusdt,HUOBI,2020-10-11 00:00:00,1.9872,2.19,1.9351,2.0412,271468.88252302,0.0
cvpusdt,HUOBI,2020-10-12 00:00:00,2.0408,2.0887,1.68,1.92,281432.40001996,0.0
cvpusdt,HUOBI,2020-10-13 00:00:00,1.9138,2.0368,1.8727,1.9169,191209.08075529058,0.0
cvpusdt,HUOBI,2020-10-14 00:00:00,1.9208,1.966,1.8003,1.849,105531.2321093,0.0
cvpusdt,HUOBI,2020-10-15 00:00:00,1.8494,1.885,1.692,1.739,287534.02393565,0.0
cvpusdt,HUOBI,2020-10-16 00:00:00,1.7381,1.8183,1.616,1.6653,250361.36492881528,0.0
cvpusdt,HUOBI,2020-10-17 00:00:00,1.6717,1.7598,1.6219,1.7076,210798.79055431,0.0
cvpusdt,HUOBI,2020-10-18 00:00:00,1.7013,1.7392,1.6628,1.6981,139730.78728202,0.0
cvpusdt,HUOBI,2020-10-19 00:00:00,1.6945,1.7397,1.6127,1.6463,165243.20406855695,0.0
cvpusdt,HUOBI,2020-10-20 00:00:00,1.6463,1.7748,1.4051,1.4795,184561.1190017896,0.0
cvpusdt,HUOBI,2020-10-21 00:00:00,1.4736,1.5511,1.3,1.3966,160307.82969528,0.0
cvpusdt,HUOBI,2020-10-22 00:00:00,1.3973,1.6377,1.3097,1.5763,187656.73716541877,0.0
cvpusdt,HUOBI,2020-10-23 00:00:00,1.5799,1.5877,1.46,1.4671,103201.51006098,0.0
cvpusdt,HUOBI,2020-10-24 00:00:00,1.4637,1.5367,1.4636,1.485,81492.81701391,0.0
cvpusdt,HUOBI,2020-10-25 00:00:00,1.4845,1.5894,1.4838,1.5256,138103.06040532,0.0
cvpusdt,HUOBI,2020-10-26 00:00:00,1.5258,1.875,1.5243,1.8101,298228.4914066586,0.0
cvpusdt,HUOBI,2020-10-27 00:00:00,1.8117,2.12,1.7068,1.9605,285509.6622183351,0.0
cvpusdt,HUOBI,2020-10-28 00:00:00,1.9509,2.44,1.813,1.9078,612333.5453633461,0.0
cvpusdt,HUOBI,2020-10-29 00:00:00,1.9022,2.3053,1.8456,2.2825,264782.3307852934,0.0
cvpusdt,HUOBI,2020-10-30 00:00:00,2.259,2.4399,1.8935,1.947,685993.8784269395,0.0
cvpusdt,HUOBI,2020-10-31 00:00:00,1.9461,2.0719,1.782,1.8046,159887.11829206438,0.0
cvpusdt,HUOBI,2020-11-01 00:00:00,1.8081,1.9137,1.6779,1.8244,124426.68021288,0.0
cvpusdt,HUOBI,2020-11-02 00:00:00,1.8359,1.8853,1.6,1.6366,142618.82991585,0.0
cvpusdt,HUOBI,2020-11-03 00:00:00,1.637,1.7068,1.4245,1.5344,87090.58769951,0.0
cvpusdt,HUOBI,2020-11-04 00:00:00,1.5387,1.6319,1.4366,1.4496,69274.77665736,0.0
cvpusdt,HUOBI,2020-11-05 00:00:00,1.4554,1.5632,1.2788,1.4879,146496.00658774588,0.0
cvpusdt,HUOBI,2020-11-06 00:00:00,1.484,1.749,1.4365,1.6258,122130.82752205,0.0
cvpusdt,HUOBI,2020-11-07 00:00:00,1.6632,2.1,1.5888,1.6529,330262.95369118894,0.0
cvpusdt,HUOBI,2020-11-08 00:00:00,1.6583,1.7566,1.5888,1.6436,91300.14294048,0.0
cvpusdt,HUOBI,2020-11-09 00:00:00,1.642,1.756,1.6052,1.6323,78622.44926539,0.0
cvpusdt,HUOBI,2020-11-10 00:00:00,1.6245,1.756,1.5869,1.7126,97975.553721,0.0
cvpusdt,HUOBI,2020-11-11 00:00:00,1.7126,1.91,1.6224,1.7941,207893.17156531,0.0
cvpusdt,HUOBI,2020-11-12 00:00:00,1.7918,1.8335,1.6501,1.6683,128135.47648255,0.0
cvpusdt,HUOBI,2020-11-13 00:00:00,1.6667,2.2467,1.6623,2.0847,363643.02698746,0.0
cvpusdt,HUOBI,2020-11-14 00:00:00,2.0786,2.418,1.8777,2.0243,445830.31123691,0.0
cvpusdt,HUOBI,2020-11-15 00:00:00,2.02,2.1582,1.954,2.1532,145204.98557275286,0.0
