symbol,exchange,datetime,open,high,low,close,volume,open_interest
dacusdt,HUOBI,2020-06-30 00:00:00,0.013109,0.021,0.010133,0.010938,7529004.828029491,0.0
dacusdt,HUOBI,2020-07-01 00:00:00,0.010938,0.011688,0.0094,0.010349,1842189.6692853046,0.0
dacusdt,HUOBI,2020-07-02 00:00:00,0.010337,0.010868,0.0064,0.0065,3567988.606584096,0.0
dacusdt,HUOBI,2020-07-03 00:00:00,0.0065,0.007062,0.005999,0.0061,5229320.818255408,0.0
dacusdt,HUOBI,2020-07-04 00:00:00,0.0061,0.006495,0.005803,0.006112,5823004.281863514,0.0
dacusdt,HUOBI,2020-07-05 00:00:00,0.006113,0.00699,0.006002,0.006847,5990454.178763438,0.0
dacusdt,HUOBI,2020-07-06 00:00:00,0.006756,0.007085,0.0064,0.00645,5331156.007401099,0.0
dacusdt,HUOBI,2020-07-07 00:00:00,0.006498,0.00663,0.0062,0.006234,6223363.632461135,0.0
dacusdt,HUOBI,2020-07-08 00:00:00,0.006222,0.006395,0.00595,0.006013,7349839.939393029,0.0
dacusdt,HUOBI,2020-07-09 00:00:00,0.00601,0.006133,0.005721,0.005804,7607108.25892444,0.0
dacusdt,HUOBI,2020-07-10 00:00:00,0.005807,0.006225,0.005699,0.005865,7057546.715824621,0.0
dacusdt,HUOBI,2020-07-11 00:00:00,0.00587,0.0061,0.005675,0.005904,5839476.930179223,0.0
dacusdt,HUOBI,2020-07-12 00:00:00,0.005905,0.005937,0.005762,0.005798,5569231.514789881,0.0
dacusdt,HUOBI,2020-07-13 00:00:00,0.0058,0.005829,0.005268,0.005308,3505514.5401180466,0.0
dacusdt,HUOBI,2020-07-14 00:00:00,0.005308,0.00544,0.005071,0.005272,6522486.135505419,0.0
dacusdt,HUOBI,2020-07-15 00:00:00,0.005271,0.00562,0.005228,0.005442,5629077.464568067,0.0
dacusdt,HUOBI,2020-07-16 00:00:00,0.005444,0.005818,0.00535,0.00575,3881784.320334625,0.0
dacusdt,HUOBI,2020-07-17 00:00:00,0.005728,0.006395,0.005511,0.005898,5062549.549428775,0.0
dacusdt,HUOBI,2020-07-18 00:00:00,0.005898,0.00608,0.005705,0.005818,5525635.666319825,0.0
dacusdt,HUOBI,2020-07-19 00:00:00,0.005834,0.00599,0.005621,0.005697,5248081.51254146,0.0
dacusdt,HUOBI,2020-07-20 00:00:00,0.005659,0.005908,0.005393,0.005505,1534015.2200264481,0.0
dacusdt,HUOBI,2020-07-21 00:00:00,0.005538,0.00567,0.005289,0.005488,11046897.76542656,0.0
dacusdt,HUOBI,2020-07-22 00:00:00,0.005488,0.005558,0.005343,0.005442,13471862.30376298,0.0
dacusdt,HUOBI,2020-07-23 00:00:00,0.005443,0.005517,0.005285,0.005407,4556055.466306888,0.0
