symbol,exchange,datetime,open,high,low,close,volume,open_interest
dashusdt,HUOBI,2017-11-10 00:00:00,400.0,5555.0,319.99,333.0,925672.4250354805,0.0
dashusdt,HUOBI,2017-11-11 00:00:00,338.0,350.0,310.0,324.0,555151.9011652048,0.0
dashusdt,HUOBI,2017-11-12 00:00:00,326.0,990.0,268.0,448.0,2976843.668000846,0.0
dashusdt,HUOBI,2017-11-13 00:00:00,450.0,544.91,400.0,419.79,2471318.2306185216,0.0
dashusdt,HUOBI,2017-11-14 00:00:00,412.27,442.28,400.0,418.0,902283.974849,0.0
dashusdt,HUOBI,2017-11-15 00:00:00,424.58,453.94,411.01,415.0,605484.3478020299,0.0
dashusdt,HUOBI,2017-11-16 00:00:00,419.38,437.0,407.9,413.01,930456.2073414036,0.0
dashusdt,HUOBI,2017-11-17 00:00:00,412.95,438.0,403.0,418.12,1536765.9152119672,0.0
dashusdt,HUOBI,2017-11-18 00:00:00,418.11,488.0,415.0,445.9,2172895.7783512725,0.0
dashusdt,HUOBI,2017-11-19 00:00:00,445.9,458.0,431.95,443.0,445313.6961403862,0.0
dashusdt,HUOBI,2017-11-20 00:00:00,443.0,453.0,435.02,449.67,938608.1451561789,0.0
dashusdt,HUOBI,2017-11-21 00:00:00,449.68,531.0,440.06,504.67,4089468.017466984,0.0
dashusdt,HUOBI,2017-11-22 00:00:00,504.66,599.0,491.0,556.11,6321075.707177967,0.0
dashusdt,HUOBI,2017-11-23 00:00:00,556.3,593.6,543.65,570.0,6426474.647164649,0.0
dashusdt,HUOBI,2017-11-24 00:00:00,570.0,574.99,547.68,560.59,8523337.021567171,0.0
dashusdt,HUOBI,2017-11-25 00:00:00,560.59,628.0,555.0,623.98,9143665.626103133,0.0
dashusdt,HUOBI,2017-11-26 00:00:00,622.72,650.0,605.0,617.4,9462450.891286043,0.0
dashusdt,HUOBI,2017-11-27 00:00:00,617.0,634.0,600.0,624.0,8278637.248222194,0.0
dashusdt,HUOBI,2017-11-28 00:00:00,625.0,629.95,600.0,611.6,6337027.040445887,0.0
dashusdt,HUOBI,2017-11-29 00:00:00,611.6,750.6,603.1,715.5,8123639.977753583,0.0
dashusdt,HUOBI,2017-11-30 00:00:00,712.01,810.0,636.0,695.65,8222090.850374728,0.0
dashusdt,HUOBI,2017-12-01 00:00:00,699.63,778.5,690.07,755.1,5164640.173115266,0.0
dashusdt,HUOBI,2017-12-02 00:00:00,755.04,794.04,745.52,756.95,5904271.085807441,0.0
dashusdt,HUOBI,2017-12-03 00:00:00,758.5,797.95,751.28,787.95,4972613.621754066,0.0
dashusdt,HUOBI,2017-12-04 00:00:00,787.94,791.5,722.64,749.99,9979837.475555629,0.0
dashusdt,HUOBI,2017-12-05 00:00:00,749.78,765.95,737.86,745.84,14236714.423119267,0.0
dashusdt,HUOBI,2017-12-06 00:00:00,744.5,763.88,680.93,680.93,10217496.821554529,0.0
dashusdt,HUOBI,2017-12-07 00:00:00,687.45,712.48,624.0,627.69,3512525.240312722,0.0
dashusdt,HUOBI,2017-12-08 00:00:00,625.91,741.83,624.01,717.79,3237828.647597923,0.0
dashusdt,HUOBI,2017-12-09 00:00:00,720.0,760.0,688.38,729.2,4312141.143025046,0.0
dashusdt,HUOBI,2017-12-10 00:00:00,729.95,736.9,624.0,682.57,2800651.567258441,0.0
dashusdt,HUOBI,2017-12-11 00:00:00,682.4,735.98,666.0,723.4,2858773.5960669136,0.0
dashusdt,HUOBI,2017-12-12 00:00:00,723.4,806.16,720.0,805.7,6569062.997843882,0.0
dashusdt,HUOBI,2017-12-13 00:00:00,805.28,926.56,753.0,882.47,7555632.694747645,0.0
dashusdt,HUOBI,2017-12-14 00:00:00,882.47,947.23,823.37,859.86,6500168.645085506,0.0
dashusdt,HUOBI,2017-12-15 00:00:00,862.4,934.99,840.01,896.99,5412633.729644578,0.0
dashusdt,HUOBI,2017-12-16 00:00:00,895.53,923.91,872.46,893.11,5323973.632919492,0.0
dashusdt,HUOBI,2017-12-17 00:00:00,893.46,1178.79,888.0,1109.96,17679694.10532397,0.0
dashusdt,HUOBI,2017-12-18 00:00:00,1109.95,1130.0,990.01,1075.03,12047813.828650407,0.0
dashusdt,HUOBI,2017-12-19 00:00:00,1075.05,1238.96,1064.47,1122.7,12691572.18711123,0.0
dashusdt,HUOBI,2017-12-20 00:00:00,1122.88,1580.0,1091.06,1425.07,30760945.025916707,0.0
