symbol,exchange,datetime,open,high,low,close,volume,open_interest
dfusdt,HUOBI,2020-09-10 00:00:00,0.2384,0.5536,0.2384,0.4262,2419854.164920295,0.0
dfusdt,HUOBI,2020-09-11 00:00:00,0.4144,0.4883,0.3403,0.3987,2205259.151284135,0.0
dfusdt,HUOBI,2020-09-12 00:00:00,0.3996,0.4018,0.3512,0.3589,561813.0469557579,0.0
dfusdt,HUOBI,2020-09-13 00:00:00,0.3591,0.4305,0.3582,0.3677,1112976.0329664375,0.0
dfusdt,HUOBI,2020-09-14 00:00:00,0.3677,0.3727,0.32,0.3647,643514.59629443,0.0
dfusdt,HUOBI,2020-09-15 00:00:00,0.3644,0.3688,0.2831,0.309,991658.4518790327,0.0
dfusdt,HUOBI,2020-09-16 00:00:00,0.3115,0.3223,0.253,0.2634,650505.71572266,0.0
dfusdt,HUOBI,2020-09-17 00:00:00,0.2656,0.2748,0.238,0.2435,424822.21294921456,0.0
dfusdt,HUOBI,2020-09-18 00:00:00,0.2435,0.255,0.2184,0.2329,404994.39791032457,0.0
dfusdt,HUOBI,2020-09-19 00:00:00,0.2334,0.285,0.23,0.2616,1475938.2733688976,0.0
dfusdt,HUOBI,2020-09-20 00:00:00,0.2617,0.2649,0.2317,0.234,421918.65790362045,0.0
dfusdt,HUOBI,2020-09-21 00:00:00,0.2338,0.2349,0.1774,0.183,397107.1089332133,0.0
dfusdt,HUOBI,2020-09-22 00:00:00,0.183,0.1915,0.1662,0.1733,216083.63365566,0.0
dfusdt,HUOBI,2020-09-23 00:00:00,0.1733,0.1761,0.1551,0.1668,164482.91499178,0.0
dfusdt,HUOBI,2020-09-24 00:00:00,0.1668,0.1668,0.147,0.1536,98255.614390506,0.0
dfusdt,HUOBI,2020-09-25 00:00:00,0.1536,0.1829,0.1489,0.1768,283032.52189385,0.0
dfusdt,HUOBI,2020-09-26 00:00:00,0.1776,0.19,0.1656,0.1759,239637.4209356878,0.0
dfusdt,HUOBI,2020-09-27 00:00:00,0.1758,0.1827,0.1626,0.165,124608.53346,0.0
dfusdt,HUOBI,2020-09-28 00:00:00,0.1651,0.2059,0.1641,0.203,456726.61539550615,0.0
dfusdt,HUOBI,2020-09-29 00:00:00,0.2028,0.2403,0.2002,0.2108,935643.9416246365,0.0
dfusdt,HUOBI,2020-09-30 00:00:00,0.2108,0.2159,0.1832,0.1917,303866.12906792,0.0
dfusdt,HUOBI,2020-10-01 00:00:00,0.1909,0.2006,0.1769,0.1953,214015.21003701,0.0
dfusdt,HUOBI,2020-10-02 00:00:00,0.1952,0.1964,0.1644,0.175,167971.31747009765,0.0
dfusdt,HUOBI,2020-10-03 00:00:00,0.1753,0.183,0.1669,0.1714,125565.68467970584,0.0
dfusdt,HUOBI,2020-10-04 00:00:00,0.1714,0.1719,0.1611,0.1629,126200.11265076,0.0
dfusdt,HUOBI,2020-10-05 00:00:00,0.1636,0.1694,0.1612,0.1675,98132.3283876,0.0
dfusdt,HUOBI,2020-10-06 00:00:00,0.1667,0.1695,0.15,0.1531,108302.64797406,0.0
dfusdt,HUOBI,2020-10-07 00:00:00,0.1536,0.1563,0.1431,0.1438,94708.83241567,0.0
dfusdt,HUOBI,2020-10-08 00:00:00,0.1439,0.1475,0.1306,0.1426,132882.88819358274,0.0
dfusdt,HUOBI,2020-10-09 00:00:00,0.1425,0.1526,0.1364,0.148,167779.87793319,0.0
dfusdt,HUOBI,2020-10-10 00:00:00,0.148,0.1579,0.146,0.1485,199523.415402,0.0
dfusdt,HUOBI,2020-10-11 00:00:00,0.1485,0.152,0.1434,0.1482,120534.15731807,0.0
dfusdt,HUOBI,2020-10-12 00:00:00,0.1478,0.185,0.1478,0.1758,730509.2079237532,0.0
dfusdt,HUOBI,2020-10-13 00:00:00,0.176,0.1764,0.1542,0.158,305488.8443170076,0.0
dfusdt,HUOBI,2020-10-14 00:00:00,0.158,0.17,0.1458,0.1468,259258.05168394375,0.0
dfusdt,HUOBI,2020-10-15 00:00:00,0.1464,0.1499,0.1406,0.1463,148764.65946,0.0
dfusdt,HUOBI,2020-10-16 00:00:00,0.1464,0.15,0.1269,0.132,221174.86222668,0.0
dfusdt,HUOBI,2020-10-17 00:00:00,0.1321,0.1332,0.1274,0.1313,89199.022701,0.0
dfusdt,HUOBI,2020-10-18 00:00:00,0.1314,0.1347,0.1286,0.133,73219.256106,0.0
dfusdt,HUOBI,2020-10-19 00:00:00,0.1329,0.134,0.1262,0.1274,71273.02474666,0.0
dfusdt,HUOBI,2020-10-20 00:00:00,0.1277,0.1282,0.114,0.1185,140852.71174,0.0
dfusdt,HUOBI,2020-10-21 00:00:00,0.1186,0.1247,0.1116,0.1155,96743.25905941,0.0
dfusdt,HUOBI,2020-10-22 00:00:00,0.1153,0.12,0.102,0.1065,286931.24943803,0.0
dfusdt,HUOBI,2020-10-23 00:00:00,0.1065,0.1081,0.1032,0.1036,179294.3843051,0.0
dfusdt,HUOBI,2020-10-24 00:00:00,0.1033,0.111,0.0953,0.0986,262160.1888234,0.0
dfusdt,HUOBI,2020-10-25 00:00:00,0.0984,0.0985,0.0901,0.0906,110881.51508684,0.0
dfusdt,HUOBI,2020-10-26 00:00:00,0.0906,0.091,0.0843,0.0863,179585.19875107,0.0
dfusdt,HUOBI,2020-10-27 00:00:00,0.0863,0.0868,0.083,0.0868,113225.07872917628,0.0
dfusdt,HUOBI,2020-10-28 00:00:00,0.0867,0.0868,0.0792,0.081,135626.73038518,0.0
dfusdt,HUOBI,2020-10-29 00:00:00,0.0811,0.0816,0.0755,0.0778,88490.354811,0.0
dfusdt,HUOBI,2020-10-30 00:00:00,0.0773,0.1213,0.0773,0.1213,1608625.5538190063,0.0
dfusdt,HUOBI,2020-10-31 00:00:00,0.121,0.128,0.092,0.0995,1107254.2686362178,0.0
dfusdt,HUOBI,2020-11-01 00:00:00,0.0995,0.0995,0.08,0.0828,337312.94146174804,0.0
dfusdt,HUOBI,2020-11-02 00:00:00,0.0826,0.085,0.0728,0.0762,191706.37800447,0.0
dfusdt,HUOBI,2020-11-03 00:00:00,0.0762,0.0764,0.0701,0.0728,68144.37912176,0.0
dfusdt,HUOBI,2020-11-04 00:00:00,0.0729,0.0864,0.0723,0.0787,415250.78468635,0.0
dfusdt,HUOBI,2020-11-05 00:00:00,0.0785,0.0835,0.0722,0.077,190836.1241478246,0.0
dfusdt,HUOBI,2020-11-06 00:00:00,0.0768,0.082,0.0729,0.0808,229440.62481315,0.0
dfusdt,HUOBI,2020-11-07 00:00:00,0.0809,0.0918,0.078,0.0875,319231.94999672234,0.0
dfusdt,HUOBI,2020-11-08 00:00:00,0.0873,0.0956,0.0793,0.0841,238314.75222837,0.0
dfusdt,HUOBI,2020-11-09 00:00:00,0.0841,0.0842,0.0765,0.0782,114652.92890229,0.0
dfusdt,HUOBI,2020-11-10 00:00:00,0.0782,0.083,0.077,0.0808,109155.80849376137,0.0
dfusdt,HUOBI,2020-11-11 00:00:00,0.0808,0.0902,0.0803,0.087,249991.82632705334,0.0
dfusdt,HUOBI,2020-11-12 00:00:00,0.087,0.0891,0.0803,0.081,114575.0156796,0.0
dfusdt,HUOBI,2020-11-13 00:00:00,0.0811,0.0877,0.081,0.0852,114792.57177385876,0.0
dfusdt,HUOBI,2020-11-14 00:00:00,0.0851,0.0909,0.0829,0.0888,192542.83727954788,0.0
dfusdt,HUOBI,2020-11-15 00:00:00,0.0887,0.125,0.0885,0.1216,1126271.9898542583,0.0
dfusdt,HUOBI,2020-11-16 00:00:00,0.1214,0.1448,0.1037,0.1067,1178053.3322874676,0.0
dfusdt,HUOBI,2020-11-17 00:00:00,0.1067,0.1098,0.1014,0.1033,309243.61704980634,0.0
dfusdt,HUOBI,2020-11-18 00:00:00,0.1033,0.1042,0.0906,0.0963,329654.20577779866,0.0
dfusdt,HUOBI,2020-11-19 00:00:00,0.0962,0.1126,0.0947,0.105,451612.61443747545,0.0
dfusdt,HUOBI,2020-11-20 00:00:00,0.105,0.1056,0.1,0.105,217048.5253135,0.0
dfusdt,HUOBI,2020-11-21 00:00:00,0.1049,0.1125,0.1019,0.1078,477216.77238535,0.0
dfusdt,HUOBI,2020-11-22 00:00:00,0.1078,0.115,0.103,0.1068,351623.13274687505,0.0
dfusdt,HUOBI,2020-11-23 00:00:00,0.1066,0.1122,0.1059,0.1082,261377.36379233,0.0
dfusdt,HUOBI,2020-11-24 00:00:00,0.1082,0.1165,0.1071,0.1125,353339.67019097315,0.0
dfusdt,HUOBI,2020-11-25 00:00:00,0.1125,0.1198,0.1096,0.1124,347586.3788448532,0.0
dfusdt,HUOBI,2020-11-26 00:00:00,0.1123,0.1149,0.091,0.0993,193524.20932362,0.0
dfusdt,HUOBI,2020-11-27 00:00:00,0.0998,0.1027,0.0909,0.0939,127494.868795,0.0
dfusdt,HUOBI,2020-11-28 00:00:00,0.0939,0.1036,0.08,0.095,283789.3115034342,0.0
dfusdt,HUOBI,2020-11-29 00:00:00,0.0954,0.0972,0.0919,0.0925,103844.86017004,0.0
dfusdt,HUOBI,2020-11-30 00:00:00,0.0925,0.0999,0.0907,0.0957,146092.343927,0.0
dfusdt,HUOBI,2020-12-01 00:00:00,0.0956,0.0972,0.0892,0.0934,238912.06027566,0.0
dfusdt,HUOBI,2020-12-02 00:00:00,0.0933,0.0964,0.0868,0.0923,254715.65890501,0.0
