symbol,exchange,datetime,open,high,low,close,volume,open_interest
dhtusdt,HUOBI,2020-09-17 00:00:00,1.0,2.69,1.0,1.5656,4649570.587253617,0.0
dhtusdt,HUOBI,2020-09-18 00:00:00,1.5657,1.5757,1.15,1.4236,2599338.095093018,0.0
dhtusdt,HUOBI,2020-09-19 00:00:00,1.4239,1.6199,1.1624,1.3046,1905033.6932427974,0.0
dhtusdt,HUOBI,2020-09-20 00:00:00,1.3056,1.4618,1.176,1.281,706924.2952271645,0.0
dhtusdt,HUOBI,2020-09-21 00:00:00,1.2709,1.2997,0.7313,0.7899,903558.919862415,0.0
dhtusdt,HUOBI,2020-09-22 00:00:00,0.7828,1.0426,0.702,0.9992,822979.227133835,0.0
dhtusdt,HUOBI,2020-09-23 00:00:00,0.9993,1.019,0.735,0.9406,364020.61472933,0.0
dhtusdt,HUOBI,2020-09-24 00:00:00,0.9377,1.1762,0.834,1.0044,259182.64428168,0.0
dhtusdt,HUOBI,2020-09-25 00:00:00,1.0093,1.0642,0.9363,1.013,142149.65403119,0.0
dhtusdt,HUOBI,2020-09-26 00:00:00,1.0127,1.0196,0.899,0.9342,235467.80652763016,0.0
dhtusdt,HUOBI,2020-09-27 00:00:00,0.9349,0.9384,0.7846,0.8165,219046.97242021,0.0
dhtusdt,HUOBI,2020-09-28 00:00:00,0.8185,0.9797,0.783,0.9039,224577.34331959,0.0
dhtusdt,HUOBI,2020-09-29 00:00:00,0.9007,0.9487,0.782,0.8204,182626.91782721202,0.0
dhtusdt,HUOBI,2020-09-30 00:00:00,0.8205,0.9017,0.7733,0.8167,160962.80278173785,0.0
dhtusdt,HUOBI,2020-10-01 00:00:00,0.8181,0.885,0.8047,0.829,127667.5461137,0.0
dhtusdt,HUOBI,2020-10-02 00:00:00,0.8317,0.8317,0.71,0.7369,117473.38292229,0.0
dhtusdt,HUOBI,2020-10-03 00:00:00,0.7384,0.7731,0.7,0.7445,85440.01589946,0.0
dhtusdt,HUOBI,2020-10-04 00:00:00,0.7444,0.7933,0.7065,0.7178,87862.66999201,0.0
dhtusdt,HUOBI,2020-10-05 00:00:00,0.7165,0.7473,0.7009,0.7059,72900.66796025,0.0
dhtusdt,HUOBI,2020-10-06 00:00:00,0.7063,0.7377,0.6257,0.6483,108848.41044444,0.0
dhtusdt,HUOBI,2020-10-07 00:00:00,0.6515,0.6682,0.5691,0.5745,121600.93093238,0.0
dhtusdt,HUOBI,2020-10-08 00:00:00,0.5735,0.7182,0.5709,0.6022,196633.56288648,0.0
dhtusdt,HUOBI,2020-10-09 00:00:00,0.6038,0.668,0.6,0.6354,105603.25132333,0.0
dhtusdt,HUOBI,2020-10-10 00:00:00,0.6292,0.6446,0.6022,0.6175,107408.94136376,0.0
dhtusdt,HUOBI,2020-10-11 00:00:00,0.6161,0.6868,0.6025,0.6285,136121.10013993,0.0
dhtusdt,HUOBI,2020-10-12 00:00:00,0.6308,0.7389,0.6104,0.7255,212276.231127,0.0
dhtusdt,HUOBI,2020-10-13 00:00:00,0.7255,0.726,0.6777,0.6869,130615.51542904,0.0
dhtusdt,HUOBI,2020-10-14 00:00:00,0.6891,0.7335,0.6688,0.671,99579.06693694,0.0
dhtusdt,HUOBI,2020-10-15 00:00:00,0.6689,0.75,0.6618,0.7387,163007.6386293624,0.0
dhtusdt,HUOBI,2020-10-16 00:00:00,0.7398,0.9,0.6742,0.6893,258219.3139858932,0.0
dhtusdt,HUOBI,2020-10-17 00:00:00,0.6918,0.8917,0.6884,0.725,405356.58204089117,0.0
dhtusdt,HUOBI,2020-10-18 00:00:00,0.728,0.7299,0.675,0.6826,109475.33084755,0.0
dhtusdt,HUOBI,2020-10-19 00:00:00,0.6836,0.6978,0.6412,0.6579,88028.28641332,0.0
dhtusdt,HUOBI,2020-10-20 00:00:00,0.6581,0.6714,0.59,0.5951,87652.00658369,0.0
dhtusdt,HUOBI,2020-10-21 00:00:00,0.5941,0.6286,0.5533,0.5845,88268.24379734,0.0
dhtusdt,HUOBI,2020-10-22 00:00:00,0.5857,0.68,0.5533,0.5961,135883.69803605636,0.0
dhtusdt,HUOBI,2020-10-23 00:00:00,0.5962,0.6211,0.5747,0.6047,78794.04251552,0.0
dhtusdt,HUOBI,2020-10-24 00:00:00,0.6048,0.62,0.5808,0.6101,71511.14028272,0.0
dhtusdt,HUOBI,2020-10-25 00:00:00,0.6095,0.66,0.5953,0.6385,81809.96683288082,0.0
dhtusdt,HUOBI,2020-10-26 00:00:00,0.6382,0.6518,0.5971,0.623,84965.41290856,0.0
dhtusdt,HUOBI,2020-10-27 00:00:00,0.6276,0.6527,0.5974,0.6295,98729.78304102,0.0
dhtusdt,HUOBI,2020-10-28 00:00:00,0.6273,0.6304,0.5822,0.5929,69764.01150818,0.0
dhtusdt,HUOBI,2020-10-29 00:00:00,0.5929,0.6309,0.5441,0.5568,86747.8456574,0.0
dhtusdt,HUOBI,2020-10-30 00:00:00,0.5571,0.5757,0.5327,0.5527,68504.38422236,0.0
dhtusdt,HUOBI,2020-10-31 00:00:00,0.5527,0.5757,0.53,0.5424,69582.90588424,0.0
dhtusdt,HUOBI,2020-11-01 00:00:00,0.5409,0.577,0.5113,0.5508,83070.98010956722,0.0
dhtusdt,HUOBI,2020-11-02 00:00:00,0.5451,0.59,0.45,0.5116,120788.87196637,0.0
dhtusdt,HUOBI,2020-11-03 00:00:00,0.5096,0.5141,0.4324,0.4525,90984.84466556,0.0
dhtusdt,HUOBI,2020-11-04 00:00:00,0.4541,0.4548,0.424,0.4275,79871.6860939,0.0
dhtusdt,HUOBI,2020-11-05 00:00:00,0.4297,0.4998,0.3696,0.385,135046.11004371,0.0
dhtusdt,HUOBI,2020-11-06 00:00:00,0.3859,0.4039,0.3667,0.3941,121159.22051699,0.0
dhtusdt,HUOBI,2020-11-07 00:00:00,0.3947,0.474,0.3947,0.4186,161132.18172255153,0.0
dhtusdt,HUOBI,2020-11-08 00:00:00,0.421,0.4257,0.3655,0.3989,147513.71404998,0.0
dhtusdt,HUOBI,2020-11-09 00:00:00,0.3984,0.3991,0.3819,0.3892,100806.96770725,0.0
dhtusdt,HUOBI,2020-11-10 00:00:00,0.3886,0.4,0.3819,0.3995,77927.64387152,0.0
dhtusdt,HUOBI,2020-11-11 00:00:00,0.399,0.568,0.3923,0.4834,359821.1597096142,0.0
dhtusdt,HUOBI,2020-11-12 00:00:00,0.4842,0.4845,0.4253,0.4345,105426.22696493,0.0
dhtusdt,HUOBI,2020-11-13 00:00:00,0.4333,0.4587,0.4267,0.4521,77813.79024691,0.0
dhtusdt,HUOBI,2020-11-14 00:00:00,0.4511,0.49,0.4359,0.48,91931.22907979,0.0
dhtusdt,HUOBI,2020-11-15 00:00:00,0.4803,0.6382,0.47,0.6287,470126.5177218626,0.0
dhtusdt,HUOBI,2020-11-16 00:00:00,0.6308,0.6309,0.57,0.5956,141922.97244066,0.0
dhtusdt,HUOBI,2020-11-17 00:00:00,0.6,0.7389,0.581,0.6867,245922.56944244,0.0
dhtusdt,HUOBI,2020-11-18 00:00:00,0.6868,0.8799,0.6525,0.6811,763353.3949203744,0.0
dhtusdt,HUOBI,2020-11-19 00:00:00,0.6844,0.7238,0.6323,0.6816,178317.06329785,0.0
dhtusdt,HUOBI,2020-11-20 00:00:00,0.6795,0.8493,0.6677,0.7636,269024.78273861,0.0
dhtusdt,HUOBI,2020-11-21 00:00:00,0.7631,0.84,0.7614,0.8072,147690.90984924,0.0
dhtusdt,HUOBI,2020-11-22 00:00:00,0.808,0.9199,0.7901,0.804,201612.04633093,0.0
dhtusdt,HUOBI,2020-11-23 00:00:00,0.8027,1.0901,0.7892,1.0306,324082.43960859,0.0
dhtusdt,HUOBI,2020-11-24 00:00:00,1.0323,1.3499,1.0107,1.2585,349521.73068499245,0.0
dhtusdt,HUOBI,2020-11-25 00:00:00,1.2785,1.8,1.2062,1.5446,890702.7280794577,0.0
dhtusdt,HUOBI,2020-11-26 00:00:00,1.5447,1.5531,0.88,1.0211,628237.79372684,0.0
dhtusdt,HUOBI,2020-11-27 00:00:00,1.0211,1.0948,0.85,1.0115,327868.88133032,0.0
dhtusdt,HUOBI,2020-11-28 00:00:00,1.0146,1.3498,0.9701,1.2637,459675.39183857647,0.0
dhtusdt,HUOBI,2020-11-29 00:00:00,1.2636,1.2673,1.1104,1.1576,216880.65234059,0.0
dhtusdt,HUOBI,2020-11-30 00:00:00,1.1685,1.45,1.1111,1.132,475815.33654285,0.0
dhtusdt,HUOBI,2020-12-01 00:00:00,1.1394,1.1405,1.0002,1.048,315811.48996846,0.0
dhtusdt,HUOBI,2020-12-02 00:00:00,1.0494,1.13,1.0325,1.12,318121.8897957055,0.0
dhtusdt,HUOBI,2020-12-03 00:00:00,1.117,1.9,1.063,1.39,2489215.053816887,0.0
dhtusdt,HUOBI,2020-12-04 00:00:00,1.39,1.54,1.36,1.4818,784695.2458823891,0.0
