symbol,exchange,datetime,open,high,low,close,volume,open_interest
dkausdt,HUOBI,2020-09-03 00:00:00,0.041484,0.0599,0.041484,0.044745,3599767.3792266618,0.0
dkausdt,HUOBI,2020-09-04 00:00:00,0.04451,0.047002,0.033347,0.035024,1822802.7895957087,0.0
dkausdt,HUOBI,2020-09-05 00:00:00,0.035729,0.041999,0.032973,0.034149,178872.02561085141,0.0
dkausdt,HUOBI,2020-09-06 00:00:00,0.034305,0.038,0.028039,0.033129,128569.62366943424,0.0
dkausdt,HUOBI,2020-09-07 00:00:00,0.0332,0.037998,0.028937,0.030033,169207.50032765465,0.0
dkausdt,HUOBI,2020-09-08 00:00:00,0.030524,0.036659,0.029801,0.03278,216574.16926314,0.0
dkausdt,HUOBI,2020-09-09 00:00:00,0.032747,0.03946,0.032344,0.0375,290890.66727090866,0.0
dkausdt,HUOBI,2020-09-10 00:00:00,0.037213,0.04036,0.035536,0.037466,123214.21346057,0.0
dkausdt,HUOBI,2020-09-11 00:00:00,0.037467,0.037925,0.035536,0.035886,64377.36214363,0.0
dkausdt,HUOBI,2020-09-12 00:00:00,0.035895,0.037603,0.035535,0.036605,90191.37567487,0.0
dkausdt,HUOBI,2020-09-13 00:00:00,0.036733,0.038479,0.035534,0.035653,91293.0483319,0.0
dkausdt,HUOBI,2020-09-14 00:00:00,0.035658,0.037487,0.034818,0.036607,97890.66984291,0.0
dkausdt,HUOBI,2020-09-15 00:00:00,0.036596,0.037537,0.034301,0.034808,73985.63952396,0.0
dkausdt,HUOBI,2020-09-16 00:00:00,0.034822,0.03502,0.03277,0.033223,54246.67722324,0.0
dkausdt,HUOBI,2020-09-17 00:00:00,0.033296,0.034119,0.029988,0.032187,51012.51184351,0.0
dkausdt,HUOBI,2020-09-18 00:00:00,0.032176,0.034567,0.032118,0.034196,50590.65754851,0.0
dkausdt,HUOBI,2020-09-19 00:00:00,0.03419,0.034835,0.033628,0.034567,46175.204255801575,0.0
dkausdt,HUOBI,2020-09-20 00:00:00,0.034566,0.034673,0.0331,0.033455,43221.42511957,0.0
dkausdt,HUOBI,2020-09-21 00:00:00,0.033295,0.033986,0.028,0.029266,66966.7783374,0.0
dkausdt,HUOBI,2020-09-22 00:00:00,0.029258,0.029575,0.02663,0.029031,63896.14069438,0.0
dkausdt,HUOBI,2020-09-23 00:00:00,0.02905,0.0345,0.027,0.032686,172206.44131272935,0.0
dkausdt,HUOBI,2020-09-24 00:00:00,0.032686,0.0477,0.025111,0.027349,769049.7910680679,0.0
dkausdt,HUOBI,2020-09-25 00:00:00,0.027261,0.030312,0.026496,0.029095,117885.0375399,0.0
dkausdt,HUOBI,2020-09-26 00:00:00,0.028906,0.031,0.028737,0.030216,69790.95873618,0.0
dkausdt,HUOBI,2020-09-27 00:00:00,0.030209,0.031542,0.029922,0.030514,66678.96817456,0.0
dkausdt,HUOBI,2020-09-28 00:00:00,0.030516,0.0314,0.025551,0.031299,81669.09835331,0.0
dkausdt,HUOBI,2020-09-29 00:00:00,0.031205,0.0314,0.03022,0.031198,59083.93701592,0.0
dkausdt,HUOBI,2020-09-30 00:00:00,0.031198,0.03186,0.030318,0.031719,55037.3611763,0.0
dkausdt,HUOBI,2020-10-01 00:00:00,0.031759,0.034841,0.031354,0.032156,73949.17472246,0.0
dkausdt,HUOBI,2020-10-02 00:00:00,0.031387,0.038,0.028992,0.031499,243344.30720523,0.0
dkausdt,HUOBI,2020-10-03 00:00:00,0.031509,0.044999,0.028635,0.030295,1034140.7930093181,0.0
dkausdt,HUOBI,2020-10-04 00:00:00,0.030295,0.030295,0.0286,0.029081,98820.36919784,0.0
dkausdt,HUOBI,2020-10-05 00:00:00,0.029062,0.029728,0.028854,0.02928,61480.47868941,0.0
dkausdt,HUOBI,2020-10-06 00:00:00,0.029263,0.034001,0.027346,0.027878,186277.18197327794,0.0
dkausdt,HUOBI,2020-10-07 00:00:00,0.027928,0.02852,0.027187,0.02757,77093.93489441,0.0
dkausdt,HUOBI,2020-10-08 00:00:00,0.027607,0.029229,0.027329,0.028956,84085.64254436,0.0
dkausdt,HUOBI,2020-10-09 00:00:00,0.028951,0.033333,0.028834,0.031351,195189.47949700124,0.0
dkausdt,HUOBI,2020-10-10 00:00:00,0.03137,0.036206,0.031089,0.032244,130884.75211153469,0.0
dkausdt,HUOBI,2020-10-11 00:00:00,0.032249,0.032528,0.031245,0.031537,66977.07373226,0.0
dkausdt,HUOBI,2020-10-12 00:00:00,0.031562,0.036854,0.03093,0.032455,223267.6975525832,0.0
dkausdt,HUOBI,2020-10-13 00:00:00,0.032505,0.033641,0.031403,0.031636,67826.44708579524,0.0
dkausdt,HUOBI,2020-10-14 00:00:00,0.031582,0.0325,0.030011,0.030205,64705.628932154264,0.0
dkausdt,HUOBI,2020-10-15 00:00:00,0.030228,0.030772,0.028604,0.029287,43425.04980177773,0.0
dkausdt,HUOBI,2020-10-16 00:00:00,0.029192,0.029728,0.028251,0.028733,59309.44854417,0.0
dkausdt,HUOBI,2020-10-17 00:00:00,0.028771,0.0292,0.028111,0.028776,60144.13325808,0.0
dkausdt,HUOBI,2020-10-18 00:00:00,0.028777,0.029433,0.02859,0.029188,56497.87070036,0.0
dkausdt,HUOBI,2020-10-19 00:00:00,0.02918,0.030021,0.028428,0.029652,68291.91655415,0.0
dkausdt,HUOBI,2020-10-20 00:00:00,0.029645,0.030026,0.027692,0.028159,152651.73456786,0.0
dkausdt,HUOBI,2020-10-21 00:00:00,0.028212,0.029675,0.027727,0.028765,66412.9336261,0.0
dkausdt,HUOBI,2020-10-22 00:00:00,0.028733,0.030016,0.026723,0.02903,94877.06796945483,0.0
dkausdt,HUOBI,2020-10-23 00:00:00,0.029048,0.032657,0.027548,0.029101,412166.90399742604,0.0
dkausdt,HUOBI,2020-10-24 00:00:00,0.029111,0.03032,0.028545,0.030187,109916.88606031,0.0
dkausdt,HUOBI,2020-10-25 00:00:00,0.030107,0.031059,0.028822,0.029303,85395.42578097,0.0
dkausdt,HUOBI,2020-10-26 00:00:00,0.029481,0.029867,0.028684,0.028782,57264.84153263,0.0
dkausdt,HUOBI,2020-10-27 00:00:00,0.028754,0.028871,0.027408,0.028036,70825.81017396,0.0
dkausdt,HUOBI,2020-10-28 00:00:00,0.028204,0.028205,0.025528,0.025837,91650.47396516,0.0
dkausdt,HUOBI,2020-10-29 00:00:00,0.025829,0.027552,0.025008,0.026017,68029.14829923,0.0
dkausdt,HUOBI,2020-10-30 00:00:00,0.026192,0.026708,0.024019,0.024443,73663.25354277,0.0
dkausdt,HUOBI,2020-10-31 00:00:00,0.024461,0.026547,0.023828,0.026017,71320.00398899,0.0
dkausdt,HUOBI,2020-11-01 00:00:00,0.025784,0.026525,0.024019,0.024809,57659.07976009,0.0
dkausdt,HUOBI,2020-11-02 00:00:00,0.02485,0.026134,0.023308,0.024087,65070.0809095,0.0
dkausdt,HUOBI,2020-11-03 00:00:00,0.023941,0.02455,0.022544,0.022974,69400.14527342,0.0
dkausdt,HUOBI,2020-11-04 00:00:00,0.02306,0.023705,0.022243,0.022474,67648.97172276,0.0
dkausdt,HUOBI,2020-11-05 00:00:00,0.022466,0.027548,0.022118,0.023769,79060.71483926,0.0
dkausdt,HUOBI,2020-11-06 00:00:00,0.023726,0.027548,0.023258,0.025028,128986.39086679,0.0
