symbol,exchange,datetime,open,high,low,close,volume,open_interest
dockusdt,HUOBI,2019-10-22 00:00:00,0.010994,0.013599,0.010994,0.01295,246890.8219417296,0.0
dockusdt,HUOBI,2019-10-23 00:00:00,0.012894,0.013045,0.0106,0.011128,59119.18799877,0.0
dockusdt,HUOBI,2019-10-24 00:00:00,0.011066,0.011284,0.010262,0.010712,41220.43532934,0.0
dockusdt,HUOBI,2019-10-25 00:00:00,0.010673,0.011157,0.010431,0.010998,22296.23574587,0.0
dockusdt,HUOBI,2019-10-26 00:00:00,0.011017,0.011455,0.010176,0.010206,188549.58128079,0.0
dockusdt,HUOBI,2019-10-27 00:00:00,0.010206,0.011919,0.009762,0.010808,136009.70306953316,0.0
dockusdt,HUOBI,2019-10-28 00:00:00,0.010791,0.0113,0.010439,0.010855,48355.65717532053,0.0
dockusdt,HUOBI,2019-10-29 00:00:00,0.010796,0.011934,0.010435,0.010839,22927.8439038,0.0
dockusdt,HUOBI,2019-10-30 00:00:00,0.010841,0.011256,0.010166,0.010424,19384.94899375,0.0
dockusdt,HUOBI,2019-10-31 00:00:00,0.010401,0.011358,0.010363,0.011054,32547.1665916,0.0
dockusdt,HUOBI,2019-11-01 00:00:00,0.011096,0.014134,0.010637,0.011394,220917.27013221275,0.0
dockusdt,HUOBI,2019-11-02 00:00:00,0.011353,0.011412,0.010819,0.011122,28161.48371409,0.0
dockusdt,HUOBI,2019-11-03 00:00:00,0.011131,0.011155,0.01052,0.011016,22068.86275576,0.0
dockusdt,HUOBI,2019-11-04 00:00:00,0.011021,0.011157,0.010592,0.010866,11411.28138862,0.0
dockusdt,HUOBI,2019-11-05 00:00:00,0.010839,0.011092,0.010463,0.010687,19050.5278362,0.0
dockusdt,HUOBI,2019-11-06 00:00:00,0.010682,0.011031,0.010617,0.010753,16451.2540709,0.0
dockusdt,HUOBI,2019-11-07 00:00:00,0.010712,0.011072,0.010445,0.010753,21292.4531154,0.0
dockusdt,HUOBI,2019-11-08 00:00:00,0.010793,0.010903,0.00979,0.009859,28121.128375,0.0
dockusdt,HUOBI,2019-11-09 00:00:00,0.009872,0.010306,0.009836,0.010134,13918.35982125,0.0
dockusdt,HUOBI,2019-11-10 00:00:00,0.010139,0.010322,0.009818,0.010254,6610.04966,0.0
dockusdt,HUOBI,2019-11-11 00:00:00,0.010264,0.010534,0.009774,0.009918,2513.22243078,0.0
dockusdt,HUOBI,2019-11-12 00:00:00,0.009965,0.010452,0.009844,0.010045,4986.15565371,0.0
dockusdt,HUOBI,2019-11-13 00:00:00,0.010042,0.010431,0.01,0.010172,5170.56984395,0.0
dockusdt,HUOBI,2019-11-14 00:00:00,0.010242,0.010299,0.009778,0.009816,13970.24856849,0.0
dockusdt,HUOBI,2019-11-15 00:00:00,0.009813,0.010482,0.0097,0.009919,47450.38587806,0.0
dockusdt,HUOBI,2019-11-16 00:00:00,0.009953,0.01053,0.009802,0.010369,21526.11361111,0.0
dockusdt,HUOBI,2019-11-17 00:00:00,0.010369,0.010998,0.010256,0.010377,46726.441470798294,0.0
dockusdt,HUOBI,2019-11-18 00:00:00,0.010377,0.010397,0.009775,0.009838,29779.7958891,0.0
dockusdt,HUOBI,2019-11-19 00:00:00,0.009839,0.009853,0.008791,0.009076,12569.80578706,0.0
dockusdt,HUOBI,2019-11-20 00:00:00,0.009142,0.0095,0.009037,0.009215,5650.06862409,0.0
dockusdt,HUOBI,2019-11-21 00:00:00,0.009264,0.009409,0.008276,0.008372,8436.70043244,0.0
dockusdt,HUOBI,2019-11-22 00:00:00,0.008365,0.008591,0.007247,0.007611,7200.65366464,0.0
dockusdt,HUOBI,2019-11-23 00:00:00,0.007721,0.008554,0.007459,0.007975,13054.07918699,0.0
dockusdt,HUOBI,2019-11-24 00:00:00,0.007995,0.008387,0.007587,0.007589,5598.72713341,0.0
dockusdt,HUOBI,2019-11-25 00:00:00,0.007589,0.008342,0.007009,0.008222,7837.48228723,0.0
dockusdt,HUOBI,2019-11-26 00:00:00,0.008252,0.008684,0.00815,0.008265,1478.60989595,0.0
dockusdt,HUOBI,2019-11-27 00:00:00,0.008431,0.008682,0.007664,0.008567,8745.13059016,0.0
dockusdt,HUOBI,2019-11-28 00:00:00,0.008526,0.009091,0.008306,0.008782,8664.17553431,0.0
dockusdt,HUOBI,2019-11-29 00:00:00,0.00878,0.009181,0.008516,0.008976,6447.46622761,0.0
dockusdt,HUOBI,2019-11-30 00:00:00,0.008888,0.009076,0.008442,0.008461,7067.11521535,0.0
dockusdt,HUOBI,2019-12-01 00:00:00,0.008509,0.00929,0.008015,0.008235,14533.39383516,0.0
dockusdt,HUOBI,2019-12-02 00:00:00,0.008199,0.00887,0.008106,0.008424,3476.53678368,0.0
dockusdt,HUOBI,2019-12-03 00:00:00,0.008441,0.009298,0.008416,0.009102,25812.99566097,0.0
dockusdt,HUOBI,2019-12-04 00:00:00,0.009085,0.010218,0.008819,0.009961,88901.54428025,0.0
dockusdt,HUOBI,2019-12-05 00:00:00,0.009936,0.010708,0.008612,0.009478,55352.1677197,0.0
dockusdt,HUOBI,2019-12-06 00:00:00,0.009476,0.01,0.008901,0.0098,36051.61513181003,0.0
dockusdt,HUOBI,2019-12-07 00:00:00,0.009747,0.0107,0.009501,0.009774,43243.77341022,0.0
dockusdt,HUOBI,2019-12-08 00:00:00,0.009746,0.010985,0.0095,0.010454,43003.99035738,0.0
dockusdt,HUOBI,2019-12-09 00:00:00,0.010457,0.01095,0.00992,0.0101,58054.26999575,0.0
dockusdt,HUOBI,2019-12-10 00:00:00,0.010091,0.010242,0.0083,0.008417,77148.14148414,0.0
dockusdt,HUOBI,2019-12-11 00:00:00,0.008417,0.00903,0.008168,0.008589,16413.54866457,0.0
dockusdt,HUOBI,2019-12-12 00:00:00,0.008625,0.008785,0.008313,0.008374,7105.03749491,0.0
dockusdt,HUOBI,2019-12-13 00:00:00,0.008419,0.0085,0.008136,0.008475,5929.47373022,0.0
dockusdt,HUOBI,2019-12-14 00:00:00,0.008462,0.008999,0.008256,0.008265,14530.73199116,0.0
dockusdt,HUOBI,2019-12-15 00:00:00,0.008241,0.008644,0.008062,0.008386,7559.93026848,0.0
dockusdt,HUOBI,2019-12-16 00:00:00,0.008384,0.008645,0.008102,0.008267,2007.72857458,0.0
dockusdt,HUOBI,2019-12-17 00:00:00,0.008241,0.008645,0.006668,0.0069,23153.82832433,0.0
dockusdt,HUOBI,2019-12-18 00:00:00,0.00689,0.007315,0.006264,0.006916,6818.41025784,0.0
dockusdt,HUOBI,2019-12-19 00:00:00,0.006978,0.007858,0.006805,0.007522,7137.54790018,0.0
dockusdt,HUOBI,2019-12-20 00:00:00,0.007477,0.007773,0.007374,0.007688,1471.10955825,0.0
dockusdt,HUOBI,2019-12-21 00:00:00,0.007711,0.007975,0.007448,0.007581,5528.04934525,0.0
dockusdt,HUOBI,2019-12-22 00:00:00,0.007572,0.00807,0.007502,0.007566,2608.41053125,0.0
dockusdt,HUOBI,2019-12-23 00:00:00,0.007595,0.008016,0.007318,0.00737,4983.13095797,0.0
dockusdt,HUOBI,2019-12-24 00:00:00,0.0074,0.007539,0.00703,0.007276,4443.69658821,0.0
dockusdt,HUOBI,2019-12-25 00:00:00,0.007207,0.007462,0.007107,0.007215,4481.80118304,0.0
dockusdt,HUOBI,2019-12-26 00:00:00,0.007198,0.007515,0.007075,0.007204,1864.21707208,0.0
dockusdt,HUOBI,2019-12-27 00:00:00,0.007242,0.007443,0.007002,0.007265,1230.07740233,0.0
dockusdt,HUOBI,2019-12-28 00:00:00,0.007282,0.00747,0.007067,0.007256,2746.03270479,0.0
dockusdt,HUOBI,2019-12-29 00:00:00,0.007358,0.007515,0.007115,0.007242,5157.07362576,0.0
dockusdt,HUOBI,2019-12-30 00:00:00,0.007207,0.00739,0.00686,0.007028,2759.37656415,0.0
dockusdt,HUOBI,2019-12-31 00:00:00,0.00713,0.007331,0.006873,0.007125,5094.02786921,0.0
dockusdt,HUOBI,2020-01-01 00:00:00,0.007186,0.008363,0.007186,0.008045,59575.82137396,0.0
dockusdt,HUOBI,2020-01-02 00:00:00,0.008046,0.008351,0.007284,0.007371,26503.46706747,0.0
dockusdt,HUOBI,2020-01-03 00:00:00,0.007371,0.0075,0.006905,0.007369,13243.68441325,0.0
dockusdt,HUOBI,2020-01-04 00:00:00,0.007372,0.007686,0.007157,0.007444,8724.15208501,0.0
dockusdt,HUOBI,2020-01-05 00:00:00,0.007318,0.007558,0.007225,0.007459,3026.68246874,0.0
dockusdt,HUOBI,2020-01-06 00:00:00,0.007415,0.007447,0.007173,0.007258,9302.76883441,0.0
dockusdt,HUOBI,2020-01-07 00:00:00,0.007227,0.00775,0.007227,0.007394,4299.20624857,0.0
dockusdt,HUOBI,2020-01-08 00:00:00,0.0074,0.007704,0.006946,0.007266,11423.58818322,0.0
dockusdt,HUOBI,2020-01-09 00:00:00,0.007197,0.007746,0.00709,0.007424,9735.8445986,0.0
dockusdt,HUOBI,2020-01-10 00:00:00,0.007432,0.007647,0.007121,0.007241,1069.14407386,0.0
dockusdt,HUOBI,2020-01-11 00:00:00,0.007299,0.007585,0.007102,0.007297,6193.26151607,0.0
dockusdt,HUOBI,2020-01-12 00:00:00,0.007427,0.0078,0.007216,0.007363,2109.27860266,0.0
dockusdt,HUOBI,2020-01-13 00:00:00,0.007356,0.007444,0.007,0.007149,4810.60044329,0.0
dockusdt,HUOBI,2020-01-14 00:00:00,0.007181,0.00758,0.006957,0.007167,9922.60978763,0.0
dockusdt,HUOBI,2020-01-15 00:00:00,0.007251,0.007801,0.00704,0.007354,38088.10612983,0.0
dockusdt,HUOBI,2020-01-16 00:00:00,0.007354,0.007565,0.0071,0.007312,17055.03943547,0.0
dockusdt,HUOBI,2020-01-17 00:00:00,0.00734,0.007589,0.007204,0.007301,11770.46515473,0.0
dockusdt,HUOBI,2020-01-18 00:00:00,0.007445,0.007665,0.007308,0.007442,12446.63903371,0.0
dockusdt,HUOBI,2020-01-19 00:00:00,0.007526,0.007624,0.007006,0.007095,13523.52515857,0.0
dockusdt,HUOBI,2020-01-20 00:00:00,0.007173,0.0076,0.007126,0.007358,16526.79915681,0.0
dockusdt,HUOBI,2020-01-21 00:00:00,0.007461,0.007568,0.007253,0.007426,4314.70016398,0.0
dockusdt,HUOBI,2020-01-22 00:00:00,0.007382,0.0075,0.007132,0.007208,9683.30767,0.0
dockusdt,HUOBI,2020-01-23 00:00:00,0.007319,0.007319,0.007047,0.007169,3989.90285614,0.0
dockusdt,HUOBI,2020-01-24 00:00:00,0.00713,0.007375,0.007,0.007269,7270.54297263,0.0
dockusdt,HUOBI,2020-01-25 00:00:00,0.007268,0.007347,0.00685,0.007052,6297.15808473,0.0
dockusdt,HUOBI,2020-01-26 00:00:00,0.007072,0.00735,0.007002,0.007305,3408.6657719,0.0
dockusdt,HUOBI,2020-01-27 00:00:00,0.00727,0.00734,0.007,0.007113,18742.83548172,0.0
dockusdt,HUOBI,2020-01-28 00:00:00,0.00711,0.00726,0.006885,0.007019,29627.72905792,0.0
dockusdt,HUOBI,2020-01-29 00:00:00,0.007029,0.007137,0.006725,0.006844,29260.81526766,0.0
dockusdt,HUOBI,2020-01-30 00:00:00,0.006807,0.006875,0.006506,0.006787,20207.95231251,0.0
dockusdt,HUOBI,2020-01-31 00:00:00,0.006764,0.00725,0.0067,0.007027,55834.04597416,0.0
dockusdt,HUOBI,2020-02-01 00:00:00,0.007004,0.007163,0.006885,0.007102,23753.18977869,0.0
dockusdt,HUOBI,2020-02-02 00:00:00,0.007119,0.007599,0.007005,0.007444,71320.03436374609,0.0
dockusdt,HUOBI,2020-02-03 00:00:00,0.007466,0.007709,0.007046,0.007254,90831.525613263,0.0
dockusdt,HUOBI,2020-02-04 00:00:00,0.007254,0.008257,0.007254,0.007611,407173.00855979085,0.0
dockusdt,HUOBI,2020-02-05 00:00:00,0.00762,0.007847,0.007497,0.00769,80919.83675866,0.0
dockusdt,HUOBI,2020-02-06 00:00:00,0.007755,0.0091,0.007565,0.008453,200556.0107751652,0.0
dockusdt,HUOBI,2020-02-07 00:00:00,0.008499,0.008819,0.008283,0.008586,81693.56062078,0.0
dockusdt,HUOBI,2020-02-08 00:00:00,0.008568,0.009,0.00841,0.008826,133492.81856678,0.0
dockusdt,HUOBI,2020-02-09 00:00:00,0.00882,0.00916,0.0084,0.008815,92866.50100138149,0.0
dockusdt,HUOBI,2020-02-10 00:00:00,0.008829,0.010698,0.008269,0.008711,424692.4421679031,0.0
dockusdt,HUOBI,2020-02-11 00:00:00,0.008698,0.010349,0.008583,0.009955,259026.23107447,0.0
dockusdt,HUOBI,2020-02-12 00:00:00,0.010067,0.01245,0.009786,0.011465,245338.46748772287,0.0
