symbol,exchange,datetime,open,high,low,close,volume,open_interest
dotusdt,HUOBI,2020-08-22 00:00:00,2.96,4.0,2.96,3.8082,25926032.758424733,0.0
dotusdt,HUOBI,2020-08-23 00:00:00,3.8129,4.56,3.7001,3.9087,90252073.59445907,0.0
dotusdt,HUOBI,2020-08-24 00:00:00,3.9087,4.3186,3.721,4.2116,58422649.63312065,0.0
dotusdt,HUOBI,2020-08-25 00:00:00,4.2212,4.988,4.1753,4.7978,117995869.82997644,0.0
dotusdt,HUOBI,2020-08-26 00:00:00,4.7945,6.3612,4.776,6.3325,183317127.09640428,0.0
dotusdt,HUOBI,2020-08-27 00:00:00,6.3325,6.8,5.6123,5.8836,262802707.832175,0.0
dotusdt,HUOBI,2020-08-28 00:00:00,5.8838,6.2999,5.2302,6.2496,150572500.3592576,0.0
dotusdt,HUOBI,2020-08-29 00:00:00,6.2487,6.5609,6.0153,6.2841,90451806.25703633,0.0
dotusdt,HUOBI,2020-08-30 00:00:00,6.2829,6.5,5.713,5.8051,82797185.70397472,0.0
dotusdt,HUOBI,2020-08-31 00:00:00,5.8051,6.4574,5.76,6.3474,76990376.3900117,0.0
dotusdt,HUOBI,2020-09-01 00:00:00,6.3482,6.8888,6.1,6.3464,99438154.8556134,0.0
dotusdt,HUOBI,2020-09-02 00:00:00,6.3461,6.4573,5.5941,5.8859,87513981.4655337,0.0
dotusdt,HUOBI,2020-09-03 00:00:00,5.8859,6.3183,5.5492,6.1178,115393396.12837355,0.0
dotusdt,HUOBI,2020-09-04 00:00:00,6.1178,6.2941,4.5,4.9368,159728723.73610926,0.0
dotusdt,HUOBI,2020-09-05 00:00:00,4.9402,5.4482,4.29,4.6149,95547348.18248941,0.0
dotusdt,HUOBI,2020-09-06 00:00:00,4.6149,4.9123,3.5797,4.5494,134213191.8593723,0.0
dotusdt,HUOBI,2020-09-07 00:00:00,4.5497,4.9,4.006,4.4466,71512423.66637771,0.0
dotusdt,HUOBI,2020-09-08 00:00:00,4.4481,4.66,4.15,4.3202,42328198.845953666,0.0
dotusdt,HUOBI,2020-09-09 00:00:00,4.3197,4.6989,4.11,4.6899,40465695.647931606,0.0
dotusdt,HUOBI,2020-09-10 00:00:00,4.6925,4.8888,4.519,4.6326,56723007.50501861,0.0
dotusdt,HUOBI,2020-09-11 00:00:00,4.6315,4.7364,4.312,4.63,42498425.607680224,0.0
dotusdt,HUOBI,2020-09-12 00:00:00,4.63,4.79,4.4701,4.7413,32213438.089893732,0.0
dotusdt,HUOBI,2020-09-13 00:00:00,4.7413,5.476,4.709,5.1055,79552278.57830375,0.0
dotusdt,HUOBI,2020-09-14 00:00:00,5.1057,5.5774,4.7866,5.4996,76180412.4390014,0.0
dotusdt,HUOBI,2020-09-15 00:00:00,5.4999,5.552,5.1581,5.2448,67479415.3656005,0.0
dotusdt,HUOBI,2020-09-16 00:00:00,5.2441,5.293,4.98,5.1324,58072199.44553756,0.0
dotusdt,HUOBI,2020-09-17 00:00:00,5.1341,5.3988,5.0,5.3548,47194955.57071103,0.0
dotusdt,HUOBI,2020-09-18 00:00:00,5.3574,5.452,5.12,5.136,36321634.6285151,0.0
dotusdt,HUOBI,2020-09-19 00:00:00,5.1358,5.2799,5.086,5.1148,22414452.994935736,0.0
dotusdt,HUOBI,2020-09-20 00:00:00,5.1149,5.1233,4.588,4.5883,36496622.44326418,0.0
dotusdt,HUOBI,2020-09-21 00:00:00,4.5888,4.7,3.918,4.0254,61497923.31984595,0.0
dotusdt,HUOBI,2020-09-22 00:00:00,4.0255,4.2139,3.9,4.1106,40197711.185820095,0.0
dotusdt,HUOBI,2020-09-23 00:00:00,4.1106,4.3213,3.9501,4.1846,30569505.810496755,0.0
dotusdt,HUOBI,2020-09-24 00:00:00,4.1831,4.2923,3.9411,4.28,33467041.204136986,0.0
dotusdt,HUOBI,2020-09-25 00:00:00,4.2788,4.4709,4.2404,4.3995,33044217.66267667,0.0
dotusdt,HUOBI,2020-09-26 00:00:00,4.3998,4.531,4.215,4.3024,26052558.67359131,0.0
