symbol,exchange,datetime,open,high,low,close,volume,open_interest
dtausdt,HUOBI,2018-02-03 00:00:00,0.0227,0.0399,0.0227,0.0306,1401726.8395841953,0.0
dtausdt,HUOBI,2018-02-04 00:00:00,0.0306,0.0315,0.0242,0.0253,1561205.2467517438,0.0
dtausdt,HUOBI,2018-02-05 00:00:00,0.0254,0.028,0.019,0.0199,1609128.3816166422,0.0
dtausdt,HUOBI,2018-02-06 00:00:00,0.0199,0.0215,0.0132,0.0195,3097791.471820888,0.0
dtausdt,HUOBI,2018-02-07 00:00:00,0.0195,0.025,0.018,0.0218,7334781.155861332,0.0
dtausdt,HUOBI,2018-02-08 00:00:00,0.0218,0.0241,0.02,0.0215,5787864.200066385,0.0
dtausdt,HUOBI,2018-02-09 00:00:00,0.0216,0.023,0.0196,0.0222,3762336.3419738924,0.0
dtausdt,HUOBI,2018-02-10 00:00:00,0.0222,0.0248,0.021,0.0214,3340299.4891964747,0.0
dtausdt,HUOBI,2018-02-11 00:00:00,0.0214,0.0218,0.019,0.021,2293245.33734657,0.0
dtausdt,HUOBI,2018-02-12 00:00:00,0.021,0.0213,0.0185,0.0204,2098876.9696691018,0.0
dtausdt,HUOBI,2018-02-13 00:00:00,0.0204,0.0221,0.0193,0.0198,2067143.7887308,0.0
dtausdt,HUOBI,2018-02-14 00:00:00,0.0198,0.0218,0.019,0.0214,2216157.61286423,0.0
dtausdt,HUOBI,2018-02-15 00:00:00,0.0212,0.0222,0.0208,0.0218,1982773.3422397862,0.0
dtausdt,HUOBI,2018-02-16 00:00:00,0.0218,0.0231,0.0211,0.0226,1991048.049686189,0.0
dtausdt,HUOBI,2018-02-17 00:00:00,0.0226,0.0311,0.0219,0.0296,5031599.199586112,0.0
dtausdt,HUOBI,2018-02-18 00:00:00,0.0296,0.0318,0.0252,0.0271,6004146.503908316,0.0
dtausdt,HUOBI,2018-02-19 00:00:00,0.0271,0.0285,0.0247,0.0261,3373460.058070024,0.0
dtausdt,HUOBI,2018-02-20 00:00:00,0.026,0.0269,0.0237,0.0241,2467033.584335239,0.0
dtausdt,HUOBI,2018-02-21 00:00:00,0.0241,0.0258,0.0201,0.0205,3097336.8817422744,0.0
dtausdt,HUOBI,2018-02-22 00:00:00,0.0206,0.0224,0.0193,0.0212,2993592.6928735934,0.0
dtausdt,HUOBI,2018-02-23 00:00:00,0.0212,0.0219,0.0199,0.0213,2698464.6821540883,0.0
dtausdt,HUOBI,2018-02-24 00:00:00,0.0214,0.0214,0.0196,0.0198,1876128.46347047,0.0
dtausdt,HUOBI,2018-02-25 00:00:00,0.0199,0.0202,0.0179,0.0183,1389706.1758793932,0.0
