symbol,exchange,datetime,open,high,low,close,volume,open_interest
ektusdt,HUOBI,2019-08-12 00:00:00,0.1266,0.1601,0.1266,0.1525,1938807.3469694648,0.0
ektusdt,HUOBI,2019-08-13 00:00:00,0.1525,0.1597,0.145,0.1552,3146599.737343708,0.0
ektusdt,HUOBI,2019-08-14 00:00:00,0.1548,0.165,0.1507,0.16,3545369.43951458,0.0
ektusdt,HUOBI,2019-08-15 00:00:00,0.1602,0.1608,0.141,0.1469,3103044.75496134,0.0
ektusdt,HUOBI,2019-08-16 00:00:00,0.1478,0.1511,0.135,0.15,2813046.007398389,0.0
ektusdt,HUOBI,2019-08-17 00:00:00,0.1501,0.16,0.1447,0.1554,1827042.6585858376,0.0
ektusdt,HUOBI,2019-08-18 00:00:00,0.1555,0.1633,0.1513,0.1536,1472826.5938282527,0.0
ektusdt,HUOBI,2019-08-19 00:00:00,0.1536,0.158,0.15,0.1524,1686811.775727196,0.0
ektusdt,HUOBI,2019-08-20 00:00:00,0.1524,0.1561,0.1345,0.1529,2489693.33774318,0.0
ektusdt,HUOBI,2019-08-21 00:00:00,0.1529,0.153,0.1446,0.148,2178871.09846285,0.0
ektusdt,HUOBI,2019-08-22 00:00:00,0.148,0.1498,0.1439,0.1473,2032131.88624927,0.0
ektusdt,HUOBI,2019-08-23 00:00:00,0.147,0.1484,0.138,0.144,2497170.261069,0.0
ektusdt,HUOBI,2019-08-24 00:00:00,0.144,0.1445,0.136,0.1386,2135195.273917,0.0
ektusdt,HUOBI,2019-08-25 00:00:00,0.1384,0.1409,0.1365,0.1395,2033582.401286,0.0
ektusdt,HUOBI,2019-08-26 00:00:00,0.1395,0.1422,0.1262,0.1377,2653604.861607,0.0
ektusdt,HUOBI,2019-08-27 00:00:00,0.1377,0.141,0.1351,0.1393,2205928.36243852,0.0
ektusdt,HUOBI,2019-08-28 00:00:00,0.1395,0.1417,0.136,0.139,2670692.935788,0.0
ektusdt,HUOBI,2019-08-29 00:00:00,0.139,0.1392,0.1336,0.1339,2632966.7222222593,0.0
ektusdt,HUOBI,2019-08-30 00:00:00,0.1339,0.1368,0.131,0.1343,2302385.579591,0.0
ektusdt,HUOBI,2019-08-31 00:00:00,0.1343,0.137,0.1336,0.1367,2297606.77867622,0.0
ektusdt,HUOBI,2019-09-01 00:00:00,0.1365,0.143,0.1354,0.1426,2180474.162964451,0.0
ektusdt,HUOBI,2019-09-02 00:00:00,0.1426,0.147,0.1396,0.1461,1948634.5627733185,0.0
ektusdt,HUOBI,2019-09-03 00:00:00,0.146,0.1578,0.1459,0.1541,2431186.945335,0.0
ektusdt,HUOBI,2019-09-04 00:00:00,0.1542,0.1547,0.1471,0.1511,1913107.729246,0.0
ektusdt,HUOBI,2019-09-05 00:00:00,0.1512,0.1577,0.145,0.1529,2141149.45694765,0.0
ektusdt,HUOBI,2019-09-06 00:00:00,0.1529,0.1553,0.1517,0.1527,1491560.151039,0.0
ektusdt,HUOBI,2019-09-07 00:00:00,0.1528,0.1531,0.1466,0.1514,1360002.601471,0.0
ektusdt,HUOBI,2019-09-08 00:00:00,0.1515,0.153,0.1454,0.146,1307853.914216,0.0
ektusdt,HUOBI,2019-09-09 00:00:00,0.146,0.1549,0.144,0.1528,1724763.449885,0.0
ektusdt,HUOBI,2019-09-10 00:00:00,0.1528,0.173,0.15,0.1662,3273438.3169795,0.0
ektusdt,HUOBI,2019-09-11 00:00:00,0.1661,0.1702,0.1575,0.1598,1686218.92211749,0.0
ektusdt,HUOBI,2019-09-12 00:00:00,0.1607,0.1719,0.16,0.1681,1711468.62628002,0.0
ektusdt,HUOBI,2019-09-13 00:00:00,0.1681,0.174,0.1625,0.1683,1759168.429775372,0.0
ektusdt,HUOBI,2019-09-14 00:00:00,0.1684,0.1698,0.1624,0.1655,1829846.819307,0.0
ektusdt,HUOBI,2019-09-15 00:00:00,0.1656,0.1703,0.1631,0.1673,1750584.6577758,0.0
ektusdt,HUOBI,2019-09-16 00:00:00,0.1674,0.1726,0.1643,0.1701,1895259.201771,0.0
ektusdt,HUOBI,2019-09-17 00:00:00,0.1701,0.1717,0.1667,0.1704,1861059.723091442,0.0
ektusdt,HUOBI,2019-09-18 00:00:00,0.1704,0.1749,0.1679,0.1695,1919537.101636,0.0
ektusdt,HUOBI,2019-09-19 00:00:00,0.1696,0.1719,0.165,0.1684,1926474.4142916652,0.0
ektusdt,HUOBI,2019-09-20 00:00:00,0.1691,0.1719,0.1641,0.1649,2189427.644687,0.0
ektusdt,HUOBI,2019-09-21 00:00:00,0.1652,0.175,0.1648,0.1703,2540982.3276962,0.0
ektusdt,HUOBI,2019-09-22 00:00:00,0.1702,0.176,0.1673,0.1739,1878535.69876464,0.0
ektusdt,HUOBI,2019-09-23 00:00:00,0.1739,0.1759,0.1682,0.1697,2218752.12093416,0.0
ektusdt,HUOBI,2019-09-24 00:00:00,0.1698,0.1734,0.1642,0.1686,1954958.915086413,0.0
ektusdt,HUOBI,2019-09-25 00:00:00,0.1688,0.1745,0.148,0.1535,2192311.21966881,0.0
ektusdt,HUOBI,2019-09-26 00:00:00,0.1538,0.1613,0.1497,0.156,1897523.0228864176,0.0
