symbol,exchange,datetime,open,high,low,close,volume,open_interest
elausdt,HUOBI,2018-03-05 00:00:00,58.3201,77.0,58.3201,68.6335,1359858.3731055814,0.0
elausdt,HUOBI,2018-03-06 00:00:00,68.5909,73.0478,60.0,62.2821,2091669.0620652263,0.0
elausdt,HUOBI,2018-03-07 00:00:00,62.4794,63.2,50.6603,57.73,2775866.2409578776,0.0
elausdt,HUOBI,2018-03-08 00:00:00,57.7107,59.8666,45.445,48.2056,6359634.538609751,0.0
elausdt,HUOBI,2018-03-09 00:00:00,48.2056,50.0,40.1,47.7338,2707295.42594834,0.0
elausdt,HUOBI,2018-03-10 00:00:00,47.7338,53.737,46.1,51.1569,1630242.8360357918,0.0
elausdt,HUOBI,2018-03-11 00:00:00,51.1667,52.1996,45.7881,48.698,1211897.6438805782,0.0
elausdt,HUOBI,2018-03-12 00:00:00,48.74,52.0,47.0,47.21,883200.3613109641,0.0
elausdt,HUOBI,2018-03-13 00:00:00,47.21,49.1998,45.4999,45.6003,1018581.0280870596,0.0
elausdt,HUOBI,2018-03-14 00:00:00,45.6101,47.9901,43.68,43.937,2005833.8267303596,0.0
elausdt,HUOBI,2018-03-15 00:00:00,43.9417,44.4599,38.5455,43.0946,3905373.692666682,0.0
elausdt,HUOBI,2018-03-16 00:00:00,43.0223,47.0,42.0,45.6347,3020335.9488936123,0.0
elausdt,HUOBI,2018-03-17 00:00:00,45.6103,46.85,38.2,38.9891,2640992.1345060314,0.0
elausdt,HUOBI,2018-03-18 00:00:00,38.9891,41.0,30.92,30.921,3707891.2418336156,0.0
elausdt,HUOBI,2018-03-19 00:00:00,30.921,38.1999,30.4,37.8864,3354129.0585191716,0.0
elausdt,HUOBI,2018-03-20 00:00:00,37.8905,40.4037,35.11,37.0282,2261915.73369446,0.0
elausdt,HUOBI,2018-03-21 00:00:00,37.0282,42.6272,36.9576,41.1451,3271239.1095494195,0.0
elausdt,HUOBI,2018-03-22 00:00:00,41.1456,41.2485,37.0,37.9387,2237268.607934658,0.0
elausdt,HUOBI,2018-03-23 00:00:00,38.1047,39.3663,34.6006,37.2888,2308267.7374086217,0.0
elausdt,HUOBI,2018-03-24 00:00:00,37.2064,38.8,35.9217,37.9386,1875516.29348402,0.0
elausdt,HUOBI,2018-03-25 00:00:00,37.9272,38.3995,34.7,36.357,1803322.7399933261,0.0
elausdt,HUOBI,2018-03-26 00:00:00,36.2885,36.7321,30.9655,31.8828,2073136.1994891507,0.0
elausdt,HUOBI,2018-03-27 00:00:00,31.8824,33.7625,29.35,30.7992,2449688.262852998,0.0
elausdt,HUOBI,2018-03-28 00:00:00,30.7992,34.5,30.12,32.375,2547795.8653775863,0.0
elausdt,HUOBI,2018-03-29 00:00:00,32.387,33.8999,29.4001,30.0,2174017.864326012,0.0
elausdt,HUOBI,2018-03-30 00:00:00,30.0,31.5,27.2155,27.7779,2845377.910952349,0.0
elausdt,HUOBI,2018-03-31 00:00:00,27.7877,29.3897,27.0001,27.8274,1727321.6363613706,0.0
elausdt,HUOBI,2018-04-01 00:00:00,27.8561,28.418,23.68,24.2029,2088442.247485867,0.0
elausdt,HUOBI,2018-04-02 00:00:00,24.2029,26.2597,24.0901,25.6683,1887379.574351017,0.0
elausdt,HUOBI,2018-04-03 00:00:00,25.7015,28.6411,25.6267,27.3802,2050564.6066542938,0.0
elausdt,HUOBI,2018-04-04 00:00:00,27.3802,28.5,24.51,25.0505,1934473.3172618947,0.0
elausdt,HUOBI,2018-04-05 00:00:00,25.0663,25.89,24.6001,25.5488,1411018.3617279395,0.0
elausdt,HUOBI,2018-04-06 00:00:00,25.5569,27.79,25.3771,26.0922,1754690.0750452767,0.0
elausdt,HUOBI,2018-04-07 00:00:00,26.0809,34.08,26.0589,33.9588,3815819.869850879,0.0
elausdt,HUOBI,2018-04-08 00:00:00,33.9588,39.0,32.2381,36.1677,4331186.067616216,0.0
elausdt,HUOBI,2018-04-09 00:00:00,36.1,36.1,30.5601,31.7446,3456511.359699198,0.0
elausdt,HUOBI,2018-04-10 00:00:00,31.7446,33.5,31.2,32.8636,2016082.467718992,0.0
elausdt,HUOBI,2018-04-11 00:00:00,32.8859,34.3,32.3101,33.5001,2255654.8468675055,0.0
elausdt,HUOBI,2018-04-12 00:00:00,33.5001,38.5,32.7217,38.3347,3703355.410447731,0.0
elausdt,HUOBI,2018-04-13 00:00:00,38.3363,42.75,38.3001,41.2838,3645796.2257715384,0.0
elausdt,HUOBI,2018-04-14 00:00:00,41.3,41.5075,36.9662,37.8077,3653808.164170595,0.0
elausdt,HUOBI,2018-04-15 00:00:00,37.814,40.4996,37.563,39.929,3902418.535995768,0.0
elausdt,HUOBI,2018-04-16 00:00:00,39.9818,40.9671,37.1,38.6323,4247304.019430895,0.0
elausdt,HUOBI,2018-04-17 00:00:00,38.6862,39.1458,38.0317,38.3622,3409751.31109551,0.0
elausdt,HUOBI,2018-04-18 00:00:00,38.3773,38.5455,35.47,36.1313,4002531.813403657,0.0
elausdt,HUOBI,2018-04-19 00:00:00,36.1311,38.69,36.0628,38.6708,4088007.5773619935,0.0
elausdt,HUOBI,2018-04-20 00:00:00,38.6709,41.3456,37.75,40.5016,5297206.491567172,0.0
