symbol,exchange,datetime,open,high,low,close,volume,open_interest
elfusdt,HUOBI,2018-01-25 00:00:00,1.671,2.5,1.671,2.1358,5192281.848888883,0.0
elfusdt,HUOBI,2018-01-26 00:00:00,2.1358,2.3999,1.8003,2.0604,4315339.851637206,0.0
elfusdt,HUOBI,2018-01-27 00:00:00,2.0604,2.145,1.88,1.9501,794127.470777464,0.0
elfusdt,HUOBI,2018-01-28 00:00:00,1.9501,2.1868,1.905,2.0258,1500152.6124273692,0.0
elfusdt,HUOBI,2018-01-29 00:00:00,2.0272,2.185,1.9838,2.038,1740598.178082073,0.0
elfusdt,HUOBI,2018-01-30 00:00:00,2.0055,2.1846,1.7807,1.8255,2704597.1137186126,0.0
elfusdt,HUOBI,2018-01-31 00:00:00,1.8256,2.0493,1.6204,1.8899,11157762.685499946,0.0
elfusdt,HUOBI,2018-02-01 00:00:00,1.8917,2.1781,1.8001,1.8424,17181799.390272338,0.0
elfusdt,HUOBI,2018-02-02 00:00:00,1.8349,1.8983,1.305,1.6425,2520992.8510703435,0.0
elfusdt,HUOBI,2018-02-03 00:00:00,1.6438,1.72,1.45,1.6103,2830377.586472083,0.0
elfusdt,HUOBI,2018-02-04 00:00:00,1.6103,1.694,1.4202,1.4275,5128536.664122972,0.0
elfusdt,HUOBI,2018-02-05 00:00:00,1.4279,1.469,1.14,1.18,2888127.540616555,0.0
elfusdt,HUOBI,2018-02-06 00:00:00,1.18,1.2591,0.88,1.2096,3024784.165466491,0.0
elfusdt,HUOBI,2018-02-07 00:00:00,1.2116,1.3817,1.0516,1.3053,3710317.2875371263,0.0
elfusdt,HUOBI,2018-02-08 00:00:00,1.3035,1.3579,1.1724,1.2713,2858323.74725633,0.0
elfusdt,HUOBI,2018-02-09 00:00:00,1.2721,1.3599,1.1328,1.29,4937248.077156634,0.0
elfusdt,HUOBI,2018-02-10 00:00:00,1.2813,1.4009,1.2259,1.24,3426786.8019693242,0.0
elfusdt,HUOBI,2018-02-11 00:00:00,1.2393,1.2648,1.1,1.1852,2542362.4441676573,0.0
elfusdt,HUOBI,2018-02-12 00:00:00,1.1862,1.2287,1.12,1.1876,1258374.67498948,0.0
elfusdt,HUOBI,2018-02-13 00:00:00,1.1844,1.217,1.13,1.1554,1610270.1234870474,0.0
elfusdt,HUOBI,2018-02-14 00:00:00,1.1543,1.25,1.1322,1.236,2114483.1466938886,0.0
elfusdt,HUOBI,2018-02-15 00:00:00,1.232,1.4946,1.223,1.4374,3481190.984501669,0.0
elfusdt,HUOBI,2018-02-16 00:00:00,1.4367,1.4772,1.3453,1.3916,2407592.467917746,0.0
elfusdt,HUOBI,2018-02-17 00:00:00,1.3916,1.54,1.3729,1.4356,2317818.260234298,0.0
elfusdt,HUOBI,2018-02-18 00:00:00,1.4458,1.6211,1.33,1.49,3242686.7448203987,0.0
elfusdt,HUOBI,2018-02-19 00:00:00,1.49,1.5935,1.423,1.5564,2473997.192443216,0.0
elfusdt,HUOBI,2018-02-20 00:00:00,1.555,1.599,1.4588,1.4736,2018377.0031402004,0.0
elfusdt,HUOBI,2018-02-21 00:00:00,1.4737,1.576,1.3245,1.3302,2483994.8751887865,0.0
elfusdt,HUOBI,2018-02-22 00:00:00,1.331,1.44,1.216,1.2586,2150705.799617624,0.0
elfusdt,HUOBI,2018-02-23 00:00:00,1.2502,1.3299,1.2059,1.2872,2087997.771696805,0.0
elfusdt,HUOBI,2018-02-24 00:00:00,1.2872,1.3639,1.2301,1.2706,1714843.99261738,0.0
elfusdt,HUOBI,2018-02-25 00:00:00,1.2714,1.2774,1.16,1.1748,1437855.71789985,0.0
elfusdt,HUOBI,2018-02-26 00:00:00,1.1748,1.2263,1.1215,1.2,1590763.9213428954,0.0
elfusdt,HUOBI,2018-02-27 00:00:00,1.2,1.2966,1.155,1.192,2008993.6123230269,0.0
elfusdt,HUOBI,2018-02-28 00:00:00,1.1917,1.2159,1.1215,1.1342,1894709.9724365992,0.0
elfusdt,HUOBI,2018-03-01 00:00:00,1.1342,1.1611,1.0675,1.143,2133664.3593752235,0.0
elfusdt,HUOBI,2018-03-02 00:00:00,1.143,1.1972,1.1259,1.151,2389697.708619153,0.0
elfusdt,HUOBI,2018-03-03 00:00:00,1.1509,1.2288,1.1462,1.2155,1678660.1675443803,0.0
elfusdt,HUOBI,2018-03-04 00:00:00,1.2156,1.3465,1.2066,1.2281,3046619.6599034406,0.0
elfusdt,HUOBI,2018-03-05 00:00:00,1.232,1.248,1.1963,1.2341,1884154.40652866,0.0
elfusdt,HUOBI,2018-03-06 00:00:00,1.2332,1.2449,1.109,1.1381,3620135.515806007,0.0
elfusdt,HUOBI,2018-03-07 00:00:00,1.1379,1.1386,1.0122,1.0273,2301358.4999045357,0.0
elfusdt,HUOBI,2018-03-08 00:00:00,1.0261,1.0299,0.7206,0.8178,6208835.559663997,0.0
elfusdt,HUOBI,2018-03-09 00:00:00,0.818,0.823,0.666,0.7425,1562855.1768561895,0.0
elfusdt,HUOBI,2018-03-10 00:00:00,0.7407,0.8099,0.7188,0.7654,1515968.45197199,0.0
elfusdt,HUOBI,2018-03-11 00:00:00,0.7662,0.7686,0.7,0.7461,1078167.0780214712,0.0
elfusdt,HUOBI,2018-03-12 00:00:00,0.7461,0.8349,0.7458,0.7705,1670446.9588732042,0.0
elfusdt,HUOBI,2018-03-13 00:00:00,0.7703,0.781,0.7,0.716,8804747.723757913,0.0
elfusdt,HUOBI,2018-03-14 00:00:00,0.718,0.7391,0.6557,0.6767,4118295.5874282746,0.0
elfusdt,HUOBI,2018-03-15 00:00:00,0.6768,0.6872,0.5638,0.5956,3257920.7982865917,0.0
elfusdt,HUOBI,2018-03-16 00:00:00,0.5963,0.6787,0.5853,0.6658,3352037.9050198784,0.0
elfusdt,HUOBI,2018-03-17 00:00:00,0.666,0.7022,0.5836,0.5849,3192955.7146713436,0.0
elfusdt,HUOBI,2018-03-18 00:00:00,0.585,0.5894,0.4504,0.4566,3200857.40131262,0.0
elfusdt,HUOBI,2018-03-19 00:00:00,0.4562,0.5603,0.4523,0.5541,3062206.8740805783,0.0
elfusdt,HUOBI,2018-03-20 00:00:00,0.5542,0.6134,0.4523,0.5849,2743602.9035354652,0.0
elfusdt,HUOBI,2018-03-21 00:00:00,0.5857,0.6902,0.5857,0.6871,2157970.3109689914,0.0
elfusdt,HUOBI,2018-03-22 00:00:00,0.6872,0.7162,0.6164,0.6325,2146304.86807073,0.0
elfusdt,HUOBI,2018-03-23 00:00:00,0.6327,0.6661,0.5805,0.618,1948095.0532684473,0.0
elfusdt,HUOBI,2018-03-24 00:00:00,0.618,0.7283,0.6127,0.726,2315458.088538495,0.0
elfusdt,HUOBI,2018-03-25 00:00:00,0.7259,0.779,0.6736,0.6901,2409774.642995974,0.0
elfusdt,HUOBI,2018-03-26 00:00:00,0.6908,0.7466,0.6008,0.6122,2171884.006181037,0.0
elfusdt,HUOBI,2018-03-27 00:00:00,0.6121,0.6411,0.563,0.6113,2596657.2692969358,0.0
elfusdt,HUOBI,2018-03-28 00:00:00,0.6113,0.6854,0.5657,0.6167,3652466.3381666234,0.0
elfusdt,HUOBI,2018-03-29 00:00:00,0.6178,0.64,0.531,0.5529,3915451.5544351656,0.0
elfusdt,HUOBI,2018-03-30 00:00:00,0.5527,0.5629,0.4951,0.5091,3272929.591372063,0.0
elfusdt,HUOBI,2018-03-31 00:00:00,0.5107,0.5469,0.5,0.5354,3256445.1426199437,0.0
elfusdt,HUOBI,2018-04-01 00:00:00,0.5355,0.5581,0.4915,0.4926,3165989.665504872,0.0
elfusdt,HUOBI,2018-04-02 00:00:00,0.4926,0.5451,0.4918,0.5187,3310422.036783062,0.0
elfusdt,HUOBI,2018-04-03 00:00:00,0.5229,0.5632,0.5059,0.5572,3339670.558560868,0.0
elfusdt,HUOBI,2018-04-04 00:00:00,0.5572,0.582,0.5208,0.5212,3433994.181880333,0.0
elfusdt,HUOBI,2018-04-05 00:00:00,0.5212,0.5608,0.4957,0.5348,3201092.3201736016,0.0
elfusdt,HUOBI,2018-04-06 00:00:00,0.5346,0.5582,0.5137,0.5141,3343679.19417781,0.0
elfusdt,HUOBI,2018-04-07 00:00:00,0.5139,0.6385,0.5137,0.6291,4926598.499426637,0.0
elfusdt,HUOBI,2018-04-08 00:00:00,0.6295,0.6641,0.605,0.6278,4338484.619327002,0.0
elfusdt,HUOBI,2018-04-09 00:00:00,0.6277,0.65,0.5773,0.5869,4061555.1688422193,0.0
elfusdt,HUOBI,2018-04-10 00:00:00,0.5868,0.8507,0.5783,0.7685,8423840.67637372,0.0
elfusdt,HUOBI,2018-04-11 00:00:00,0.7684,0.888,0.7682,0.8511,7300600.082803822,0.0
elfusdt,HUOBI,2018-04-12 00:00:00,0.8517,1.2799,0.8388,1.0876,14471718.660422329,0.0
elfusdt,HUOBI,2018-04-13 00:00:00,1.0872,1.1892,1.0,1.0747,12211212.294820186,0.0
elfusdt,HUOBI,2018-04-14 00:00:00,1.0747,1.0747,0.93,0.954,6187180.638328302,0.0
elfusdt,HUOBI,2018-04-15 00:00:00,0.9568,1.0271,0.9424,0.9968,4280330.366123885,0.0
elfusdt,HUOBI,2018-04-16 00:00:00,0.9967,1.035,0.9604,1.0132,4704746.412467244,0.0
elfusdt,HUOBI,2018-04-17 00:00:00,1.0132,1.0598,0.9866,1.006,3886148.360562354,0.0
elfusdt,HUOBI,2018-04-18 00:00:00,1.0068,1.035,0.9721,1.0216,4748565.825936277,0.0
elfusdt,HUOBI,2018-04-19 00:00:00,1.0216,1.16,1.0169,1.1124,4569850.165193858,0.0
elfusdt,HUOBI,2018-04-20 00:00:00,1.1124,1.165,1.0923,1.1223,3291204.194026041,0.0
elfusdt,HUOBI,2018-04-21 00:00:00,1.1223,1.207,0.9912,1.078,5561521.971093677,0.0
elfusdt,HUOBI,2018-04-22 00:00:00,1.0805,1.33,1.04,1.2764,6986303.728993806,0.0
elfusdt,HUOBI,2018-04-23 00:00:00,1.2745,1.289,1.163,1.1739,4663833.81692709,0.0
elfusdt,HUOBI,2018-04-24 00:00:00,1.174,1.2648,1.1438,1.2208,6189035.632964196,0.0
elfusdt,HUOBI,2018-04-25 00:00:00,1.2214,1.272,0.9998,1.0341,5901064.95187788,0.0
elfusdt,HUOBI,2018-04-26 00:00:00,1.0382,1.1335,0.9745,1.0969,4592544.826369973,0.0
elfusdt,HUOBI,2018-04-27 00:00:00,1.0975,1.2148,1.09,1.1807,2908809.4855657285,0.0
elfusdt,HUOBI,2018-04-28 00:00:00,1.1802,1.4747,1.1288,1.45,6405350.500964614,0.0
elfusdt,HUOBI,2018-04-29 00:00:00,1.4498,1.77,1.3845,1.6117,13427719.630221637,0.0
elfusdt,HUOBI,2018-04-30 00:00:00,1.61,2.1229,1.5538,2.0919,17245035.181436215,0.0
elfusdt,HUOBI,2018-05-01 00:00:00,2.0915,2.15,1.6162,1.9567,13251286.208558226,0.0
elfusdt,HUOBI,2018-05-02 00:00:00,1.9523,2.1199,1.8914,1.9425,9826225.3458767,0.0
elfusdt,HUOBI,2018-05-03 00:00:00,1.9455,2.0153,1.812,1.8986,9372834.31685883,0.0
elfusdt,HUOBI,2018-05-04 00:00:00,1.8975,1.96,1.6898,1.741,8756584.4264169,0.0
elfusdt,HUOBI,2018-05-05 00:00:00,1.741,1.86,1.65,1.7883,10297852.45018662,0.0
elfusdt,HUOBI,2018-05-06 00:00:00,1.7867,1.85,1.5306,1.5994,8183468.611621484,0.0
elfusdt,HUOBI,2018-05-07 00:00:00,1.5966,1.7333,1.4701,1.5982,6278700.309197027,0.0
elfusdt,HUOBI,2018-05-08 00:00:00,1.5982,1.668,1.492,1.536,5520051.075275007,0.0
elfusdt,HUOBI,2018-05-09 00:00:00,1.536,1.665,1.413,1.66,6173541.88820432,0.0
elfusdt,HUOBI,2018-05-10 00:00:00,1.661,1.783,1.55,1.7426,7974585.73776748,0.0
elfusdt,HUOBI,2018-05-11 00:00:00,1.7447,1.87,1.404,1.4623,20722062.022496074,0.0
elfusdt,HUOBI,2018-05-12 00:00:00,1.4603,1.5668,1.12,1.291,16089737.99399723,0.0
elfusdt,HUOBI,2018-05-13 00:00:00,1.2854,1.4211,1.2256,1.4116,9591406.97033248,0.0
elfusdt,HUOBI,2018-05-14 00:00:00,1.4145,1.4988,1.2888,1.4228,8122567.463648524,0.0
elfusdt,HUOBI,2018-05-15 00:00:00,1.4224,1.61,1.36,1.4468,9202848.114412704,0.0
elfusdt,HUOBI,2018-05-16 00:00:00,1.4444,1.455,1.2705,1.3129,6627078.463196447,0.0
elfusdt,HUOBI,2018-05-17 00:00:00,1.3123,1.3501,1.24,1.264,5736921.566581702,0.0
elfusdt,HUOBI,2018-05-18 00:00:00,1.264,1.2655,1.1088,1.1324,4937299.606818528,0.0
elfusdt,HUOBI,2018-05-19 00:00:00,1.1324,1.39,1.1107,1.358,12098896.57071128,0.0
elfusdt,HUOBI,2018-05-20 00:00:00,1.358,1.4265,1.2582,1.345,7215592.368236447,0.0
elfusdt,HUOBI,2018-05-21 00:00:00,1.3441,1.386,1.2378,1.2537,7168364.918227376,0.0
elfusdt,HUOBI,2018-05-22 00:00:00,1.254,1.31,1.21,1.2262,4751450.99328507,0.0
elfusdt,HUOBI,2018-05-23 00:00:00,1.2253,1.233,0.98,1.02,6538022.985925132,0.0
elfusdt,HUOBI,2018-05-24 00:00:00,1.0187,1.0784,0.9535,1.0532,8625193.053226171,0.0
elfusdt,HUOBI,2018-05-25 00:00:00,1.054,1.0782,0.9801,1.043,3582343.5156838563,0.0
elfusdt,HUOBI,2018-05-26 00:00:00,1.0441,1.0615,1.0,1.0442,1720219.6019856636,0.0
elfusdt,HUOBI,2018-05-27 00:00:00,1.0443,1.053,0.988,1.0166,2743332.609431381,0.0
elfusdt,HUOBI,2018-05-28 00:00:00,1.016,1.048,0.9061,0.9406,4294707.854949282,0.0
elfusdt,HUOBI,2018-05-29 00:00:00,0.9407,0.988,0.8558,0.961,3965972.613087165,0.0
elfusdt,HUOBI,2018-05-30 00:00:00,0.961,1.0304,0.9431,0.95,3625403.5962970634,0.0
elfusdt,HUOBI,2018-05-31 00:00:00,0.9495,1.0256,0.933,1.0189,3745393.4850292043,0.0
elfusdt,HUOBI,2018-06-01 00:00:00,1.0195,1.09,1.01,1.0778,5068351.388025551,0.0
elfusdt,HUOBI,2018-06-02 00:00:00,1.0744,1.1724,1.0307,1.1252,4892361.21807016,0.0
elfusdt,HUOBI,2018-06-03 00:00:00,1.1245,1.1664,1.0952,1.1387,4620618.084035763,0.0
elfusdt,HUOBI,2018-06-04 00:00:00,1.1386,1.1491,1.0101,1.0207,3866080.4257223723,0.0
elfusdt,HUOBI,2018-06-05 00:00:00,1.0207,1.0433,0.9705,1.027,2426752.784925683,0.0
elfusdt,HUOBI,2018-06-06 00:00:00,1.0273,1.0763,1.0155,1.0332,2796138.391910956,0.0
elfusdt,HUOBI,2018-06-07 00:00:00,1.034,1.0859,0.99,1.0412,2248983.916940729,0.0
