symbol,exchange,datetime,open,high,low,close,volume,open_interest
emusdt,HUOBI,2019-10-30 00:00:00,0.007875,0.02555,0.007875,0.021898,1533798.7887948435,0.0
emusdt,HUOBI,2019-10-31 00:00:00,0.021999,0.022899,0.01501,0.01511,3241942.3069406957,0.0
emusdt,HUOBI,2019-11-01 00:00:00,0.015163,0.016225,0.012846,0.01565,1985992.209905799,0.0
emusdt,HUOBI,2019-11-02 00:00:00,0.015634,0.017286,0.014489,0.016396,2054437.0989039566,0.0
emusdt,HUOBI,2019-11-03 00:00:00,0.016322,0.018093,0.015001,0.017251,2598514.056421175,0.0
emusdt,HUOBI,2019-11-04 00:00:00,0.017296,0.0195,0.017,0.018486,5545125.821886978,0.0
emusdt,HUOBI,2019-11-05 00:00:00,0.018452,0.020361,0.01845,0.019629,4562480.24802603,0.0
emusdt,HUOBI,2019-11-06 00:00:00,0.019646,0.021701,0.019622,0.021387,5582534.039815501,0.0
emusdt,HUOBI,2019-11-07 00:00:00,0.021403,0.023888,0.01469,0.01661,12856740.556179753,0.0
emusdt,HUOBI,2019-11-08 00:00:00,0.016777,0.017296,0.01351,0.013972,4474260.34925063,0.0
emusdt,HUOBI,2019-11-09 00:00:00,0.013944,0.014801,0.013,0.013542,2332445.1499494296,0.0
emusdt,HUOBI,2019-11-10 00:00:00,0.013524,0.013908,0.0129,0.013388,1935105.3716332705,0.0
emusdt,HUOBI,2019-11-11 00:00:00,0.013384,0.013894,0.011859,0.012502,1918025.6272870786,0.0
emusdt,HUOBI,2019-11-12 00:00:00,0.012499,0.013388,0.012247,0.013059,1633448.6841779319,0.0
emusdt,HUOBI,2019-11-13 00:00:00,0.013042,0.013646,0.012451,0.012642,1844034.7465075576,0.0
emusdt,HUOBI,2019-11-14 00:00:00,0.012649,0.012784,0.011588,0.011722,1585760.71572874,0.0
emusdt,HUOBI,2019-11-15 00:00:00,0.011662,0.011765,0.0101,0.01018,1616379.3727846649,0.0
emusdt,HUOBI,2019-11-16 00:00:00,0.010179,0.01042,0.008986,0.009351,1523204.3596052318,0.0
emusdt,HUOBI,2019-11-17 00:00:00,0.00935,0.010351,0.009292,0.009406,1411192.2895403274,0.0
emusdt,HUOBI,2019-11-18 00:00:00,0.00941,0.010606,0.00941,0.009689,1798330.910417249,0.0
emusdt,HUOBI,2019-11-19 00:00:00,0.009682,0.010442,0.009558,0.009715,1585287.8088367193,0.0
emusdt,HUOBI,2019-11-20 00:00:00,0.009747,0.009955,0.008625,0.008801,1693654.9951548912,0.0
emusdt,HUOBI,2019-11-21 00:00:00,0.00882,0.008915,0.007749,0.007749,1207826.3389273963,0.0
emusdt,HUOBI,2019-11-22 00:00:00,0.007749,0.00775,0.006,0.00629,1030691.3827841673,0.0
emusdt,HUOBI,2019-11-23 00:00:00,0.006289,0.006357,0.005323,0.005872,1007639.5796935,0.0
emusdt,HUOBI,2019-11-24 00:00:00,0.005878,0.007862,0.005872,0.006332,2680230.515808869,0.0
emusdt,HUOBI,2019-11-25 00:00:00,0.006333,0.006964,0.004822,0.006148,1640623.9652754788,0.0
emusdt,HUOBI,2019-11-26 00:00:00,0.006147,0.00686,0.005357,0.005961,1326423.579114383,0.0
emusdt,HUOBI,2019-11-27 00:00:00,0.005939,0.00628,0.005535,0.006037,1141905.0406373285,0.0
emusdt,HUOBI,2019-11-28 00:00:00,0.00603,0.006279,0.005744,0.006278,986642.26388911,0.0
emusdt,HUOBI,2019-11-29 00:00:00,0.006279,0.006342,0.00583,0.006084,832240.034458604,0.0
emusdt,HUOBI,2019-11-30 00:00:00,0.006082,0.006099,0.005359,0.005548,734341.010203,0.0
emusdt,HUOBI,2019-12-01 00:00:00,0.005529,0.00587,0.00526,0.005459,759133.38588078,0.0
emusdt,HUOBI,2019-12-02 00:00:00,0.005444,0.005666,0.005016,0.005211,581616.1592934771,0.0
