symbol,exchange,datetime,open,high,low,close,volume,open_interest
enjusdt,HUOBI,2021-03-15 00:00:00,1.8418,3.1998,1.8418,3.0801,49381128.39086627,0.0
enjusdt,HUOBI,2021-03-16 00:00:00,3.0801,3.28,2.34,2.6009,40530458.4262132,0.0
enjusdt,HUOBI,2021-03-17 00:00:00,2.5962,2.7,2.26,2.414,22623525.51135212,0.0
enjusdt,HUOBI,2021-03-18 00:00:00,2.4124,2.838,2.341,2.6416,28007149.66789522,0.0
enjusdt,HUOBI,2021-03-19 00:00:00,2.6465,2.72,2.5,2.5804,12741412.532926867,0.0
enjusdt,HUOBI,2021-03-20 00:00:00,2.58,2.593,2.3532,2.4049,12659021.715158645,0.0
enjusdt,HUOBI,2021-03-21 00:00:00,2.405,2.4134,2.1505,2.2904,14979431.292493934,0.0
enjusdt,HUOBI,2021-03-22 00:00:00,2.2933,2.4975,2.2199,2.2665,18133275.58894119,0.0
enjusdt,HUOBI,2021-03-23 00:00:00,2.2661,2.28,1.9679,2.1635,16351206.668320429,0.0
enjusdt,HUOBI,2021-03-24 00:00:00,2.1687,2.5437,2.0002,2.4051,37219471.742171705,0.0
enjusdt,HUOBI,2021-03-25 00:00:00,2.4102,2.5,1.9631,2.0631,32075186.290960446,0.0
enjusdt,HUOBI,2021-03-26 00:00:00,2.0643,2.32,2.0382,2.2276,16774504.834905583,0.0
enjusdt,HUOBI,2021-03-27 00:00:00,2.2276,2.3715,2.2,2.2838,13684581.378055654,0.0
enjusdt,HUOBI,2021-03-28 00:00:00,2.284,2.628,2.2616,2.5981,23148860.423519894,0.0
enjusdt,HUOBI,2021-03-29 00:00:00,2.5984,2.6338,2.3777,2.4618,19122592.61753644,0.0
enjusdt,HUOBI,2021-03-30 00:00:00,2.4599,2.5073,2.41,2.4197,11852962.830628341,0.0
enjusdt,HUOBI,2021-03-31 00:00:00,2.4252,2.5981,2.3,2.5514,19071169.81749619,0.0
enjusdt,HUOBI,2021-04-01 00:00:00,2.5522,2.65,2.4598,2.53,16296263.360716732,0.0
enjusdt,HUOBI,2021-04-02 00:00:00,2.53,2.5635,2.411,2.4767,8473384.015158448,0.0
enjusdt,HUOBI,2021-04-03 00:00:00,2.4802,2.58,2.45,2.4502,7407361.176218673,0.0
enjusdt,HUOBI,2021-04-04 00:00:00,2.4548,2.4861,2.2561,2.3749,9964146.821150385,0.0
enjusdt,HUOBI,2021-04-05 00:00:00,2.3776,2.635,2.2688,2.4766,16512769.845302565,0.0
enjusdt,HUOBI,2021-04-06 00:00:00,2.4788,2.6014,2.3,2.3576,19417664.347735338,0.0
enjusdt,HUOBI,2021-04-07 00:00:00,2.3586,2.4548,2.0284,2.1364,18297970.757837325,0.0
enjusdt,HUOBI,2021-04-08 00:00:00,2.1373,3.4967,2.104,3.3509,124912285.4005118,0.0
enjusdt,HUOBI,2021-04-09 00:00:00,3.3501,4.0678,3.011,3.65,101167845.48909606,0.0
enjusdt,HUOBI,2021-04-10 00:00:00,3.65,3.7862,3.1851,3.245,78202617.88630822,0.0
enjusdt,HUOBI,2021-04-11 00:00:00,3.245,3.3222,2.999,3.1105,32535768.93140742,0.0
enjusdt,HUOBI,2021-04-12 00:00:00,3.1085,3.2925,2.9143,2.9411,23942196.61752391,0.0
enjusdt,HUOBI,2021-04-13 00:00:00,2.943,3.2276,2.9095,3.0913,19602838.366879955,0.0
enjusdt,HUOBI,2021-04-14 00:00:00,3.0919,3.1735,2.783,2.8794,19843845.23525355,0.0
enjusdt,HUOBI,2021-04-15 00:00:00,2.878,3.1714,2.822,3.1035,21325866.433009345,0.0
enjusdt,HUOBI,2021-04-16 00:00:00,3.1035,3.27,2.84,3.0057,23502253.99420482,0.0
enjusdt,HUOBI,2021-04-17 00:00:00,3.0004,3.152,2.96,2.9763,17716916.42544483,0.0
enjusdt,HUOBI,2021-04-18 00:00:00,2.9762,3.056,2.2319,2.6234,23899515.916450195,0.0
enjusdt,HUOBI,2021-04-19 00:00:00,2.6256,2.769,2.3779,2.3957,15233828.280460557,0.0
enjusdt,HUOBI,2021-04-20 00:00:00,2.3953,2.5769,2.1658,2.4733,22984213.55683953,0.0
enjusdt,HUOBI,2021-04-21 00:00:00,2.478,2.79,2.4404,2.6926,21570633.816486802,0.0
enjusdt,HUOBI,2021-04-22 00:00:00,2.6953,2.796,2.3779,2.5323,17127054.032984134,0.0
enjusdt,HUOBI,2021-04-23 00:00:00,2.5332,2.5742,1.7192,2.0762,35383422.38052694,0.0
enjusdt,HUOBI,2021-04-24 00:00:00,2.0788,2.254,1.9882,2.0826,15722531.127152828,0.0
enjusdt,HUOBI,2021-04-25 00:00:00,2.0817,2.2199,2.0023,2.1783,6948396.207467069,0.0
enjusdt,HUOBI,2021-04-26 00:00:00,2.1798,2.5404,1.9237,2.5354,18244284.238504175,0.0
enjusdt,HUOBI,2021-04-27 00:00:00,2.5352,2.6483,2.36,2.5697,14240353.029082594,0.0
enjusdt,HUOBI,2021-04-28 00:00:00,2.5658,2.79,2.3607,2.6651,20079073.990832,0.0
enjusdt,HUOBI,2021-04-29 00:00:00,2.666,2.859,2.56,2.6906,18672645.570305765,0.0
enjusdt,HUOBI,2021-04-30 00:00:00,2.6899,2.7829,2.5159,2.77,11372662.577907402,0.0
enjusdt,HUOBI,2021-05-01 00:00:00,2.7698,2.8276,2.6573,2.6993,8512787.100440077,0.0
enjusdt,HUOBI,2021-05-02 00:00:00,2.7016,2.7467,2.5871,2.6452,6483022.106559712,0.0
enjusdt,HUOBI,2021-05-03 00:00:00,2.6435,2.7394,2.5999,2.6714,6159111.122583235,0.0
enjusdt,HUOBI,2021-05-04 00:00:00,2.6754,2.6824,2.3024,2.3291,11749667.720615348,0.0
enjusdt,HUOBI,2021-05-05 00:00:00,2.3263,2.6292,2.2846,2.5011,10621925.120166156,0.0
enjusdt,HUOBI,2021-05-06 00:00:00,2.5027,2.593,2.4612,2.5241,7740698.944076658,0.0
enjusdt,HUOBI,2021-05-07 00:00:00,2.5262,2.719,2.3966,2.681,12476974.172060959,0.0
enjusdt,HUOBI,2021-05-08 00:00:00,2.6814,2.7218,2.4238,2.4348,9996295.047798026,0.0
enjusdt,HUOBI,2021-05-09 00:00:00,2.4329,2.4888,2.3185,2.4207,5528133.828628378,0.0
enjusdt,HUOBI,2021-05-10 00:00:00,2.4199,2.505,2.35,2.4017,5542913.51879572,0.0
enjusdt,HUOBI,2021-05-11 00:00:00,2.4039,2.4059,2.0214,2.3069,12674648.241660528,0.0
enjusdt,HUOBI,2021-05-12 00:00:00,2.3072,2.6082,2.2602,2.2777,13252838.069306385,0.0
enjusdt,HUOBI,2021-05-13 00:00:00,2.2789,2.3079,1.8801,2.0486,12493052.068892889,0.0
enjusdt,HUOBI,2021-05-14 00:00:00,2.0521,2.1755,1.9298,2.1734,8294951.427657957,0.0
enjusdt,HUOBI,2021-05-15 00:00:00,2.1744,2.1799,2.018,2.0722,4939164.812342396,0.0
enjusdt,HUOBI,2021-05-16 00:00:00,2.0746,2.1592,1.9357,2.0147,4792301.5275837565,0.0
enjusdt,HUOBI,2021-05-17 00:00:00,2.0146,2.0458,1.7177,1.788,8310174.136973422,0.0
enjusdt,HUOBI,2021-05-18 00:00:00,1.788,2.02,1.722,1.8777,8211713.748825858,0.0
enjusdt,HUOBI,2021-05-19 00:00:00,1.8783,1.9779,0.8608,1.3613,17946798.775394935,0.0
enjusdt,HUOBI,2021-05-20 00:00:00,1.3665,1.565,1.0303,1.5257,15163515.034987614,0.0
enjusdt,HUOBI,2021-05-21 00:00:00,1.526,1.5917,1.2293,1.2462,8796696.248741232,0.0
enjusdt,HUOBI,2021-05-22 00:00:00,1.2468,1.3159,1.0586,1.2203,6565840.779582251,0.0
enjusdt,HUOBI,2021-05-23 00:00:00,1.221,1.2295,0.822,0.8553,4740139.079517356,0.0
enjusdt,HUOBI,2021-05-24 00:00:00,0.8554,1.3392,0.7355,1.2434,10386154.046797702,0.0
enjusdt,HUOBI,2021-05-25 00:00:00,1.2444,1.3118,1.0867,1.2053,8062238.427433093,0.0
enjusdt,HUOBI,2021-05-26 00:00:00,1.2018,1.6913,1.1419,1.6125,11426031.724842494,0.0
enjusdt,HUOBI,2021-05-27 00:00:00,1.6138,2.0567,1.6019,1.739,27245548.934303652,0.0
enjusdt,HUOBI,2021-05-28 00:00:00,1.7411,1.8806,1.3886,1.5035,11448259.747917764,0.0
