symbol,exchange,datetime,open,high,low,close,volume,open_interest
eosusdt,HUOBI,2017-12-05 00:00:00,3.98,4.02,3.72,3.74,1876589.7164085214,0.0
eosusdt,HUOBI,2017-12-06 00:00:00,3.73,5.12,3.7,4.35,9846765.980164343,0.0
eosusdt,HUOBI,2017-12-07 00:00:00,4.34,5.2,3.55,3.6,8914648.115121296,0.0
eosusdt,HUOBI,2017-12-08 00:00:00,3.63,4.54,3.63,4.18,7704037.415827711,0.0
eosusdt,HUOBI,2017-12-09 00:00:00,4.18,4.7,3.93,4.03,7447869.682946118,0.0
eosusdt,HUOBI,2017-12-10 00:00:00,4.02,4.07,3.47,3.73,6766407.890846861,0.0
eosusdt,HUOBI,2017-12-11 00:00:00,3.75,4.21,3.66,4.13,5629444.4222594015,0.0
eosusdt,HUOBI,2017-12-12 00:00:00,4.14,5.48,4.0,5.43,10392464.723094188,0.0
eosusdt,HUOBI,2017-12-13 00:00:00,5.41,6.98,4.64,6.49,24336085.133529313,0.0
eosusdt,HUOBI,2017-12-14 00:00:00,6.47,8.77,6.02,8.0,31272289.159758285,0.0
eosusdt,HUOBI,2017-12-15 00:00:00,8.0,8.84,6.84,8.23,27807492.95379223,0.0
eosusdt,HUOBI,2017-12-16 00:00:00,8.22,9.3,7.68,8.28,20718065.5888536,0.0
eosusdt,HUOBI,2017-12-17 00:00:00,8.29,8.9,7.89,8.34,16049171.474958,0.0
eosusdt,HUOBI,2017-12-18 00:00:00,8.35,8.59,7.2,8.12,22860113.993265238,0.0
eosusdt,HUOBI,2017-12-19 00:00:00,8.14,11.6,8.08,10.72,60275750.21319947,0.0
eosusdt,HUOBI,2017-12-20 00:00:00,10.72,12.39,9.51,10.58,63692595.41117821,0.0
eosusdt,HUOBI,2017-12-21 00:00:00,10.57,11.94,9.61,10.21,39046759.83769441,0.0
eosusdt,HUOBI,2017-12-22 00:00:00,10.24,10.9,4.0,7.18,75145477.21350324,0.0
eosusdt,HUOBI,2017-12-23 00:00:00,7.21,9.25,6.5,8.86,41436743.4529438,0.0
eosusdt,HUOBI,2017-12-24 00:00:00,8.86,9.2,6.9,7.6,35568897.59542481,0.0
eosusdt,HUOBI,2017-12-25 00:00:00,7.6,8.64,7.3,8.2,22396801.796890546,0.0
eosusdt,HUOBI,2017-12-26 00:00:00,8.21,8.69,7.97,8.42,17658562.173719116,0.0
eosusdt,HUOBI,2017-12-27 00:00:00,8.42,9.48,8.21,8.78,25929305.8897189,0.0
