symbol,exchange,datetime,open,high,low,close,volume,open_interest
etcusdt,HUOBI,2017-10-31 00:00:00,10.68,10.93,10.2,10.5,115023.122257,0.0
etcusdt,HUOBI,2017-11-01 00:00:00,10.58,10.67,9.77,10.34,171644.5280769723,0.0
etcusdt,HUOBI,2017-11-02 00:00:00,10.35,10.48,9.26,9.83,220196.3803053669,0.0
etcusdt,HUOBI,2017-11-03 00:00:00,9.83,11.4,9.7,10.99,519729.4375474839,0.0
etcusdt,HUOBI,2017-11-04 00:00:00,10.95,12.78,10.7,12.12,1157935.934592877,0.0
etcusdt,HUOBI,2017-11-05 00:00:00,12.15,13.84,11.59,13.26,1442730.7873778692,0.0
etcusdt,HUOBI,2017-11-06 00:00:00,13.21,14.98,12.7,14.41,2280123.356047343,0.0
etcusdt,HUOBI,2017-11-07 00:00:00,14.4,14.69,13.18,13.48,2036555.9523073677,0.0
etcusdt,HUOBI,2017-11-08 00:00:00,13.49,14.0,13.0,13.87,2613347.2639973355,0.0
etcusdt,HUOBI,2017-11-09 00:00:00,13.87,14.47,13.35,14.05,2577559.094667428,0.0
etcusdt,HUOBI,2017-11-10 00:00:00,14.06,15.5,13.8,14.31,3491548.294208588,0.0
etcusdt,HUOBI,2017-11-11 00:00:00,14.34,17.99,13.58,17.98,7190190.114123058,0.0
etcusdt,HUOBI,2017-11-12 00:00:00,17.96,19.88,15.0,15.61,8968770.812418394,0.0
etcusdt,HUOBI,2017-11-13 00:00:00,15.6,16.62,14.22,15.85,4711517.234678726,0.0
etcusdt,HUOBI,2017-11-14 00:00:00,15.85,18.41,15.18,16.81,5129414.407152523,0.0
etcusdt,HUOBI,2017-11-15 00:00:00,16.78,17.7,16.71,16.85,2447873.70116831,0.0
etcusdt,HUOBI,2017-11-16 00:00:00,16.84,17.53,16.12,16.73,2397363.3422901505,0.0
etcusdt,HUOBI,2017-11-17 00:00:00,16.74,17.54,16.44,17.53,3040685.9958247994,0.0
etcusdt,HUOBI,2017-11-18 00:00:00,17.53,17.9,16.6,17.56,2525305.5218682652,0.0
etcusdt,HUOBI,2017-11-19 00:00:00,17.61,18.26,17.4,18.01,3534020.8364361376,0.0
etcusdt,HUOBI,2017-11-20 00:00:00,18.01,18.77,17.78,18.74,2349664.2037127195,0.0
etcusdt,HUOBI,2017-11-21 00:00:00,18.73,18.87,17.3,18.44,3373868.7833205606,0.0
etcusdt,HUOBI,2017-11-22 00:00:00,18.43,18.45,17.4,17.82,2157677.3550048913,0.0
etcusdt,HUOBI,2017-11-23 00:00:00,17.81,18.66,17.65,18.52,3630763.154002836,0.0
etcusdt,HUOBI,2017-11-24 00:00:00,18.52,18.75,17.55,18.46,5314972.636645824,0.0
etcusdt,HUOBI,2017-11-25 00:00:00,18.48,22.4,18.48,21.99,12792520.373315148,0.0
