symbol,exchange,datetime,open,high,low,close,volume,open_interest
fildausdt,HUOBI,2021-04-06 00:00:00,0.3759,2.08,0.3759,1.9797,92926238.63552152,0.0
fildausdt,HUOBI,2021-04-07 00:00:00,1.979,2.42,1.374,1.4941,61707289.44703534,0.0
fildausdt,HUOBI,2021-04-08 00:00:00,1.4941,1.5,1.269,1.4303,9860589.480463102,0.0
fildausdt,HUOBI,2021-04-09 00:00:00,1.4306,1.749,1.3774,1.4858,17837736.623824403,0.0
fildausdt,HUOBI,2021-04-10 00:00:00,1.4859,1.5378,1.31,1.4487,7736191.916606483,0.0
fildausdt,HUOBI,2021-04-11 00:00:00,1.4476,1.46,1.38,1.405,3067308.407054142,0.0
fildausdt,HUOBI,2021-04-12 00:00:00,1.4049,1.5365,1.366,1.412,5159598.76316521,0.0
fildausdt,HUOBI,2021-04-13 00:00:00,1.4121,1.42,1.3,1.3213,4052862.8669610475,0.0
fildausdt,HUOBI,2021-04-14 00:00:00,1.3238,1.3267,1.0814,1.1352,7375236.180243393,0.0
fildausdt,HUOBI,2021-04-15 00:00:00,1.1382,1.25,1.0524,1.1897,5089397.851572169,0.0
fildausdt,HUOBI,2021-04-16 00:00:00,1.1858,1.2214,1.05,1.0667,3932985.8610282955,0.0
fildausdt,HUOBI,2021-04-17 00:00:00,1.0693,1.104,1.018,1.0229,3855926.8405497638,0.0
fildausdt,HUOBI,2021-04-18 00:00:00,1.0223,1.0984,0.7714,0.8615,4592155.93430606,0.0
fildausdt,HUOBI,2021-04-19 00:00:00,0.8644,0.916,0.7402,0.772,3146256.3898788295,0.0
fildausdt,HUOBI,2021-04-20 00:00:00,0.7697,0.8182,0.5822,0.7771,4270641.4917573,0.0
fildausdt,HUOBI,2021-04-21 00:00:00,0.7731,1.15,0.7412,0.978,23608468.964652397,0.0
fildausdt,HUOBI,2021-04-22 00:00:00,0.9779,1.28,0.9779,1.2058,25855542.935093626,0.0
fildausdt,HUOBI,2021-04-23 00:00:00,1.2058,1.23,0.7012,0.8525,11978699.045965437,0.0
fildausdt,HUOBI,2021-04-24 00:00:00,0.8525,0.8525,0.65,0.7823,6842760.405495037,0.0
fildausdt,HUOBI,2021-04-25 00:00:00,0.7822,0.7822,0.67,0.7629,4714660.537627424,0.0
fildausdt,HUOBI,2021-04-26 00:00:00,0.7654,0.822,0.69,0.7881,5038843.393851552,0.0
fildausdt,HUOBI,2021-04-27 00:00:00,0.7881,0.8209,0.7532,0.8141,5714187.048388913,0.0
fildausdt,HUOBI,2021-04-28 00:00:00,0.8149,0.8192,0.742,0.7683,4206455.166731234,0.0
fildausdt,HUOBI,2021-04-29 00:00:00,0.7683,0.8846,0.7386,0.8773,5864232.496007974,0.0
fildausdt,HUOBI,2021-04-30 00:00:00,0.8771,0.9825,0.805,0.9194,6837019.978254899,0.0
fildausdt,HUOBI,2021-05-01 00:00:00,0.9199,0.97,0.888,0.9598,4399399.087705813,0.0
fildausdt,HUOBI,2021-05-02 00:00:00,0.96,1.1,0.9346,0.993,5116935.378539244,0.0
fildausdt,HUOBI,2021-05-03 00:00:00,0.9927,1.05,0.931,0.9479,3688958.6564226835,0.0
fildausdt,HUOBI,2021-05-04 00:00:00,0.9473,0.9534,0.8,0.8017,5611396.909865417,0.0
fildausdt,HUOBI,2021-05-05 00:00:00,0.8027,0.8297,0.75,0.8106,4315661.917453913,0.0
fildausdt,HUOBI,2021-05-06 00:00:00,0.8088,0.8172,0.761,0.7718,3750725.132432901,0.0
fildausdt,HUOBI,2021-05-07 00:00:00,0.7719,0.8556,0.7621,0.7987,2826652.848550843,0.0
fildausdt,HUOBI,2021-05-08 00:00:00,0.8,0.8168,0.74,0.7426,1637626.0134997668,0.0
fildausdt,HUOBI,2021-05-09 00:00:00,0.7417,0.7898,0.675,0.6865,2179224.227691484,0.0
fildausdt,HUOBI,2021-05-10 00:00:00,0.6874,0.7554,0.65,0.6879,1885309.9573548848,0.0
fildausdt,HUOBI,2021-05-11 00:00:00,0.683,0.9358,0.63,0.7189,5782504.744721253,0.0
fildausdt,HUOBI,2021-05-12 00:00:00,0.7183,0.7777,0.66,0.7491,2104796.9176758933,0.0
fildausdt,HUOBI,2021-05-13 00:00:00,0.7591,0.7612,0.6,0.6367,1925155.851551139,0.0
fildausdt,HUOBI,2021-05-14 00:00:00,0.635,0.6866,0.586,0.6166,1208149.4112993637,0.0
fildausdt,HUOBI,2021-05-15 00:00:00,0.6199,0.6399,0.5572,0.5711,855093.3182664985,0.0
fildausdt,HUOBI,2021-05-16 00:00:00,0.5711,0.6489,0.5621,0.5649,1762075.0128923033,0.0
fildausdt,HUOBI,2021-05-17 00:00:00,0.5649,0.5766,0.4712,0.485,881489.1546143922,0.0
fildausdt,HUOBI,2021-05-18 00:00:00,0.4845,0.5199,0.42,0.4531,808395.2368265828,0.0
fildausdt,HUOBI,2021-05-19 00:00:00,0.4551,0.4771,0.2678,0.3338,1288986.4544932952,0.0
fildausdt,HUOBI,2021-05-20 00:00:00,0.3318,0.3727,0.2917,0.3616,1219325.3787040743,0.0
fildausdt,HUOBI,2021-05-21 00:00:00,0.3616,0.3849,0.2611,0.282,1103770.4800681851,0.0
fildausdt,HUOBI,2021-05-22 00:00:00,0.2816,0.3145,0.2508,0.2596,934365.4583179443,0.0
fildausdt,HUOBI,2021-05-23 00:00:00,0.2603,0.2726,0.1973,0.207,1037682.8194530571,0.0
fildausdt,HUOBI,2021-05-24 00:00:00,0.2092,0.2613,0.1873,0.2387,1187832.5621004011,0.0
fildausdt,HUOBI,2021-05-25 00:00:00,0.2388,0.3398,0.22,0.273,3866753.741201431,0.0
fildausdt,HUOBI,2021-05-26 00:00:00,0.2742,0.3149,0.2705,0.2786,1943001.3613303893,0.0
fildausdt,HUOBI,2021-05-27 00:00:00,0.2787,0.3277,0.2666,0.2821,1862134.631860023,0.0
fildausdt,HUOBI,2021-05-28 00:00:00,0.2822,0.2825,0.2301,0.2501,874146.8493870897,0.0
fildausdt,HUOBI,2021-05-29 00:00:00,0.2501,0.2988,0.2469,0.2545,2107327.75845902,0.0
fildausdt,HUOBI,2021-05-30 00:00:00,0.2545,0.2574,0.2401,0.2556,950087.5859440065,0.0
fildausdt,HUOBI,2021-05-31 00:00:00,0.2556,0.2668,0.2318,0.2524,1099638.3834839677,0.0
fildausdt,HUOBI,2021-06-01 00:00:00,0.2521,0.2548,0.235,0.2386,702107.2750832662,0.0
fildausdt,HUOBI,2021-06-02 00:00:00,0.2387,0.25,0.23,0.2441,804564.6058214761,0.0
fildausdt,HUOBI,2021-06-03 00:00:00,0.2445,0.27,0.235,0.2492,1090510.9216252356,0.0
fildausdt,HUOBI,2021-06-04 00:00:00,0.2491,0.2564,0.2328,0.2376,765431.2077025617,0.0
fildausdt,HUOBI,2021-06-05 00:00:00,0.2372,0.2501,0.2286,0.2328,484921.3959932,0.0
fildausdt,HUOBI,2021-06-06 00:00:00,0.2337,0.2409,0.224,0.2264,408425.5544842025,0.0
fildausdt,HUOBI,2021-06-07 00:00:00,0.2264,0.2313,0.2176,0.225,347425.14110294,0.0
fildausdt,HUOBI,2021-06-08 00:00:00,0.2234,0.224,0.185,0.188,372643.2287879067,0.0
fildausdt,HUOBI,2021-06-09 00:00:00,0.1877,0.1994,0.1819,0.1985,259119.78636404,0.0
fildausdt,HUOBI,2021-06-10 00:00:00,0.1984,0.2048,0.1911,0.1933,220830.13814561,0.0
fildausdt,HUOBI,2021-06-11 00:00:00,0.193,0.2044,0.1823,0.1872,277186.8339939079,0.0
fildausdt,HUOBI,2021-06-12 00:00:00,0.1876,0.1884,0.1672,0.1741,241092.75111702314,0.0
fildausdt,HUOBI,2021-06-13 00:00:00,0.1741,0.1771,0.1649,0.1686,139130.55641588045,0.0
fildausdt,HUOBI,2021-06-14 00:00:00,0.1689,0.1835,0.1674,0.181,225472.18737326263,0.0
fildausdt,HUOBI,2021-06-15 00:00:00,0.1811,0.2938,0.1783,0.2277,8338168.004766195,0.0
fildausdt,HUOBI,2021-06-16 00:00:00,0.2269,0.2347,0.2,0.2294,1815272.1395653307,0.0
fildausdt,HUOBI,2021-06-17 00:00:00,0.2292,0.2319,0.204,0.2175,706671.3575156637,0.0
fildausdt,HUOBI,2021-06-18 00:00:00,0.2174,0.28,0.2043,0.2527,5988095.720344486,0.0
fildausdt,HUOBI,2021-06-19 00:00:00,0.2528,0.31,0.2196,0.2952,2999531.1755562513,0.0
fildausdt,HUOBI,2021-06-20 00:00:00,0.2948,0.45,0.265,0.3621,19774424.38347635,0.0
fildausdt,HUOBI,2021-06-21 00:00:00,0.3625,0.3625,0.206,0.2276,3943672.4845119924,0.0
fildausdt,HUOBI,2021-06-22 00:00:00,0.2262,0.2282,0.1537,0.1711,1747299.5598045916,0.0
fildausdt,HUOBI,2021-06-23 00:00:00,0.1712,0.187,0.1661,0.1837,934779.023491883,0.0
fildausdt,HUOBI,2021-06-24 00:00:00,0.1842,0.1878,0.164,0.1778,786302.7898605964,0.0
fildausdt,HUOBI,2021-06-25 00:00:00,0.1772,0.2106,0.1622,0.1711,2523921.321836042,0.0
fildausdt,HUOBI,2021-06-26 00:00:00,0.1709,0.1713,0.153,0.1604,496718.56251252035,0.0
fildausdt,HUOBI,2021-06-27 00:00:00,0.1595,0.1852,0.1551,0.166,1006409.6578707035,0.0
fildausdt,HUOBI,2021-06-28 00:00:00,0.166,0.2058,0.1657,0.1797,2166952.237666888,0.0
fildausdt,HUOBI,2021-06-29 00:00:00,0.1792,0.2,0.1702,0.1978,1195463.700933264,0.0
fildausdt,HUOBI,2021-06-30 00:00:00,0.1983,0.221,0.1804,0.1882,1275138.96169703,0.0
fildausdt,HUOBI,2021-07-01 00:00:00,0.1882,0.1991,0.1723,0.1742,535944.946281335,0.0
fildausdt,HUOBI,2021-07-02 00:00:00,0.1742,0.1988,0.1688,0.1816,1025346.719286763,0.0
fildausdt,HUOBI,2021-07-03 00:00:00,0.1813,0.1823,0.177,0.1793,288221.6822289105,0.0
fildausdt,HUOBI,2021-07-04 00:00:00,0.1796,0.189,0.1771,0.1827,413759.16834534955,0.0
fildausdt,HUOBI,2021-07-05 00:00:00,0.1827,0.1866,0.1674,0.1707,446981.84033302765,0.0
fildausdt,HUOBI,2021-07-06 00:00:00,0.1705,0.1763,0.1673,0.173,326474.16425170033,0.0
fildausdt,HUOBI,2021-07-07 00:00:00,0.1732,0.176,0.1692,0.1717,294113.0096590394,0.0
fildausdt,HUOBI,2021-07-08 00:00:00,0.1719,0.177,0.1624,0.1655,314691.6096952967,0.0
