symbol,exchange,datetime,open,high,low,close,volume,open_interest
firousdt,HUOBI,2019-08-09 00:00:00,7.4033,9.8,7.4033,8.1179,217872.21414449,0.0
firousdt,HUOBI,2019-08-10 00:00:00,8.007,8.5,7.5,7.7381,61361.04534142,0.0
firousdt,HUOBI,2019-08-11 00:00:00,7.719,7.999,7.534,7.6803,18324.28134298,0.0
firousdt,HUOBI,2019-08-12 00:00:00,7.6803,7.9987,7.6501,7.8426,12110.43592641,0.0
firousdt,HUOBI,2019-08-13 00:00:00,7.7892,7.9769,7.4033,7.4759,17112.03242156,0.0
firousdt,HUOBI,2019-08-14 00:00:00,7.4759,7.6966,7.2,7.2815,13416.94144677,0.0
firousdt,HUOBI,2019-08-15 00:00:00,7.3057,7.5478,6.0012,6.6799,12490.27309406,0.0
firousdt,HUOBI,2019-08-16 00:00:00,6.6373,7.0162,6.407,6.7608,28419.78870566,0.0
firousdt,HUOBI,2019-08-17 00:00:00,6.7425,7.0633,6.3511,6.5605,22129.63230331,0.0
firousdt,HUOBI,2019-08-18 00:00:00,6.5605,7.0177,6.3083,6.8352,20232.92037219,0.0
firousdt,HUOBI,2019-08-19 00:00:00,6.8352,7.05,6.5142,6.851,17257.1343884,0.0
firousdt,HUOBI,2019-08-20 00:00:00,6.8511,7.3007,6.7803,6.8596,23268.50279861,0.0
firousdt,HUOBI,2019-08-21 00:00:00,6.8746,6.9156,6.3851,6.5435,12766.61134397,0.0
firousdt,HUOBI,2019-08-22 00:00:00,6.5632,7.1109,6.4109,6.7941,18593.68893545,0.0
firousdt,HUOBI,2019-08-23 00:00:00,6.8148,7.101,6.7585,6.9963,6726.10243606,0.0
firousdt,HUOBI,2019-08-24 00:00:00,7.0171,7.0179,6.7768,6.8831,9014.08887987,0.0
firousdt,HUOBI,2019-08-25 00:00:00,6.8698,7.1096,6.7379,6.9209,9386.87783416,0.0
firousdt,HUOBI,2019-08-26 00:00:00,6.9209,7.03,6.55,6.7156,12063.58336943,0.0
firousdt,HUOBI,2019-08-27 00:00:00,6.7122,6.8069,6.5414,6.6174,3851.38987244,0.0
firousdt,HUOBI,2019-08-28 00:00:00,6.6362,6.6498,6.4381,6.5035,2130.57808852,0.0
firousdt,HUOBI,2019-08-29 00:00:00,6.4769,6.5332,5.6347,5.8249,4780.81455647,0.0
firousdt,HUOBI,2019-08-30 00:00:00,5.8017,6.0426,5.684,5.8386,6072.27525155,0.0
firousdt,HUOBI,2019-08-31 00:00:00,5.8218,5.9362,5.6172,5.6596,3365.81080396,0.0
firousdt,HUOBI,2019-09-01 00:00:00,5.699,5.8938,5.5001,5.6573,3453.28659845,0.0
