symbol,exchange,datetime,open,high,low,close,volume,open_interest
fisusdt,HUOBI,2020-11-12 00:00:00,0.085,1.3123,0.085,1.23,10049427.876398064,0.0
fisusdt,HUOBI,2020-11-13 00:00:00,1.2303,1.388,0.8034,0.824,4955079.053019605,0.0
fisusdt,HUOBI,2020-11-14 00:00:00,0.824,0.952,0.7511,0.81,1482515.6281716125,0.0
fisusdt,HUOBI,2020-11-15 00:00:00,0.8098,0.8444,0.7,0.75,851608.6069563081,0.0
fisusdt,HUOBI,2020-11-16 00:00:00,0.7493,1.17,0.635,1.11,3240955.210140492,0.0
fisusdt,HUOBI,2020-11-17 00:00:00,1.1101,1.21,0.8301,0.8889,3064223.4271241454,0.0
fisusdt,HUOBI,2020-11-18 00:00:00,0.8823,0.9888,0.7299,0.8168,2163479.000230899,0.0
fisusdt,HUOBI,2020-11-19 00:00:00,0.8173,0.83,0.7667,0.7997,595000.0321257409,0.0
fisusdt,HUOBI,2020-11-20 00:00:00,0.7946,0.8661,0.7786,0.8038,1017998.1910029767,0.0
fisusdt,HUOBI,2020-11-21 00:00:00,0.802,0.8188,0.756,0.7809,551799.974810009,0.0
fisusdt,HUOBI,2020-11-22 00:00:00,0.7804,0.82,0.7016,0.7613,1433142.3189422854,0.0
fisusdt,HUOBI,2020-11-23 00:00:00,0.7613,0.8123,0.725,0.7845,538616.9292177523,0.0
fisusdt,HUOBI,2020-11-24 00:00:00,0.7844,0.905,0.7603,0.8471,1072021.101831976,0.0
fisusdt,HUOBI,2020-11-25 00:00:00,0.8463,0.8999,0.781,0.8816,523805.2216570518,0.0
fisusdt,HUOBI,2020-11-26 00:00:00,0.881,0.9328,0.7,0.7193,552760.3384542,0.0
fisusdt,HUOBI,2020-11-27 00:00:00,0.7193,0.7927,0.7,0.7282,231204.34631237737,0.0
fisusdt,HUOBI,2020-11-28 00:00:00,0.7299,0.7695,0.6834,0.75,207537.04857903,0.0
fisusdt,HUOBI,2020-11-29 00:00:00,0.75,0.7758,0.705,0.7532,216922.4887728,0.0
fisusdt,HUOBI,2020-11-30 00:00:00,0.7524,0.88,0.74,0.7891,362336.93423247,0.0
fisusdt,HUOBI,2020-12-01 00:00:00,0.7891,0.8399,0.7649,0.793,260621.36946147634,0.0
fisusdt,HUOBI,2020-12-02 00:00:00,0.7927,0.83,0.75,0.7781,195058.1320072228,0.0
fisusdt,HUOBI,2020-12-03 00:00:00,0.7781,0.8758,0.759,0.807,378698.8381224102,0.0
fisusdt,HUOBI,2020-12-04 00:00:00,0.807,0.9123,0.795,0.834,923510.8443371678,0.0
