symbol,exchange,datetime,open,high,low,close,volume,open_interest
flowusdt,HUOBI,2021-02-02 00:00:00,3.0017,14.072,3.0017,9.8557,31378642.30240504,0.0
flowusdt,HUOBI,2021-02-03 00:00:00,9.8647,11.7,9.0002,9.3727,24201588.51340594,0.0
flowusdt,HUOBI,2021-02-04 00:00:00,9.3727,9.4284,8.0,8.9635,10458543.826081274,0.0
flowusdt,HUOBI,2021-02-05 00:00:00,9.0018,10.83,8.37,10.032,17409329.61499163,0.0
flowusdt,HUOBI,2021-02-06 00:00:00,10.032,11.717,9.5977,10.3876,16598882.82247938,0.0
flowusdt,HUOBI,2021-02-07 00:00:00,10.3876,10.5735,9.9296,10.105,5915604.317296711,0.0
flowusdt,HUOBI,2021-02-08 00:00:00,10.1049,10.7,9.8888,10.3363,7247524.668084738,0.0
flowusdt,HUOBI,2021-02-09 00:00:00,10.3362,11.2578,10.0211,10.7757,8556857.34299191,0.0
flowusdt,HUOBI,2021-02-10 00:00:00,10.777,12.1,10.58,11.2695,12187227.12127645,0.0
flowusdt,HUOBI,2021-02-11 00:00:00,11.243,12.0,11.035,12.0,5311806.374916705,0.0
flowusdt,HUOBI,2021-02-12 00:00:00,12.0,15.4622,11.8,13.45,19251535.877654217,0.0
flowusdt,HUOBI,2021-02-13 00:00:00,13.4517,15.1,13.109,14.3283,12261218.565638145,0.0
flowusdt,HUOBI,2021-02-14 00:00:00,14.3283,18.7413,13.8,16.8166,31433866.739501286,0.0
flowusdt,HUOBI,2021-02-15 00:00:00,16.8254,20.0,15.7143,19.6309,42464310.413306415,0.0
flowusdt,HUOBI,2021-02-16 00:00:00,19.6232,20.1657,18.1102,18.1103,21421349.405047867,0.0
flowusdt,HUOBI,2021-02-17 00:00:00,18.1103,19.6,16.84,17.6066,19081688.85304153,0.0
flowusdt,HUOBI,2021-02-18 00:00:00,17.6433,19.5888,16.7695,19.4007,15443025.381282043,0.0
flowusdt,HUOBI,2021-02-19 00:00:00,19.401,19.5872,17.0,17.6995,10388234.940397797,0.0
flowusdt,HUOBI,2021-02-20 00:00:00,17.6994,19.0872,16.7,18.9792,9584962.199921478,0.0
flowusdt,HUOBI,2021-02-21 00:00:00,18.9792,26.2925,18.2746,24.0898,44150012.00660918,0.0
flowusdt,HUOBI,2021-02-22 00:00:00,24.0899,24.4498,18.2,20.1011,36475341.43485991,0.0
flowusdt,HUOBI,2021-02-23 00:00:00,20.1,23.8237,18.05,22.0,53724040.41196032,0.0
flowusdt,HUOBI,2021-02-24 00:00:00,21.9983,23.2292,19.91,20.6512,23441845.692054488,0.0
flowusdt,HUOBI,2021-02-25 00:00:00,20.6464,21.1223,19.3901,20.8676,11671522.843074143,0.0
flowusdt,HUOBI,2021-02-26 00:00:00,20.8999,21.9528,18.2781,19.9156,17165876.9714326,0.0
flowusdt,HUOBI,2021-02-27 00:00:00,19.9774,21.3563,19.2656,20.1907,10718162.326675972,0.0
flowusdt,HUOBI,2021-02-28 00:00:00,20.1907,22.0,19.236,19.9657,24836671.459868655,0.0
flowusdt,HUOBI,2021-03-01 00:00:00,19.9451,24.94,19.6,24.7235,19471987.715351697,0.0
flowusdt,HUOBI,2021-03-02 00:00:00,24.6994,30.5298,24.6994,27.8411,61176331.07069707,0.0
flowusdt,HUOBI,2021-03-03 00:00:00,27.8421,34.0777,27.27,31.8521,50026809.083659254,0.0
flowusdt,HUOBI,2021-03-04 00:00:00,31.8265,41.2512,31.8265,37.5701,67652785.02588896,0.0
flowusdt,HUOBI,2021-03-05 00:00:00,37.5631,40.95,34.83,36.261,55805352.43331186,0.0
flowusdt,HUOBI,2021-03-06 00:00:00,36.2941,38.2,30.53,34.5802,40938428.3281724,0.0
flowusdt,HUOBI,2021-03-07 00:00:00,34.5809,36.6442,33.0,35.8168,24035202.708292294,0.0
flowusdt,HUOBI,2021-03-08 00:00:00,35.8168,35.9089,33.0019,33.7921,22494192.33414482,0.0
flowusdt,HUOBI,2021-03-09 00:00:00,33.7925,38.5888,31.6021,35.208,55192237.43396156,0.0
flowusdt,HUOBI,2021-03-10 00:00:00,35.1934,36.6599,32.8164,33.7897,27355663.08852054,0.0
flowusdt,HUOBI,2021-03-11 00:00:00,33.7609,35.3312,31.2133,32.1649,25268282.063574288,0.0
flowusdt,HUOBI,2021-03-12 00:00:00,32.16,33.48,30.15,30.8832,25663132.808787633,0.0
flowusdt,HUOBI,2021-03-13 00:00:00,30.8654,39.11,30.8121,35.3502,70773511.55822074,0.0
flowusdt,HUOBI,2021-03-14 00:00:00,35.3503,38.1768,34.0,36.6991,38074196.45317619,0.0
flowusdt,HUOBI,2021-03-15 00:00:00,36.6999,37.7313,32.8,34.8866,26345947.478039414,0.0
