symbol,exchange,datetime,open,high,low,close,volume,open_interest
forusdt,HUOBI,2019-09-04 00:00:00,0.02,0.04633,0.02,0.034076,1992842.6666444167,0.0
forusdt,HUOBI,2019-09-05 00:00:00,0.034076,0.035982,0.029,0.030203,770809.0493552921,0.0
forusdt,HUOBI,2019-09-06 00:00:00,0.030202,0.037778,0.02998,0.031503,775155.274268109,0.0
forusdt,HUOBI,2019-09-07 00:00:00,0.031514,0.0365,0.030305,0.03325,367018.41330197017,0.0
forusdt,HUOBI,2019-09-08 00:00:00,0.03325,0.0336,0.031002,0.031509,121702.09849737838,0.0
forusdt,HUOBI,2019-09-09 00:00:00,0.031508,0.0339,0.030088,0.030911,225728.12500373131,0.0
forusdt,HUOBI,2019-09-10 00:00:00,0.030908,0.03579,0.0295,0.031,149115.54018651936,0.0
forusdt,HUOBI,2019-09-11 00:00:00,0.031002,0.0319,0.029501,0.029502,54003.51958988,0.0
forusdt,HUOBI,2019-09-12 00:00:00,0.029501,0.031515,0.029501,0.031093,34306.20778079,0.0
forusdt,HUOBI,2019-09-13 00:00:00,0.03111,0.031212,0.029683,0.030126,12035.9776565,0.0
forusdt,HUOBI,2019-09-14 00:00:00,0.030111,0.0303,0.027433,0.028834,33409.13694735,0.0
forusdt,HUOBI,2019-09-15 00:00:00,0.02897,0.0295,0.02781,0.028394,29324.7100106,0.0
forusdt,HUOBI,2019-09-16 00:00:00,0.028382,0.03,0.027,0.027371,102862.30550399,0.0
forusdt,HUOBI,2019-09-17 00:00:00,0.027359,0.0286,0.026666,0.027408,105776.36963785,0.0
forusdt,HUOBI,2019-09-18 00:00:00,0.027311,0.0284,0.0264,0.027159,115521.05909241,0.0
forusdt,HUOBI,2019-09-19 00:00:00,0.027165,0.031897,0.027116,0.028747,306769.8179603835,0.0
forusdt,HUOBI,2019-09-20 00:00:00,0.0292,0.029547,0.0275,0.028425,172830.88643085,0.0
forusdt,HUOBI,2019-09-21 00:00:00,0.028567,0.029562,0.027686,0.029285,101497.29086225,0.0
forusdt,HUOBI,2019-09-22 00:00:00,0.029298,0.0318,0.029232,0.030636,63275.77546818,0.0
forusdt,HUOBI,2019-09-23 00:00:00,0.030729,0.031379,0.028,0.028406,98573.96665184,0.0
forusdt,HUOBI,2019-09-24 00:00:00,0.028465,0.029207,0.027686,0.027771,134950.14568906,0.0
forusdt,HUOBI,2019-09-25 00:00:00,0.027806,0.027943,0.02501,0.026771,122573.6177281,0.0
forusdt,HUOBI,2019-09-26 00:00:00,0.026837,0.02725,0.025001,0.025134,89265.6108529,0.0
forusdt,HUOBI,2019-09-27 00:00:00,0.02507,0.026997,0.023506,0.024975,85620.24864264,0.0
forusdt,HUOBI,2019-09-28 00:00:00,0.024861,0.027999,0.024599,0.026821,75366.03562586,0.0
forusdt,HUOBI,2019-09-29 00:00:00,0.02708,0.027822,0.026395,0.027151,117272.11343951,0.0
forusdt,HUOBI,2019-09-30 00:00:00,0.027178,0.027849,0.0255,0.026415,10512.33900504,0.0
forusdt,HUOBI,2019-10-01 00:00:00,0.026396,0.027846,0.026007,0.02639,79852.58748494,0.0
forusdt,HUOBI,2019-10-02 00:00:00,0.026389,0.0292,0.026083,0.028451,89956.39881088,0.0
forusdt,HUOBI,2019-10-03 00:00:00,0.02865,0.03108,0.028621,0.029493,163434.18379124446,0.0
forusdt,HUOBI,2019-10-04 00:00:00,0.02948,0.0318,0.029224,0.029328,171533.42292035,0.0
forusdt,HUOBI,2019-10-05 00:00:00,0.029332,0.029766,0.028,0.02863,79162.71880027,0.0
forusdt,HUOBI,2019-10-06 00:00:00,0.028676,0.029992,0.0275,0.029982,67702.18251398,0.0
forusdt,HUOBI,2019-10-07 00:00:00,0.029999,0.030639,0.028248,0.030221,54175.21619912,0.0
forusdt,HUOBI,2019-10-08 00:00:00,0.03025,0.031,0.028073,0.028722,155047.57789070476,0.0
forusdt,HUOBI,2019-10-09 00:00:00,0.028717,0.028827,0.02751,0.028364,62980.65716517011,0.0
forusdt,HUOBI,2019-10-10 00:00:00,0.02828,0.029133,0.027,0.027295,78047.62900692,0.0
forusdt,HUOBI,2019-10-11 00:00:00,0.027417,0.029995,0.02692,0.028925,48392.57264816215,0.0
forusdt,HUOBI,2019-10-12 00:00:00,0.029143,0.0295,0.028266,0.028676,72495.46869966,0.0
forusdt,HUOBI,2019-10-13 00:00:00,0.028715,0.029105,0.027907,0.028897,25665.26258749,0.0
forusdt,HUOBI,2019-10-14 00:00:00,0.028899,0.029129,0.027699,0.027712,75100.18746441,0.0
forusdt,HUOBI,2019-10-15 00:00:00,0.027838,0.028623,0.027003,0.027369,59072.31763714,0.0
forusdt,HUOBI,2019-10-16 00:00:00,0.027271,0.028493,0.026863,0.027193,87674.31091048,0.0
forusdt,HUOBI,2019-10-17 00:00:00,0.027227,0.032665,0.02685,0.031737,374524.77822717297,0.0
forusdt,HUOBI,2019-10-18 00:00:00,0.031738,0.031988,0.027543,0.029244,257710.19553254,0.0
forusdt,HUOBI,2019-10-19 00:00:00,0.029243,0.029579,0.027502,0.027869,52421.72208191,0.0
forusdt,HUOBI,2019-10-20 00:00:00,0.027852,0.030322,0.027809,0.028146,93367.95946361,0.0
forusdt,HUOBI,2019-10-21 00:00:00,0.028176,0.0305,0.027682,0.028694,274265.68415455,0.0
forusdt,HUOBI,2019-10-22 00:00:00,0.028681,0.0325,0.028593,0.031807,226319.01161861428,0.0
forusdt,HUOBI,2019-10-23 00:00:00,0.031802,0.037986,0.03005,0.033,591066.3888271952,0.0
forusdt,HUOBI,2019-10-24 00:00:00,0.033,0.034649,0.031,0.03224,199399.77077505126,0.0
forusdt,HUOBI,2019-10-25 00:00:00,0.032259,0.033916,0.031051,0.033101,265778.71034832,0.0
forusdt,HUOBI,2019-10-26 00:00:00,0.033056,0.03449,0.031302,0.031985,293306.48478075,0.0
forusdt,HUOBI,2019-10-27 00:00:00,0.031913,0.033492,0.030312,0.03295,259122.84519403594,0.0
forusdt,HUOBI,2019-10-28 00:00:00,0.032947,0.034563,0.031,0.033224,266734.35207439,0.0
forusdt,HUOBI,2019-10-29 00:00:00,0.033224,0.041232,0.03151,0.035998,509454.1896157324,0.0
forusdt,HUOBI,2019-10-30 00:00:00,0.035834,0.04502,0.033301,0.03547,1077923.7001576833,0.0
forusdt,HUOBI,2019-10-31 00:00:00,0.035478,0.03987,0.032194,0.034776,405108.9072182107,0.0
forusdt,HUOBI,2019-11-01 00:00:00,0.0347,0.037219,0.034,0.035005,249144.07627917881,0.0
forusdt,HUOBI,2019-11-02 00:00:00,0.034928,0.039096,0.034108,0.036597,249443.35326031,0.0
forusdt,HUOBI,2019-11-03 00:00:00,0.036444,0.040991,0.03451,0.037731,293981.27219102596,0.0
forusdt,HUOBI,2019-11-04 00:00:00,0.037724,0.041799,0.036781,0.040253,257801.8854245846,0.0
forusdt,HUOBI,2019-11-05 00:00:00,0.040472,0.044998,0.039708,0.04486,564886.6216908386,0.0
forusdt,HUOBI,2019-11-06 00:00:00,0.04486,0.049297,0.0438,0.049297,725646.3473061502,0.0
forusdt,HUOBI,2019-11-07 00:00:00,0.049299,0.053436,0.046,0.05029,1622146.3476402338,0.0
forusdt,HUOBI,2019-11-08 00:00:00,0.050289,0.05029,0.0405,0.042932,529622.597812738,0.0
forusdt,HUOBI,2019-11-09 00:00:00,0.043046,0.04741,0.041069,0.045166,463325.592470309,0.0
forusdt,HUOBI,2019-11-10 00:00:00,0.045162,0.047,0.04412,0.045822,327196.3959262774,0.0
forusdt,HUOBI,2019-11-11 00:00:00,0.04585,0.0472,0.040108,0.042187,4582935.38733904,0.0
forusdt,HUOBI,2019-11-12 00:00:00,0.042182,0.045724,0.036235,0.037213,4650136.487009245,0.0
forusdt,HUOBI,2019-11-13 00:00:00,0.037313,0.038564,0.034066,0.035,2650952.32483755,0.0
forusdt,HUOBI,2019-11-14 00:00:00,0.035,0.039533,0.031749,0.037113,40135143.336726196,0.0
forusdt,HUOBI,2019-11-15 00:00:00,0.037099,0.04376,0.03288,0.033952,1854915.0809494928,0.0
forusdt,HUOBI,2019-11-16 00:00:00,0.034167,0.037832,0.03255,0.033373,416694.4613432757,0.0
forusdt,HUOBI,2019-11-17 00:00:00,0.033327,0.034988,0.03243,0.033214,782052.7135023546,0.0
forusdt,HUOBI,2019-11-18 00:00:00,0.033191,0.035,0.030129,0.032001,415286.59431941103,0.0
forusdt,HUOBI,2019-11-19 00:00:00,0.032001,0.034,0.03005,0.03288,260568.8949124145,0.0
forusdt,HUOBI,2019-11-20 00:00:00,0.032866,0.034987,0.0323,0.033958,183533.76080935547,0.0
forusdt,HUOBI,2019-11-21 00:00:00,0.033947,0.033947,0.028582,0.029455,345113.185755875,0.0
forusdt,HUOBI,2019-11-22 00:00:00,0.029496,0.0305,0.021016,0.024899,480287.33015924,0.0
forusdt,HUOBI,2019-11-23 00:00:00,0.0249,0.025491,0.021003,0.022911,265570.17191277,0.0
forusdt,HUOBI,2019-11-24 00:00:00,0.023034,0.023998,0.0205,0.020654,157929.91345465,0.0
forusdt,HUOBI,2019-11-25 00:00:00,0.020641,0.021856,0.01801,0.021287,177540.29398743482,0.0
forusdt,HUOBI,2019-11-26 00:00:00,0.021182,0.021578,0.018666,0.019893,68095.96196552043,0.0
forusdt,HUOBI,2019-11-27 00:00:00,0.02001,0.023,0.019001,0.022997,144298.61379596,0.0
forusdt,HUOBI,2019-11-28 00:00:00,0.022715,0.02567,0.021517,0.024877,122812.8416420279,0.0
forusdt,HUOBI,2019-11-29 00:00:00,0.024849,0.033333,0.024704,0.02719,721700.7161127229,0.0
forusdt,HUOBI,2019-11-30 00:00:00,0.02719,0.027405,0.02337,0.024779,198382.27240446262,0.0
forusdt,HUOBI,2019-12-01 00:00:00,0.024662,0.027405,0.022,0.023592,120762.20385169217,0.0
forusdt,HUOBI,2019-12-02 00:00:00,0.023597,0.024999,0.022189,0.022654,78261.09500992,0.0
forusdt,HUOBI,2019-12-03 00:00:00,0.022709,0.022844,0.021863,0.02257,14308.93645602,0.0
forusdt,HUOBI,2019-12-04 00:00:00,0.022508,0.024387,0.021,0.022739,75325.67189134,0.0
forusdt,HUOBI,2019-12-05 00:00:00,0.022637,0.023095,0.0201,0.02093,59544.50076604945,0.0
forusdt,HUOBI,2019-12-06 00:00:00,0.020829,0.021033,0.020005,0.020005,115140.05507737,0.0
forusdt,HUOBI,2019-12-07 00:00:00,0.020396,0.022972,0.0199,0.020412,253989.46251936574,0.0
forusdt,HUOBI,2019-12-08 00:00:00,0.020412,0.020667,0.019013,0.019888,124025.92529583265,0.0
forusdt,HUOBI,2019-12-09 00:00:00,0.019888,0.020178,0.01906,0.019256,51316.20171027,0.0
forusdt,HUOBI,2019-12-10 00:00:00,0.019255,0.0201,0.019018,0.019704,122632.29740513484,0.0
forusdt,HUOBI,2019-12-11 00:00:00,0.019711,0.019898,0.019011,0.019148,46754.50861573,0.0
forusdt,HUOBI,2019-12-12 00:00:00,0.019251,0.019459,0.018011,0.018242,38525.3460806,0.0
forusdt,HUOBI,2019-12-13 00:00:00,0.018334,0.018383,0.016721,0.017097,247927.19044033,0.0
forusdt,HUOBI,2019-12-14 00:00:00,0.0171,0.017193,0.015603,0.01588,152811.06845985138,0.0
forusdt,HUOBI,2019-12-15 00:00:00,0.015881,0.016397,0.014035,0.015059,116960.77093514,0.0
forusdt,HUOBI,2019-12-16 00:00:00,0.015058,0.015461,0.014222,0.014429,71697.35139398,0.0
forusdt,HUOBI,2019-12-17 00:00:00,0.014429,0.014429,0.012344,0.012461,82310.60890073453,0.0
forusdt,HUOBI,2019-12-18 00:00:00,0.012461,0.013279,0.011201,0.012704,87562.09997907013,0.0
forusdt,HUOBI,2019-12-19 00:00:00,0.012706,0.01462,0.011946,0.014616,79180.57958982,0.0
forusdt,HUOBI,2019-12-20 00:00:00,0.014619,0.014623,0.01382,0.01423,101258.64588818,0.0
forusdt,HUOBI,2019-12-21 00:00:00,0.014227,0.014234,0.0136,0.013994,61315.87740492,0.0
forusdt,HUOBI,2019-12-22 00:00:00,0.013993,0.015541,0.01388,0.014369,142989.78224585592,0.0
forusdt,HUOBI,2019-12-23 00:00:00,0.014368,0.015281,0.014368,0.014682,108596.1199165,0.0
forusdt,HUOBI,2019-12-24 00:00:00,0.014648,0.01471,0.012997,0.0131,108315.75575916,0.0
forusdt,HUOBI,2019-12-25 00:00:00,0.013064,0.013064,0.011715,0.011854,78935.04424789,0.0
forusdt,HUOBI,2019-12-26 00:00:00,0.011867,0.011994,0.011103,0.011603,44530.586330709244,0.0
forusdt,HUOBI,2019-12-27 00:00:00,0.011695,0.013152,0.01155,0.011864,45582.24432333,0.0
forusdt,HUOBI,2019-12-28 00:00:00,0.011883,0.012399,0.01155,0.011588,30277.49707105,0.0
