symbol,exchange,datetime,open,high,low,close,volume,open_interest
fsnusdt,HUOBI,2019-08-02 00:00:00,0.6679,3.9,0.6679,1.5304,7859365.028169371,0.0
fsnusdt,HUOBI,2019-08-03 00:00:00,1.5301,1.5437,1.21,1.29,1419691.263175077,0.0
fsnusdt,HUOBI,2019-08-04 00:00:00,1.2816,1.2911,1.1173,1.1232,715207.70504284,0.0
fsnusdt,HUOBI,2019-08-05 00:00:00,1.1263,1.2749,1.0567,1.0945,948214.7191546888,0.0
fsnusdt,HUOBI,2019-08-06 00:00:00,1.1013,1.1298,1.0192,1.0335,307926.5600845366,0.0
fsnusdt,HUOBI,2019-08-07 00:00:00,1.0449,1.0999,0.931,0.9396,484001.4807560835,0.0
fsnusdt,HUOBI,2019-08-08 00:00:00,0.9528,1.025,0.8977,0.9516,886198.1806765858,0.0
fsnusdt,HUOBI,2019-08-09 00:00:00,0.9512,1.06,0.9301,0.994,1451552.713934418,0.0
fsnusdt,HUOBI,2019-08-10 00:00:00,0.9942,1.2236,0.953,0.9925,1353410.0743030675,0.0
fsnusdt,HUOBI,2019-08-11 00:00:00,0.9906,1.0,0.9108,0.9644,639098.7635028093,0.0
fsnusdt,HUOBI,2019-08-12 00:00:00,0.9704,0.9855,0.94,0.947,670157.3048725,0.0
fsnusdt,HUOBI,2019-08-13 00:00:00,0.9476,1.0899,0.9418,0.9709,2369202.18953104,0.0
fsnusdt,HUOBI,2019-08-14 00:00:00,0.9708,0.9738,0.89,0.9253,1941982.0450494105,0.0
fsnusdt,HUOBI,2019-08-15 00:00:00,0.9253,0.9378,0.7491,0.7734,1288672.7458967632,0.0
fsnusdt,HUOBI,2019-08-16 00:00:00,0.772,0.7774,0.7019,0.7577,1373326.9953678984,0.0
fsnusdt,HUOBI,2019-08-17 00:00:00,0.7582,0.91,0.7557,0.7925,2052393.9185846942,0.0
fsnusdt,HUOBI,2019-08-18 00:00:00,0.7926,0.8204,0.7695,0.8119,892199.28260746,0.0
fsnusdt,HUOBI,2019-08-19 00:00:00,0.8119,0.8677,0.7614,0.8062,1479830.19874501,0.0
fsnusdt,HUOBI,2019-08-20 00:00:00,0.8065,0.8115,0.77,0.792,1043766.5949797219,0.0
fsnusdt,HUOBI,2019-08-21 00:00:00,0.792,0.7943,0.7201,0.7322,1513728.11333246,0.0
fsnusdt,HUOBI,2019-08-22 00:00:00,0.7322,0.7616,0.7222,0.7543,954637.4636975867,0.0
fsnusdt,HUOBI,2019-08-23 00:00:00,0.7543,0.7917,0.7455,0.7876,938133.78577707,0.0
fsnusdt,HUOBI,2019-08-24 00:00:00,0.7906,0.7914,0.75,0.7523,300274.49169743,0.0
fsnusdt,HUOBI,2019-08-25 00:00:00,0.7526,0.7775,0.7437,0.7499,638592.44483244,0.0
fsnusdt,HUOBI,2019-08-26 00:00:00,0.7505,0.7955,0.7411,0.759,554605.5416853414,0.0
fsnusdt,HUOBI,2019-08-27 00:00:00,0.7598,0.7717,0.745,0.7626,466889.95166386,0.0
fsnusdt,HUOBI,2019-08-28 00:00:00,0.7626,0.8686,0.7579,0.8559,739537.0411812594,0.0
fsnusdt,HUOBI,2019-08-29 00:00:00,0.8544,0.8749,0.6947,0.7444,646746.8990852,0.0
fsnusdt,HUOBI,2019-08-30 00:00:00,0.7432,0.7487,0.695,0.7215,341622.04362279,0.0
fsnusdt,HUOBI,2019-08-31 00:00:00,0.7221,0.7364,0.696,0.7033,375117.31760391,0.0
fsnusdt,HUOBI,2019-09-01 00:00:00,0.7014,0.7127,0.6861,0.6904,228652.62647095,0.0
fsnusdt,HUOBI,2019-09-02 00:00:00,0.692,0.75,0.686,0.73,356965.7868555309,0.0
fsnusdt,HUOBI,2019-09-03 00:00:00,0.7278,0.7347,0.7134,0.7152,566836.18662925,0.0
