symbol,exchange,datetime,open,high,low,close,volume,open_interest
fttusdt,HUOBI,2019-08-07 00:00:00,0.7,2.2793,0.7,2.0085,3312795.861549632,0.0
fttusdt,HUOBI,2019-08-08 00:00:00,2.0086,2.7645,1.9549,2.6064,11232525.754516035,0.0
fttusdt,HUOBI,2019-08-09 00:00:00,2.6064,2.6526,1.9422,1.9717,4520818.249047761,0.0
fttusdt,HUOBI,2019-08-10 00:00:00,1.9726,2.0111,1.8,1.8342,1248443.5698325585,0.0
fttusdt,HUOBI,2019-08-11 00:00:00,1.8305,1.9042,1.7473,1.7598,723432.82845737,0.0
fttusdt,HUOBI,2019-08-12 00:00:00,1.7599,1.895,1.7123,1.8508,2787843.13590209,0.0
fttusdt,HUOBI,2019-08-13 00:00:00,1.8511,1.9296,1.77,1.7701,1025242.0878737944,0.0
fttusdt,HUOBI,2019-08-14 00:00:00,1.77,1.7739,1.4913,1.5409,841026.54849062,0.0
fttusdt,HUOBI,2019-08-15 00:00:00,1.5414,1.5739,1.2154,1.2249,781318.369691681,0.0
fttusdt,HUOBI,2019-08-16 00:00:00,1.2256,1.6263,1.1604,1.6125,1954759.9962514893,0.0
fttusdt,HUOBI,2019-08-17 00:00:00,1.6158,1.6428,1.4418,1.4448,538349.7883715638,0.0
fttusdt,HUOBI,2019-08-18 00:00:00,1.4454,1.52,1.4318,1.498,515503.94718201633,0.0
fttusdt,HUOBI,2019-08-19 00:00:00,1.497,1.6034,1.4106,1.4172,842255.442466648,0.0
fttusdt,HUOBI,2019-08-20 00:00:00,1.4172,1.4406,1.3944,1.4289,203042.38876446,0.0
fttusdt,HUOBI,2019-08-21 00:00:00,1.4297,1.4301,1.2501,1.2583,215968.15013068,0.0
fttusdt,HUOBI,2019-08-22 00:00:00,1.2572,1.2925,1.23,1.2387,152554.02451356,0.0
fttusdt,HUOBI,2019-08-23 00:00:00,1.2387,1.3299,1.2214,1.2972,217461.89133307367,0.0
fttusdt,HUOBI,2019-08-24 00:00:00,1.2973,1.3128,1.2552,1.2749,85573.61140904,0.0
fttusdt,HUOBI,2019-08-25 00:00:00,1.2745,1.3355,1.2712,1.2903,171626.14498939,0.0
fttusdt,HUOBI,2019-08-26 00:00:00,1.2911,1.314,1.2702,1.2742,250889.60316254,0.0
fttusdt,HUOBI,2019-08-27 00:00:00,1.2739,1.2961,1.2501,1.2575,246553.22134180935,0.0
fttusdt,HUOBI,2019-08-28 00:00:00,1.2573,1.2868,1.1762,1.2782,267721.60032954,0.0
fttusdt,HUOBI,2019-08-29 00:00:00,1.2783,1.2784,1.1523,1.1755,146536.54131080158,0.0
fttusdt,HUOBI,2019-08-30 00:00:00,1.1755,1.1983,1.1353,1.1697,123558.15449025606,0.0
fttusdt,HUOBI,2019-08-31 00:00:00,1.1691,1.1697,1.1299,1.1344,101789.13139728,0.0
fttusdt,HUOBI,2019-09-01 00:00:00,1.1341,1.1676,1.1307,1.1506,77876.98283141,0.0
fttusdt,HUOBI,2019-09-02 00:00:00,1.1489,1.1749,1.13,1.16,474643.29183845,0.0
fttusdt,HUOBI,2019-09-03 00:00:00,1.1633,1.2116,1.105,1.2103,638582.7590074276,0.0
fttusdt,HUOBI,2019-09-04 00:00:00,1.2098,1.2111,1.1568,1.1568,102877.67118936,0.0
fttusdt,HUOBI,2019-09-05 00:00:00,1.1589,1.2039,1.156,1.1587,78436.06503305,0.0
fttusdt,HUOBI,2019-09-06 00:00:00,1.1587,1.1901,1.13,1.1804,162253.17982484933,0.0
fttusdt,HUOBI,2019-09-07 00:00:00,1.1804,1.1899,1.133,1.1776,126750.361116,0.0
fttusdt,HUOBI,2019-09-08 00:00:00,1.1792,1.2379,1.1666,1.2354,106208.60970856,0.0
fttusdt,HUOBI,2019-09-09 00:00:00,1.2359,1.309,1.2256,1.2703,307647.17714578,0.0
fttusdt,HUOBI,2019-09-10 00:00:00,1.2704,1.2769,1.2134,1.2326,184246.0165567,0.0
fttusdt,HUOBI,2019-09-11 00:00:00,1.2303,1.2733,1.1716,1.1774,209774.97847596,0.0
fttusdt,HUOBI,2019-09-12 00:00:00,1.1721,1.243,1.1636,1.2298,165761.17154546,0.0
fttusdt,HUOBI,2019-09-13 00:00:00,1.2298,1.2493,1.2149,1.2276,57044.3384865,0.0
fttusdt,HUOBI,2019-09-14 00:00:00,1.2277,1.2468,1.1822,1.2315,170525.22856407,0.0
fttusdt,HUOBI,2019-09-15 00:00:00,1.2318,1.2525,1.2135,1.252,105139.876312,0.0
fttusdt,HUOBI,2019-09-16 00:00:00,1.252,1.2699,1.2292,1.2429,168512.74038894,0.0
fttusdt,HUOBI,2019-09-17 00:00:00,1.2403,1.2944,1.2348,1.2761,122259.77459133,0.0
fttusdt,HUOBI,2019-09-18 00:00:00,1.2773,1.3243,1.273,1.3094,225848.18518275,0.0
fttusdt,HUOBI,2019-09-19 00:00:00,1.309,1.3164,1.2572,1.2572,127938.15360489054,0.0
fttusdt,HUOBI,2019-09-20 00:00:00,1.2557,1.3276,1.2557,1.312,168370.77330886,0.0
fttusdt,HUOBI,2019-09-21 00:00:00,1.312,1.3468,1.2903,1.3304,361109.63045324,0.0
fttusdt,HUOBI,2019-09-22 00:00:00,1.3305,1.3311,1.2934,1.3002,135417.9461938349,0.0
fttusdt,HUOBI,2019-09-23 00:00:00,1.3003,1.3186,1.2777,1.3017,196678.29861627,0.0
fttusdt,HUOBI,2019-09-24 00:00:00,1.3022,1.3024,1.2215,1.2372,136725.99812112574,0.0
fttusdt,HUOBI,2019-09-25 00:00:00,1.236,1.3352,1.1515,1.2341,374958.97421001,0.0
fttusdt,HUOBI,2019-09-26 00:00:00,1.2343,1.2548,1.2185,1.2238,201197.61435056,0.0
fttusdt,HUOBI,2019-09-27 00:00:00,1.2232,1.2794,1.2048,1.2703,197865.70567155,0.0
fttusdt,HUOBI,2019-09-28 00:00:00,1.2702,1.2858,1.2643,1.2831,59931.31856643,0.0
fttusdt,HUOBI,2019-09-29 00:00:00,1.2832,1.2859,1.2585,1.2807,57149.403405,0.0
fttusdt,HUOBI,2019-09-30 00:00:00,1.2807,1.284,1.2551,1.2621,108188.31454898,0.0
fttusdt,HUOBI,2019-10-01 00:00:00,1.2643,1.2998,1.2521,1.2944,116646.07931315,0.0
fttusdt,HUOBI,2019-10-02 00:00:00,1.2945,1.31,1.2912,1.296,22577.53391738,0.0
fttusdt,HUOBI,2019-10-03 00:00:00,1.296,1.2991,1.286,1.2965,34366.45094763,0.0
fttusdt,HUOBI,2019-10-04 00:00:00,1.2975,1.3255,1.287,1.3206,53952.70942405,0.0
fttusdt,HUOBI,2019-10-05 00:00:00,1.3198,1.327,1.3041,1.3109,62846.13853792,0.0
fttusdt,HUOBI,2019-10-06 00:00:00,1.3127,1.3214,1.2906,1.2969,45554.543654458015,0.0
fttusdt,HUOBI,2019-10-07 00:00:00,1.2969,1.3031,1.2723,1.2948,43982.2903043,0.0
fttusdt,HUOBI,2019-10-08 00:00:00,1.2958,1.3569,1.2682,1.3529,123229.15138482713,0.0
fttusdt,HUOBI,2019-10-09 00:00:00,1.3529,1.4385,1.327,1.4149,120144.91960608,0.0
fttusdt,HUOBI,2019-10-10 00:00:00,1.4171,1.4401,1.3421,1.3867,194998.20191148,0.0
fttusdt,HUOBI,2019-10-11 00:00:00,1.385,1.4151,1.3349,1.4019,73956.93940058,0.0
fttusdt,HUOBI,2019-10-12 00:00:00,1.4019,1.4085,1.3774,1.3795,42040.07362099,0.0
fttusdt,HUOBI,2019-10-13 00:00:00,1.3797,1.3921,1.3554,1.3588,66672.13101769412,0.0
fttusdt,HUOBI,2019-10-14 00:00:00,1.3592,1.3846,1.35,1.3635,192401.84223396,0.0
fttusdt,HUOBI,2019-10-15 00:00:00,1.3635,1.4343,1.347,1.4308,773558.9677034093,0.0
fttusdt,HUOBI,2019-10-16 00:00:00,1.4292,1.4341,1.337,1.3462,604600.40811971,0.0
fttusdt,HUOBI,2019-10-17 00:00:00,1.346,1.3972,1.1522,1.3247,200203.95933914112,0.0
fttusdt,HUOBI,2019-10-18 00:00:00,1.3245,1.3544,1.3197,1.3272,326038.50702634,0.0
fttusdt,HUOBI,2019-10-19 00:00:00,1.3292,1.3368,1.3068,1.3322,286085.26599218,0.0
fttusdt,HUOBI,2019-10-20 00:00:00,1.3324,1.3699,1.3269,1.3633,308463.2784141,0.0
fttusdt,HUOBI,2019-10-21 00:00:00,1.3637,1.3644,1.3177,1.3269,257333.23612909,0.0
fttusdt,HUOBI,2019-10-22 00:00:00,1.3277,1.3355,1.3181,1.3274,48584.48565682,0.0
fttusdt,HUOBI,2019-10-23 00:00:00,1.3274,1.332,1.2442,1.2471,264411.88881884,0.0
fttusdt,HUOBI,2019-10-24 00:00:00,1.2473,1.2541,1.2361,1.2467,91727.98476724,0.0
fttusdt,HUOBI,2019-10-25 00:00:00,1.2466,1.316,1.2301,1.2595,439398.28805949,0.0
fttusdt,HUOBI,2019-10-26 00:00:00,1.2573,1.47,1.2573,1.3271,1667500.12244647,0.0
