symbol,exchange,datetime,open,high,low,close,volume,open_interest
glmusdt,HUOBI,2018-01-08 00:00:00,0.9451,1.755,0.945,1.018,1535836.1435224696,0.0
glmusdt,HUOBI,2018-01-09 00:00:00,1.018,1.2999,1.0016,1.115,2442415.1968561416,0.0
glmusdt,HUOBI,2018-01-10 00:00:00,1.1,1.11,0.88,0.936,919501.6450474147,0.0
glmusdt,HUOBI,2018-01-11 00:00:00,0.936,0.9789,0.752,0.868,830928.3209128254,0.0
glmusdt,HUOBI,2018-01-12 00:00:00,0.8685,0.92,0.78,0.88,1158878.0543163666,0.0
glmusdt,HUOBI,2018-01-13 00:00:00,0.884,0.9887,0.8658,0.962,1674981.13968532,0.0
glmusdt,HUOBI,2018-01-14 00:00:00,0.9599,0.9868,0.8217,0.846,1806595.43876379,0.0
glmusdt,HUOBI,2018-01-15 00:00:00,0.846,1.0249,0.8206,0.9425,2700632.5320086493,0.0
glmusdt,HUOBI,2018-01-16 00:00:00,0.9411,1.05,0.65,0.7426,3442905.5819766982,0.0
glmusdt,HUOBI,2018-01-17 00:00:00,0.7426,0.7427,0.4724,0.4887,1658414.9657320504,0.0
glmusdt,HUOBI,2018-01-18 00:00:00,0.4827,0.7,0.4788,0.6999,1558060.3759602369,0.0
glmusdt,HUOBI,2018-01-19 00:00:00,0.6974,0.8047,0.6,0.6655,2344889.5854740925,0.0
glmusdt,HUOBI,2018-01-20 00:00:00,0.6655,0.76,0.6652,0.7258,2169110.950338579,0.0
glmusdt,HUOBI,2018-01-21 00:00:00,0.7259,0.7546,0.6222,0.6514,1200087.9337012265,0.0
glmusdt,HUOBI,2018-01-22 00:00:00,0.6512,0.668,0.5552,0.56,1203253.2005086604,0.0
glmusdt,HUOBI,2018-01-23 00:00:00,0.558,0.5888,0.53,0.5768,745474.5391336901,0.0
glmusdt,HUOBI,2018-01-24 00:00:00,0.5765,0.6999,0.5406,0.6043,1803290.8112261177,0.0
glmusdt,HUOBI,2018-01-25 00:00:00,0.6052,0.688,0.58,0.582,2175998.2607275513,0.0
glmusdt,HUOBI,2018-01-26 00:00:00,0.5815,0.6068,0.5028,0.5446,1742986.9782361558,0.0
glmusdt,HUOBI,2018-01-27 00:00:00,0.5455,0.5759,0.52,0.5715,821228.0799311186,0.0
glmusdt,HUOBI,2018-01-28 00:00:00,0.5715,0.6196,0.5618,0.5955,1056961.6037792973,0.0
glmusdt,HUOBI,2018-01-29 00:00:00,0.5955,0.6008,0.5294,0.5577,754467.84523302,0.0
glmusdt,HUOBI,2018-01-30 00:00:00,0.5574,0.5581,0.487,0.4977,677124.5905179982,0.0
glmusdt,HUOBI,2018-01-31 00:00:00,0.4942,0.5049,0.42,0.4593,1096633.4562412854,0.0
glmusdt,HUOBI,2018-02-01 00:00:00,0.4591,0.4796,0.4013,0.4057,2680196.224276468,0.0
glmusdt,HUOBI,2018-02-02 00:00:00,0.4049,0.4438,0.3044,0.3655,934731.1181886882,0.0
glmusdt,HUOBI,2018-02-03 00:00:00,0.3753,0.4161,0.34,0.4037,93037.47414926,0.0
glmusdt,HUOBI,2018-02-04 00:00:00,0.4105,0.4338,0.37,0.37,106187.04414009268,0.0
glmusdt,HUOBI,2018-02-05 00:00:00,0.3769,0.3769,0.285,0.298,118052.39368837,0.0
glmusdt,HUOBI,2018-02-06 00:00:00,0.3038,0.3038,0.225,0.2879,163435.34125269,0.0
glmusdt,HUOBI,2018-02-07 00:00:00,0.289,0.3746,0.2638,0.3488,154745.88901576,0.0
glmusdt,HUOBI,2018-02-08 00:00:00,0.3488,0.3665,0.3242,0.3299,193567.48491466048,0.0
glmusdt,HUOBI,2018-02-09 00:00:00,0.33,0.3464,0.3042,0.337,125691.9254437,0.0
glmusdt,HUOBI,2018-02-10 00:00:00,0.3376,0.3779,0.3376,0.3405,915559.0823981924,0.0
glmusdt,HUOBI,2018-02-11 00:00:00,0.3405,0.3414,0.3064,0.3359,804212.905531,0.0
glmusdt,HUOBI,2018-02-12 00:00:00,0.3359,0.3649,0.3273,0.3632,1062456.6489556,0.0
glmusdt,HUOBI,2018-02-13 00:00:00,0.3632,0.38,0.3477,0.3532,1013090.21094041,0.0
glmusdt,HUOBI,2018-02-14 00:00:00,0.3533,0.4124,0.3484,0.4084,1306739.3578384544,0.0
glmusdt,HUOBI,2018-02-15 00:00:00,0.4082,0.4708,0.393,0.4515,2058348.6935935852,0.0
glmusdt,HUOBI,2018-02-16 00:00:00,0.4519,0.4633,0.4254,0.4391,1526660.00173255,0.0
glmusdt,HUOBI,2018-02-17 00:00:00,0.4393,0.5008,0.4364,0.4867,1859652.8984158307,0.0
glmusdt,HUOBI,2018-02-18 00:00:00,0.4868,0.4974,0.4151,0.4433,1970943.46615292,0.0
glmusdt,HUOBI,2018-02-19 00:00:00,0.4439,0.4533,0.4259,0.4497,1315588.66472237,0.0
glmusdt,HUOBI,2018-02-20 00:00:00,0.4497,0.4523,0.4034,0.408,1230037.813867117,0.0
glmusdt,HUOBI,2018-02-21 00:00:00,0.4058,0.4117,0.3501,0.3535,1204172.9377593515,0.0
glmusdt,HUOBI,2018-02-22 00:00:00,0.3535,0.3619,0.33,0.3382,1279742.833580261,0.0
glmusdt,HUOBI,2018-02-23 00:00:00,0.3376,0.3446,0.3101,0.3339,1331345.834720208,0.0
glmusdt,HUOBI,2018-02-24 00:00:00,0.3339,0.3559,0.3044,0.3198,1464706.238105546,0.0
glmusdt,HUOBI,2018-02-25 00:00:00,0.3183,0.3319,0.3044,0.3096,865120.40703903,0.0
glmusdt,HUOBI,2018-02-26 00:00:00,0.3096,0.4082,0.3069,0.3872,1670848.903002994,0.0
glmusdt,HUOBI,2018-02-27 00:00:00,0.3881,0.3963,0.35,0.3652,1331662.89622417,0.0
glmusdt,HUOBI,2018-02-28 00:00:00,0.3648,0.3735,0.347,0.3622,999026.5930395456,0.0
glmusdt,HUOBI,2018-03-01 00:00:00,0.362,0.4207,0.3555,0.3955,2136690.169645359,0.0
glmusdt,HUOBI,2018-03-02 00:00:00,0.3975,0.4677,0.3934,0.4627,3515617.1451351377,0.0
glmusdt,HUOBI,2018-03-03 00:00:00,0.4628,0.464,0.4153,0.4296,2100788.75465457,0.0
glmusdt,HUOBI,2018-03-04 00:00:00,0.4311,0.4522,0.4116,0.4231,1726604.6024082599,0.0
glmusdt,HUOBI,2018-03-05 00:00:00,0.4234,0.4631,0.4209,0.458,1545486.4589435472,0.0
glmusdt,HUOBI,2018-03-06 00:00:00,0.4587,0.5,0.42,0.433,2238940.169265474,0.0
glmusdt,HUOBI,2018-03-07 00:00:00,0.4335,0.4369,0.3742,0.4051,1306231.3751549,0.0
glmusdt,HUOBI,2018-03-08 00:00:00,0.4071,0.4077,0.3429,0.3546,1013226.2731277,0.0
glmusdt,HUOBI,2018-03-09 00:00:00,0.3547,0.3557,0.2623,0.2926,1181651.0601218352,0.0
glmusdt,HUOBI,2018-03-10 00:00:00,0.2921,0.3379,0.2831,0.3204,1015343.27513119,0.0
glmusdt,HUOBI,2018-03-11 00:00:00,0.3201,0.3295,0.2799,0.3013,839393.9448653078,0.0
glmusdt,HUOBI,2018-03-12 00:00:00,0.3012,0.3344,0.3008,0.3032,636910.6750098156,0.0
glmusdt,HUOBI,2018-03-13 00:00:00,0.3035,0.3179,0.2866,0.296,7351926.806316306,0.0
glmusdt,HUOBI,2018-03-14 00:00:00,0.296,0.3093,0.2626,0.2699,1895270.2776301678,0.0
glmusdt,HUOBI,2018-03-15 00:00:00,0.27,0.2718,0.2209,0.2437,1746014.2774269027,0.0
glmusdt,HUOBI,2018-03-16 00:00:00,0.2437,0.2568,0.2387,0.2544,1673094.68933362,0.0
glmusdt,HUOBI,2018-03-17 00:00:00,0.2541,0.258,0.2305,0.2308,1535432.85573949,0.0
glmusdt,HUOBI,2018-03-18 00:00:00,0.2308,0.2352,0.1841,0.1849,1573799.2726308391,0.0
glmusdt,HUOBI,2018-03-19 00:00:00,0.1851,0.228,0.1828,0.224,1559017.194785875,0.0
