symbol,exchange,datetime,open,high,low,close,volume,open_interest
gofusdt,HUOBI,2020-09-15 00:00:00,2.5,14.9,2.5,9.3999,22633404.128034174,0.0
gofusdt,HUOBI,2020-09-16 00:00:00,9.4,11.28,6.5,7.3938,26042791.203417283,0.0
gofusdt,HUOBI,2020-09-17 00:00:00,7.3938,7.4157,4.5111,4.7515,29837514.056607585,0.0
gofusdt,HUOBI,2020-09-18 00:00:00,4.7512,5.3863,3.88,4.2713,13428758.324489946,0.0
gofusdt,HUOBI,2020-09-19 00:00:00,4.2716,5.98,4.2716,4.7001,30706762.41381844,0.0
gofusdt,HUOBI,2020-09-20 00:00:00,4.6901,5.12,3.581,3.6321,12199200.256739343,0.0
gofusdt,HUOBI,2020-09-21 00:00:00,3.6406,3.6494,2.45,2.8257,13808362.304432727,0.0
gofusdt,HUOBI,2020-09-22 00:00:00,2.8257,2.8299,2.0158,2.3201,8778747.4377091,0.0
gofusdt,HUOBI,2020-09-23 00:00:00,2.3222,2.7,1.8014,2.0278,8794288.097977849,0.0
gofusdt,HUOBI,2020-09-24 00:00:00,2.017,2.0284,1.4501,1.5931,7418499.19836074,0.0
gofusdt,HUOBI,2020-09-25 00:00:00,1.59,1.765,1.4924,1.7141,10819186.436445167,0.0
gofusdt,HUOBI,2020-09-26 00:00:00,1.7057,1.7755,1.6,1.7505,10578684.257677956,0.0
gofusdt,HUOBI,2020-09-27 00:00:00,1.751,1.8888,1.593,1.609,10234284.216390215,0.0
gofusdt,HUOBI,2020-09-28 00:00:00,1.609,1.63,1.4523,1.6,8882682.281188194,0.0
gofusdt,HUOBI,2020-09-29 00:00:00,1.6,1.6,1.45,1.4855,6879216.283743324,0.0
gofusdt,HUOBI,2020-09-30 00:00:00,1.4816,1.62,1.4726,1.4899,6233096.473041778,0.0
gofusdt,HUOBI,2020-10-01 00:00:00,1.4906,1.5321,1.431,1.4809,7297296.717213206,0.0
gofusdt,HUOBI,2020-10-02 00:00:00,1.4816,1.4866,1.1244,1.2523,6500825.107158365,0.0
gofusdt,HUOBI,2020-10-03 00:00:00,1.2608,1.3633,1.1712,1.2329,5904097.493554702,0.0
gofusdt,HUOBI,2020-10-04 00:00:00,1.2331,1.25,1.0099,1.0272,5605525.55343286,0.0
gofusdt,HUOBI,2020-10-05 00:00:00,1.0314,1.069,0.9414,1.0435,4946961.153454519,0.0
gofusdt,HUOBI,2020-10-06 00:00:00,1.044,1.11,0.85,0.8733,5154696.006275438,0.0
gofusdt,HUOBI,2020-10-07 00:00:00,0.8733,0.8733,0.6811,0.7132,3879538.77582494,0.0
gofusdt,HUOBI,2020-10-08 00:00:00,0.7136,0.79,0.6607,0.7705,3781661.6528518936,0.0
gofusdt,HUOBI,2020-10-09 00:00:00,0.7646,0.9967,0.7303,0.8969,3598885.7079186775,0.0
gofusdt,HUOBI,2020-10-10 00:00:00,0.8969,0.9948,0.8342,0.8598,3167151.116740219,0.0
gofusdt,HUOBI,2020-10-11 00:00:00,0.8596,0.9663,0.8259,0.8943,3736300.968138241,0.0
gofusdt,HUOBI,2020-10-12 00:00:00,0.8947,0.8971,0.8211,0.8775,3850364.0425273776,0.0
gofusdt,HUOBI,2020-10-13 00:00:00,0.8774,0.8775,0.76,0.8022,3712807.359333963,0.0
gofusdt,HUOBI,2020-10-14 00:00:00,0.8034,0.8034,0.7101,0.7297,3854285.98520706,0.0
gofusdt,HUOBI,2020-10-15 00:00:00,0.7284,0.7799,0.676,0.6965,3547803.4568993244,0.0
gofusdt,HUOBI,2020-10-16 00:00:00,0.693,0.7002,0.5636,0.6404,3329045.722728472,0.0
gofusdt,HUOBI,2020-10-17 00:00:00,0.64,0.6431,0.5709,0.618,3156912.73048365,0.0
gofusdt,HUOBI,2020-10-18 00:00:00,0.6168,0.6488,0.5865,0.629,3004539.400293895,0.0
gofusdt,HUOBI,2020-10-19 00:00:00,0.6352,0.6481,0.5895,0.5993,3364637.592861,0.0
gofusdt,HUOBI,2020-10-20 00:00:00,0.5996,0.871,0.5702,0.6902,5477704.447677742,0.0
gofusdt,HUOBI,2020-10-21 00:00:00,0.6902,0.7648,0.6107,0.6396,4277898.117990965,0.0
gofusdt,HUOBI,2020-10-22 00:00:00,0.6396,0.6776,0.592,0.6277,3312261.1404499374,0.0
gofusdt,HUOBI,2020-10-23 00:00:00,0.6276,0.6312,0.5859,0.6075,3237869.58507453,0.0
gofusdt,HUOBI,2020-10-24 00:00:00,0.6074,0.6297,0.5922,0.599,3081664.2696709,0.0
gofusdt,HUOBI,2020-10-25 00:00:00,0.599,0.613,0.5803,0.6056,3267340.70704393,0.0
gofusdt,HUOBI,2020-10-26 00:00:00,0.6057,0.6443,0.58,0.6167,3274283.01675795,0.0
gofusdt,HUOBI,2020-10-27 00:00:00,0.6174,0.6297,0.5862,0.6033,3395260.16266166,0.0
gofusdt,HUOBI,2020-10-28 00:00:00,0.6036,0.6333,0.5116,0.5372,3310742.4946217933,0.0
gofusdt,HUOBI,2020-10-29 00:00:00,0.537,0.5968,0.532,0.5665,3042743.7683669035,0.0
gofusdt,HUOBI,2020-10-30 00:00:00,0.5658,0.5668,0.4612,0.4996,2982948.9384446554,0.0
gofusdt,HUOBI,2020-10-31 00:00:00,0.4997,0.5263,0.464,0.4894,2272569.96292285,0.0
gofusdt,HUOBI,2020-11-01 00:00:00,0.4892,0.4896,0.45,0.4692,1009295.3924262,0.0
gofusdt,HUOBI,2020-11-02 00:00:00,0.4688,0.4775,0.413,0.4276,1179151.76652814,0.0
gofusdt,HUOBI,2020-11-03 00:00:00,0.4258,0.4261,0.3725,0.3919,1808037.467492,0.0
gofusdt,HUOBI,2020-11-04 00:00:00,0.3919,0.4043,0.3652,0.377,2032604.48821317,0.0
gofusdt,HUOBI,2020-11-05 00:00:00,0.3785,0.42,0.3511,0.3829,2141518.99990765,0.0
gofusdt,HUOBI,2020-11-06 00:00:00,0.383,0.409,0.3318,0.4013,2114844.01983543,0.0
gofusdt,HUOBI,2020-11-07 00:00:00,0.4014,0.4559,0.3824,0.3979,2468007.775133912,0.0
gofusdt,HUOBI,2020-11-08 00:00:00,0.3977,0.5191,0.383,0.515,3174203.664983458,0.0
gofusdt,HUOBI,2020-11-09 00:00:00,0.5152,0.5152,0.4311,0.4356,2672257.9590886203,0.0
gofusdt,HUOBI,2020-11-10 00:00:00,0.437,0.4379,0.3871,0.4243,2333777.91368894,0.0
gofusdt,HUOBI,2020-11-11 00:00:00,0.4234,0.5088,0.4166,0.4709,2606724.107875991,0.0
gofusdt,HUOBI,2020-11-12 00:00:00,0.4711,0.4717,0.42,0.4355,1200554.23285097,0.0
gofusdt,HUOBI,2020-11-13 00:00:00,0.4355,0.492,0.435,0.4819,1419857.836765021,0.0
gofusdt,HUOBI,2020-11-14 00:00:00,0.4817,0.625,0.4744,0.625,2539582.4069418292,0.0
gofusdt,HUOBI,2020-11-15 00:00:00,0.6249,0.9222,0.6249,0.8564,5029430.239057699,0.0
gofusdt,HUOBI,2020-11-16 00:00:00,0.8523,0.8523,0.65,0.7221,3319394.514478783,0.0
gofusdt,HUOBI,2020-11-17 00:00:00,0.7236,0.7257,0.625,0.6473,2193517.129389252,0.0
gofusdt,HUOBI,2020-11-18 00:00:00,0.6473,0.6498,0.5508,0.5764,1806027.5397884855,0.0
gofusdt,HUOBI,2020-11-19 00:00:00,0.5766,0.7373,0.5762,0.6849,2928572.517905109,0.0
gofusdt,HUOBI,2020-11-20 00:00:00,0.6848,0.72,0.6223,0.6897,2417200.3759202487,0.0
gofusdt,HUOBI,2020-11-21 00:00:00,0.6913,0.79,0.67,0.6884,2113181.3055877057,0.0
gofusdt,HUOBI,2020-11-22 00:00:00,0.6879,0.69,0.596,0.644,1375933.7404219648,0.0
gofusdt,HUOBI,2020-11-23 00:00:00,0.6439,0.6645,0.6169,0.6472,1575441.665464656,0.0
gofusdt,HUOBI,2020-11-24 00:00:00,0.6473,0.6901,0.6101,0.6177,1501918.5823260283,0.0
gofusdt,HUOBI,2020-11-25 00:00:00,0.6177,0.618,0.56,0.5912,1077635.29468495,0.0
gofusdt,HUOBI,2020-11-26 00:00:00,0.5917,0.6455,0.4338,0.4566,1079211.9647721609,0.0
gofusdt,HUOBI,2020-11-27 00:00:00,0.4568,0.5301,0.4212,0.4538,756390.6975305623,0.0
