symbol,exchange,datetime,open,high,low,close,volume,open_interest
grtusdt,HUOBI,2020-12-18 00:00:00,0.03,0.286417,0.03,0.255393,58565014.590891585,0.0
grtusdt,HUOBI,2020-12-19 00:00:00,0.255392,0.59,0.208287,0.469018,175796455.58039376,0.0
grtusdt,HUOBI,2020-12-20 00:00:00,0.469027,0.745,0.375,0.6426,189426998.52579594,0.0
grtusdt,HUOBI,2020-12-21 00:00:00,0.643454,0.783391,0.51,0.572999,169530350.885563,0.0
grtusdt,HUOBI,2020-12-22 00:00:00,0.570546,0.606602,0.425,0.553712,103204630.9001326,0.0
grtusdt,HUOBI,2020-12-23 00:00:00,0.553318,0.63,0.450131,0.469484,85793728.63287039,0.0
grtusdt,HUOBI,2020-12-24 00:00:00,0.470729,0.498,0.346103,0.432645,56428119.216217265,0.0
grtusdt,HUOBI,2020-12-25 00:00:00,0.43265,0.439,0.352561,0.359268,22901775.63300533,0.0
grtusdt,HUOBI,2020-12-26 00:00:00,0.358344,0.451573,0.319385,0.45078,28796910.293245725,0.0
grtusdt,HUOBI,2020-12-27 00:00:00,0.450603,0.499556,0.378207,0.426,66042982.290535785,0.0
grtusdt,HUOBI,2020-12-28 00:00:00,0.425724,0.44,0.383249,0.416921,29584700.68395187,0.0
grtusdt,HUOBI,2020-12-29 00:00:00,0.416576,0.424898,0.359,0.361016,15974349.183920646,0.0
grtusdt,HUOBI,2020-12-30 00:00:00,0.36115,0.403938,0.34,0.371206,11391492.948950227,0.0
grtusdt,HUOBI,2020-12-31 00:00:00,0.371387,0.393992,0.342226,0.355575,11697049.461206881,0.0
grtusdt,HUOBI,2021-01-01 00:00:00,0.355513,0.378828,0.341266,0.362718,9737563.383012276,0.0
grtusdt,HUOBI,2021-01-02 00:00:00,0.363,0.376492,0.32888,0.340379,5170247.651348455,0.0
grtusdt,HUOBI,2021-01-03 00:00:00,0.340319,0.346499,0.281614,0.310751,13678651.194267822,0.0
grtusdt,HUOBI,2021-01-04 00:00:00,0.3109,0.350967,0.291035,0.307055,16918316.904099613,0.0
grtusdt,HUOBI,2021-01-05 00:00:00,0.30717,0.319771,0.285172,0.310566,7167790.689829634,0.0
grtusdt,HUOBI,2021-01-06 00:00:00,0.310569,0.396666,0.306,0.363855,24309918.48249876,0.0
grtusdt,HUOBI,2021-01-07 00:00:00,0.364144,0.4153,0.344792,0.380821,18378134.834968105,0.0
grtusdt,HUOBI,2021-01-08 00:00:00,0.38099,0.389695,0.307782,0.331543,13012581.757258384,0.0
grtusdt,HUOBI,2021-01-09 00:00:00,0.331572,0.365,0.313568,0.35525,9373436.178773444,0.0
grtusdt,HUOBI,2021-01-10 00:00:00,0.355428,0.376487,0.3268,0.340704,9453883.250701662,0.0
grtusdt,HUOBI,2021-01-11 00:00:00,0.340501,0.344711,0.263063,0.264036,10483025.216808187,0.0
grtusdt,HUOBI,2021-01-12 00:00:00,0.263881,0.309903,0.233209,0.278562,7217752.229723657,0.0
grtusdt,HUOBI,2021-01-13 00:00:00,0.278988,0.311756,0.267505,0.311322,5166157.636536066,0.0
grtusdt,HUOBI,2021-01-14 00:00:00,0.311755,0.362166,0.308062,0.345899,8460343.208236305,0.0
grtusdt,HUOBI,2021-01-15 00:00:00,0.346742,0.394987,0.315893,0.332531,9934678.964836324,0.0
grtusdt,HUOBI,2021-01-16 00:00:00,0.331501,0.45,0.31,0.420148,24226308.098195236,0.0
grtusdt,HUOBI,2021-01-17 00:00:00,0.419591,0.486797,0.400937,0.472637,24739975.106737826,0.0
grtusdt,HUOBI,2021-01-18 00:00:00,0.473,0.664756,0.46498,0.647648,45017989.05728188,0.0
grtusdt,HUOBI,2021-01-19 00:00:00,0.645729,0.65,0.523279,0.587917,26691826.153564084,0.0
grtusdt,HUOBI,2021-01-20 00:00:00,0.588383,0.591276,0.477154,0.496489,14321446.529016335,0.0
grtusdt,HUOBI,2021-01-21 00:00:00,0.496616,0.559999,0.462234,0.470302,15226813.515716938,0.0
grtusdt,HUOBI,2021-01-22 00:00:00,0.47002,0.549698,0.401476,0.532689,16644535.403895479,0.0
grtusdt,HUOBI,2021-01-23 00:00:00,0.53238,0.555032,0.490686,0.521478,13539521.425118163,0.0
grtusdt,HUOBI,2021-01-24 00:00:00,0.520575,0.59356,0.5175,0.555345,16607867.935124567,0.0
grtusdt,HUOBI,2021-01-25 00:00:00,0.555559,0.595293,0.51766,0.560872,13477053.18619586,0.0
grtusdt,HUOBI,2021-01-26 00:00:00,0.562292,0.565217,0.48,0.503761,8140717.954526189,0.0
grtusdt,HUOBI,2021-01-27 00:00:00,0.504067,0.546115,0.452846,0.485096,7650417.137509068,0.0
grtusdt,HUOBI,2021-01-28 00:00:00,0.484101,0.5732,0.467971,0.558501,12324238.947646005,0.0
grtusdt,HUOBI,2021-01-29 00:00:00,0.559,0.662998,0.5253,0.548,22597319.000582322,0.0
grtusdt,HUOBI,2021-01-30 00:00:00,0.547544,0.645216,0.532,0.622072,15173194.989292154,0.0
grtusdt,HUOBI,2021-01-31 00:00:00,0.621434,0.75666,0.599252,0.7,38899751.45299991,0.0
grtusdt,HUOBI,2021-02-01 00:00:00,0.700768,0.884001,0.680163,0.779906,43589678.105652735,0.0
grtusdt,HUOBI,2021-02-02 00:00:00,0.779906,0.8301,0.72301,0.788541,18894419.01253538,0.0
grtusdt,HUOBI,2021-02-03 00:00:00,0.78832,0.806867,0.725102,0.777136,11588875.292731117,0.0
grtusdt,HUOBI,2021-02-04 00:00:00,0.775419,0.867866,0.758,0.780003,15349383.06984907,0.0
grtusdt,HUOBI,2021-02-05 00:00:00,0.780544,0.96525,0.777,0.962798,20988571.435736325,0.0
grtusdt,HUOBI,2021-02-06 00:00:00,0.964,1.049115,0.832747,0.844375,21723584.01633569,0.0
grtusdt,HUOBI,2021-02-07 00:00:00,0.845086,0.957698,0.779014,0.901119,17957088.007605743,0.0
grtusdt,HUOBI,2021-02-08 00:00:00,0.902508,1.045,0.843682,1.010489,26275339.99218431,0.0
grtusdt,HUOBI,2021-02-09 00:00:00,1.01049,1.0262,0.940909,0.980067,12531741.309735471,0.0
grtusdt,HUOBI,2021-02-10 00:00:00,0.979934,1.157485,0.957362,1.028153,32309403.565020867,0.0
grtusdt,HUOBI,2021-02-11 00:00:00,1.028714,1.835357,1.008476,1.806046,102127194.21534245,0.0
grtusdt,HUOBI,2021-02-12 00:00:00,1.804,2.882675,1.75,2.683572,247010485.46974525,0.0
grtusdt,HUOBI,2021-02-13 00:00:00,2.683573,2.759262,2.1,2.412298,124110141.25076427,0.0
