symbol,exchange,datetime,open,high,low,close,volume,open_interest
gtusdt,HUOBI,2019-07-24 00:00:00,0.34,0.8899,0.34,0.8647,2332423.8397730966,0.0
gtusdt,HUOBI,2019-07-25 00:00:00,0.8649,0.8665,0.8327,0.8499,846414.6420316544,0.0
gtusdt,HUOBI,2019-07-26 00:00:00,0.8499,0.8813,0.8242,0.8677,772088.7590369611,0.0
gtusdt,HUOBI,2019-07-27 00:00:00,0.8677,0.9188,0.8459,0.8615,957003.23758885,0.0
gtusdt,HUOBI,2019-07-28 00:00:00,0.8623,0.8855,0.852,0.8852,378945.58253858,0.0
gtusdt,HUOBI,2019-07-29 00:00:00,0.8852,0.8876,0.8579,0.8801,208274.93372157,0.0
gtusdt,HUOBI,2019-07-30 00:00:00,0.8799,0.8839,0.8645,0.8806,139727.01080936,0.0
gtusdt,HUOBI,2019-07-31 00:00:00,0.8806,0.886,0.858,0.8762,296194.1357881304,0.0
gtusdt,HUOBI,2019-08-01 00:00:00,0.8762,0.8791,0.8605,0.8702,106602.56189565,0.0
gtusdt,HUOBI,2019-08-02 00:00:00,0.87,0.904,0.8685,0.8907,285510.20553581,0.0
gtusdt,HUOBI,2019-08-03 00:00:00,0.8909,0.939,0.8804,0.9192,677188.5077707325,0.0
gtusdt,HUOBI,2019-08-04 00:00:00,0.9196,0.93,0.8889,0.9085,423405.35716733,0.0
gtusdt,HUOBI,2019-08-05 00:00:00,0.9082,0.9268,0.8892,0.9019,244783.1333978,0.0
gtusdt,HUOBI,2019-08-06 00:00:00,0.9024,0.9188,0.8985,0.9054,316841.71162716,0.0
gtusdt,HUOBI,2019-08-07 00:00:00,0.9054,0.9118,0.8863,0.8928,263109.225062,0.0
gtusdt,HUOBI,2019-08-08 00:00:00,0.893,0.922,0.8928,0.9022,481724.0198633,0.0
gtusdt,HUOBI,2019-08-09 00:00:00,0.9023,1.01,0.9002,0.9701,1832729.1384617449,0.0
gtusdt,HUOBI,2019-08-10 00:00:00,0.9705,0.991,0.9426,0.9524,1310299.590234152,0.0
gtusdt,HUOBI,2019-08-11 00:00:00,0.9526,0.9747,0.9439,0.9653,491504.01085873,0.0
gtusdt,HUOBI,2019-08-12 00:00:00,0.9655,0.9871,0.9569,0.9789,566198.708927069,0.0
gtusdt,HUOBI,2019-08-13 00:00:00,0.9794,0.985,0.9409,0.953,1323188.67525391,0.0
gtusdt,HUOBI,2019-08-14 00:00:00,0.9529,0.966,0.9399,0.9489,1217129.4966755367,0.0
gtusdt,HUOBI,2019-08-15 00:00:00,0.9488,0.9507,0.801,0.8699,1432211.1951858688,0.0
gtusdt,HUOBI,2019-08-16 00:00:00,0.8699,0.8897,0.842,0.8671,651569.0014393171,0.0
gtusdt,HUOBI,2019-08-17 00:00:00,0.8673,0.8793,0.8564,0.8705,496716.19907142,0.0
gtusdt,HUOBI,2019-08-18 00:00:00,0.8704,0.8775,0.8591,0.8688,486418.66426908,0.0
gtusdt,HUOBI,2019-08-19 00:00:00,0.8689,0.8808,0.8608,0.8703,463903.884238,0.0
