symbol,exchange,datetime,open,high,low,close,volume,open_interest
gxcusdt,HUOBI,2018-11-16 00:00:00,1.0261,1.26,1.0261,1.1472,464557.2783042393,0.0
gxcusdt,HUOBI,2018-11-17 00:00:00,1.1496,1.1598,1.06,1.1024,588616.8295995104,0.0
gxcusdt,HUOBI,2018-11-18 00:00:00,1.1027,1.12,1.0731,1.1028,366489.61501472,0.0
gxcusdt,HUOBI,2018-11-19 00:00:00,1.0926,1.1173,0.9583,0.9724,170925.50649632784,0.0
gxcusdt,HUOBI,2018-11-20 00:00:00,0.9724,0.9835,0.79,0.9221,240522.61517673,0.0
gxcusdt,HUOBI,2018-11-21 00:00:00,0.9223,0.925,0.8069,0.8848,207786.44193753385,0.0
gxcusdt,HUOBI,2018-11-22 00:00:00,0.8852,0.8946,0.8301,0.8532,501152.12899347453,0.0
gxcusdt,HUOBI,2018-11-23 00:00:00,0.8525,0.8627,0.79,0.8205,509073.1106568945,0.0
gxcusdt,HUOBI,2018-11-24 00:00:00,0.8203,0.8606,0.8007,0.8294,297197.60120772856,0.0
gxcusdt,HUOBI,2018-11-25 00:00:00,0.8308,0.8308,0.6588,0.6984,263492.68978852,0.0
gxcusdt,HUOBI,2018-11-26 00:00:00,0.7041,0.7475,0.6522,0.6602,997109.77337611,0.0
gxcusdt,HUOBI,2018-11-27 00:00:00,0.6588,0.6796,0.6,0.6393,369589.23835719033,0.0
gxcusdt,HUOBI,2018-11-28 00:00:00,0.6393,0.7152,0.6312,0.7132,587107.45720701,0.0
gxcusdt,HUOBI,2018-11-29 00:00:00,0.7123,0.7593,0.6797,0.7121,523522.92605239316,0.0
gxcusdt,HUOBI,2018-11-30 00:00:00,0.7122,0.734,0.667,0.6783,479774.19299913,0.0
gxcusdt,HUOBI,2018-12-01 00:00:00,0.6778,0.76,0.6754,0.739,808746.03482571,0.0
gxcusdt,HUOBI,2018-12-02 00:00:00,0.7394,0.7677,0.72,0.7337,768680.06070834,0.0
gxcusdt,HUOBI,2018-12-03 00:00:00,0.7366,0.752,0.6814,0.6814,417907.36268417875,0.0
gxcusdt,HUOBI,2018-12-04 00:00:00,0.6816,0.7,0.6601,0.6905,165761.59431855,0.0
gxcusdt,HUOBI,2018-12-05 00:00:00,0.6905,0.6907,0.621,0.6261,167957.23071849,0.0
gxcusdt,HUOBI,2018-12-06 00:00:00,0.6258,0.6477,0.5702,0.5797,200755.50587832,0.0
gxcusdt,HUOBI,2018-12-07 00:00:00,0.5788,0.587,0.495,0.5047,129140.53718167427,0.0
gxcusdt,HUOBI,2018-12-08 00:00:00,0.5043,0.54,0.4801,0.5058,81307.0663985,0.0
gxcusdt,HUOBI,2018-12-09 00:00:00,0.506,0.535,0.4894,0.5316,49529.86112125221,0.0
gxcusdt,HUOBI,2018-12-10 00:00:00,0.5296,0.535,0.4976,0.4976,125217.75304627052,0.0
gxcusdt,HUOBI,2018-12-11 00:00:00,0.4977,0.5158,0.4841,0.4909,42020.47909633,0.0
gxcusdt,HUOBI,2018-12-12 00:00:00,0.4909,0.52,0.4802,0.5037,43952.13478881,0.0
gxcusdt,HUOBI,2018-12-13 00:00:00,0.5036,0.512,0.47,0.5013,49335.41666219,0.0
gxcusdt,HUOBI,2018-12-14 00:00:00,0.502,0.5062,0.4701,0.4786,42662.31583414,0.0
gxcusdt,HUOBI,2018-12-15 00:00:00,0.4807,0.4885,0.4505,0.4555,38089.61683949,0.0
gxcusdt,HUOBI,2018-12-16 00:00:00,0.4564,0.4748,0.4523,0.4636,27474.58373516,0.0
gxcusdt,HUOBI,2018-12-17 00:00:00,0.4635,0.4797,0.4553,0.4782,52290.17133233,0.0
gxcusdt,HUOBI,2018-12-18 00:00:00,0.4782,0.5096,0.4782,0.494,94076.23153929,0.0
gxcusdt,HUOBI,2018-12-19 00:00:00,0.4947,0.55,0.493,0.5151,107632.18333244,0.0
gxcusdt,HUOBI,2018-12-20 00:00:00,0.5147,0.5583,0.503,0.542,125334.30786175,0.0
gxcusdt,HUOBI,2018-12-21 00:00:00,0.5417,0.5779,0.521,0.5541,94927.99419534,0.0
gxcusdt,HUOBI,2018-12-22 00:00:00,0.5506,0.576,0.53,0.5568,71685.88156864,0.0
gxcusdt,HUOBI,2018-12-23 00:00:00,0.56,0.6155,0.5465,0.579,145866.45641819324,0.0
gxcusdt,HUOBI,2018-12-24 00:00:00,0.579,0.65,0.5716,0.5939,168473.94793632888,0.0
gxcusdt,HUOBI,2018-12-25 00:00:00,0.5819,0.6959,0.505,0.51,528350.4549435523,0.0
gxcusdt,HUOBI,2018-12-26 00:00:00,0.5093,0.5549,0.5058,0.5173,84822.87623856,0.0
gxcusdt,HUOBI,2018-12-27 00:00:00,0.5153,0.5933,0.5085,0.5172,174520.76534574563,0.0
gxcusdt,HUOBI,2018-12-28 00:00:00,0.521,0.5339,0.485,0.5294,57877.34230753,0.0
gxcusdt,HUOBI,2018-12-29 00:00:00,0.5294,0.5433,0.51,0.5255,75311.38579647,0.0
