symbol,exchange,datetime,open,high,low,close,volume,open_interest
hcusdt,HUOBI,2017-12-22 00:00:00,23.01,40.0,21.11,24.89,13778925.047698535,0.0
hcusdt,HUOBI,2017-12-23 00:00:00,24.89,29.89,23.37,29.26,19059398.22440511,0.0
hcusdt,HUOBI,2017-12-24 00:00:00,29.26,29.45,21.5,24.1,13528749.703798424,0.0
hcusdt,HUOBI,2017-12-25 00:00:00,23.71,29.51,22.7,26.87,9372265.986923309,0.0
hcusdt,HUOBI,2017-12-26 00:00:00,26.66,29.45,26.13,27.2,6269694.293955625,0.0
hcusdt,HUOBI,2017-12-27 00:00:00,27.1,29.0,26.0,27.97,5374835.962860546,0.0
hcusdt,HUOBI,2017-12-28 00:00:00,27.82,31.88,23.6,25.7,15104491.406910043,0.0
hcusdt,HUOBI,2017-12-29 00:00:00,25.6,28.41,24.76,27.53,6560264.503244544,0.0
hcusdt,HUOBI,2017-12-30 00:00:00,27.54,28.33,20.5,22.14,9066427.26920202,0.0
hcusdt,HUOBI,2017-12-31 00:00:00,22.14,32.6,20.95,26.38,18122907.18343983,0.0
hcusdt,HUOBI,2018-01-01 00:00:00,26.25,30.88,23.8,25.02,31479136.274247125,0.0
hcusdt,HUOBI,2018-01-02 00:00:00,25.01,27.5,24.63,25.58,12455770.329847261,0.0
hcusdt,HUOBI,2018-01-03 00:00:00,25.62,26.1,23.35,25.31,18830916.57992247,0.0
hcusdt,HUOBI,2018-01-04 00:00:00,25.25,26.0,23.5,25.07,18575589.883178033,0.0
hcusdt,HUOBI,2018-01-05 00:00:00,25.04,25.49,23.2,23.75,15602660.074032538,0.0
hcusdt,HUOBI,2018-01-06 00:00:00,23.75,24.48,21.82,22.84,19456711.9644048,0.0
hcusdt,HUOBI,2018-01-07 00:00:00,22.84,25.44,22.37,23.27,19406803.686500866,0.0
hcusdt,HUOBI,2018-01-08 00:00:00,23.28,23.5,17.4,19.33,17176863.306944802,0.0
hcusdt,HUOBI,2018-01-09 00:00:00,19.33,23.0,18.7,22.17,21631788.307887122,0.0
hcusdt,HUOBI,2018-01-10 00:00:00,22.17,22.34,17.91,19.61,13828523.017130552,0.0
hcusdt,HUOBI,2018-01-11 00:00:00,19.62,20.04,15.56,18.29,13553708.447006032,0.0
hcusdt,HUOBI,2018-01-12 00:00:00,18.28,19.98,16.1,17.52,12017082.810411897,0.0
hcusdt,HUOBI,2018-01-13 00:00:00,17.56,18.98,17.2,18.97,11487919.34212297,0.0
hcusdt,HUOBI,2018-01-14 00:00:00,18.91,22.52,16.8,17.29,22658855.159747183,0.0
hcusdt,HUOBI,2018-01-15 00:00:00,17.28,18.66,16.14,17.6,15211899.132792711,0.0
hcusdt,HUOBI,2018-01-16 00:00:00,17.56,18.0,10.1,13.08,22230169.10262241,0.0
hcusdt,HUOBI,2018-01-17 00:00:00,13.07,13.08,8.3,8.76,15196414.122917978,0.0
hcusdt,HUOBI,2018-01-18 00:00:00,8.76,12.29,8.73,11.65,16506733.920233317,0.0
hcusdt,HUOBI,2018-01-19 00:00:00,11.65,13.96,10.0,12.79,15705633.457631582,0.0
hcusdt,HUOBI,2018-01-20 00:00:00,12.79,14.52,12.41,14.04,13754547.837915635,0.0
hcusdt,HUOBI,2018-01-21 00:00:00,14.03,14.86,11.87,12.07,11283857.556007495,0.0
hcusdt,HUOBI,2018-01-22 00:00:00,12.06,12.8,10.55,10.65,8263325.041601602,0.0
