symbol,exchange,datetime,open,high,low,close,volume,open_interest
hiveusdt,HUOBI,2020-04-24 00:00:00,0.1989,0.3594,0.161,0.32,15656063.450449768,0.0
hiveusdt,HUOBI,2020-04-25 00:00:00,0.3235,0.63,0.3202,0.5434,33441698.188551698,0.0
hiveusdt,HUOBI,2020-04-26 00:00:00,0.5434,1.0,0.47,0.76,94692617.03116657,0.0
hiveusdt,HUOBI,2020-04-27 00:00:00,0.76,0.9778,0.6208,0.6933,69069564.31853773,0.0
hiveusdt,HUOBI,2020-04-28 00:00:00,0.6934,0.75,0.4404,0.526,37271951.66676494,0.0
hiveusdt,HUOBI,2020-04-29 00:00:00,0.5259,0.526,0.396,0.464,30401490.25889825,0.0
hiveusdt,HUOBI,2020-04-30 00:00:00,0.4641,0.495,0.4157,0.4313,19303902.01652701,0.0
hiveusdt,HUOBI,2020-05-01 00:00:00,0.4309,0.4568,0.39,0.4038,8209441.6323969355,0.0
hiveusdt,HUOBI,2020-05-02 00:00:00,0.4047,0.406,0.3601,0.3657,6239558.426465986,0.0
hiveusdt,HUOBI,2020-05-03 00:00:00,0.366,0.366,0.3066,0.3085,7212963.973650545,0.0
hiveusdt,HUOBI,2020-05-04 00:00:00,0.3085,0.444,0.3001,0.44,34231918.263076626,0.0
hiveusdt,HUOBI,2020-05-05 00:00:00,0.4399,0.478,0.3865,0.4358,24518324.556764327,0.0
hiveusdt,HUOBI,2020-05-06 00:00:00,0.4357,0.4459,0.386,0.3989,8145008.88206042,0.0
hiveusdt,HUOBI,2020-05-07 00:00:00,0.3999,0.403,0.35,0.3556,6688961.40979461,0.0
hiveusdt,HUOBI,2020-05-08 00:00:00,0.3556,0.3928,0.3556,0.3846,7918361.064788784,0.0
hiveusdt,HUOBI,2020-05-09 00:00:00,0.3846,0.397,0.36,0.3695,4456395.190479819,0.0
hiveusdt,HUOBI,2020-05-10 00:00:00,0.369,0.3707,0.31,0.3271,4342983.213032786,0.0
hiveusdt,HUOBI,2020-05-11 00:00:00,0.3273,0.3594,0.2902,0.3395,6836413.984652937,0.0
hiveusdt,HUOBI,2020-05-12 00:00:00,0.3391,0.3481,0.3112,0.3363,2942443.2768290644,0.0
hiveusdt,HUOBI,2020-05-13 00:00:00,0.3358,0.3373,0.3205,0.327,1762803.5745907838,0.0
hiveusdt,HUOBI,2020-05-14 00:00:00,0.327,0.3276,0.3178,0.3183,1793360.782534544,0.0
hiveusdt,HUOBI,2020-05-15 00:00:00,0.3186,0.34,0.3186,0.3285,3849370.774597323,0.0
hiveusdt,HUOBI,2020-05-16 00:00:00,0.328,0.3285,0.3085,0.3158,1676171.3689512727,0.0
hiveusdt,HUOBI,2020-05-17 00:00:00,0.3158,0.3247,0.3041,0.3173,2058501.9267770946,0.0
hiveusdt,HUOBI,2020-05-18 00:00:00,0.3171,0.359,0.3096,0.3273,5751746.021691679,0.0
hiveusdt,HUOBI,2020-05-19 00:00:00,0.3278,0.35,0.315,0.3188,5060668.461673125,0.0
hiveusdt,HUOBI,2020-05-20 00:00:00,0.3193,0.3398,0.312,0.315,5744508.481105819,0.0
hiveusdt,HUOBI,2020-05-21 00:00:00,0.315,0.3313,0.2862,0.3023,3335533.8083168454,0.0
hiveusdt,HUOBI,2020-05-22 00:00:00,0.3022,0.3079,0.2873,0.3047,2502341.977673831,0.0
hiveusdt,HUOBI,2020-05-23 00:00:00,0.3046,0.3049,0.2908,0.2963,1575838.7640974892,0.0
hiveusdt,HUOBI,2020-05-24 00:00:00,0.2964,0.2999,0.289,0.2912,1196985.8061491563,0.0
hiveusdt,HUOBI,2020-05-25 00:00:00,0.2914,0.2914,0.2596,0.2713,2337925.8480389016,0.0
hiveusdt,HUOBI,2020-05-26 00:00:00,0.2714,0.2984,0.2685,0.274,3697136.8301348602,0.0
hiveusdt,HUOBI,2020-05-27 00:00:00,0.274,0.2847,0.267,0.2809,1835897.121195447,0.0
hiveusdt,HUOBI,2020-05-28 00:00:00,0.2805,0.2805,0.2701,0.2758,1013874.2184351349,0.0
hiveusdt,HUOBI,2020-05-29 00:00:00,0.2762,0.2765,0.2672,0.2699,1264066.8430748603,0.0
hiveusdt,HUOBI,2020-05-30 00:00:00,0.2701,0.2737,0.259,0.2669,1467468.979032572,0.0
hiveusdt,HUOBI,2020-05-31 00:00:00,0.2669,0.2675,0.2516,0.2558,2012910.0728567136,0.0
hiveusdt,HUOBI,2020-06-01 00:00:00,0.2558,0.2558,0.233,0.2468,1845089.7762155896,0.0
hiveusdt,HUOBI,2020-06-02 00:00:00,0.2468,0.2737,0.236,0.246,5627005.867951493,0.0
hiveusdt,HUOBI,2020-06-03 00:00:00,0.246,0.255,0.2385,0.2542,1406391.7895337164,0.0
hiveusdt,HUOBI,2020-06-04 00:00:00,0.2542,0.2628,0.2435,0.2584,1948820.660196145,0.0
hiveusdt,HUOBI,2020-06-05 00:00:00,0.2584,0.27,0.2512,0.2639,2710370.187486523,0.0
hiveusdt,HUOBI,2020-06-06 00:00:00,0.2638,0.2658,0.2501,0.2523,1340551.9963866037,0.0
hiveusdt,HUOBI,2020-06-07 00:00:00,0.2529,0.26,0.2467,0.2483,1357598.3372236306,0.0
hiveusdt,HUOBI,2020-06-08 00:00:00,0.248,0.2536,0.2468,0.2526,650544.8297338156,0.0
hiveusdt,HUOBI,2020-06-09 00:00:00,0.2524,0.255,0.249,0.251,799241.7768355737,0.0
hiveusdt,HUOBI,2020-06-10 00:00:00,0.2513,0.2538,0.2464,0.2484,826378.0822975122,0.0
hiveusdt,HUOBI,2020-06-11 00:00:00,0.2484,0.262,0.2444,0.2533,1976446.155473996,0.0
hiveusdt,HUOBI,2020-06-12 00:00:00,0.2531,0.26,0.24,0.2499,1670198.7488349848,0.0
hiveusdt,HUOBI,2020-06-13 00:00:00,0.2499,0.258,0.2486,0.2545,870414.640307804,0.0
hiveusdt,HUOBI,2020-06-14 00:00:00,0.2543,0.2795,0.2521,0.2669,3534747.4341913094,0.0
hiveusdt,HUOBI,2020-06-15 00:00:00,0.2669,0.2699,0.2404,0.2505,2102352.415389279,0.0
hiveusdt,HUOBI,2020-06-16 00:00:00,0.2505,0.255,0.2465,0.254,967485.4882893075,0.0
hiveusdt,HUOBI,2020-06-17 00:00:00,0.2538,0.2603,0.2494,0.2508,1374670.2926942313,0.0
hiveusdt,HUOBI,2020-06-18 00:00:00,0.2508,0.2526,0.2446,0.2452,1243649.2629627169,0.0
hiveusdt,HUOBI,2020-06-19 00:00:00,0.2452,0.2486,0.2401,0.2423,1004414.810477934,0.0
hiveusdt,HUOBI,2020-06-20 00:00:00,0.2424,0.2525,0.24,0.2469,1444135.1122423015,0.0
hiveusdt,HUOBI,2020-06-21 00:00:00,0.247,0.2563,0.246,0.249,984186.1710848031,0.0
hiveusdt,HUOBI,2020-06-22 00:00:00,0.2492,0.2513,0.2452,0.249,540442.0468144984,0.0
hiveusdt,HUOBI,2020-06-23 00:00:00,0.249,0.2509,0.245,0.2496,680500.61122859,0.0
hiveusdt,HUOBI,2020-06-24 00:00:00,0.2496,0.2529,0.2379,0.24,1256406.0953477921,0.0
hiveusdt,HUOBI,2020-06-25 00:00:00,0.2399,0.2479,0.226,0.2345,1076648.3411438041,0.0
hiveusdt,HUOBI,2020-06-26 00:00:00,0.2345,0.24,0.2192,0.2233,969445.7299642375,0.0
