symbol,exchange,datetime,open,high,low,close,volume,open_interest
hotusdt,HUOBI,2020-08-28 00:00:00,0.008551,0.0148,0.008551,0.010864,3340090.5668069758,0.0
hotusdt,HUOBI,2020-08-29 00:00:00,0.010934,0.012,0.010002,0.011733,804682.2675302862,0.0
hotusdt,HUOBI,2020-08-30 00:00:00,0.011734,0.011872,0.0105,0.010746,388453.29270173,0.0
hotusdt,HUOBI,2020-08-31 00:00:00,0.010855,0.011228,0.01044,0.01076,297799.96150529245,0.0
hotusdt,HUOBI,2020-09-01 00:00:00,0.010669,0.010868,0.00983,0.010278,266814.65946038655,0.0
hotusdt,HUOBI,2020-09-02 00:00:00,0.010228,0.0103,0.008692,0.009059,298636.7232381329,0.0
hotusdt,HUOBI,2020-09-03 00:00:00,0.009032,0.009464,0.008038,0.008116,135825.51880356,0.0
hotusdt,HUOBI,2020-09-04 00:00:00,0.008115,0.008312,0.006341,0.006497,153046.10842007,0.0
hotusdt,HUOBI,2020-09-05 00:00:00,0.00647,0.007444,0.00565,0.005675,167185.70496994,0.0
hotusdt,HUOBI,2020-09-06 00:00:00,0.005679,0.005999,0.004592,0.005423,193724.64356472093,0.0
hotusdt,HUOBI,2020-09-07 00:00:00,0.005439,0.0061,0.005057,0.005629,218904.82503913835,0.0
hotusdt,HUOBI,2020-09-08 00:00:00,0.005578,0.005892,0.00517,0.005486,144003.75758494,0.0
hotusdt,HUOBI,2020-09-09 00:00:00,0.005489,0.0086,0.005489,0.007208,1636658.5638744992,0.0
hotusdt,HUOBI,2020-09-10 00:00:00,0.007127,0.01,0.006908,0.009399,2117795.1814296055,0.0
hotusdt,HUOBI,2020-09-11 00:00:00,0.009399,0.0095,0.007502,0.007825,520597.98803021136,0.0
hotusdt,HUOBI,2020-09-12 00:00:00,0.007873,0.007897,0.0069,0.007301,356439.8195129276,0.0
hotusdt,HUOBI,2020-09-13 00:00:00,0.007301,0.008499,0.006752,0.007101,439102.95555571,0.0
hotusdt,HUOBI,2020-09-14 00:00:00,0.0071,0.007698,0.006851,0.007576,271300.50615574,0.0
hotusdt,HUOBI,2020-09-15 00:00:00,0.007578,0.009,0.006779,0.007143,865646.2315779685,0.0
hotusdt,HUOBI,2020-09-16 00:00:00,0.007112,0.007889,0.006009,0.006484,478321.28608711,0.0
hotusdt,HUOBI,2020-09-17 00:00:00,0.00652,0.007262,0.006,0.006417,301721.60577597,0.0
hotusdt,HUOBI,2020-09-18 00:00:00,0.006417,0.006655,0.006053,0.006177,135375.51715028,0.0
hotusdt,HUOBI,2020-09-19 00:00:00,0.006136,0.006222,0.005387,0.005812,159791.5888300259,0.0
hotusdt,HUOBI,2020-09-20 00:00:00,0.005801,0.007041,0.005657,0.005892,274002.56103563,0.0
hotusdt,HUOBI,2020-09-21 00:00:00,0.005868,0.00637,0.0055,0.005529,177405.7314595,0.0
hotusdt,HUOBI,2020-09-22 00:00:00,0.00554,0.006014,0.005035,0.005256,117343.71471416,0.0
hotusdt,HUOBI,2020-09-23 00:00:00,0.005255,0.00569,0.00509,0.005228,86391.55381483,0.0
hotusdt,HUOBI,2020-09-24 00:00:00,0.005234,0.0053,0.005,0.005265,91593.95549188,0.0
hotusdt,HUOBI,2020-09-25 00:00:00,0.005273,0.00565,0.005155,0.005463,117861.34497681702,0.0
hotusdt,HUOBI,2020-09-26 00:00:00,0.005464,0.006193,0.005386,0.005926,253785.73482774,0.0
hotusdt,HUOBI,2020-09-27 00:00:00,0.00593,0.005971,0.005451,0.005554,156674.54033203,0.0
