symbol,exchange,datetime,open,high,low,close,volume,open_interest
htusdt,HUOBI,2018-02-01 00:00:00,1.001,2.98,1.0,1.7197,130474167.28215754,0.0
htusdt,HUOBI,2018-02-02 00:00:00,1.7107,1.7397,1.33,1.5074,65160334.12059712,0.0
htusdt,HUOBI,2018-02-03 00:00:00,1.5035,1.599,1.3,1.4971,44158783.468198806,0.0
htusdt,HUOBI,2018-02-04 00:00:00,1.4957,1.524,1.3492,1.3534,48330353.32368468,0.0
htusdt,HUOBI,2018-02-05 00:00:00,1.3539,1.4697,1.2,1.2291,54260665.245952144,0.0
htusdt,HUOBI,2018-02-06 00:00:00,1.2291,1.2598,1.1188,1.2313,77953321.92443195,0.0
htusdt,HUOBI,2018-02-07 00:00:00,1.2329,1.3898,1.2125,1.3699,47703928.11075018,0.0
htusdt,HUOBI,2018-02-08 00:00:00,1.3688,1.492,1.2813,1.4545,50811033.905437075,0.0
htusdt,HUOBI,2018-02-09 00:00:00,1.4556,1.58,1.3811,1.5279,80122146.64544384,0.0
htusdt,HUOBI,2018-02-10 00:00:00,1.5279,1.5915,1.47,1.4842,78418822.09261526,0.0
htusdt,HUOBI,2018-02-11 00:00:00,1.484,1.6009,1.44,1.5795,45826645.743482746,0.0
htusdt,HUOBI,2018-02-12 00:00:00,1.5795,1.5888,1.535,1.5725,47175919.819914915,0.0
htusdt,HUOBI,2018-02-13 00:00:00,1.5748,1.972,1.5551,1.95,64543614.61573698,0.0
htusdt,HUOBI,2018-02-14 00:00:00,1.95,2.7145,1.899,2.5212,180042235.74875888,0.0
htusdt,HUOBI,2018-02-15 00:00:00,2.5228,2.839,2.33,2.405,157585671.93303466,0.0
htusdt,HUOBI,2018-02-16 00:00:00,2.4047,2.5299,2.2422,2.4263,95315465.95329617,0.0
htusdt,HUOBI,2018-02-17 00:00:00,2.4189,2.6399,2.406,2.4787,63724597.841713406,0.0
htusdt,HUOBI,2018-02-18 00:00:00,2.4765,2.567,2.28,2.3788,58852712.95092603,0.0
htusdt,HUOBI,2018-02-19 00:00:00,2.3804,2.5985,2.3305,2.549,48608280.31717309,0.0
htusdt,HUOBI,2018-02-20 00:00:00,2.5513,2.6888,2.47,2.5772,58941672.09308071,0.0
htusdt,HUOBI,2018-02-21 00:00:00,2.5784,2.6498,2.2999,2.3475,68584284.54252556,0.0
htusdt,HUOBI,2018-02-22 00:00:00,2.3476,2.49,2.1111,2.2,80181090.05784938,0.0
htusdt,HUOBI,2018-02-23 00:00:00,2.2,2.3263,2.031,2.2899,74339390.46280396,0.0
htusdt,HUOBI,2018-02-24 00:00:00,2.29,2.3966,2.18,2.2593,64744388.792815834,0.0
htusdt,HUOBI,2018-02-25 00:00:00,2.2583,2.3292,2.15,2.1871,50101087.40466167,0.0
htusdt,HUOBI,2018-02-26 00:00:00,2.187,2.33,2.16,2.3093,40214655.28378767,0.0
htusdt,HUOBI,2018-02-27 00:00:00,2.31,2.6494,2.27,2.5336,92328441.80504487,0.0
htusdt,HUOBI,2018-02-28 00:00:00,2.5336,2.6164,2.2727,2.3034,99840401.5212444,0.0
htusdt,HUOBI,2018-03-01 00:00:00,2.303,2.3288,2.0888,2.2241,68571554.80286025,0.0
htusdt,HUOBI,2018-03-02 00:00:00,2.2246,2.35,2.079,2.1812,67605621.79651932,0.0
htusdt,HUOBI,2018-03-03 00:00:00,2.1812,2.2332,2.1366,2.1828,30876888.18536931,0.0
htusdt,HUOBI,2018-03-04 00:00:00,2.1825,2.2152,2.1393,2.1707,33901013.76426795,0.0
htusdt,HUOBI,2018-03-05 00:00:00,2.1707,2.2911,2.1688,2.2613,39101220.925887935,0.0
htusdt,HUOBI,2018-03-06 00:00:00,2.2613,2.3038,2.06,2.1129,51283495.032455176,0.0
htusdt,HUOBI,2018-03-07 00:00:00,2.1154,2.1466,1.9181,1.9472,49094640.404716,0.0
htusdt,HUOBI,2018-03-08 00:00:00,1.9473,1.9542,1.5927,1.6223,90558711.97585313,0.0
htusdt,HUOBI,2018-03-09 00:00:00,1.6223,1.65,1.4012,1.5636,70310621.13159202,0.0
htusdt,HUOBI,2018-03-10 00:00:00,1.5632,1.6996,1.491,1.6458,33978574.72673425,0.0
