symbol,exchange,datetime,open,high,low,close,volume,open_interest
icpusdt,HUOBI,2021-05-11 00:00:00,100.0,1555.0,100.0,410.98,1215882299.3018374,0.0
icpusdt,HUOBI,2021-05-12 00:00:00,410.61,415.63,285.0,290.15,268130889.86357677,0.0
icpusdt,HUOBI,2021-05-13 00:00:00,290.24,346.91,251.0,292.91,263232441.53388712,0.0
icpusdt,HUOBI,2021-05-14 00:00:00,293.17,340.89,271.1,317.2,136149900.7537383,0.0
icpusdt,HUOBI,2021-05-15 00:00:00,317.17,317.63,261.0,268.89,81919504.87490867,0.0
icpusdt,HUOBI,2021-05-16 00:00:00,268.99,268.99,240.0,241.5,64001606.16984715,0.0
icpusdt,HUOBI,2021-05-17 00:00:00,241.47,247.77,198.59,200.77,80269262.55797566,0.0
icpusdt,HUOBI,2021-05-18 00:00:00,200.63,208.66,166.23,174.27,68137266.42484912,0.0
icpusdt,HUOBI,2021-05-19 00:00:00,174.46,185.0,87.85,128.84,100622437.98787528,0.0
icpusdt,HUOBI,2021-05-20 00:00:00,128.84,223.39,103.01,180.06,288597054.3023349,0.0
icpusdt,HUOBI,2021-05-21 00:00:00,180.21,187.0,136.0,140.99,186113294.78171846,0.0
icpusdt,HUOBI,2021-05-22 00:00:00,141.0,152.54,120.0,138.88,100762911.65711379,0.0
icpusdt,HUOBI,2021-05-23 00:00:00,138.88,168.0,122.0,137.74,138875729.2875582,0.0
icpusdt,HUOBI,2021-05-24 00:00:00,137.52,163.64,120.5,144.4,112317237.39480188,0.0
icpusdt,HUOBI,2021-05-25 00:00:00,144.57,156.3,123.56,137.79,100846209.81960161,0.0
icpusdt,HUOBI,2021-05-26 00:00:00,137.84,152.0,131.21,136.34,75534191.4833225,0.0
icpusdt,HUOBI,2021-05-27 00:00:00,136.23,145.99,129.63,137.28,54651209.42458999,0.0
icpusdt,HUOBI,2021-05-28 00:00:00,137.25,138.16,110.21,119.61,42667217.443259805,0.0
icpusdt,HUOBI,2021-05-29 00:00:00,119.64,120.08,105.66,107.93,27469074.946884662,0.0
icpusdt,HUOBI,2021-05-30 00:00:00,107.85,115.96,104.5,109.27,21425048.17811089,0.0
icpusdt,HUOBI,2021-05-31 00:00:00,109.39,118.76,105.28,112.06,24253965.523460537,0.0
icpusdt,HUOBI,2021-06-01 00:00:00,112.06,117.0,106.4,108.61,20075959.28013137,0.0
icpusdt,HUOBI,2021-06-02 00:00:00,108.57,113.13,102.02,111.43,30898599.157110345,0.0
icpusdt,HUOBI,2021-06-03 00:00:00,111.37,116.24,105.13,111.17,29457308.186130773,0.0
icpusdt,HUOBI,2021-06-04 00:00:00,111.22,136.5,105.34,114.32,117173668.66359928,0.0
icpusdt,HUOBI,2021-06-05 00:00:00,114.07,119.0,104.55,108.55,43637297.81737763,0.0
icpusdt,HUOBI,2021-06-06 00:00:00,108.7,110.08,100.0,106.55,25422382.547367904,0.0
icpusdt,HUOBI,2021-06-07 00:00:00,106.62,107.71,100.87,102.62,20655256.47604417,0.0
icpusdt,HUOBI,2021-06-08 00:00:00,102.54,103.7,76.69,80.46,53043729.604815595,0.0
icpusdt,HUOBI,2021-06-09 00:00:00,80.47,84.93,77.11,83.93,36641723.876158856,0.0
